Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final pH
3,14,1,0,9,18.0,18.0,0,0.0,0,0,2.44,0.01,60.0,1,0.16,18,17.96,7.6
3,14,1,0,9,18.0,18.0,0,0.0,0,0,2.44,0.01,60.0,1,0.16,18,17.96,7.6
3,14,1,0,9,18.0,18.0,0,0.0,0,0,2.44,0.01,60.0,1,0.16,18,17.96,7.6
1,14,1,0,9,42.08,23.1,0,3.77,0,6,4.81,1.42,64.26,41,0.79,15,20.46,7.2
1,14,1,0,9,42.08,23.1,0,3.77,0,6,4.81,1.42,64.26,34,0.79,15,20.46,7.1
1,14,1,0,9,51.0,51.0,1,0.25,1,1,13.35,0.03,60.63,47,2.16,15,31.18,8.59
1,14,1,0,9,51.0,51.0,1,0.25,1,1,10.25,0.03,64.91,17,2.3,15,16.27,8.57
1,14,1,0,9,51.0,51.0,1,0.25,1,1,0.0,0.03,61.89,41,4.51,15,29.5,8.46
1,7,1,0,6,42.08,23.1,0,3.77,0,14,4.81,1.42,64.26,45,0.79,15,20.46,7.53
1,7,1,0,6,42.08,23.1,0,3.77,0,14,4.81,1.42,64.26,54,0.79,15,20.46,7.31
1,7,1,0,6,42.08,23.1,0,3.77,0,14,4.81,1.42,64.26,41,0.79,15,20.46,7.14
3,7,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,41,0.79,15,20.46,7.8
3,7,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,18,0.79,15,20.46,7.4
3,7,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,18,0.79,15,20.46,7.4
3,7,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,18,0.79,15,20.46,7.3
3,7,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,49,0.79,15,20.46,7.9
3,7,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,49,0.79,15,20.46,7.7
3,7,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,49,0.79,15,20.46,7.8
0,14,1,0,8,16.0,16.0,0,0.0,0,0,0.0,0.1,61.7,41,0.23,15,16.64,8.8
0,14,1,0,8,14.0,14.0,0,0.0,0,0,10.0,0.1,64.2,14,0.23,15,18.2,8.0
1,14,1,0,9,18.0,18.0,0,0.0,0,2,0.0,0.01,63.74,41,0.31,15,12.3,7.64
1,14,1,0,9,18.0,18.0,0,0.0,0,2,2.05,0.01,63.74,52,0.31,15,12.92,7.84
0,25,1,0,0,15.0,15.0,0,0.0,0,0,0.0,0.17,70.5,41,0.29,15,26.0,8.6
0,25,1,0,0,15.0,15.0,0,0.0,0,0,3.63,0.17,71.0,33,0.29,15,17.7,8.7
0,25,1,0,0,15.0,15.0,0,0.0,0,0,7.31,0.17,71.5,33,0.29,15,19.39,8.7
0,25,1,0,0,15.0,15.0,0,0.0,0,0,9.98,0.17,69.0,33,0.27,15,30.0,8.7
0,25,1,0,0,15.0,15.0,0,0.0,0,0,0.0,0.17,70.0,41,0.26,15,18.24,8.8
0,25,1,0,0,15.0,15.0,0,0.0,0,0,13.1,0.17,71.8,42,0.28,15,19.25,8.8
0,25,1,0,0,15.0,15.0,0,0.0,0,0,24.37,0.17,69.6,42,0.26,15,22.23,8.8
0,25,1,0,0,42.08,23.1,0,3.77,0,0,4.81,1.42,64.26,42,0.79,15,20.46,8.7
0,25,1,0,0,15.0,6.0,0,0.0,0,0,0.0,0.17,70.6,41,0.29,15,17.43,8.5
0,25,1,0,0,15.0,6.0,0,0.0,0,0,3.1,0.17,70.8,37,0.29,14,15.34,8.0
0,25,1,0,0,15.0,6.0,0,0.0,0,0,3.44,0.17,70.1,37,0.28,14,16.88,8.5
0,25,1,0,0,15.0,6.0,0,0.0,0,0,3.69,0.17,69.8,37,0.28,14,16.27,8.8
0,25,1,0,0,15.0,15.0,0,0.0,0,0,0.0,0.17,71.5,41,0.28,15,17.7,8.8
0,25,1,0,0,15.0,15.0,0,0.0,0,0,3.67,0.17,72.3,37,0.28,14,18.42,8.4
0,25,1,0,0,15.0,15.0,0,0.0,0,0,7.02,0.17,71.3,37,0.27,14,19.39,8.8
0,25,1,0,0,15.0,15.0,0,0.0,0,0,10.35,0.17,71.1,37,0.27,14,19.25,8.7
3,0,0,2,6,42.08,23.1,2,3.77,0,11,4.81,1.42,64.26,41,0.79,15,20.46,9.12
3,0,0,2,6,42.08,23.1,2,3.77,0,11,4.81,1.42,64.26,6,0.79,15,20.46,9.09
1,14,1,0,6,42.08,23.1,1,3.77,4,6,4.81,1.42,64.26,41,0.79,15,20.46,9.06
1,14,1,0,6,13.0,13.0,1,20.0,4,6,4.12,0.06,73.31,29,0.72,6,27.36,8.98
1,14,1,0,6,13.0,13.0,1,20.0,4,6,6.5,0.06,74.23,29,0.72,6,28.62,8.82
1,14,1,0,6,13.0,13.0,1,20.0,4,6,11.04,0.06,74.4,29,0.72,6,23.67,8.54
1,14,1,0,8,22.0,22.0,0,0.0,0,11,3.05,0.0,59.4,19,0.52,15,16.96,7.81
1,14,1,0,8,22.0,22.0,0,0.0,0,11,3.05,0.0,57.5,19,0.4,15,16.18,8.11
1,14,1,0,8,22.0,22.0,0,0.0,0,11,0.0,0.0,58.2,41,0.42,15,18.47,8.62
3,24,1,0,8,56.0,0.0,2,0.0,0,0,4.0,0.13,61.18,4,0.0,15,26.97,7.54
3,24,1,0,8,56.0,0.0,2,0.0,0,0,6.0,0.13,61.48,4,0.0,15,27.46,8.23
1,14,1,0,8,16.0,16.0,0,0.0,0,3,0.0,0.04,70.9,41,0.52,15,20.0,8.33
1,14,1,0,8,16.0,16.0,0,0.0,0,3,14.0,0.04,71.7,6,0.53,15,21.0,8.42
1,14,1,0,8,16.0,16.0,0,0.0,0,3,14.0,0.04,68.3,6,0.47,15,25.0,8.32
