Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final pH
3,7,0,2,9,42.08,23.1,2,3.77,0,13,4.81,1.42,64.26,6,0.79,15,20.46,7.88
3,7,0,2,9,42.08,23.1,2,3.77,0,13,4.81,1.42,64.26,6,0.79,15,20.46,8.1
1,17,1,0,6,42.08,23.1,0,3.77,0,13,4.81,1.42,64.26,41,0.79,15,20.46,7.79
1,17,1,0,6,91.0,22.4,0,0.0,0,13,12.5,0.25,60.0,6,0.4,15,20.0,7.76
1,17,1,0,6,91.0,22.4,0,0.0,0,13,12.5,0.25,60.0,18,0.4,15,20.0,7.05
1,17,1,0,6,42.08,23.1,0,3.77,0,13,4.81,1.42,64.26,6,0.79,4,20.46,7.1
1,17,1,0,6,42.08,23.1,0,3.77,0,13,4.81,1.42,64.26,41,0.79,15,20.46,7.6
1,17,1,0,6,42.08,23.1,0,3.77,0,13,4.81,1.42,64.26,6,0.79,15,20.46,7.52
1,17,1,0,6,42.08,23.1,0,3.77,0,13,4.81,1.42,64.26,18,0.79,15,20.46,7.06
1,17,1,0,6,42.08,23.1,0,3.77,0,13,4.81,1.42,64.26,6,0.79,4,20.46,7.16
1,17,1,0,6,42.08,23.1,0,3.77,0,13,4.81,1.42,64.26,41,0.79,15,20.46,7.3
1,17,1,0,6,42.08,23.1,0,3.77,0,13,4.81,1.42,64.26,6,0.79,15,20.46,7.23
1,17,1,0,6,42.08,23.1,0,3.77,0,13,4.81,1.42,64.26,18,0.79,15,20.46,7.08
1,17,1,0,6,42.08,23.1,0,3.77,0,13,4.81,1.42,64.26,6,0.79,4,20.46,7.09
0,3,1,0,8,32.0,32.0,0,0.0,0,0,0.0,0.1,75.32,41,0.78,15,17.96,8.72
0,3,1,0,8,32.0,32.0,0,0.0,0,0,0.0,0.1,69.37,41,0.49,15,17.83,8.65
0,3,1,0,8,32.0,32.0,0,0.0,0,0,0.0,0.1,66.06,41,0.99,15,19.19,8.23
0,15,1,0,0,32.0,32.0,0,0.0,0,0,0.0,0.1,76.28,41,0.75,15,21.77,8.56
0,15,1,0,0,32.0,32.0,0,0.0,0,0,0.0,0.1,72.85,41,0.74,15,21.05,8.44
0,15,1,0,0,32.0,32.0,0,0.0,0,0,0.0,0.1,63.45,41,0.73,15,22.43,8.46
0,22,1,0,8,32.0,32.0,0,0.0,0,0,0.0,0.1,67.86,41,0.52,15,12.13,8.36
0,22,1,0,0,32.0,32.0,0,0.0,0,0,0.0,0.1,76.28,41,0.75,15,22.24,8.48
1,7,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,41,0.79,15,20.46,7.7
2,7,0,0,9,84.0,0.0,2,0.0,0,0,0.0,0.12,81.0,41,0.0,15,12.2,7.2
2,11,0,0,9,84.0,0.0,2,0.0,0,0,0.0,0.12,75.8,41,0.0,15,15.3,7.3
2,11,0,0,1,84.0,0.0,2,0.0,0,0,0.0,0.12,77.3,41,0.0,15,22.3,9.0
2,11,0,0,1,84.0,0.0,2,0.0,0,0,0.0,0.12,77.0,41,0.0,15,20.1,9.1
2,19,0,0,1,84.0,0.0,2,0.0,0,0,0.0,0.12,80.0,41,0.0,15,29.9,7.1
1,2,1,0,9,37.0,37.0,0,0.0,0,4,0.0,0.06,64.1,41,0.24,15,14.7,8.1
1,2,1,0,9,37.0,37.0,0,0.0,0,4,0.0,0.06,65.2,41,0.48,15,18.3,8.5
1,2,1,0,9,37.0,37.0,0,0.0,0,4,0.0,0.06,63.7,41,0.72,15,20.7,8.6
1,2,1,0,9,37.0,37.0,0,0.0,0,4,0.0,0.06,71.3,41,0.24,15,18.4,8.2
1,2,1,0,9,37.0,37.0,0,0.0,0,4,0.0,0.06,70.6,41,0.48,15,21.1,8.4
1,2,1,0,9,37.0,37.0,0,0.0,0,4,0.0,0.06,70.8,41,0.72,15,15.0,8.5
1,2,1,0,9,37.0,37.0,0,0.0,0,4,0.0,0.06,75.7,41,0.24,15,21.2,8.4
1,2,1,0,9,37.0,37.0,0,0.0,0,4,0.0,0.06,76.8,41,0.48,15,14.9,8.1
1,2,1,0,9,37.0,37.0,0,0.0,0,4,0.0,0.06,74.0,41,0.72,15,18.0,8.5
3,14,0,2,6,87.0,0.0,2,0.0,0,21,0.0,0.14,71.08,41,0.0,15,20.0,7.68
3,14,0,2,6,87.0,0.0,2,0.0,0,18,0.0,0.14,71.08,41,0.0,15,20.0,7.74
3,14,0,2,6,87.0,0.0,2,0.0,0,14,0.0,0.14,71.08,41,0.0,15,20.0,7.71
3,14,0,2,6,87.0,0.0,2,0.0,0,21,0.0,0.14,69.49,41,0.0,15,25.0,7.85
3,14,0,2,6,87.0,0.0,2,0.0,0,18,0.0,0.14,69.49,41,0.0,15,25.0,7.63
3,14,0,2,6,87.0,0.0,2,0.0,0,14,0.0,0.14,69.49,41,0.0,15,25.0,7.82
3,14,0,2,6,87.0,0.0,2,0.0,0,21,0.0,0.14,66.58,41,0.0,15,30.0,7.76
3,14,0,2,6,87.0,0.0,2,0.0,0,18,0.0,0.14,66.58,41,0.0,15,30.0,7.81
3,14,0,2,6,87.0,0.0,2,0.0,0,14,0.0,0.14,66.58,41,0.0,15,30.0,7.63
3,4,0,2,6,21.0,0.0,2,0.0,0,14,0.0,2.0,60.0,41,0.0,15,26.03,7.72
3,4,0,2,6,21.0,0.0,2,0.0,0,14,19.98,2.0,60.0,32,0.0,15,26.03,7.68
3,4,0,2,6,21.0,0.0,2,0.0,0,14,19.98,2.0,60.0,32,0.0,15,26.03,7.59
3,4,0,2,6,21.0,0.0,2,0.0,0,14,19.98,2.0,60.0,32,0.0,15,26.03,7.74
3,4,0,2,6,21.0,0.0,2,0.0,0,14,19.98,2.0,60.0,32,0.0,15,26.03,7.58
3,4,0,2,6,21.0,0.0,2,0.0,0,14,19.98,2.0,60.0,32,0.0,15,26.03,7.73
3,4,0,2,6,21.0,0.0,2,0.0,0,14,19.98,2.0,60.0,32,0.0,15,26.03,7.65
3,4,0,2,6,21.0,0.0,2,0.0,0,14,19.98,2.0,60.0,32,0.0,15,26.03,7.78
3,1,0,1,9,70.0,0.0,2,0.0,0,17,0.0,9.56,65.7,41,0.0,15,14.81,7.19
3,1,1,1,9,70.0,0.0,2,0.0,0,17,0.0,9.56,65.7,41,0.0,15,14.81,7.23
3,1,0,1,9,70.0,0.0,2,0.0,0,10,0.0,9.56,65.7,41,0.0,15,14.81,7.24
3,1,1,1,9,70.0,0.0,2,0.0,0,10,0.0,9.56,65.7,41,0.0,15,14.81,7.29
2,1,0,1,9,70.0,0.0,2,0.0,0,0,0.0,9.56,65.7,41,0.0,15,14.81,7.91
2,1,1,1,9,70.0,0.0,2,0.0,0,0,0.0,9.56,65.7,41,0.0,15,14.81,7.93
1,1,1,0,9,31.0,30.0,0,0.0,0,1,2.83,0.95,69.47,41,0.31,15,13.16,8.03
3,1,0,1,9,70.0,0.0,2,0.0,0,10,0.0,1.2,64.0,41,0.0,15,17.4,8.5
3,1,1,1,9,70.0,0.0,2,0.0,0,10,0.0,1.2,64.0,41,0.0,15,17.4,8.8
3,1,0,1,9,70.0,0.0,2,0.0,0,5,0.0,1.2,64.0,41,0.0,15,17.4,8.9
3,1,1,1,9,70.0,0.0,2,0.0,0,5,0.0,1.2,64.0,41,0.0,15,17.4,8.8
2,1,0,1,9,70.0,0.0,2,0.0,0,0,0.0,1.2,64.0,41,0.0,15,17.4,8.6
2,1,1,1,9,70.0,0.0,2,0.0,0,0,0.0,1.2,64.0,41,0.0,15,17.4,8.5
1,1,1,0,8,35.0,35.0,0,0.0,0,5,0.0,0.06,72.1,41,0.2,15,11.37,7.48
3,1,1,0,9,56.0,0.0,2,0.0,0,7,0.0,1.2,67.6,41,0.0,15,18.98,7.72
3,1,1,0,9,56.0,0.0,2,0.0,0,7,3.3,1.2,67.6,51,0.0,15,18.98,7.5
3,1,1,0,9,56.0,0.0,2,0.0,0,7,6.6,1.2,67.6,51,0.0,15,18.98,7.12
3,1,1,0,9,56.0,0.0,2,0.0,0,7,9.9,1.2,67.6,51,0.0,15,18.98,7.13
3,1,1,0,9,56.0,0.0,2,0.0,0,7,13.2,1.2,67.6,51,0.0,15,18.98,7.1
3,25,1,0,6,28.0,0.0,2,0.0,0,9,0.0,0.13,61.46,41,0.0,15,30.88,8.38
3,25,1,0,6,28.0,0.0,2,0.0,0,9,2.0,0.13,60.66,12,0.0,15,30.04,8.11
3,25,1,0,6,28.0,0.0,2,0.0,0,9,4.0,0.13,59.71,12,0.0,15,30.35,8.34
3,25,1,0,6,28.0,0.0,2,0.0,0,9,6.0,0.13,60.45,12,0.0,15,30.57,7.75
3,25,1,0,6,28.0,0.0,2,0.0,0,9,8.0,0.13,60.07,12,0.0,15,30.88,7.91
3,25,1,0,6,28.0,0.0,2,0.0,0,9,10.0,0.13,59.45,12,0.0,15,31.04,8.06
0,17,1,0,6,25.0,25.0,1,30.0,3,0,0.0,0.06,60.0,41,0.83,15,20.12,7.01
0,17,1,0,6,25.0,25.0,1,30.0,3,0,0.0,0.06,60.0,41,1.64,15,20.02,7.11
0,14,1,0,8,50.0,50.0,0,0.0,0,0,0.0,0.03,72.13,41,0.22,15,19.11,7.64
0,25,1,0,8,50.0,50.0,0,0.0,0,0,0.0,0.03,69.74,41,0.21,15,13.27,8.38
0,12,1,0,8,50.0,50.0,0,0.0,0,0,0.0,0.03,71.05,41,0.21,15,13.56,8.13
0,12,1,0,8,30.0,30.0,0,0.0,0,0,8.97,0.03,71.65,40,0.15,15,22.96,7.02
0,12,1,0,8,30.0,30.0,0,0.0,0,0,6.71,0.03,72.65,40,0.16,15,22.31,7.04
0,12,1,0,8,30.0,30.0,0,0.0,0,0,0.0,0.03,73.04,41,0.16,15,20.66,7.79
0,12,1,0,8,60.0,60.0,0,0.0,0,0,1.89,0.03,71.6,0,0.22,15,19.56,8.04
0,12,1,0,8,60.0,60.0,0,0.0,0,0,2.47,0.03,71.09,39,0.21,15,20.81,9.12
0,12,1,0,8,60.0,60.0,0,0.0,0,0,2.0,0.03,70.84,38,0.21,15,20.81,7.29
0,12,1,0,8,60.0,60.0,0,0.0,0,0,0.0,0.03,70.07,41,0.21,15,20.81,9.23
1,7,1,0,2,28.0,28.0,1,30.0,5,4,0.0,0.06,66.9,41,1.21,15,25.0,8.38
1,16,1,0,2,28.0,28.0,1,30.0,5,4,0.0,0.06,58.6,41,0.96,15,20.9,8.02
1,16,1,0,2,28.0,28.0,1,30.0,5,4,0.0,0.06,53.1,41,0.86,15,18.7,7.65
1,16,1,0,2,28.0,28.0,1,30.0,5,4,0.0,0.06,47.5,41,0.76,15,16.8,7.33
0,14,1,0,6,50.0,50.0,0,0.0,0,0,0.0,0.02,73.67,41,0.2,15,9.89,8.69
3,7,0,1,9,65.0,0.0,2,0.0,0,16,0.0,13.55,80.3,41,0.0,15,15.4,7.86
3,13,0,1,9,65.0,0.0,2,0.0,0,16,0.0,13.55,70.4,41,0.0,15,28.3,7.44
3,10,0,1,9,65.0,0.0,2,0.0,0,16,0.0,11.58,71.6,41,0.0,15,30.2,7.55
3,6,0,1,9,65.0,0.0,2,0.0,0,16,0.0,13.55,70.1,41,0.0,15,24.7,7.19
0,14,1,2,6,21.0,21.0,1,30.0,3,0,0.0,0.04,59.79,41,0.16,15,30.3,8.94
0,14,1,2,6,21.0,21.0,1,30.0,3,0,0.0,0.04,59.79,41,0.31,15,30.3,8.89
0,14,1,2,6,21.0,21.0,1,30.0,3,0,0.0,0.04,59.79,41,0.16,15,30.3,8.85
1,6,0,1,8,37.0,37.0,1,20.0,4,5,0.0,1.0,65.0,41,0.51,15,25.0,8.22
1,6,0,1,8,37.0,37.0,1,20.0,4,5,5.0,1.0,65.0,6,0.51,15,25.0,8.4
1,6,0,1,8,37.0,37.0,1,20.0,4,5,10.0,1.0,65.0,6,1.33,15,25.0,8.55
3,1,0,2,0,51.0,0.0,2,0.0,0,14,5.6,11.31,65.0,53,0.0,15,15.0,8.59
3,1,0,2,0,51.0,0.0,2,0.0,0,14,0.0,7.16,65.0,41,0.0,15,20.0,8.58
3,1,0,2,0,51.0,0.0,2,0.0,0,14,0.0,11.4,65.0,41,0.0,15,25.0,8.53
3,1,0,2,0,51.0,0.0,2,0.0,0,14,0.0,6.94,65.0,41,0.0,15,30.0,8.5
3,1,0,2,0,51.0,0.0,2,0.0,0,14,0.0,6.94,65.0,41,0.0,15,35.0,8.52
0,14,1,0,8,22.0,22.0,0,0.0,0,0,0.0,0.0,63.45,41,0.3,15,11.68,7.25
0,14,1,0,8,22.0,22.0,0,0.0,0,0,0.0,0.0,62.82,41,0.3,15,10.89,7.24
0,14,1,0,8,22.0,22.0,0,0.0,0,0,0.0,0.0,63.53,41,0.36,15,11.38,7.2
0,14,1,0,8,22.0,22.0,0,0.0,0,0,0.0,0.0,61.74,41,0.27,15,12.39,7.23
0,14,1,0,8,22.0,22.0,0,0.0,0,0,0.0,0.0,62.52,41,0.3,15,12.04,7.31
0,14,1,0,8,22.0,22.0,0,0.0,0,0,0.0,0.0,62.08,41,0.28,15,9.49,7.3
0,17,1,0,8,22.0,22.0,0,0.0,0,0,0.0,0.0,60.35,41,0.28,15,12.19,7.21
0,17,1,0,8,22.0,22.0,0,0.0,0,0,0.0,0.0,61.11,41,0.27,15,12.47,7.46
0,17,1,0,8,22.0,22.0,0,0.0,0,0,0.0,0.0,62.01,41,0.28,15,12.04,7.2
0,17,1,0,8,22.0,22.0,0,0.0,0,0,0.0,0.0,62.56,41,0.3,15,11.48,7.45
0,18,1,0,8,22.0,22.0,0,0.0,0,0,0.0,0.0,61.58,41,0.27,15,12.56,7.17
0,14,1,0,8,22.0,22.0,0,0.0,0,0,0.0,0.0,63.18,41,0.3,15,9.95,7.25
0,17,1,0,8,22.0,22.0,0,0.0,0,0,0.0,0.0,60.59,41,0.28,15,10.25,6.93
0,17,1,0,8,22.0,22.0,0,0.0,0,0,0.0,0.0,59.92,41,0.28,15,10.59,7.66
0,17,1,0,8,22.0,22.0,0,0.0,0,0,0.0,0.0,61.03,41,0.26,15,10.29,7.06
0,14,1,0,8,42.08,23.1,1,3.77,6,0,4.81,1.42,64.26,41,0.79,15,20.46,8.45
0,14,1,0,8,42.08,23.1,1,3.77,6,0,4.81,1.42,64.26,31,0.79,15,20.46,7.83
0,14,1,0,8,42.08,23.1,1,3.77,6,0,4.81,1.42,64.26,31,0.79,6,20.46,8.16
0,14,1,0,8,42.08,23.1,1,3.77,6,0,4.81,1.42,64.26,21,0.79,15,20.46,8.37
1,7,1,0,0,66.0,66.0,0,0.0,0,11,0.0,0.03,71.8,41,0.2,15,18.0,7.48
2,13,0,1,0,64.0,0.0,2,0.0,0,0,0.0,1.1,74.27,41,0.0,15,20.39,8.2
2,13,1,1,0,64.0,0.0,2,0.0,0,0,0.0,1.1,74.27,41,0.0,15,20.39,8.18
3,13,1,1,0,64.0,0.0,2,0.0,0,12,0.0,1.1,74.27,41,0.0,15,20.39,8.32
1,13,1,1,0,42.08,23.1,1,3.77,11,12,4.81,1.42,64.26,41,0.79,15,20.46,8.54
3,1,1,1,1,40.0,0.0,2,0.0,0,9,0.0,0.2,65.0,41,0.0,15,29.71,7.75
3,1,1,1,1,40.0,0.0,2,0.0,0,9,1.0,0.2,65.0,32,0.0,15,29.85,8.39
3,1,1,1,1,40.0,0.0,2,0.0,0,9,5.0,0.2,65.0,6,0.0,15,33.08,8.14
3,1,1,1,1,40.0,0.0,2,0.0,0,9,6.0,0.2,65.0,6,0.0,13,33.44,8.52
