Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final NH3-N (g_kg)
1,15,1,0,4,42.08,23.1,0,3.77,0,13,4.81,1.42,64.26,34,0.79,11,20.46,0.05
1,15,1,0,4,42.08,23.1,0,3.77,0,13,4.81,1.42,64.26,5,0.79,11,20.46,0.04
1,15,1,0,4,42.08,23.1,0,3.77,0,13,4.81,1.42,64.26,14,0.79,11,20.46,0.08
1,15,1,0,4,42.08,23.1,0,3.77,0,13,4.81,1.42,64.26,5,0.79,1,20.46,0.06
0,3,1,0,6,32.0,32.0,0,0.0,0,0,0.0,0.1,75.32,34,0.78,11,17.96,0.04
0,3,1,0,6,32.0,32.0,0,0.0,0,0,0.0,0.1,69.37,34,0.49,11,17.83,0.04
0,3,1,0,6,32.0,32.0,0,0.0,0,0,0.0,0.1,66.06,34,0.99,11,19.19,0.03
0,14,1,0,0,32.0,32.0,0,0.0,0,0,0.0,0.1,76.28,34,0.75,11,21.77,0.03
0,14,1,0,0,32.0,32.0,0,0.0,0,0,0.0,0.1,72.85,34,0.74,11,21.05,0.02
0,14,1,0,0,32.0,32.0,0,0.0,0,0,0.0,0.1,63.45,34,0.73,11,22.43,0.02
0,19,1,0,6,32.0,32.0,0,0.0,0,0,0.0,0.1,67.86,34,0.52,11,12.13,0.1
0,19,1,0,0,32.0,32.0,0,0.0,0,0,0.0,0.1,76.28,34,0.75,11,22.24,0.03
0,9,1,0,3,42.08,23.1,0,3.77,0,0,4.81,1.42,64.26,34,0.79,11,20.46,3.37
0,9,1,0,3,28.0,28.0,0,0.0,0,0,0.0,0.1,56.2,34,0.76,11,40.0,3.37
0,9,1,0,3,28.0,28.0,0,0.0,0,0,0.0,0.1,58.8,34,0.83,11,35.0,3.59
0,9,1,0,3,28.0,28.0,0,0.0,0,0,0.0,0.1,60.9,34,0.66,11,30.0,3.68
0,9,1,0,3,28.0,28.0,0,0.0,0,0,0.0,0.1,61.9,34,0.59,11,25.0,3.68
0,7,1,0,5,28.0,28.0,0,0.0,0,0,0.0,0.1,61.9,34,0.56,11,20.0,3.9
0,7,1,0,5,28.0,28.0,0,0.0,0,0,0.0,0.1,64.5,34,0.55,11,15.0,4.04
0,19,1,0,5,28.0,28.0,0,0.0,0,0,0.0,0.1,65.3,34,0.57,11,11.7,4.54
1,6,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,34,0.79,11,20.46,0.1
1,6,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,49,0.79,11,20.46,0.31
1,6,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,36,0.79,14,20.46,0.54
1,12,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,34,0.79,11,20.46,0.12
1,12,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,36,0.79,11,20.46,0.36
1,12,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,49,0.79,11,20.46,0.17
1,12,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,36,0.79,14,20.46,0.3
1,13,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,34,0.79,11,20.46,0.1
1,13,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,36,0.79,11,20.46,0.32
1,13,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,49,0.79,11,20.46,0.16
1,13,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,36,0.79,14,20.46,0.31
0,8,1,0,1,28.0,28.0,0,0.0,0,0,0.0,0.01,63.0,34,0.28,11,11.0,8.1
0,8,1,0,1,28.0,28.0,0,0.0,0,0,0.0,0.01,66.0,34,0.28,11,11.0,7.9
0,13,1,0,1,28.0,28.0,0,0.0,0,0,0.0,0.01,67.0,34,0.28,11,12.9,4.7
0,4,1,0,1,28.0,28.0,0,0.0,0,0,0.0,0.01,65.0,34,0.28,11,12.1,4.7
1,1,1,0,7,37.0,37.0,1,25.0,1,4,0.0,0.06,65.0,34,0.24,11,14.5,2.19
1,1,1,0,7,37.0,37.0,1,25.0,1,4,0.0,0.06,65.0,34,0.48,11,18.1,0.46
1,1,1,0,7,37.0,37.0,1,25.0,1,4,0.0,0.06,65.0,34,0.72,11,20.74,0.32
1,1,1,0,7,37.0,37.0,1,25.0,1,4,0.0,0.06,70.0,34,0.48,11,21.11,0.36
1,1,1,0,7,37.0,37.0,1,25.0,1,4,0.0,0.06,75.0,34,0.48,11,14.71,2.39
1,1,1,0,7,37.0,37.0,1,25.0,1,4,0.0,0.06,75.0,34,0.72,11,17.9,0.38
1,2,1,0,7,37.0,37.0,0,0.0,0,4,0.0,0.06,64.1,34,0.24,11,14.7,2.16
1,2,1,0,7,37.0,37.0,0,0.0,0,4,0.0,0.06,65.2,34,0.48,11,18.3,0.5
1,2,1,0,7,37.0,37.0,0,0.0,0,4,0.0,0.06,63.7,34,0.72,11,20.7,0.33
1,2,1,0,7,37.0,37.0,0,0.0,0,4,0.0,0.06,70.6,34,0.48,11,21.1,0.36
1,2,1,0,7,37.0,37.0,0,0.0,0,4,0.0,0.06,76.8,34,0.48,11,14.9,2.38
1,2,1,0,7,37.0,37.0,0,0.0,0,4,0.0,0.06,74.0,34,0.72,11,18.0,0.45
1,13,1,0,0,35.0,35.0,0,0.0,0,9,0.0,0.16,66.03,34,0.81,11,21.96,2.45
1,13,1,0,0,35.0,35.0,0,0.0,0,9,0.0,0.3,65.69,34,0.6,11,21.51,2.23
1,13,1,0,0,35.0,35.0,0,0.0,0,9,0.0,0.57,66.14,34,0.81,11,21.64,2.29
3,1,0,1,7,70.0,0.0,2,0.0,0,10,0.0,1.2,64.0,34,0.0,11,17.4,1.4
3,1,1,1,7,70.0,0.0,2,0.0,0,10,0.0,1.2,64.0,34,0.0,11,17.4,2.0
3,1,0,1,7,70.0,0.0,2,0.0,0,5,0.0,1.2,64.0,34,0.0,11,17.4,2.0
3,1,1,1,7,70.0,0.0,2,0.0,0,5,0.0,1.2,64.0,34,0.0,11,17.4,2.1
2,1,0,1,7,70.0,0.0,2,0.0,0,0,0.0,1.2,64.0,34,0.0,11,17.4,3.3
2,1,1,1,7,70.0,0.0,2,0.0,0,0,0.0,1.2,64.0,34,0.0,11,17.4,4.2
3,5,0,2,7,55.0,0.0,2,0.0,0,15,0.0,11.25,60.04,34,0.0,11,15.39,0.52
1,1,1,0,6,35.0,35.0,0,0.0,0,5,0.0,0.06,72.1,34,0.2,11,11.37,3.87
3,22,1,0,4,28.0,0.0,2,0.0,0,9,0.0,0.13,61.46,34,0.0,11,30.88,0.3
3,22,1,0,4,28.0,0.0,2,0.0,0,9,2.0,0.13,60.66,9,0.0,11,30.04,0.25
3,22,1,0,4,28.0,0.0,2,0.0,0,9,4.0,0.13,59.71,9,0.0,11,30.35,0.31
3,22,1,0,4,28.0,0.0,2,0.0,0,9,6.0,0.13,60.45,9,0.0,11,30.57,0.22
3,22,1,0,4,28.0,0.0,2,0.0,0,9,8.0,0.13,60.07,9,0.0,11,30.88,0.19
3,22,1,0,4,28.0,0.0,2,0.0,0,9,10.0,0.13,59.45,9,0.0,11,31.04,0.11
2,12,0,1,0,64.0,0.0,2,0.0,0,12,0.0,1.0,74.0,34,0.0,11,20.63,1.18
2,12,1,1,0,64.0,0.0,2,0.0,0,12,0.0,1.0,74.0,34,0.0,11,20.63,1.76
3,12,1,1,0,64.0,0.0,2,0.0,0,12,0.0,1.0,74.0,34,0.0,11,20.63,0.36
0,15,1,0,4,25.0,25.0,1,30.0,4,0,0.0,0.06,60.0,34,0.08,11,19.77,3.34
0,15,1,0,4,25.0,25.0,1,30.0,4,0,0.0,0.06,60.0,34,0.83,11,20.12,1.9
0,15,1,0,4,25.0,25.0,1,30.0,4,0,0.0,0.06,60.0,34,1.64,11,20.02,1.32
0,13,1,0,6,50.0,50.0,0,0.0,0,0,0.0,0.03,72.13,34,0.22,11,19.11,12.63
0,22,1,0,6,50.0,50.0,0,0.0,0,0,0.0,0.03,69.74,34,0.21,11,13.27,11.57
0,11,1,0,6,50.0,50.0,0,0.0,0,0,0.0,0.03,71.05,34,0.21,11,13.56,11.37
0,11,1,0,6,30.0,30.0,0,0.0,0,0,8.97,0.03,71.65,33,0.15,11,22.96,13.3
0,11,1,0,6,30.0,30.0,0,0.0,0,0,6.71,0.03,72.65,33,0.16,11,22.31,12.88
0,11,1,0,6,30.0,30.0,0,0.0,0,0,0.0,0.03,73.04,34,0.16,11,20.66,7.61
0,11,1,0,6,60.0,60.0,0,0.0,0,0,1.89,0.03,71.6,0,0.22,11,19.56,12.4
0,11,1,0,6,60.0,60.0,0,0.0,0,0,2.47,0.03,71.09,32,0.21,11,20.81,3.59
0,11,1,0,6,60.0,60.0,0,0.0,0,0,0.0,0.03,70.07,34,0.21,11,20.81,4.13
0,13,1,0,4,50.0,50.0,0,0.0,0,0,0.0,0.02,73.67,34,0.2,11,9.89,3.62
3,6,0,1,7,65.0,0.0,2,0.0,0,16,0.0,13.55,80.3,34,0.0,11,15.4,2.07
3,12,0,1,7,65.0,0.0,2,0.0,0,16,0.0,13.55,70.4,34,0.0,11,28.3,0.38
3,10,0,1,7,65.0,0.0,2,0.0,0,16,0.0,11.58,71.6,34,0.0,11,30.2,0.3
3,5,0,1,7,65.0,0.0,2,0.0,0,16,0.0,13.55,70.1,34,0.0,11,24.7,0.51
0,22,1,0,7,17.0,17.0,0,0.0,0,0,4.11,0.01,83.18,49,0.56,11,26.37,0.12
0,22,1,0,7,15.0,15.0,0,0.0,0,0,4.72,0.01,83.21,49,0.56,11,26.37,0.21
0,22,1,0,7,15.0,15.0,0,0.0,0,0,4.72,0.01,83.21,49,0.56,11,26.37,0.09
0,22,1,0,7,15.0,15.0,0,0.0,0,0,4.72,0.01,82.62,49,0.56,11,26.37,0.01
0,13,1,2,4,21.0,21.0,1,30.0,4,0,0.0,0.04,59.79,34,0.16,11,30.3,1.5
0,13,1,2,4,21.0,21.0,1,30.0,4,0,0.0,0.04,59.79,34,0.31,11,30.3,1.15
0,13,1,2,4,21.0,21.0,1,30.0,4,0,0.0,0.04,59.79,34,0.16,11,30.3,1.5
3,1,0,2,0,51.0,0.0,2,0.0,0,14,5.6,11.31,65.0,46,0.0,11,15.0,0.42
3,1,0,2,0,51.0,0.0,2,0.0,0,14,0.0,7.16,65.0,34,0.0,11,20.0,0.37
3,1,0,2,0,51.0,0.0,2,0.0,0,14,0.0,11.4,65.0,34,0.0,11,25.0,0.36
3,1,0,2,0,51.0,0.0,2,0.0,0,14,0.0,6.94,65.0,34,0.0,11,30.0,0.35
3,1,0,2,0,51.0,0.0,2,0.0,0,14,0.0,6.94,65.0,34,0.0,11,35.0,0.34
0,5,0,1,6,26.0,26.0,1,20.0,5,0,0.0,1.3,70.0,34,0.52,11,20.42,0.32
0,5,0,1,6,26.0,26.0,1,20.0,5,0,0.0,1.3,70.0,34,0.52,11,20.42,0.2
0,5,0,1,6,26.0,26.0,1,20.0,5,0,0.0,1.3,70.0,34,0.52,11,20.42,0.16
0,13,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,63.45,34,0.3,11,11.68,3.02
0,13,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,62.82,34,0.3,11,10.89,3.9
0,13,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,63.53,34,0.36,11,11.38,2.24
0,13,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,61.74,34,0.27,11,12.39,3.45
0,13,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,62.52,34,0.3,11,12.04,4.02
0,13,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,62.08,34,0.28,11,9.49,2.12
0,15,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,60.35,34,0.28,11,12.19,2.45
0,15,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,61.11,34,0.27,11,12.47,3.72
0,15,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,62.01,34,0.28,11,12.04,3.86
0,15,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,62.56,34,0.3,11,11.48,4.05
0,16,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,61.58,34,0.27,11,12.56,3.96
0,13,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,63.18,34,0.3,11,9.95,2.95
0,15,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,57.57,34,0.24,11,13.48,4.04
0,15,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,61.18,34,0.26,11,11.3,3.79
0,15,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,60.59,34,0.28,11,10.25,4.17
0,15,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,59.92,34,0.28,11,10.59,3.87
0,15,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,61.03,34,0.26,11,10.29,3.42
0,13,1,0,6,42.08,23.1,1,3.77,7,0,4.81,1.42,64.26,27,0.79,11,20.46,8.57
0,13,1,0,6,42.08,23.1,1,3.77,7,0,4.81,1.42,64.26,27,0.79,3,20.46,9.41
