Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final NH3-N (g_kg)
3,21,1,0,4,19.0,0.0,2,0.0,0,0,0.0,4.66,45.0,34,0.0,11,13.42,10.97
3,21,1,0,4,19.0,0.0,2,0.0,0,0,4.4,2.39,64.17,24,0.0,2,13.42,9.41
3,21,1,0,4,19.0,0.0,2,0.0,0,0,8.8,2.22,63.52,24,0.0,2,13.42,9.2
3,21,1,0,4,19.0,0.0,2,0.0,0,0,13.2,0.55,65.43,24,0.0,2,13.42,10.4
3,21,1,0,4,19.0,0.0,2,0.0,0,0,17.8,2.22,64.93,24,0.0,2,13.42,11.85
3,21,1,0,4,19.0,0.0,2,0.0,0,0,22.0,2.12,62.34,24,0.0,2,13.42,11.35
3,21,1,0,4,19.0,0.0,2,0.0,0,0,10.3,1.61,63.96,24,0.0,2,13.42,10.56
3,21,1,0,4,19.0,0.0,2,0.0,0,0,13.7,0.55,65.43,24,0.0,2,13.42,10.17
3,21,1,0,4,19.0,0.0,2,0.0,0,0,2.5,2.39,64.27,24,0.0,2,13.42,11.23
3,21,1,0,4,19.0,0.0,2,0.0,0,0,7.4,2.48,63.39,24,0.0,2,13.42,9.0
3,21,1,0,4,19.0,0.0,2,0.0,0,0,10.0,1.61,64.51,24,0.0,2,13.42,9.88
3,21,1,0,4,19.0,0.0,2,0.0,0,0,12.4,0.55,65.43,24,0.0,2,13.42,14.9
1,1,1,0,7,35.0,35.0,0,0.0,0,4,0.0,0.06,70.4,34,0.38,11,20.3,2.24
1,1,1,0,7,35.0,35.0,0,0.0,0,4,4.56,0.06,65.46,24,0.38,2,20.24,1.53
1,13,0,1,7,56.0,21.0,0,0.0,0,5,0.0,0.4,66.4,34,0.33,11,20.16,0.68
1,13,0,1,7,56.0,21.0,0,0.0,0,5,16.53,0.4,63.7,5,0.33,11,26.77,1.09
1,13,0,1,7,56.0,21.0,0,0.0,0,5,23.94,0.4,62.4,5,0.33,11,25.76,0.93
1,15,0,1,7,42.0,42.0,1,15.0,8,8,0.0,2.7,68.8,34,0.0,11,24.05,0.17
1,15,0,1,7,42.0,42.0,1,15.0,8,8,3.2,2.7,66.73,44,0.0,11,23.93,0.5
1,15,0,1,7,42.0,42.0,1,15.0,8,8,4.8,2.7,66.23,44,0.0,11,24.16,0.24
1,13,1,0,7,42.08,23.1,0,3.77,0,6,4.81,1.42,64.26,34,0.79,11,20.46,0.1
1,13,1,0,7,42.08,23.1,0,3.77,0,6,4.81,1.42,64.26,29,0.79,11,20.46,0.1
1,13,1,0,7,51.0,51.0,1,0.25,2,1,13.35,0.03,60.63,39,2.16,11,31.18,2.45
1,13,1,0,7,51.0,51.0,1,0.25,2,1,10.25,0.03,64.91,13,2.3,11,16.27,3.59
1,13,1,0,7,51.0,51.0,1,0.25,2,1,0.0,0.03,61.89,34,4.51,11,29.5,2.65
3,13,0,2,7,82.0,0.0,2,0.0,0,0,0.0,11.63,65.0,34,0.0,11,15.4,1.61
3,13,0,2,7,82.0,0.0,2,0.0,0,0,8.32,5.66,65.0,5,0.0,11,17.5,1.32
1,6,1,0,4,42.08,23.1,0,3.77,0,14,4.81,1.42,64.26,49,0.79,11,20.46,0.53
1,6,1,0,4,42.08,23.1,0,3.77,0,14,4.81,1.42,64.26,35,0.79,11,20.46,0.04
1,6,1,0,4,42.08,23.1,0,3.77,0,14,4.81,1.42,64.26,37,0.79,11,20.46,0.24
1,6,1,0,4,42.08,23.1,0,3.77,0,14,4.81,1.42,64.26,47,0.79,11,20.46,0.08
1,6,1,0,4,42.08,23.1,0,3.77,0,14,4.81,1.42,64.26,34,0.79,11,20.46,0.09
3,6,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,34,0.79,11,20.46,0.35
3,6,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,14,0.79,11,20.46,0.24
3,6,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,14,0.79,11,20.46,0.33
3,6,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,14,0.79,11,20.46,0.13
3,6,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,41,0.79,11,20.46,0.21
3,6,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,41,0.79,11,20.46,0.11
3,6,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,41,0.79,11,20.46,0.22
0,13,1,0,6,16.0,16.0,0,0.0,0,0,0.0,0.1,61.7,34,0.23,11,16.64,8.89
0,13,1,0,6,14.0,14.0,0,0.0,0,0,10.0,0.1,64.2,11,0.23,11,18.2,0.13
1,13,1,0,7,18.0,18.0,0,0.0,0,2,0.0,0.01,63.74,34,0.31,11,12.3,0.3
1,13,1,0,7,18.0,18.0,0,0.0,0,2,2.05,0.01,63.74,45,0.31,11,12.92,0.5
3,0,0,2,4,42.08,23.1,2,3.77,0,11,4.81,1.42,64.26,34,0.79,11,20.46,2.53
