Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final NO2-N (g_kg)
1,1,1,0,6,35.0,35.0,0,0.0,0,4,6.48,0.06,64.96,19,0.38,9,19.09,0.07
1,11,0,1,6,56.0,21.0,0,0.0,0,5,0.0,0.4,66.4,27,0.33,7,20.16,0.27
1,11,0,1,6,56.0,21.0,0,0.0,0,5,8.53,0.4,64.9,5,0.33,7,24.79,0.47
1,11,0,1,6,56.0,21.0,0,0.0,0,5,16.53,0.4,63.7,5,0.33,7,26.77,0.52
1,11,0,1,6,56.0,21.0,0,0.0,0,5,23.94,0.4,62.4,5,0.33,7,25.76,0.56
1,11,1,0,6,42.08,23.1,0,3.77,0,6,4.81,1.42,64.26,27,0.79,7,20.46,1.5
1,11,1,0,6,51.0,51.0,1,0.25,1,1,13.35,0.03,60.63,32,2.16,7,31.18,0.13
1,11,1,0,6,51.0,51.0,1,0.25,1,1,10.25,0.03,64.91,12,2.3,7,16.27,0.25
1,11,1,0,6,51.0,51.0,1,0.25,1,1,0.0,0.03,61.89,27,4.51,7,29.5,0.11
3,11,0,2,6,82.0,0.0,2,0.0,0,0,0.0,11.63,65.0,27,0.0,7,15.4,0.29
3,11,0,2,6,82.0,0.0,2,0.0,0,0,8.32,5.66,65.0,5,0.0,7,17.5,0.2
3,5,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,27,0.79,7,20.46,0.49
3,5,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,13,0.79,7,20.46,0.58
3,5,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,13,0.79,7,20.46,0.68
3,5,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,13,0.79,7,20.46,0.58
3,5,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,34,0.79,7,20.46,0.72
3,5,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,34,0.79,7,20.46,0.39
3,5,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,34,0.79,7,20.46,0.52
0,11,1,0,5,14.0,14.0,0,0.0,0,0,10.0,0.1,64.2,10,0.23,7,18.2,0.07
3,0,0,2,3,42.08,23.1,2,3.77,0,11,4.81,1.42,64.26,27,0.79,7,20.46,0.03
3,0,0,2,3,42.08,23.1,2,3.77,0,11,4.81,1.42,64.26,5,0.79,7,20.46,0.18
1,11,1,0,5,22.0,22.0,0,0.0,0,11,3.05,0.0,57.9,14,0.52,7,17.29,0.04
1,11,1,0,5,22.0,22.0,0,0.0,0,11,3.05,0.0,58.2,14,0.52,7,17.29,0.03
1,11,1,0,5,22.0,22.0,0,0.0,0,11,3.05,0.0,57.5,14,0.4,7,16.18,2.13
1,11,1,0,5,22.0,22.0,0,0.0,0,11,0.0,0.0,58.2,27,0.42,7,18.47,1.68
3,18,1,0,5,56.0,0.0,2,0.0,0,0,0.0,0.13,66.33,27,0.0,7,15.2,0.79
3,18,1,0,5,56.0,0.0,2,0.0,0,0,2.0,0.13,65.07,4,0.0,7,17.29,1.01
3,18,1,0,5,56.0,0.0,2,0.0,0,0,4.0,0.13,61.18,4,0.0,7,26.97,1.45
3,18,1,0,5,56.0,0.0,2,0.0,0,0,6.0,0.13,61.48,4,0.0,7,27.46,1.28
3,18,1,0,5,56.0,0.0,2,0.0,0,0,10.0,0.13,62.23,4,0.0,7,19.32,1.11
1,9,1,0,3,45.0,45.0,1,17.0,3,20,0.0,2.4,55.0,27,6.67,7,30.49,0.12
1,9,1,0,3,45.0,45.0,1,17.0,3,20,0.44,2.4,55.0,3,6.67,7,29.15,0.52
1,9,1,0,3,45.0,45.0,1,17.0,3,20,0.44,2.4,55.0,31,6.67,7,31.29,0.65
1,11,1,0,1,19.0,19.0,0,0.0,0,9,0.0,0.48,70.0,27,10.0,7,26.39,0.08
1,11,1,0,1,19.0,19.0,0,0.0,0,9,3.0,0.51,70.0,22,10.0,7,26.39,0.15
1,11,1,0,1,19.0,19.0,0,0.0,0,9,6.9,0.51,70.0,20,10.0,1,26.35,0.0
1,11,1,0,1,19.0,19.0,0,0.0,0,9,9.9,0.57,70.0,22,10.0,4,26.35,0.13
1,9,1,0,6,35.0,35.0,1,10.0,7,6,2.39,0.19,58.1,22,5.97,7,26.0,0.71
1,9,1,0,6,35.0,35.0,1,10.0,7,6,14.32,0.19,58.1,39,5.97,6,26.0,0.72
1,9,1,0,6,35.0,35.0,1,10.0,7,6,26.25,0.19,58.1,39,5.97,6,26.0,0.6
1,9,1,0,6,42.08,23.1,1,3.77,7,6,4.81,1.42,64.26,39,0.79,6,20.46,1.0
3,5,0,1,7,35.0,0.0,2,0.0,0,7,3.02,1.0,66.85,22,0.0,7,18.23,0.63
3,5,0,1,7,35.0,0.0,2,0.0,0,7,6.06,1.0,67.02,11,0.0,8,18.23,0.71
3,5,0,1,7,35.0,0.0,2,0.0,0,7,8.87,1.0,66.18,11,0.0,8,20.05,0.7
3,5,0,1,7,35.0,0.0,2,0.0,0,7,11.88,1.0,66.32,11,0.0,8,19.55,0.74
1,11,1,0,6,34.0,34.0,1,30.0,8,8,0.0,0.06,60.0,27,0.0,7,20.87,0.35
1,11,1,0,6,34.0,34.0,1,30.0,8,8,7.5,0.06,60.0,39,0.0,7,19.98,0.73
1,11,1,0,6,34.0,34.0,1,30.0,8,8,7.5,0.06,60.0,36,0.0,7,20.24,0.38
1,11,1,0,6,34.0,34.0,1,30.0,8,8,7.5,0.06,60.0,19,0.0,1,20.3,0.48
1,11,0,1,6,42.08,23.1,0,3.77,0,12,4.81,1.42,64.26,27,0.79,7,20.46,1.3
1,11,0,1,6,42.08,23.1,0,3.77,0,12,4.81,1.42,64.26,23,0.79,7,20.46,1.82
3,11,0,1,6,112.0,0.0,2,0.0,0,12,0.0,1.24,64.9,27,0.0,7,15.75,1.52
3,11,0,1,6,112.0,0.0,2,0.0,0,12,2.82,1.63,64.5,23,0.0,7,13.04,2.19
1,10,1,0,3,54.0,54.0,0,0.0,0,7,0.0,0.08,65.0,27,0.05,7,25.0,1.75
1,10,1,0,3,54.0,54.0,0,0.0,0,7,5.0,0.08,65.0,1,0.05,7,25.0,1.67
1,4,1,0,5,21.0,21.0,1,1.0,2,2,0.0,0.05,61.72,27,0.17,7,12.7,2.12
1,19,1,0,6,40.0,30.0,1,30.0,9,6,0.0,0.11,64.55,27,7.69,7,16.54,0.58
1,19,1,0,6,40.0,30.0,1,30.0,9,6,6.0,0.11,63.56,36,7.32,7,16.4,0.47
1,19,1,0,6,40.0,30.0,1,30.0,9,6,15.0,0.05,62.07,33,6.82,7,15.97,0.71
1,19,1,0,6,40.0,30.0,1,30.0,9,6,1.46,0.11,65.17,38,7.79,7,16.35,0.65
1,19,1,0,5,56.0,56.0,1,0.0,0,11,0.0,0.13,55.0,27,1.11,7,25.02,0.78
1,19,1,0,5,56.0,56.0,1,0.0,0,11,2.0,0.13,55.0,5,1.11,7,25.09,1.23
1,19,1,0,5,56.0,56.0,1,0.0,0,11,4.0,0.13,55.0,5,1.11,7,25.0,1.31
1,19,1,0,5,56.0,56.0,1,0.0,0,11,6.0,0.13,55.0,5,1.11,7,23.99,1.39
1,19,1,0,5,56.0,56.0,1,0.0,0,11,8.0,0.13,55.0,5,1.11,7,22.32,1.54
1,19,1,0,5,56.0,56.0,1,0.0,0,11,12.0,0.13,55.0,5,1.11,7,21.14,1.42
1,19,1,0,5,56.0,56.0,1,0.0,0,11,18.0,0.13,55.0,5,1.11,7,20.4,1.4
1,5,1,0,1,25.0,25.0,0,0.0,0,17,0.0,0.03,66.0,27,0.82,7,17.0,1.4
1,1,1,0,6,35.0,35.0,0,0.0,0,4,0.0,0.06,69.2,27,0.3,7,18.4,0.26
1,1,1,0,6,35.0,35.0,0,0.0,0,4,1.64,0.06,69.2,15,0.3,3,18.4,0.23
1,1,1,0,6,35.0,35.0,0,0.0,0,4,1.64,0.06,69.2,16,0.3,5,18.4,0.32
1,1,1,0,6,35.0,35.0,0,0.0,0,4,1.64,0.06,69.2,6,0.3,5,18.4,0.21
1,1,1,0,6,35.0,35.0,0,0.0,0,4,1.64,0.06,69.2,15,0.3,5,18.4,0.13
1,13,1,0,5,50.0,50.0,1,20.0,5,7,0.0,0.29,67.71,27,0.11,7,21.24,0.56
1,13,1,0,5,50.0,50.0,1,20.0,5,7,12.0,0.29,66.08,5,0.23,7,21.21,0.82
3,11,0,2,6,82.0,0.0,2,0.0,0,15,1.38,5.46,63.7,22,0.0,7,15.4,0.3
3,11,0,2,6,82.0,0.0,2,0.0,0,15,9.64,5.46,63.7,5,0.0,6,17.51,0.21
3,11,0,1,6,81.0,0.0,2,0.0,0,18,0.0,16.0,65.0,27,0.0,7,14.42,0.05
3,11,0,1,6,81.0,0.0,2,0.0,0,19,8.8,16.0,65.0,5,0.0,7,15.15,0.62
3,15,0,1,0,50.0,0.0,2,0.0,0,9,0.0,0.06,60.6,27,0.0,7,22.5,1.45
3,15,0,1,0,50.0,0.0,2,0.0,0,9,25.49,0.06,60.1,13,0.0,7,23.4,1.11
1,19,1,0,6,30.0,30.0,0,0.0,0,6,0.0,0.12,66.11,27,2.57,7,17.58,0.24
1,19,1,0,6,30.0,30.0,0,0.0,0,6,5.0,0.12,66.23,2,2.57,7,23.76,0.33
1,19,1,0,6,30.0,30.0,0,0.0,0,6,10.0,0.12,62.65,2,2.57,7,16.93,0.34
1,19,1,0,6,30.0,30.0,0,0.0,0,6,20.0,0.12,58.41,2,2.57,7,18.93,0.32
1,19,1,0,6,30.0,30.0,0,0.0,0,6,1.0,0.12,66.85,7,2.57,7,25.51,0.35
3,10,0,2,6,26.0,0.0,2,0.0,0,7,0.0,1.2,65.0,27,0.0,7,22.46,0.68
3,10,0,2,6,26.0,0.0,2,0.0,0,7,15.68,1.2,65.0,5,0.0,7,24.97,0.42
3,10,0,2,6,26.0,0.0,2,0.0,0,7,31.36,1.2,65.0,5,0.0,7,26.48,0.47
3,10,0,2,6,42.08,23.1,2,3.77,0,7,4.81,1.42,64.26,5,0.79,7,20.46,0.77
0,4,1,0,3,21.0,21.0,1,10.0,8,0,0.0,0.1,58.88,27,0.2,7,14.95,0.04
0,4,1,0,3,21.0,21.0,1,10.0,8,0,0.25,0.1,58.85,35,0.2,7,15.05,0.05
0,4,1,0,3,21.0,21.0,1,10.0,8,0,5.25,0.1,57.52,35,0.2,7,13.83,0.05
0,4,1,0,3,21.0,21.0,1,10.0,8,0,5.0,0.1,57.52,22,0.2,7,13.15,0.1
1,1,1,0,6,35.0,0.0,0,0.0,0,6,0.0,0.06,69.2,27,0.25,7,18.43,0.28
1,1,1,0,6,35.0,0.0,0,0.0,0,6,8.87,0.06,63.46,15,0.25,4,18.43,0.13
1,1,1,0,6,35.0,0.0,0,0.0,0,6,4.0,0.06,65.48,36,0.25,7,18.43,0.05
1,1,1,0,6,35.0,0.0,0,0.0,0,6,8.87,0.06,63.46,15,0.25,7,18.43,0.19
0,11,1,0,5,42.08,23.1,1,3.77,10,0,4.81,1.42,64.26,27,0.79,7,20.46,0.98
0,5,1,0,5,42.08,23.1,1,3.77,10,0,4.81,1.42,64.26,5,0.79,7,20.46,0.66
0,11,1,0,5,42.08,23.1,1,3.77,10,0,4.81,1.42,64.26,5,0.79,7,20.46,0.58
1,19,1,0,6,50.0,50.0,0,0.0,0,9,0.0,0.1,55.0,27,0.3,7,25.0,1.27
1,19,1,0,6,50.0,50.0,0,0.0,0,9,10.0,0.1,61.49,5,0.3,7,24.25,1.24
1,19,1,0,6,50.0,50.0,0,0.0,0,9,20.0,0.1,60.71,5,0.3,10,18.55,1.04
1,19,1,0,6,50.0,50.0,0,0.0,0,9,20.5,0.1,59.46,5,0.3,10,18.55,0.95
1,19,1,0,6,50.0,50.0,0,0.0,0,9,21.0,0.1,59.72,5,0.3,10,18.55,0.89
1,19,1,0,6,50.0,50.0,0,0.0,0,9,22.0,0.1,59.72,5,0.3,10,17.95,0.83
3,5,0,2,6,52.0,0.0,2,0.0,0,13,0.0,4.93,65.0,27,0.0,7,16.75,1.08
3,5,0,2,6,52.0,0.0,2,0.0,0,13,23.0,6.64,65.0,5,0.0,7,24.09,1.64
3,5,0,2,6,42.08,23.1,2,3.77,0,13,4.81,1.42,64.26,5,0.79,7,20.46,1.37
0,3,1,0,5,32.0,32.0,0,0.0,0,0,0.0,0.1,75.32,27,0.78,7,17.96,1.45
0,3,1,0,5,32.0,32.0,0,0.0,0,0,0.0,0.1,69.37,27,0.49,7,17.83,1.53
