Aeration method,Material_2,M1_is Enclosed,Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final GI (%)
3,10,1,0,5,56.0,0.0,2,0.0,0,0,10.0,0.13,62.23,2,0.0,11,19.32,93.15
1,5,1,0,4,45.0,45.0,1,17.0,3,17,0.0,2.4,55.0,22,6.67,11,30.49,98.92
1,5,1,0,4,45.0,45.0,1,17.0,3,17,0.44,2.4,55.0,1,6.67,11,29.15,120.63
1,5,1,0,4,45.0,45.0,1,17.0,3,17,0.44,2.4,55.0,24,6.67,11,31.29,114.16
1,1,1,0,3,30.0,30.0,0,0.0,0,3,0.0,0.06,60.6,22,0.2,11,20.0,93.06
1,1,1,0,3,30.0,30.0,0,0.0,0,3,2.14,0.06,55.85,17,0.2,4,17.3,100.3
1,1,1,0,3,30.0,30.0,0,0.0,0,3,3.2,0.06,55.58,27,0.2,11,19.82,106.06
1,1,1,0,3,30.0,30.0,0,0.0,0,3,2.22,0.06,55.85,9,0.2,11,17.3,90.99
1,1,1,0,3,30.0,30.0,0,0.0,0,3,2.54,0.06,55.58,3,0.2,11,19.82,80.35
1,7,1,0,6,34.0,34.0,1,30.0,7,7,0.0,0.06,60.0,22,0.0,11,20.87,75.77
1,7,1,0,6,34.0,34.0,1,30.0,7,7,7.5,0.06,60.0,29,0.0,11,19.98,84.54
1,7,1,0,6,34.0,34.0,1,30.0,7,7,7.5,0.06,60.0,27,0.0,11,20.24,77.85
1,7,1,0,6,34.0,34.0,1,30.0,7,7,7.5,0.06,60.0,17,0.0,4,20.3,94.46
1,7,1,1,6,42.08,23.1,0,3.77,0,7,4.81,1.42,64.26,22,0.79,11,20.46,70.46
1,7,1,1,6,56.0,28.0,0,0.0,0,7,8.48,0.4,65.0,4,0.0,11,23.17,83.68
