Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final TN (%)
3,21,1,0,5,19.0,0.0,2,0.0,0,0,4.4,2.39,64.17,21,0.0,4,13.42,3.07
3,21,1,0,5,19.0,0.0,2,0.0,0,0,8.8,2.22,63.52,21,0.0,4,13.42,3.09
3,21,1,0,5,19.0,0.0,2,0.0,0,0,13.2,0.55,65.43,21,0.0,4,13.42,3.05
3,21,1,0,5,19.0,0.0,2,0.0,0,0,17.8,2.22,64.93,21,0.0,4,13.42,3.15
3,21,1,0,5,19.0,0.0,2,0.0,0,0,22.0,2.12,62.34,21,0.0,4,13.42,3.24
3,21,1,0,5,19.0,0.0,2,0.0,0,0,3.4,2.39,64.17,21,0.0,4,13.42,3.09
3,21,1,0,5,19.0,0.0,2,0.0,0,0,6.9,2.48,63.39,21,0.0,4,13.42,3.11
3,21,1,0,5,19.0,0.0,2,0.0,0,0,10.3,1.61,63.96,21,0.0,4,13.42,3.26
3,21,1,0,5,19.0,0.0,2,0.0,0,0,13.7,0.55,65.43,21,0.0,4,13.42,3.09
3,21,1,0,5,19.0,0.0,2,0.0,0,0,17.2,2.22,64.93,21,0.0,4,13.42,3.22
3,21,1,0,5,19.0,0.0,2,0.0,0,0,2.5,2.39,64.27,21,0.0,4,13.42,3.24
3,21,1,0,5,19.0,0.0,2,0.0,0,0,5.0,2.39,64.19,21,0.0,4,13.42,3.27
3,21,1,0,5,19.0,0.0,2,0.0,0,0,7.4,2.48,63.39,21,0.0,4,13.42,3.28
3,21,1,0,5,19.0,0.0,2,0.0,0,0,10.0,1.61,64.51,21,0.0,4,13.42,3.28
3,21,1,0,5,19.0,0.0,2,0.0,0,0,12.4,0.55,65.43,21,0.0,4,13.42,3.24
1,1,1,0,7,35.0,35.0,0,0.0,0,4,0.0,0.06,70.4,30,0.38,12,20.3,2.61
1,1,1,0,7,35.0,35.0,0,0.0,0,4,4.56,0.06,65.46,21,0.38,4,20.24,2.65
1,1,1,0,7,35.0,35.0,0,0.0,0,4,6.48,0.06,64.96,21,0.38,14,19.09,2.68
1,14,0,1,7,56.0,21.0,0,0.0,0,5,0.0,0.4,66.4,30,0.33,12,20.16,1.4
1,14,0,1,7,56.0,21.0,0,0.0,0,5,8.53,0.4,64.9,3,0.33,12,24.79,1.5
1,14,0,1,7,56.0,21.0,0,0.0,0,5,16.53,0.4,63.7,3,0.33,12,26.77,1.67
1,14,0,1,7,56.0,21.0,0,0.0,0,5,23.94,0.4,62.4,3,0.33,12,25.76,1.74
1,14,1,0,7,42.08,23.1,0,3.77,0,6,4.81,1.42,64.26,30,0.79,12,20.46,2.4
1,14,1,0,7,42.08,23.1,0,3.77,0,6,4.81,1.42,64.26,27,0.79,12,20.46,2.86
1,14,1,0,7,51.0,51.0,1,0.25,2,1,13.35,0.03,60.63,34,2.16,12,31.18,2.11
1,14,1,0,7,51.0,51.0,1,0.25,2,1,10.25,0.03,64.91,13,2.3,12,16.27,2.47
1,14,1,0,7,51.0,51.0,1,0.25,2,1,0.0,0.03,61.89,30,4.51,12,29.5,2.18
3,7,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,30,0.79,12,20.46,1.37
3,7,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,14,0.79,12,20.46,1.33
3,7,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,14,0.79,12,20.46,1.38
3,7,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,14,0.79,12,20.46,1.23
3,7,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,36,0.79,12,20.46,1.42
3,7,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,36,0.79,12,20.46,1.2
3,7,0,2,0,42.08,23.1,2,3.77,0,5,4.81,1.42,64.26,36,0.79,12,20.46,1.22
0,14,1,0,6,16.0,16.0,0,0.0,0,0,0.0,0.1,61.7,30,0.23,12,16.64,2.7
0,14,1,0,6,14.0,14.0,0,0.0,0,0,10.0,0.1,64.2,10,0.23,12,18.2,2.6
1,14,1,0,7,18.0,18.0,0,0.0,0,2,0.0,0.01,63.74,30,0.31,12,12.3,2.93
1,14,1,0,7,18.0,18.0,0,0.0,0,2,2.05,0.01,63.74,39,0.31,12,12.92,3.06
0,22,1,0,0,15.0,15.0,0,0.0,0,0,0.0,0.17,70.5,30,0.29,12,26.0,1.95
0,22,1,0,0,15.0,15.0,0,0.0,0,0,3.63,0.17,71.0,26,0.29,12,17.7,1.95
0,22,1,0,0,15.0,15.0,0,0.0,0,0,7.31,0.17,71.5,26,0.29,12,19.39,2.05
0,22,1,0,0,15.0,15.0,0,0.0,0,0,9.98,0.17,69.0,26,0.27,12,30.0,1.85
0,22,1,0,0,15.0,15.0,0,0.0,0,0,0.0,0.17,70.0,30,0.26,12,18.24,2.62
0,22,1,0,0,15.0,15.0,0,0.0,0,0,13.1,0.17,71.8,31,0.28,12,19.25,2.28
0,22,1,0,0,15.0,15.0,0,0.0,0,0,24.37,0.17,69.6,31,0.26,12,22.23,2.52
0,22,1,0,0,42.08,23.1,0,3.77,0,0,4.81,1.42,64.26,31,0.79,12,20.46,2.1
0,22,1,0,0,15.0,6.0,0,0.0,0,0,0.0,0.17,70.6,30,0.29,12,17.43,2.03
0,22,1,0,0,15.0,6.0,0,0.0,0,0,3.1,0.17,70.8,29,0.29,11,15.34,2.06
