Additive_2,Application Rate (%DW),Period (d),Material_2,V1_Ventilation Type,Initial Moisture Content (%),Compost volume (m3),Additive_3,Initial pH,Material_3,V2_Ventilation Interval (min),Initial C/N (%),V5_Ventilation rate (L/min/kg iniDW),V3_Ventilation Duration (min),Turning times,Additive_1,Material_Main,Initial GI (%),M1_is Enclosed,Additive_4,V4_Ventilation Day, Composting Method,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
3.0,6.811996840286358,53.0,4.0,1.0,65.13340261676407,2.147162565177521,4.0,9.193350042805893,4.0,750.0,35.937168311436224,3.0091430315739065,19.89782617057301,11.0,28.0,0,27.32884658064516,0.0,1.0,46.0,1.0,1.596639959668374,57.3787189633671,102.145508,1.389801406026248,0.673369824886322,0.16696323495906756,26.106363321116113
6.0,3.591553680320791,98.0,6.0,1.0,66.36884761142178,2.147162565177521,4.0,6.258775610917464,9.0,1201.0,24.80601283824561,5.725473270259604,8.385755726379031,14.0,4.0,0,27.32884658064516,1.0,1.0,49.0,0.0,1.596639959668374,39.60627133758964,100.51975300000002,8.56813654335901,1.4117385149002075,0.20071489823177938,23.7437345044743
8.0,0.5641089473739169,37.0,6.0,1.0,56.53814212053649,2.147162565177521,4.0,7.847223060690727,4.0,1333.0,32.11088177716642,5.951610308736214,34.007656125376556,0.0,36.0,0,27.328846580645163,1.0,1.0,36.0,0.0,1.596639959668374,51.26951698561092,103.58101500000001,6.23605542673008,0.3404540419578552,0.19050883782992367,25.20483871188586
8.0,3.260583080733861,57.0,5.0,1.0,48.893987165547806,2.147162565177521,4.0,6.342322276302282,3.0,557.0,31.90170619967215,5.045179983200714,11.558109060155168,10.0,25.0,0,27.32884658064516,1.0,1.0,35.0,0.0,1.3780532705880737,51.376005442363486,101.356295,1000000.0,1000000.0,1000000.0,1000000.0
2.0,1.8809119247262218,129.0,3.0,1.0,78.2921914914169,2.147162565177521,4.0,5.0407059135639845,3.0,261.0,32.18984006837927,8.689176787251752,16.488059110845505,5.0,34.0,0,27.32884658064516,0.0,1.0,81.0,1.0,1.596639959668374,51.395584948508485,100.71665099999998,2.1809686688841126,0.5015853643417358,0.16517927084075057,22.841827085034485
9.0,4.79350023238558,34.0,14.0,1.0,74.57849562390464,2.147162565177521,4.0,6.116440320920118,9.0,849.0,23.08552984792915,0.6574399118832908,20.94545532241832,1.0,24.0,0,27.32884658064516,0.0,1.0,33.0,1.0,1.596639959668374,36.85927944532064,103.198871,1.823472336535696,1.1342442035675049,0.194444378486788,24.14169814493932
3.0,5.322789828834648,109.0,14.0,0.0,45.09769001001898,2.147162565177521,4.0,5.479100946846179,2.0,0.0,44.8894987572861,8.164310763827313,0.27007550861049445,0.0,38.0,0,27.32884658064516,0.0,1.0,72.0,1.0,1.596639959668374,71.6723674853668,102.42728100000002,0.6365475028020011,0.6760632991790771,0.18733831477275448,25.316723078879658
2.0,4.1001024230096075,121.0,3.0,1.0,68.72075795180717,2.147162565177521,4.0,6.67314873333245,9.0,196.0,16.634657788616288,7.255678090483921,8.674885174221398,4.0,18.0,0,27.32884658064516,1.0,1.0,66.0,1.0,1.596639959668374,26.559559340713513,101.36225999999999,4.339645623097282,1.4501925706863403,0.19616160050061104,23.876244549325218
5.0,3.5664540309685333,116.0,13.0,1.0,81.3147924681753,2.147162565177521,4.0,9.988448725665146,5.0,1041.0,6.4204448171073025,2.642421485643009,44.154927724084374,22.0,34.0,0,27.32884658064516,1.0,1.0,41.0,0.0,1.596639959668374,10.251138753839225,101.969783,5.01158246638251,1.5653778314590454,0.16306428748425672,25.07330956796714
5.0,4.785474961348696,36.0,5.0,1.0,48.29322004960206,2.147162565177521,4.0,8.0969459221451,9.0,504.0,8.591792662813178,1.8386884035153745,26.51816917075383,20.0,36.0,0,27.32884658064516,1.0,1.0,33.0,1.0,1.596639959668374,13.717999490633066,105.37895000000002,4.940136822338094,1.4434611797332764,0.15970700788599668,26.45865816096379
0.0,0.48147089056341386,37.0,14.0,1.0,67.45819758698673,2.147162565177521,4.0,5.252046019259609,4.0,1146.0,5.335035593474488,2.7425519696552128,31.70270827151274,14.0,37.0,0,27.452738032462232,0.0,1.0,35.0,1.0,1.9016092798058724,8.518131014794445,104.86082999999999,1000000.0,1000000.0,1000000.0,1000000.0
5.0,2.693037188888936,47.0,0.0,1.0,60.78606129837214,2.147162565177521,4.0,7.092803492737719,3.0,34.0,16.785778917966347,1.4098643714777048,16.301896592800162,28.0,4.0,0,27.32884658064516,0.0,1.0,34.0,2.0,1.596639959668374,26.800845374584032,103.47735000000003,2.5356075825887308,1.3134410381317139,0.18082693147821194,26.14740324642885
2.0,3.23720843010944,116.0,3.0,1.0,80.09816754559779,2.147162565177521,4.0,9.515280789478034,4.0,1383.0,40.61035184037858,0.3322567489963313,40.719789634364844,22.0,28.0,0,27.32884658064516,0.0,1.0,66.0,2.0,1.596639959668374,64.84011052454053,102.73241699999998,3.013669998203951,0.8021440505981445,0.14931612725681537,23.284043562035603
7.0,0.051505469351794675,42.0,0.0,1.0,69.69870277122489,2.147162565177521,4.0,5.007292216342096,3.0,1211.0,34.17702748274939,3.3503936673022174,5.304943400986819,30.0,20.0,0,27.32884658064516,1.0,1.0,32.0,1.0,1.596639959668374,54.332146705998696,103.905274,6.012833545923175,0.4358856976032257,0.21943078173168765,1000000.0
1.0,3.5305097705735533,54.0,14.0,1.0,72.27156440136078,2.147162565177521,4.0,6.802943112026947,5.0,280.0,8.734824007324052,1.2667050559611581,35.441962427513594,16.0,21.0,0,27.32884658064516,1.0,1.0,36.0,1.0,1.596639959668374,13.94636905076422,102.94023800000001,6.829500159055526,0.5343460440635681,0.19859604785637558,26.916984419160972
5.0,4.594736383407469,61.0,12.0,1.0,81.6994396874866,2.147162565177521,4.0,8.245439959798905,2.0,49.0,12.03533255646941,2.7310283507094244,26.412367605038376,10.0,21.0,0,27.32884658064516,1.0,1.0,57.0,0.0,1.596639959668374,19.216092887556787,102.08050099999998,3.3938540348178248,1.572625756263733,0.2059079492076124,26.420306929965406
6.0,3.558784379597404,35.0,0.0,1.0,63.04999424008722,2.147162565177521,4.0,11.5612634833705,4.0,263.0,34.13088067165619,1.5177778053506183,42.353288379211584,14.0,20.0,0,27.32884658064516,1.0,1.0,30.0,0.0,1.596639959668374,54.49472793903923,103.30340400000003,6.175885065661187,0.7784677147865295,0.20218515148045535,25.549017458937982
8.0,1.4254328772128277,36.0,6.0,1.0,73.16980209897629,2.147162565177521,4.0,5.735093104476839,4.0,1012.0,33.071981779086975,9.60950338421178,51.61384409118547,11.0,20.0,0,27.328846580645163,0.0,1.0,35.0,1.0,1.596639959668374,52.80404765391463,104.52899800000003,3.41189637052229,0.4367488622665405,0.19398175464506598,25.64190374852597
0.0,3.0656056310826427,38.0,13.0,1.0,63.26953963751904,2.147162565177521,4.0,7.595428463477113,4.0,563.0,16.474964004586035,5.553328663019068,17.22734381190221,29.0,34.0,0,27.32884658064516,1.0,1.0,33.0,1.0,1.596639959668374,26.30458586382016,104.95701300000005,5.097336959467007,0.8402031660079956,0.15658098145238966,28.76215337143374
2.0,5.70109146621555,35.0,8.0,1.0,67.43195663071388,2.147162565177521,4.0,10.341814483545605,9.0,1363.0,39.17704896221667,3.260974159207331,19.50792274195622,17.0,33.0,0,27.32884658064516,1.0,1.0,32.0,0.0,1.596639959668374,62.55164187495954,102.28663400000003,5.225456952974031,0.5739635825157166,0.16795439200902065,27.50243274102255
6.0,5.557639750727247,63.0,12.0,1.0,78.17398040702776,2.147162565177521,4.0,9.099477950618498,0.0,234.0,22.348309762788926,1.4501726418506824,9.057565041341991,10.0,37.0,0,27.32884658064516,1.0,1.0,30.0,0.0,1.596639959668374,35.68220439831564,101.850705,3.9680970333220396,1.2247931957244873,0.20486089231996943,24.152977359392544
8.0,3.052504102713219,42.0,5.0,1.0,77.91232090493416,2.147162565177521,4.0,11.500388190096377,3.0,1224.0,25.424533214543057,3.897314323315543,43.62027011258637,16.0,38.0,0,27.32884658064516,0.0,1.0,39.0,1.0,1.596639959668374,40.593825686255265,101.94999600000001,2.595122528694481,1.5625295639038086,0.17311841098140066,24.26789634532743
2.0,3.4623217476589048,124.0,8.0,1.0,70.07891570587317,2.147162565177521,4.0,5.886631149245373,4.0,382.0,45.32083960285536,6.670363972562525,0.36511863734948413,5.0,17.0,0,27.328846580645163,0.0,1.0,67.0,2.0,1.596639959668374,72.36106351563984,104.07821000000001,3.4489788637593866,0.630202054977417,0.15473676265797426,1000000.0
0.0,4.693780492579458,72.0,5.0,1.0,80.87811333099809,2.147162565177521,4.0,6.085476849885717,0.0,583.0,15.005237512533569,1.5355488108314086,52.41352461432188,23.0,28.0,0,27.328846580645163,1.0,1.0,38.0,0.0,1.596639959668374,23.95796181682597,102.90954999999998,2.2205583486486358,0.4886055588722229,0.18115989931571921,23.795493367523193
1.0,6.924300685404092,89.0,2.0,1.0,69.71389194342218,2.147162565177521,4.0,5.263605224104158,3.0,46.0,8.275206182669761,1.7489001437374974,4.36387329828907,26.0,36.0,0,27.32884658064516,1.0,1.0,71.0,2.0,1.596639959668374,13.212524865745326,101.57632399999999,4.016066714438864,0.7427850365638733,0.1637280491725556,25.060756696748122
1.0,6.772652305022826,100.0,8.0,1.0,45.38002073263132,2.147162565177521,4.0,8.35141094606436,0.0,839.0,38.05377269145063,8.538954899089132,0.1367670524374054,10.0,2.0,0,27.328846580645163,0.0,1.0,57.0,1.0,1.596639959668374,60.75817409530721,101.90500400000005,1.3428064411385527,0.1673801690340042,0.16343541588426558,23.695899447699812
6.0,3.377842932776291,102.0,14.0,1.0,52.49535404674249,2.147162565177521,4.0,5.910613028496959,3.0,1206.0,7.050431666913049,0.8709101466473024,31.888185809175628,3.0,10.0,0,27.328846580645163,1.0,1.0,37.0,0.0,1.596639959668374,11.257000932304678,101.402532,4.84334393934342,1.5623931884765625,0.13005910544710336,24.230901570689635
9.0,5.765481594311547,36.0,14.0,1.0,48.14184568179631,2.147162565177521,4.0,11.413452702960864,4.0,544.0,34.55944305048472,7.343367173546065,52.89363302699772,15.0,15.0,0,27.32884658064516,1.0,1.0,35.0,0.0,1.596639959668374,55.178987758287384,101.62875400000001,3.6395020786832415,0.5094062089920044,0.1556186539102829,27.315172236922102
1.0,5.316072999491656,120.0,12.0,1.0,66.29320264216881,2.147162565177521,4.0,11.222710638507259,3.0,565.0,22.17957033661484,1.305923203645356,30.93819139387713,10.0,23.0,0,27.32884658064516,1.0,1.0,45.0,0.0,1.596639959668374,35.412788287714584,101.29298499999997,3.625753677688888,0.7479050159454346,0.1721565584743072,27.217190395290345
13.0,0.653622256776395,89.0,0.0,1.0,76.52677713158346,2.147162565177521,4.0,4.637555697781865,0.0,130.0,11.973027079404186,0.49983070810333374,0.2411652769496797,24.0,19.0,0,27.32884658064516,1.0,1.0,35.0,0.0,1.596639959668374,19.11661347316825,103.14343699999998,4.957884131471366,0.9106094837188721,0.18740888359616953,23.514241487722153
8.0,4.651040605893825,66.0,5.0,1.0,61.83872089480313,2.147162565177521,4.0,7.01684986679919,2.0,136.0,12.811755394301883,2.856049406099145,45.57177332071993,5.0,16.0,0,27.32884658064516,1.0,1.0,40.0,1.0,1.596639959668374,20.455760616039232,101.19850399999997,1.7417194225931822,1.5991266965866089,0.1983251508777029,23.175527306213016
2.0,2.17200622471986,39.0,12.0,1.0,66.0124875655087,2.147162565177521,4.0,9.968392205291973,4.0,723.0,19.62470808665372,5.240962685782012,52.56392874635949,22.0,25.0,0,27.32884658064516,0.0,1.0,39.0,1.0,2.1701629446765174,31.333593127978414,103.88218300000003,1000000.0,1000000.0,1000000.0,1000000.0
7.0,1.40349606277237,41.0,4.0,1.0,68.06012191518235,2.147162565177521,4.0,9.947875754851975,2.0,454.0,38.631801469703845,9.92784124062404,0.46282651485355747,26.0,19.0,0,27.32884658064516,1.0,1.0,37.0,0.0,1.596639959668374,61.68107794050458,106.14661200000002,5.31539926121741,0.45354560017585754,0.21504367287630444,28.091463818932166
