V3_Ventilation Duration (min),Initial C/N (%), Composting Method,Initial GI (%),V4_Ventilation Day,M1_is Enclosed,V2_Ventilation Interval (min),Initial Moisture Content (%),Application Rate (%DW),Additive_1,Material_Main,Additive_2,Turning times,Initial pH,V5_Ventilation rate (L/min/kg iniDW),Additive_4,Period (d),Material_2,Material_3,Additive_3,Compost volume (m3),V1_Ventilation Type,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
22.043870938262494,41.045401697063426,1.0,27.32884658064516,67.0,1.0,1409.0,49.37841374747968,2.5467687605199485,16.0,2,12.0,13.0,7.7793462153399755,1.1492011293917992,1.0,75.0,3.0,4.0,4.0,0.06,1.0,1.775,72.85558801228758,98.977427,8.414254071252504,0.8445119261741638,0.15644341672059114,25.868968309729972
29.986118235684252,5.4813733018026225,0.0,27.32884658064516,15.0,1.0,0.0,55.9753835805829,1.4467001532424963,18.0,2,7.0,2.0,8.643205970532387,0.8727230674923336,1.0,38.0,4.0,4.0,4.0,0.06,0.0,1.775,9.729437610699655,102.27360300000002,6.634116492085515,1.0099209547042847,0.17098728954727563,23.14506986906228
0.0,5.718402163035792,1.0,27.32884658064516,0.0,0.0,0.0,53.77213402830448,1.0198697380396389,33.0,2,10.0,15.0,5.6099453729863455,0.0,1.0,82.0,0.0,9.0,4.0,0.06,2.0,1.775,10.150163839388531,102.782942,5.437692248469117,0.6920496225357056,0.15489808025812835,22.920541333348982
0.0,5.965646129396831,2.0,27.32884658064516,0.0,0.0,0.0,44.316480055038234,2.593390783570505,6.0,2,5.0,17.0,6.142498308079152,0.0,1.0,51.0,2.0,4.0,4.0,0.06,2.0,1.775,10.912331984187055,101.63861800000002,7.2381797308349265,0.5585304498672485,0.12555024547639748,1000000.0
58.78851380939162,6.1588789958202845,2.0,27.32884658064516,44.0,0.0,0.0,64.93566882013859,4.966574809776452,4.0,2,11.0,21.0,6.949462028186902,3.452827308860468,1.0,123.0,4.0,4.0,4.0,0.06,0.0,1.775,10.932010217581004,100.139264,9.129700236507494,1.2080153226852417,0.16697103756863288,25.422306345784015
53.61922237540762,14.536265031574711,0.0,27.32884658064516,0.0,1.0,1403.0,49.13484036900842,2.9050545781883743,37.0,2,5.0,18.0,4.806358888674625,6.117285513147088,1.0,35.0,0.0,4.0,4.0,0.06,1.0,1.775,25.80187043104511,98.991702,6.073968395987558,1.047105073928833,0.13841561294946225,27.384859893752314
25.218164210194242,5.881753340201916,2.0,27.32884658064516,48.0,0.0,139.0,67.34113636189318,3.5406633356739015,33.0,2,11.0,21.0,9.947823670456714,0.46981756271442954,1.0,72.0,2.0,4.0,4.0,0.06,1.0,1.775,10.440112178858401,100.078898,9.129700236507494,1.1994662284851074,0.14628779318854426,27.04498243728282
5.602800748346153,5.984097600285137,0.0,27.328846580645163,42.0,1.0,0.0,45.02544870630353,2.4539142646274685,31.0,2,15.0,7.0,11.461685048829327,5.1798942726495225,1.0,99.0,3.0,3.0,4.0,0.06,0.0,1.775,11.510700090425342,103.53654200000003,7.584243868188251,1.1130812168121338,0.18155318768123804,1000000.0
39.6289459507366,5.447994359420724,1.0,27.32884658064516,56.0,0.0,227.0,70.03567926120601,5.48972702109555,24.0,2,15.0,16.0,6.417595506581578,5.498836699802288,1.0,65.0,3.0,0.0,4.0,0.06,1.0,1.775,9.670189987971785,100.48276700000001,2.723919446549588,1.2700343132019043,0.15939737824497538,27.085415550131614
59.04444496564495,5.131850823221562,0.0,27.32884658064516,0.0,1.0,594.0,57.10071012922071,1.3645673272153713,13.0,2,10.0,31.0,11.331131748148096,1.846514053450904,1.0,32.0,2.0,4.0,4.0,0.06,1.0,1.775,9.109035211218272,101.32807100000002,6.584754798837275,0.9895895719528198,0.14981197767650659,29.556711639989956
2.229760275848378,41.8197333111233,0.0,27.32884658064516,22.0,1.0,0.0,64.44640197474249,1.9217183238794255,15.0,2,5.0,5.0,4.659153362722813,3.1273890496081993,1.0,55.0,3.0,4.0,4.0,0.06,0.0,1.775,74.23002662724386,98.75373500000002,7.957036993285723,0.8694413304328918,0.26923180001992153,21.958966967794108
29.091182146916193,5.598567118707659,1.0,27.328846580645163,14.0,0.0,0.0,49.39776239696612,2.3292555972371947,23.0,2,1.0,12.0,10.17321025429821,5.406344683440118,1.0,99.0,5.0,5.0,4.0,0.06,0.0,1.775,9.937456635706093,101.27477400000002,8.041460946155025,0.9931448101997375,0.1523420232621193,24.10039022796022
1.5090878306252598,5.344198463775358,2.0,27.32884658064516,29.0,0.0,262.0,78.48417981076761,1.3597906148790218,30.0,2,8.0,30.0,7.701098901689303,5.716287483011527,1.0,29.0,2.0,4.0,4.0,0.06,1.0,1.775,9.48595227320126,101.55477900000004,7.16615938389755,1.0649107694625854,0.15653196332923633,25.249553620317563
0.0,7.183267284890752,0.0,27.32884658064516,0.0,1.0,0.0,50.559267055833274,0.1589947940817702,22.0,2,6.0,23.0,4.31933558070539,0.0,1.0,57.0,2.0,3.0,4.0,0.06,2.0,1.775,12.750299430681084,99.00811099999999,8.86123676033259,0.5907049179077148,0.1715968036561991,27.044381028737135
2.505075682011648,5.92011298716004,2.0,28.81131141818067,22.0,1.0,804.0,76.09861910897973,2.5585699749309487,36.0,2,0.0,1.0,8.674937066722835,6.054009620563741,1.0,63.0,3.0,9.0,4.0,0.06,1.0,1.775,9.271907665264049,102.08830900000001,7.584243868188251,1.0066639184951782,0.14442845195673024,1000000.0
36.80332959859265,6.127954943488251,2.0,27.32884658064516,50.0,1.0,0.0,58.60246569006445,0.557228476439422,10.0,2,6.0,4.0,7.6179810683450455,9.782136644102494,1.0,117.0,0.0,9.0,4.0,0.06,0.0,1.775,11.201510643517878,102.18387600000001,6.199406655723737,1.1303189992904663,0.17822696395813714,1000000.0
0.0,5.4525017223506635,0.0,27.32884658064516,0.0,1.0,0.0,64.90045355862219,2.3123684769090036,36.0,2,7.0,14.0,9.183344544208335,0.0,1.0,107.0,3.0,2.0,4.0,0.06,2.0,1.775,9.678190557172428,102.702139,6.288052354732185,0.494466632604599,0.1676860494872835,22.210126640716446
55.013888398925516,32.42464040878339,1.0,27.32884658064516,75.0,1.0,0.0,71.81086504260622,2.968822655605164,31.0,2,5.0,9.0,7.426970673782812,5.143586817968687,1.0,129.0,2.0,4.0,4.0,0.06,0.0,1.775,57.55373672559051,98.43085700000002,8.414254071252504,0.8359628319740295,0.21378539572460376,24.84032968457048
16.025520781101548,6.139940895620516,1.0,27.32884658064516,12.0,1.0,0.0,56.36797092640737,2.3738831554011393,24.0,2,2.0,9.0,9.88510724682832,4.250866470089846,1.0,75.0,0.0,4.0,4.0,0.06,0.0,1.775,12.71713248460095,102.92369800000002,6.199406655723737,1.0875015258789062,0.17084318153533676,1000000.0
0.0,5.89537910878307,1.0,27.32884658064516,0.0,0.0,0.0,46.53507327377163,0.9015994436622077,4.0,2,3.0,20.0,4.832224168649506,0.0,1.0,49.0,3.0,3.0,4.0,0.06,2.0,1.775,10.46429791808995,101.995158,7.2381797308349265,0.6138445138931274,0.1478160188310261,25.857695066792257
6.047582076934687,5.645490843036816,2.0,27.32884658064516,65.0,0.0,680.0,73.27828140651107,2.1862665520816305,30.0,2,8.0,13.0,4.5833838231333575,1.7942985298791425,1.0,74.0,14.0,9.0,4.0,0.06,1.0,1.775,10.020746246390347,98.20636499999999,7.584243868188251,1.0604002475738525,0.1723418184246549,28.276058204274186
9.958153487065786,5.029088210987163,1.0,27.328846580645163,48.0,1.0,624.0,62.94932298732459,0.0186347376110374,25.0,2,10.0,23.0,6.765864425435714,0.21294350148513363,1.0,70.0,3.0,5.0,4.0,0.06,1.0,1.775,9.50506930248793,102.52937700000003,7.165520722572368,1.0235874652862549,0.14484768739088796,1000000.0
25.761011399750803,6.9418190529727015,1.0,27.32884658064516,21.0,0.0,0.0,71.60520855620027,2.418635878405242,12.0,2,15.0,23.0,10.36889339998752,0.09117827988747162,1.0,31.0,3.0,0.0,4.0,0.06,0.0,1.775,12.321728819026545,100.62831300000002,3.8915760311476744,1.1006258726119995,0.16840158948730535,25.05810927186606
10.920322063644647,5.732898670841844,1.0,28.129719799486026,24.0,1.0,435.0,72.79960139544589,5.480483667691537,6.0,2,9.0,17.0,8.101798160270427,0.1866646196191557,1.0,55.0,0.0,0.0,4.0,0.06,1.0,1.775,10.175895140744272,99.70677099999999,1.2781960529856748,1.4208359718322754,0.16266266511188968,23.32472777198825
