Material_Main,Initial GI (%),Additive_2,Initial pH,V3_Ventilation Duration (min),Initial C/N (%),Material_3,Compost volume (m3),V4_Ventilation Day, Composting Method,Additive_1,Initial Moisture Content (%),Additive_3,M1_is Enclosed,Period (d),V1_Ventilation Type,Application Rate (%DW),Turning times,Material_2,Additive_4,V5_Ventilation rate (L/min/kg iniDW),V2_Ventilation Interval (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
3,27.32884658064516,11.0,11.460769294098998,0.0,29.56720882050145,9.0,0.0551315789473684,0.0,2.0,27.0,56.09799982443226,4.0,0.0,26.0,2.0,9.755799743329568,3.0,3.0,1.0,0.0,0.0,1.938857678018576,57.3266098392078,97.32748799999999,6.833191856595085,0.46669483184814453,0.18289572464568868,19.330426740574257
3,27.32884658064516,11.0,6.120829929371558,38.590091782283515,36.77924088523893,0.0,0.0551315789473684,5.0,2.0,12.0,66.16301742857831,4.0,0.0,58.0,0.0,8.208096633935579,4.0,3.0,1.0,9.481545029976473,0.0,1.938857678018576,71.30971358204022,94.46485100000001,7.88559197063705,1.1733660697937012,0.19036110740733803,17.425038206769262
3,27.32884658064516,15.0,11.28876126201369,0.0,26.952064214946386,3.0,0.0551315789473684,0.0,2.0,24.0,74.33657684340379,4.0,0.0,16.0,2.0,9.769063189171906,3.0,14.0,1.0,0.0,0.0,1.938857678018576,52.256216641598506,97.39427499999998,7.396786135597439,0.39887169003486633,0.1527459312382079,23.963074280270927
3,27.32884658064516,13.0,8.343490416560957,48.434649624487555,15.739096931693204,4.0,0.0551315789473684,29.0,1.0,19.0,55.31151549031368,4.0,0.0,74.0,1.0,6.793003713434379,4.0,12.0,1.0,0.9773128527976238,282.0,1.938857678018576,30.51586893109198,95.71081300000002,11.041246769314862,0.6742499470710754,0.11735601383150879,22.80192984951539
3,27.32884658064516,13.0,7.0414188957620745,11.004976054102109,32.77935583758279,4.0,0.0551315789473684,47.0,2.0,24.0,71.50052632933634,4.0,0.0,119.0,1.0,8.146181851052273,4.0,14.0,1.0,5.725893241272043,576.0,1.938857678018576,63.55450574620043,95.82849600000002,8.787514849541205,0.427408367395401,0.14263223322847635,21.0959633649575
3,27.32884658064516,3.0,7.683314420781171,24.55565755420007,23.67906900595026,0.0,0.0551315789473684,60.0,2.0,34.0,83.92658312134216,4.0,1.0,72.0,1.0,9.734640846555108,3.0,5.0,1.0,8.973613007512593,674.0,1.938857678018576,45.910344750518355,95.48012300000002,9.284702137168788,0.2393035739660263,0.15331539274304745,20.04746978475777
3,27.32884658064516,5.0,10.524489912556817,13.053416339548566,23.433746794201056,9.0,0.0551315789473684,50.0,1.0,14.0,49.52003400956085,4.0,1.0,130.0,1.0,9.825488103356506,4.0,5.0,1.0,0.5344651559240021,1077.0,1.938857678018576,45.43469989667991,95.73080900000002,8.37798488307225,0.6025004386901855,0.13826159442524993,20.257594250161063
3,27.32884658064516,7.0,9.245214107293808,0.0,15.865153007041421,4.0,0.0551315789473684,0.0,1.0,22.0,55.593307118622036,4.0,0.0,110.0,2.0,8.668251241852955,3.0,14.0,1.0,0.0,0.0,1.938857678018576,30.76027372064176,93.66591000000003,7.035703594084859,0.43318936228752136,0.10437219252744787,15.859991683975588
3,27.32884658064516,8.0,6.956290870763913,50.861669016065605,40.89145539969432,4.0,0.0551315789473684,2.0,2.0,28.0,66.45162304001555,4.0,1.0,25.0,1.0,8.530341651252844,3.0,4.0,1.0,7.949604208975377,675.0,1.938857678018576,79.2827122670515,96.82435600000001,6.041225170884296,0.3729214370250702,0.17817850587452877,22.015449545698782
3,27.843620634702397,7.0,7.018953317459381,22.825002046033042,23.516078146538813,9.0,0.0551315789473684,33.0,2.0,23.0,83.2569215244222,4.0,0.0,54.0,1.0,9.965434401319213,4.0,5.0,1.0,6.53142791570354,1235.0,1.938857678018576,45.594328671301625,96.916708,8.682565945800889,0.4653704762458801,0.16592419390061508,19.22167660926949
