Compost volume (m3),Initial pH,V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Material_2,Additive_1,Period (d),Additive_2,Turning times,V3_Ventilation Duration (min),V2_Ventilation Interval (min),M1_is Enclosed,Application Rate (%DW),Material_3,Material_Main,V4_Ventilation Day,Initial GI (%), Composting Method,Additive_3,Additive_4,Initial C/N (%),V1_Ventilation Type,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0996875,4.875757202250286,0.0,75.76763420655001,4.0,27.0,33.0,11.0,3.0,0.0,0.0,1.0,8.160685024175745,0.0,1,0.0,27.32884658064516,2.0,4.0,1.0,35.26184274876591,2.0,2.754411318174137,97.12561876687744,116.37949700000007,5.588690792325156,0.4241209626197815,0.1524638904827762,19.55916551643426
0.0996875,8.259436817140198,0.0,57.83120469820882,4.0,35.0,22.0,2.0,2.0,0.0,0.0,1.0,7.250001188677228,4.0,1,0.0,27.32884658064516,0.0,4.0,1.0,36.96382139191873,2.0,3.408422999965527,103.6864444640861,114.29612000000003,1000000.0,1000000.0,1000000.0,1000000.0
0.0996875,4.798907683011686,0.2675998666444067,72.94419358777219,5.0,14.0,101.0,11.0,1.0,0.0,0.0,1.0,9.009687540926558,0.0,1,0.0,27.450350659311347,1.0,4.0,1.0,45.14303285052956,2.0,2.754411318174137,119.89546534147327,113.89091700000004,6.087939518851343,0.4241209626197815,0.1434929336348109,1000000.0
0.0996875,4.727637527375936,7.250875723376509,60.4770900721322,8.0,4.0,37.0,6.0,2.0,11.850205333883217,302.0,0.0,7.6305988410913725,0.0,1,25.0,27.32884658064516,1.0,4.0,1.0,43.71380088949818,1.0,2.754411318174137,120.40578793044445,113.39391400000008,5.700755188738827,0.5828738808631897,0.1502969725703891,20.49017083963488
0.0996875,4.896140524216609,3.347281040210916,59.090382472091996,14.0,20.0,45.0,9.0,5.0,47.15930202637171,0.0,0.0,9.313179503651703,2.0,1,1.0,27.328846580645163,2.0,4.0,1.0,43.82954751829898,0.0,2.754411318174137,120.72460175485386,112.10624400000006,6.105920418179975,0.4943539798259735,0.1563335512922345,21.04747769163438
0.0996875,6.105804302359795,0.0,76.8519205038707,5.0,4.0,112.0,3.0,31.0,0.0,0.0,1.0,2.8596442306074743,0.0,1,0.0,27.32884658064516,2.0,4.0,1.0,34.491885608867115,2.0,2.754411318174137,95.00484010623121,113.05462900000008,5.995188410455972,0.43453845381736755,0.15067720704746998,15.597686961886982
0.0996875,6.6315688980884815,0.0,75.28709037326374,8.0,31.0,92.0,2.0,1.0,0.0,0.0,1.0,5.00569786668011,4.0,1,0.0,27.32884658064516,2.0,4.0,1.0,30.679017639496625,2.0,2.754411318174137,84.5026334166935,112.89577000000004,5.995188410455972,0.43453845381736755,0.16205905445311822,14.651880536789148
0.0996875,4.411285285380105,3.763983411558758,62.6224519136332,12.0,36.0,32.0,7.0,2.0,26.7879454050007,0.0,1.0,9.870539461705622,4.0,1,26.0,27.32884658064516,0.0,4.0,1.0,44.999151167440765,0.0,2.754411318174137,123.94617128382777,113.74089450000005,3.0359489705072717,0.419602632522583,0.1702555670231573,23.336836244607596
0.0996875,7.8426794965623525,8.05495715040301,55.79168312677359,8.0,28.0,123.0,1.0,3.0,11.904288696874708,0.0,0.0,6.640613698605163,5.0,1,74.0,27.32884658064516,2.0,4.0,1.0,34.896885552418354,0.0,2.754411318174137,96.12037653460864,112.93185400000006,6.569312055671385,0.6289384365081787,0.15328275997061816,21.037251535352393
0.0996875,4.948708517754238,7.64330944356618,75.08282276653797,6.0,6.0,37.0,1.0,4.0,17.17632586639002,0.0,1.0,7.675491519556777,0.0,1,2.0,27.32884658064516,2.0,4.0,1.0,36.77528981773122,0.0,2.754411318174137,101.29427450309296,116.09482300000008,6.347959670454122,0.5102750658988953,0.19021215801246752,19.537182168918594
