Additive_3,Turning times,V2_Ventilation Interval (min), Composting Method,V1_Ventilation Type,Initial Moisture Content (%),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Additive_1,Initial pH,Material_2,V3_Ventilation Duration (min),Initial C/N (%),M1_is Enclosed,V4_Ventilation Day,Additive_2,Additive_4,Compost volume (m3),Initial GI (%),Material_3,Material_Main,Period (d),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
4.0,3.0,0.0,1.0,2.0,60.37704730355853,7.234385168242551,0.0,25.0,10.877545406968284,4.0,0.0,10.419726736030407,1.0,0.0,1.0,1.0,0.314,27.32884658064516,9.0,5,16.0,1.4280600332415827,14.87999530902379,93.76023400000004,9.85714702018376,0.6802400946617126,0.19243200857605755,24.517821381495214
4.0,6.0,1197.0,2.0,1.0,83.33332147063044,8.461103957889588,7.935908671545748,7.0,9.361656954377018,3.0,43.8904380416633,33.86427294946453,0.0,4.0,7.0,1.0,0.314,27.32884658064516,9.0,5,14.0,1.4280600332415827,48.36021475391434,94.71645366666668,5.20807629214556,1.1112805604934692,0.16139039911058944,23.443962133048498
4.0,6.0,824.0,0.0,1.0,64.34420164239371,4.822347747215435,1.1149666555643212,35.0,6.062316139064349,2.0,51.27299158929415,15.371178199877438,1.0,13.0,6.0,1.0,0.314,27.32884658064516,9.0,5,62.0,1.4280600332415827,21.950965251079264,93.0506036666667,8.31845561597149,0.7325425148010254,0.17237680159749913,19.83414645399304
4.0,9.0,0.0,1.0,0.0,44.09138621957526,2.847696711244245,0.5401023555260398,31.0,10.974453454651833,4.0,57.60774518576612,38.75531205304808,0.0,14.0,0.0,1.0,0.314,27.611992023664317,0.0,5,51.0,1.4280600332415827,55.34491221876375,92.72146100000002,12.053443729349715,1.2200511693954468,0.18923433259154643,23.38262896246474
4.0,0.0,0.0,0.0,2.0,52.96294322757211,2.724182109853808,0.0,37.0,8.318314318245458,0.0,0.0,35.19368677743723,1.0,0.0,2.0,1.0,0.314,27.32884658064516,5.0,5,24.0,1.4280600332415827,50.25869750928086,93.76158600000007,8.333375245302358,0.6319702863693237,0.18737129273125305,24.652210948421754
4.0,9.0,1049.0,1.0,1.0,76.57455795634553,2.3177131621569034,4.895427355018232,37.0,4.3789118555191635,8.0,56.41784192457919,19.793826691265117,0.0,61.0,10.0,1.0,0.314,27.32884658064516,9.0,5,105.0,1.4280600332415827,28.26677280270619,94.77860666666663,7.550379711210872,0.947287380695343,0.18044011297927456,25.20069361663188
4.0,3.0,0.0,2.0,2.0,78.05139663442232,4.529791857367171,0.0,38.0,5.688399681923986,12.0,0.0,15.262343253809467,0.0,0.0,10.0,1.0,0.314,27.32884658064516,2.0,5,105.0,1.4280600332415827,28.840518520023362,92.82558400000002,7.737439811019801,1.363317847251892,0.12007407049663887,1000000.0
4.0,20.0,0.0,1.0,2.0,69.27276234788609,7.250121575018696,0.0,36.0,7.635183044816588,0.0,0.0,5.597748486609875,0.0,0.0,9.0,1.0,0.314,27.328846580645163,9.0,5,20.0,1.4280600332415827,7.993920889866118,93.53796200000001,6.293986179420281,0.8402995467185974,0.17753278596233718,27.321244199815126
4.0,8.0,1313.0,1.0,1.0,57.68952321488803,5.934680946772849,8.792432693257137,11.0,4.303508404881047,6.0,43.4713549340992,13.18940549697896,0.0,20.0,5.0,1.0,0.314,27.32884658064516,9.0,5,37.0,1.4280600332415827,18.835262852452487,94.09043966666668,8.669107212626146,1.2400826215744019,0.1544876705300968,25.971460506069
4.0,8.0,358.0,1.0,1.0,65.60021297550898,9.11592504533017,4.891289472869605,28.0,7.672442636811272,0.0,20.930076966071955,43.1951779378044,0.0,56.0,13.0,1.0,0.314,27.32884658064516,5.0,5,127.0,1.4280600332415827,61.685307241737036,92.861721,9.860846366894354,1.0749355554580688,0.17661113891228286,24.0681032909873
