Feature,Mean_MinDepth,Tree1_MinDepth,Tree2_MinDepth,Tree3_MinDepth,Tree4_MinDepth,Tree5_MinDepth,Tree6_MinDepth,Tree7_MinDepth,Tree8_MinDepth,Tree9_MinDepth,Tree10_MinDepth,Tree11_MinDepth,Tree12_MinDepth,Tree13_MinDepth,Tree14_MinDepth,Tree15_MinDepth,Tree16_MinDepth,Tree17_MinDepth,Tree18_MinDepth,Tree19_MinDepth,Tree20_MinDepth,Tree21_MinDepth,Tree22_MinDepth,Tree23_MinDepth,Tree24_MinDepth,Tree25_MinDepth,Tree26_MinDepth,Tree27_MinDepth,Tree28_MinDepth,Tree29_MinDepth,Tree30_MinDepth,Tree31_MinDepth,Tree32_MinDepth,Tree33_MinDepth,Tree34_MinDepth,Tree35_MinDepth,Tree36_MinDepth,Tree37_MinDepth,Tree38_MinDepth,Tree39_MinDepth,Tree40_MinDepth,Tree41_MinDepth,Tree42_MinDepth,Tree43_MinDepth,Tree44_MinDepth,Tree45_MinDepth,Tree46_MinDepth,Tree47_MinDepth,Tree48_MinDepth,Tree49_MinDepth,Tree50_MinDepth,Tree51_MinDepth,Tree52_MinDepth,Tree53_MinDepth,Tree54_MinDepth,Tree55_MinDepth,Tree56_MinDepth,Tree57_MinDepth,Tree58_MinDepth,Tree59_MinDepth,Tree60_MinDepth,Tree61_MinDepth,Tree62_MinDepth,Tree63_MinDepth,Tree64_MinDepth,Tree65_MinDepth,Tree66_MinDepth,Tree67_MinDepth,Tree68_MinDepth,Tree69_MinDepth,Tree70_MinDepth,Tree71_MinDepth,Tree72_MinDepth,Tree73_MinDepth,Tree74_MinDepth,Tree75_MinDepth,Tree76_MinDepth,Tree77_MinDepth,Tree78_MinDepth,Tree79_MinDepth,Tree80_MinDepth,Tree81_MinDepth,Tree82_MinDepth,Tree83_MinDepth,Tree84_MinDepth,Tree85_MinDepth,Tree86_MinDepth,Tree87_MinDepth,Tree88_MinDepth,Tree89_MinDepth,Tree90_MinDepth,Tree91_MinDepth,Tree92_MinDepth,Tree93_MinDepth,Tree94_MinDepth,Tree95_MinDepth,Tree96_MinDepth,Tree97_MinDepth,Tree98_MinDepth,Tree99_MinDepth,Tree100_MinDepth
Material_Main,12.35,15,12,12,10,12,19,11,11,11,10,14,12,12,16,11,12,13,11,14,12,13,16,15,13,11,13,11,11,13,13,10,12,14,13,10,10,14,12,14,12,12,14,14,12,11,10,11,12,13,14,15,12,12,12,11,10,15,11,12,11,14,13,10,12,13,10,10,13,13,13,12,13,13,11,11,12,12,13,14,13,14,12,13,12,14,14,13,12,12,12,11,11,13,12,15,11,12,10,12,11
Period (d),12.12,15,5,12,14,14,19,11,11,11,10,14,14,12,16,11,14,5,5,5,12,16,16,5,14,11,13,11,14,13,13,5,12,5,13,5,14,14,12,14,14,14,14,14,12,14,5,14,14,13,14,15,12,12,5,11,14,15,11,14,5,14,5,10,5,13,10,14,13,13,14,12,13,14,11,11,12,12,13,14,14,14,16,14,14,5,14,13,16,12,12,14,14,13,16,16,14,12,10,14,16
Turning times,12.21,15,12,12,10,12,19,11,11,11,10,14,12,12,16,11,12,13,11,14,12,13,16,15,13,11,13,11,11,13,13,10,12,14,13,10,10,14,12,14,12,12,14,14,12,11,10,11,12,13,14,15,12,12,12,11,10,15,11,12,11,14,13,10,12,13,10,10,13,13,13,12,13,13,11,11,12,12,13,14,13,14,12,13,12,14,0,13,12,12,12,11,11,13,12,15,11,12,10,12,11
V2_Ventilation Interval (min),10.26,8,8,8,8,12,8,8,11,11,8,14,8,8,16,11,8,13,0,14,12,13,8,8,13,11,12,11,11,8,13,8,12,14,8,12,8,8,12,14,8,8,14,14,8,8,10,11,0,8,8,15,12,8,8,11,10,8,11,8,8,8,8,10,8,13,8,10,8,8,8,12,13,13,8,8,12,12,13,14,8,8,12,12,12,14,14,12,12,8,12,12,11,13,12,15,11,12,12,8,8
M1_is Enclosed,7.8,0,12,12,0,11,0,11,0,11,0,14,0,0,0,11,12,0,0,14,0,13,16,15,13,11,0,0,11,13,0,10,12,14,13,10,10,14,12,0,0,0,0,14,12,11,11,11,12,0,14,15,0,11,12,11,0,0,11,12,11,14,13,10,12,0,10,10,13,0,0,12,13,11,11,11,12,12,0,14,0,14,0,13,0,0,14,0,12,0,12,11,0,13,12,15,11,12,0,0,0
 Composting Method,10.26,15,12,12,10,12,0,11,3,11,16,12,12,12,0,11,0,13,11,14,12,0,16,15,3,12,3,11,11,12,13,3,12,14,0,11,10,14,12,14,12,12,16,12,12,11,10,11,3,13,0,3,12,12,12,11,0,3,11,12,0,3,13,10,16,12,10,10,13,13,16,12,12,16,11,16,12,3,13,14,13,14,12,12,12,0,14,16,12,16,12,3,3,13,0,15,16,12,10,12,11
Additive_3,12.11,15,12,12,10,12,19,11,11,11,10,14,12,12,16,11,12,13,11,14,12,13,16,15,13,11,13,11,11,13,13,10,12,14,13,10,10,14,12,14,12,12,14,14,12,11,10,11,0,13,14,15,12,12,12,11,10,15,11,12,11,14,13,10,12,13,10,10,13,13,13,12,13,13,11,11,12,12,13,14,13,14,12,13,12,14,14,13,12,12,12,11,11,13,12,15,11,0,10,12,11
Additive_2,9.94,7,12,11,10,12,19,11,7,11,7,8,12,12,16,7,7,8,7,7,7,13,7,7,7,11,13,8,7,11,13,7,8,7,13,10,7,14,12,14,12,12,14,7,7,11,11,7,11,13,14,7,12,8,11,11,8,7,7,12,7,14,7,10,12,7,10,7,13,13,13,12,13,7,7,7,8,7,7,7,13,14,7,8,12,14,8,7,7,11,12,11,7,13,12,15,11,7,10,7,11
Additive_1,11.91,15,12,12,10,12,19,7,11,11,10,14,12,12,16,11,12,13,12,14,12,7,16,15,13,11,13,11,11,13,13,10,12,14,7,10,10,14,12,14,7,12,14,14,7,11,10,11,12,13,14,15,12,12,12,11,10,15,11,7,11,14,13,10,12,13,10,10,13,13,13,12,13,13,7,11,7,12,13,14,13,12,12,13,12,14,14,13,12,12,12,11,11,13,12,15,11,12,7,12,11
Material_3,9.52,15,12,12,10,12,11,11,11,11,11,14,0,11,16,11,11,0,0,14,12,11,16,15,13,11,11,11,11,13,0,0,12,14,11,10,10,11,0,0,11,11,14,14,0,11,0,11,11,11,11,11,0,12,11,11,10,15,11,11,11,0,13,11,11,0,10,11,0,13,0,11,13,13,0,11,0,12,13,0,13,14,11,11,11,14,14,13,11,0,0,11,11,13,0,15,11,11,11,11,11
