Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),NH3-N loss (%)
9,0,7.0,1,70.0,0,0.0,0.0,9.9,5,1.2,0.0,65.52171,18.89189,2.22663,0,36.87905,47,0.38456,16.8
9,0,7.0,1,70.0,0,0.0,0.0,13.2,5,1.2,0.0,66.91171,18.89189,2.3715,0,37.25713,47,0.39214,14.8
9,0,7.0,1,70.0,0,0.0,0.0,16.5,5,1.2,0.0,65.34171,18.89189,2.37925,0,37.90571,47,0.38537,8.3
7,1,2.16667,0,13.0,6,13.0,20.0,0.0,4,0.06,0.72,55.0,12.8125,3.2,1,41.0,6,0.73518,12.84
8,1,2.0,0,22.0,0,22.0,0.0,2.0,4,0.0035,0.5806,59.4,13.73426,2.14,0,30.45546,16,0.67843,16.2936
8,1,2.0,0,22.0,0,22.0,0.0,2.0,4,0.0035,0.5956,57.5,15.49294,2.15,0,33.38463,16,0.67735,18.7427
8,1,2.0,0,22.0,0,22.0,0.0,0.0,4,0.0035,0.49494,58.2,14.76885,2.13,0,30.45546,6,0.67843,33.8826
7,1,0.25,0,45.0,5,45.0,17.0,0.0,2,2.4,6.67,55.0,30.4875,1.09466,1,33.3734,6,0.41667,17.965
7,1,0.25,0,45.0,5,45.0,17.0,0.44444,2,2.4,6.67,55.0,29.153,1.12653,1,32.8418,1,0.41667,3.22179
7,1,0.25,0,45.0,5,45.0,17.0,0.44444,2,2.4,6.67,55.0,31.2883,1.03964,1,32.5285,39,0.41667,5.63813
7,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,2,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,6,0.47575,10.351
7,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,2,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,32,0.47575,2.046
7,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,2,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,32,0.47575,2.362
3,1,7.5,0,30.0,0,30.0,0.0,0.0,2,0.06,0.2,60.59701,20.0,1.9,0,38.0,6,0.54849,24.9
3,1,7.5,0,30.0,0,30.0,0.0,2.1383,2,0.06,0.2,58.46543,23.31472,2.0354,0,42.68316,25,0.57601,12.6
3,1,7.5,0,30.0,0,30.0,0.0,3.20088,2,0.06,0.2,58.46543,23.31472,2.06657,0,42.68316,47,0.57601,15.3
3,1,7.5,0,30.0,0,30.0,0.0,2.216,2,0.06,0.2,58.46543,23.31472,2.0354,0,42.68316,12,0.57601,8.9
