Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TN loss (%)
10,1,7.8,0,39.0,0,39.0,0.0,0.0,11,0.06,0.48,69.55,20.7524,1.976,0,39.24,18,0.50441,11.5
10,1,7.8,0,39.0,0,39.0,0.0,0.0,11,0.06,0.48,69.55,20.7524,1.976,0,39.24,19,0.50441,10.69
10,1,7.8,0,39.0,0,39.0,0.0,0.0,11,0.06,0.48,69.55,20.7524,1.976,0,39.24,7,0.50441,7.59
10,1,8.75,0,35.0,0,35.0,0.0,0.0,11,0.06,0.38,70.4,20.3,2.09,0,42.4,5,0.59642,33.01
10,1,8.75,0,35.0,0,35.0,0.0,4.56,11,0.06,0.38,69.19,18.50952,2.17362,0,38.14,26,0.61861,31.48
10,1,8.75,0,35.0,0,35.0,0.0,6.48,11,0.06,0.38,69.19,16.00383,2.40973,0,34.90856,26,0.64601,28.63
10,0,11.2,1,56.0,0,21.0,0.0,0.0,7,0.4,0.333,66.4,25.92328,0.98034,0,40.27561,5,0.285,36.8
10,0,11.2,1,56.0,0,21.0,0.0,8.53343,7,0.4,0.333,64.9,28.02864,0.96855,0,40.27721,5,0.2938,26.4
10,0,11.2,1,56.0,0,21.0,0.0,16.52893,7,0.4,0.333,63.7,29.18051,1.00688,0,39.31021,5,0.30319,16.5
10,0,11.2,1,56.0,0,21.0,0.0,23.93612,7,0.4,0.333,62.4,32.96173,1.03636,0,38.31411,5,0.31319,12.7
10,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,7,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,5,0.47575,27.8
10,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,7,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,32,0.47575,13.3
10,1,5.27176,0,45.0626,2,22.82844,3.65844,4.66667,7,1.06823,0.67548,63.9703,21.47354,2.06181,1,39.47539,42,0.47575,11.069
10,1,5.27176,0,45.0626,2,22.82844,3.65844,4.66667,7,1.06823,0.67548,63.9703,21.47354,2.06181,1,39.47539,14,0.47575,6.384
10,1,5.27176,0,45.0626,2,22.82844,3.65844,4.66667,7,1.06823,0.67548,63.9703,21.47354,2.06181,1,39.47539,5,0.47575,14.682
7,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,11,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,56,0.47575,16.0
7,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,11,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,38,0.47575,53.0
7,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,11,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,41,0.47575,26.0
7,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,11,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,54,0.47575,42.0
0,0,26.8,2,134.0,0,0.0,0.0,0.0,11,1.92422,0.0,62.63,17.9,1.4,0,25.06,5,0.51969,22.39929
0,0,26.8,2,134.0,0,0.0,0.0,10.0,11,2.19409,0.0,65.46,17.8,1.33,0,23.674,16,0.45577,20.7
0,0,26.8,2,134.0,0,0.0,0.0,17.8,11,2.21016,0.0,64.61,18.9,1.32,0,24.948,16,0.45246,17.09545
0,0,5.27176,2,45.0626,0,22.82844,3.65844,4.66667,11,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,16,0.47575,24.38837
0,0,26.8,2,134.0,0,0.0,0.0,9.9,11,1.93464,0.0,64.12,20.1,1.29,0,25.929,46,0.51689,12.70853
0,0,5.27176,2,45.0626,0,22.82844,3.65844,4.66667,11,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,46,0.47575,15.03571
0,0,5.27176,2,45.0626,0,22.82844,3.65844,4.66667,11,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,46,0.47575,21.34472
8,1,0.0,0,16.0,0,16.0,0.0,0.0,7,0.1,0.233,61.7,16.64286,2.8,0,46.6,5,0.278,22.49666
8,1,0.0,0,14.0,0,14.0,0.0,10.0,7,0.1,0.233,64.2,18.2,2.5,0,45.5,12,0.305,10.31193
10,1,9.0,0,18.0,0,18.0,0.0,0.0,7,0.012,0.31,63.74,16.33906,2.52,0,28.33709,5,0.33333,22.8
10,1,9.0,0,18.0,0,18.0,0.0,5.166,7,0.012,0.31,63.74,18.42179,2.54,0,30.08601,50,0.33333,17.6
0,1,0.0,0,15.0,0,15.0,0.0,0.0,11,0.17,0.2885,70.5,26.0,1.59,0,41.34,5,0.27647,24.57547
0,1,0.0,0,15.0,0,15.0,0.0,3.62976,11,0.17,0.29038,71.0,21.946,1.44,0,35.0364,31,0.27941,15.09375
0,1,0.0,0,15.0,0,15.0,0.0,7.30994,11,0.17,0.2924,71.5,22.256,1.55,0,35.202,31,0.28235,15.4871
0,1,0.0,0,15.0,0,15.0,0.0,9.97672,11,0.17,0.26605,69.0,30.0,1.36,0,40.8,31,0.28529,12.09124
0,1,0.0,0,15.0,0,15.0,0.0,0.0,11,0.17,0.26377,70.0,20.576,1.72,0,33.8986,5,0.29735,15.91628
0,1,0.0,0,15.0,0,15.0,0.0,13.09719,11,0.17,0.28166,71.8,21.36,1.66,0,39.2746,36,0.29624,16.07952
0,1,0.0,0,15.0,0,15.0,0.0,24.36647,11,0.17,0.26201,69.6,21.973,1.58,0,42.51705,36,0.29541,17.38228
0,1,0.0,0,15.0,0,15.0,0.0,37.59079,11,0.17,0.26947,70.3,21.56782,1.47,0,41.87506,36,0.294,21.42857
0,1,0.0,0,15.0,0,6.0,0.0,0.0,11,0.17,0.28948,70.6,21.31405,1.59,0,36.11016,5,0.27647,20.97044
0,1,0.0,0,15.0,0,6.0,0.0,3.10479,11,0.17,0.28882,70.8,20.8127,1.57,0,35.57612,34,0.279,15.50064
0,1,0.0,0,15.0,0,6.0,0.0,3.43688,11,0.17,0.28171,70.1,20.8127,1.55,0,35.57612,34,0.27934,16.72387
0,1,0.0,0,15.0,0,6.0,0.0,3.68545,11,0.17,0.27867,69.8,20.8127,1.55,0,35.57612,34,0.27958,15.46387
0,1,0.0,0,15.0,0,15.0,0.0,0.0,11,0.17,0.27765,71.5,20.576,1.62,0,34.264,5,0.29735,20.20988
0,1,0.0,0,15.0,0,15.0,0.0,3.66885,11,0.17,0.28276,72.3,22.406,1.35,0,35.202,34,0.30041,17.13333
0,1,0.0,0,15.0,0,15.0,0.0,7.0174,11,0.17,0.27016,71.3,22.776,1.31,0,35.202,34,0.30346,14.74046
0,1,0.0,0,15.0,0,15.0,0.0,10.35227,11,0.17,0.26561,71.1,22.776,1.25,0,35.202,34,0.30652,16.0
10,0,7.0,1,70.0,0,0.0,0.0,0.0,11,1.2,0.0,68.70741,18.89189,2.20375,0,32.6561,5,0.34258,40.1
10,0,7.0,1,70.0,0,0.0,0.0,3.3,11,1.2,0.0,68.89741,18.89189,2.18773,0,31.98075,49,0.37108,36.4
10,0,7.0,1,70.0,0,0.0,0.0,6.6,11,1.2,0.0,68.08741,18.89189,2.03991,0,33.16227,49,0.30532,34.3
