Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TC loss (%)
2,1,7.0,0,28.0,6,28.0,30.0,0.0,8,0.06,1.20727,66.9,25.0,1.5,1,37.5,3,0.55333,52.8
2,1,7.0,0,28.0,6,28.0,30.0,0.0,0,0.06,0.96434,58.6,20.9,1.7,1,36.1,3,0.51833,59.4
2,1,7.0,0,28.0,6,28.0,30.0,0.0,0,0.06,0.85547,53.1,18.7,1.9,1,35.1,3,0.48833,62.5
2,1,7.0,0,28.0,6,28.0,30.0,0.0,0,0.06,0.76023,47.5,16.8,2.0,1,34.1,3,0.54167,60.1
1,1,4.44444,1,40.0,0,0.0,0.0,0.0,8,0.2,0.0,65.0,29.7094,1.33073,0,39.53519,3,0.25,55.81
1,1,4.44444,1,40.0,0,0.0,0.0,1.0,8,0.2,0.0,65.0,29.8465,1.34581,0,40.16772,16,0.25,54.13
1,1,4.44444,1,40.0,0,0.0,0.0,5.0,8,0.2,0.0,65.0,33.0811,1.24777,0,41.2776,3,0.25,52.5
1,1,4.44444,1,40.0,0,0.0,0.0,6.0,8,0.2,0.0,65.0,33.4375,1.23268,0,41.21774,3,0.25,48.48
5,1,7.5,0,30.0,7,30.0,10.0,0.0,8,0.1,0.00833,60.0,41.11596,0.77987,1,32.0651,3,0.5,28.4
5,1,7.5,0,30.0,7,30.0,10.0,10.0,8,0.1,0.00833,60.0,38.25338,0.78831,1,30.1556,6,0.5,29.3
5,1,7.5,0,30.0,7,30.0,10.0,10.0,8,0.1,0.00833,60.0,42.9974,0.77338,1,33.2532,3,0.5,37.1
0,1,0.0,0,20.0,0,20.0,0.0,0.0,8,0.06,0.21,60.22,29.35,1.45,0,42.38,3,0.66843,51.26
0,1,0.0,0,20.0,2,20.0,10.0,0.0,8,0.06,0.42,60.22,29.35,1.45,1,42.38,3,0.66843,47.55
0,1,0.0,0,20.0,3,20.0,5.0,0.0,8,0.06,0.84,60.22,29.35,1.45,1,42.38,3,0.66843,49.66
8,1,0.0,0,42.0,0,42.0,0.0,0.0,5,0.336,0.35,60.0,30.0,2.27618,0,50.34814,3,0.5,15.15
8,1,0.0,0,42.0,0,42.0,0.0,2.5,5,0.604,0.35,60.0,30.0,2.27618,0,49.17966,9,0.5,16.12
8,1,0.0,0,42.0,0,42.0,0.0,5.0,5,0.612,0.35,60.0,30.0,2.22655,0,49.17966,9,0.5,16.94
8,1,0.0,0,42.0,0,42.0,0.0,10.0,5,0.352,0.35,60.0,30.0,2.20567,0,45.99661,9,0.52573,20.46
8,1,0.0,0,42.0,0,42.0,0.0,15.0,5,0.36,0.35,60.0,30.0,2.37804,0,44.45294,9,0.54972,19.19
8,1,0.0,0,42.0,0,42.0,0.0,20.0,5,0.1,0.35,60.0,30.0,2.45073,0,42.68028,9,0.52873,19.79
5,0,3.0,1,30.0,0,0.0,0.0,0.0,8,0.1458,0.0,63.24164,20.0,1.81817,0,40.8856,3,0.23627,22.39
5,0,3.0,1,30.0,0,0.0,0.0,0.0,8,0.1458,0.0,61.18467,25.0,1.68878,0,42.8535,3,0.32222,21.38
5,0,3.0,1,30.0,0,0.0,0.0,0.0,8,0.1458,0.0,62.41295,30.0,1.56083,0,44.78243,3,0.33472,21.49
8,1,6.22222,0,56.0,0,0.0,0.0,0.0,8,0.1,0.0,66.95741,24.8781,1.66749,0,42.32072,3,0.40058,51.47
8,1,6.22222,0,56.0,0,0.0,0.0,15.0,8,0.1,0.0,63.41211,22.8873,1.80593,0,37.10207,1,0.56068,64.64
8,1,6.22222,0,56.0,0,0.0,0.0,10.0,8,0.1,0.0,62.97182,26.366,1.57849,0,41.55411,3,0.42636,63.1
8,1,6.22222,0,56.0,0,0.0,0.0,25.0,8,0.1,0.0,61.88594,24.4799,1.71941,0,35.84346,2,0.50123,68.47
0,1,0.0,0,21.0,0,21.0,0.0,0.0,8,0.06,0.21,55.0,11.5,2.34,0,26.8,3,0.25926,32.42
0,1,0.0,0,21.0,0,21.0,0.0,20.0,8,0.06,0.21,55.0,14.7,2.52,0,36.1,13,0.25926,23.55
0,1,0.0,0,21.0,0,21.0,0.0,20.0,8,0.06,0.21,55.0,14.0,2.52,0,35.3,13,0.25926,19.67
0,1,15.5,0,31.0,0,31.0,0.0,0.0,8,0.06,0.09384,65.4,14.2,2.1,0,29.7,3,0.51333,48.8
0,1,15.5,0,31.0,0,31.0,0.0,0.0,8,0.06,0.15639,65.4,14.2,2.1,0,29.7,3,0.51333,50.7
0,1,15.5,0,31.0,4,31.0,10.0,0.0,8,0.06,0.28151,65.4,14.2,2.1,1,29.7,3,0.51333,53.1
8,1,0.0,0,48.0,0,48.0,0.0,0.0,3,0.045,0.3279,50.0,17.07927,2.46,0,42.015,3,0.64044,67.56
5,1,0.0,0,48.0,0,48.0,0.0,0.0,3,0.045,0.34666,50.0,17.32857,2.66,0,46.094,3,0.60578,60.2
7,1,0.0,0,48.0,0,48.0,0.0,0.0,3,0.045,0.38698,50.0,19.33299,1.97,0,38.086,3,0.54267,60.06
6,1,7.0,0,35.0,0,35.0,0.0,0.0,8,0.06,0.2,72.1,10.57997,2.77826,0,29.3939,3,0.646,52.59
6,1,7.0,0,35.0,0,35.0,0.0,10.0,8,0.06,0.2,72.1,11.30095,2.59565,0,29.3333,19,0.646,50.31
6,1,7.0,0,35.0,0,35.0,0.0,10.0,8,0.06,0.2,72.1,10.89254,2.6837,0,29.2323,22,0.646,48.7
6,1,7.0,0,35.0,0,35.0,0.0,12.5,8,0.06,0.2,72.1,11.19228,2.68042,0,30.0,19,0.646,49.24
6,1,7.0,0,35.0,0,35.0,0.0,12.5,8,0.06,0.2,72.1,11.3794,2.67717,0,30.4646,22,0.646,47.73
8,1,21.0,0,21.0,0,21.0,0.0,0.0,8,1.2096,0.24,59.81,19.9,1.91,0,38.1,3,0.38388,49.2
8,1,21.0,0,21.0,0,21.0,0.0,0.0,0,1.2096,0.24,60.21,19.9,1.79,0,35.6,3,0.34708,44.46
4,1,1.0,1,105.0,0,0.0,0.0,0.0,8,0.055,0.0,69.23222,53.2,0.97,0,51.3,3,0.47168,49.18
4,1,1.0,1,105.0,0,0.0,0.0,0.0,8,0.055,0.0,66.26222,54.9,0.92,0,50.6,17,0.50134,49.13
4,1,1.0,1,105.0,0,0.0,0.0,0.0,8,0.055,0.0,67.69222,53.7,0.92,0,49.4,17,0.50134,44.24
4,1,1.0,1,105.0,0,0.0,0.0,0.0,8,0.055,0.0,67.69222,52.0,0.94,0,48.9,17,0.47168,43.93
4,1,1.0,1,105.0,0,0.0,0.0,0.0,8,0.055,0.0,66.06481,51.1,0.91,0,46.6,4,0.47168,48.71
4,1,1.0,1,105.0,0,0.0,0.0,0.0,8,0.055,0.0,65.49222,54.0,0.83,0,44.6,4,0.50134,44.74
4,1,1.0,1,105.0,0,0.0,0.0,0.0,8,0.055,0.0,65.49222,53.5,0.77,0,41.1,4,0.50134,44.62
5,1,1.0,0,15.0,0,15.0,0.0,0.0,5,0.018,0.9532,65.03,12.88,2.16588,0,27.89653,3,0.44444,10.33
5,1,1.0,0,15.0,0,15.0,0.0,29.0,5,0.018,0.90506,63.17,24.41,1.92582,0,47.00927,3,0.49167,15.82
5,1,1.0,0,15.0,0,15.0,0.0,29.0,5,0.018,0.88629,62.39,27.43,1.84851,0,50.70463,3,0.49167,17.17
5,1,1.0,0,15.0,0,15.0,0.0,29.0,5,0.018,0.89127,62.6,28.06,1.81596,0,50.95584,3,0.49167,16.54
5,1,1.0,0,15.0,0,15.0,0.0,29.0,5,0.018,0.8765,61.97,16.31,2.06009,0,33.60007,3,0.49167,11.61
5,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,3,0.47575,12.7
4,1,16.0,0,32.0,0,22.8,12.0,0.0,6,0.1,0.3991,61.1,20.0,2.4739,1,49.47796,3,0.29146,22.76
4,1,16.0,0,32.0,0,29.7,4.0,0.0,6,0.1,0.243,53.5,30.0,1.72274,1,51.68213,3,0.39699,7.81
4,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,6,1.06823,0.67548,63.9703,21.47354,2.06181,1,39.47539,3,0.47575,17.58
4,1,16.0,0,32.0,0,33.0,8.0,0.0,1,0.1,0.368,74.7,23.0,2.10582,1,48.43387,3,0.16332,34.26
4,1,16.0,0,32.0,0,28.0,12.5,0.0,1,0.1,0.44323,65.6,30.0,1.6628,1,49.88399,3,0.19849,21.27
4,1,16.0,0,32.0,0,24.0,16.0,0.0,1,0.1,0.148,53.0,40.0,1.35731,1,54.29234,3,0.36683,7.04
4,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,1,39.47539,3,0.47575,10.57
4,0,6.42857,0,45.0,0,0.0,0.0,0.0,8,0.06,0.0,65.75741,23.8,1.79,0,42.59,3,0.08333,43.0
4,0,6.42857,0,45.0,0,0.0,0.0,0.0,8,0.06,0.0,64.63467,30.6,1.45,0,44.38,3,0.08333,39.6
8,1,17.5,0,70.0,0,0.0,0.0,0.0,8,1.2096,0.0,63.6,17.26269,2.12625,0,36.7048,3,0.43648,54.8
8,1,17.5,0,70.0,0,70.0,0.0,0.0,8,1.2096,0.18,63.6,17.26269,2.12625,0,36.7048,3,0.23599,54.2
8,1,17.5,0,70.0,0,70.0,0.0,0.0,8,1.2096,0.36,63.6,17.26269,2.12625,0,36.7048,3,0.23599,53.7
8,1,17.5,0,70.0,0,70.0,0.0,0.0,8,1.2096,0.54,63.6,17.26269,2.12625,0,36.7048,3,0.23599,52.2
8,1,5.27176,0,45.0626,4,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,1,39.47539,3,0.47575,56.3
0,1,0.0,0,31.0,0,31.0,0.0,0.0,8,0.01,0.43,83.0,16.5,2.60606,0,43.0,3,0.492,40.0
0,1,0.0,0,31.0,0,31.0,0.0,0.0,8,0.01,0.21,83.0,16.5,2.60606,0,43.0,3,0.492,45.0
5,1,0.0,0,31.0,0,31.0,0.0,0.0,8,0.01,0.48,71.0,6.1,5.77049,0,35.2,3,0.492,22.0
5,1,0.0,0,31.0,0,31.0,0.0,0.0,8,0.01,0.23,71.0,6.1,5.77049,0,35.2,3,0.492,24.0
5,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,3,0.47575,28.0
5,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,3,0.47575,33.0
8,1,7.5,0,30.0,1,30.0,25.0,0.0,8,0.06,0.48,65.9,17.86175,2.17,1,38.76,3,0.55369,58.4
8,1,7.5,0,30.0,1,30.0,25.0,10.0,8,0.06,0.48,63.4187,18.73469,1.96,1,36.72,19,0.59724,56.6
8,1,7.5,0,30.0,1,30.0,25.0,10.2,8,0.06,0.48,65.139,17.73301,2.06,1,36.53,19,0.58453,56.3
8,1,7.5,0,30.0,1,30.0,25.0,5.2,8,0.06,0.48,61.29879,17.80952,2.1,1,37.4,19,0.60408,58.0
5,1,12.5,0,25.0,5,25.0,30.0,0.0,8,0.06,0.08242,65.0,20.0,2.32297,1,40.32411,3,0.34667,24.3
5,1,12.5,0,25.0,5,25.0,30.0,0.0,8,0.06,0.82645,65.0,20.0,2.32297,1,40.32411,3,0.34571,54.47
5,1,12.5,0,25.0,5,25.0,30.0,0.0,8,0.06,1.64384,65.0,20.0,2.32297,1,40.32411,3,0.34762,45.7
8,0,7.71429,1,54.0,0,0.0,0.0,0.0,8,0.13,0.0,66.28,22.99234,2.00199,0,39.38658,3,0.3083,58.0
8,0,7.71429,1,54.0,0,0.0,0.0,15.0,8,0.13,0.0,62.82171,17.77801,2.29398,0,36.26206,18,0.36329,54.2
8,0,7.71429,1,54.0,0,0.0,0.0,15.0,8,0.13,0.0,62.82171,17.77801,2.29398,0,36.26206,18,0.36329,53.8
8,0,7.71429,1,54.0,0,0.0,0.0,0.0,8,0.13,0.0,66.28,22.99234,2.00199,0,39.38658,3,0.3083,55.4
8,0,7.71429,1,54.0,0,0.0,0.0,6.0,8,0.13,0.0,63.24,21.49659,2.24279,0,36.18694,20,0.401,52.1
8,0,7.71429,1,54.0,0,0.0,0.0,6.0,8,0.13,0.0,63.24,21.49659,2.24279,0,36.18694,20,0.401,51.8
6,1,5.0,0,45.0,7,45.0,20.0,0.0,8,0.12,0.94745,65.0,20.62762,2.14963,1,38.92499,3,0.4168,16.32
6,1,5.0,0,45.0,7,45.0,20.0,5.0,8,0.12,1.71576,65.0,21.9187,2.37593,1,37.1463,0,0.3489,17.17
6,1,5.0,0,45.0,7,45.0,20.0,1.0,8,0.12,0.92403,65.0,20.62762,2.05396,1,38.65892,7,0.4418,18.95
6,1,5.0,0,45.0,7,45.0,20.0,1.0,8,0.12,0.92403,65.0,20.62762,2.05396,1,38.65892,21,0.4418,15.14
6,1,5.0,0,45.0,7,45.0,20.0,3.0,8,0.12,0.93795,65.0,21.10208,2.04396,1,38.4367,11,0.49078,16.54
6,1,5.0,0,45.0,7,45.0,20.0,3.0,8,0.12,0.93795,65.0,21.10208,2.04396,1,38.4367,15,0.49078,17.15
6,1,5.0,0,45.0,7,45.0,20.0,5.0,8,0.12,1.71576,65.0,21.9187,2.37593,1,37.1463,22,0.3489,22.42
6,1,7.0,0,35.0,0,35.0,0.0,0.0,8,0.06,0.1,72.86,11.37,2.68,0,30.45,3,0.667,49.9
6,1,7.0,0,35.0,0,35.0,0.0,0.0,8,0.06,0.2,72.86,11.37,2.68,0,30.45,3,0.667,47.7
6,1,7.0,0,35.0,0,35.0,0.0,0.0,8,0.06,0.3,72.86,11.37,2.68,0,30.45,3,0.667,43.8
