Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TC loss (%)
3,1,7.0,0,35.0,0,35.0,0.0,10.0,8,0.06,0.2,60.0,18.2,1.98,0,36.036,19,0.587,63.9
3,1,7.0,0,35.0,0,35.0,0.0,10.0,8,0.06,0.2,60.0,19.1,1.89,0,36.099,22,0.58374,64.2
6,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,3,0.47575,33.7114
6,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,23,0.47575,56.2698
6,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,23,0.47575,52.993
6,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,23,0.47575,45.3554
6,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,23,0.47575,32.0312
6,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,8,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,23,0.47575,47.5733
8,0,7.0,1,70.0,0,0.0,0.0,0.0,8,1.2,0.0,68.70741,18.89189,2.20375,0,32.6561,3,0.34258,68.4
8,0,7.0,1,70.0,0,0.0,0.0,3.3,8,1.2,0.0,68.89741,18.89189,2.18773,0,31.98075,22,0.37108,64.1
8,0,7.0,1,70.0,0,0.0,0.0,6.6,8,1.2,0.0,68.08741,18.89189,2.03991,0,33.16227,22,0.30532,66.5
8,0,7.0,1,70.0,0,0.0,0.0,9.9,8,1.2,0.0,65.52171,18.89189,2.22663,0,36.87905,22,0.38456,60.6
8,0,7.0,1,70.0,0,0.0,0.0,13.2,8,1.2,0.0,66.91171,18.89189,2.3715,0,37.25713,22,0.39214,55.1
8,0,7.0,1,70.0,0,0.0,0.0,16.5,8,1.2,0.0,65.34171,18.89189,2.37925,0,37.90571,22,0.38537,42.2
8,1,8.75,0,35.0,0,35.0,0.0,0.0,8,0.06,0.3,69.2,18.4,2.04,0,37.48,3,0.62048,64.9
8,1,8.75,0,35.0,0,35.0,0.0,2.124,8,0.06,0.3,69.2,18.4,2.04,0,37.48,11,0.61727,63.1
8,1,8.75,0,35.0,0,35.0,0.0,2.124,8,0.06,0.3,69.2,18.4,2.04,0,37.48,12,0.61727,60.6
