Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),CO2-C loss (%)
4,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,2,0.47575,14.645
4,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,0,0.47575,8.07692
4,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,0,0.47575,19.2604
4,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,0,0.47575,10.9172
4,1,7.0,0,91.0,0,30.0,0.0,12.5,5,0.25,0.41755,60.0,25.0,1.82,0,45.5,2,0.41667,17.0414
4,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,0,0.47575,10.8284
4,1,7.0,0,91.0,0,7.6,0.0,0.0,5,0.25,0.01275,60.0,30.0,1.67,0,50.1,0,0.4951,21.8343
4,1,7.0,0,91.0,0,30.0,0.0,12.5,5,0.25,0.41755,60.0,30.0,1.63,0,48.9,0,0.43077,11.4497
4,1,7.0,0,91.0,0,30.0,0.0,12.5,5,0.25,0.41755,60.0,30.0,1.7,0,51.0,2,0.43077,16.9527
4,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,0,0.47575,11.8935
6,0,0.0,0,84.0,0,0.0,0.0,0.0,5,0.12,0.0,81.0,12.2,3.86,0,46.9,0,0.35789,9.8
