,Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),Initial TN (%),Initial pH,Initial Moisture Content (%),Initial C/N (%)
Material_Main,0.22344515,0.0094296355,0.0019699777,0.0016602088,0.0027271344,0.0,0.0007022446,0.008998349,0.0,0.006621281,1.8941977e-05,0.006015423,0.0020993287,0.001484965,0.009787412,0.017135596,0.017472185,0.007492536,0.03433393,0.010568128,0.0055831755,0.0072516883
Turning times,0.009429635,0.07062191,0.003633836,0.0004706336,0.00038926367,0.0,0.0009315764,0.003756836,0.0,0.0026093584,2.5565541e-05,0.0010189869,0.00031243227,0.0016899856,0.0061777416,0.0030985507,0.009381227,0.004150385,0.020436842,0.014650382,0.004748094,0.003756309
V2_Ventilation Interval (min),0.0019699784,0.0036338372,0.006697072,1.825843e-05,0.0003930614,0.0,0.0,0.0023251642,0.0,0.00015112176,0.0,0.00015662222,5.3457774e-05,0.00023877826,3.649836e-05,0.0007817425,0.002445188,0.0002808008,0.0048231534,0.0047682663,0.0007351577,0.0008821097
M1_is Enclosed,0.0016602088,0.00047063373,1.8258399e-05,0.0016391373,3.7502854e-05,0.0,5.626535e-06,7.26744e-05,0.0,0.0002129797,3.2893463e-06,0.000112456,9.751744e-05,2.186085e-05,7.639661e-05,0.00016152672,8.1750455e-05,0.00024968726,0.00036650497,0.00028208262,0.0009838531,0.0015923294
 Composting Method,0.002727134,0.00038926338,0.00039306143,3.7502778e-05,0.0069288826,0.0,3.423285e-07,0.0026214782,0.0,0.0017585492,5.6414624e-06,0.0004623424,5.443127e-06,0.00037603395,0.000111157744,0.0013657111,0.00024224853,0.0011159013,0.0009996509,0.00097354857,0.003104308,7.1616465e-05
Additive_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Additive_2,0.00070224394,0.0009315759,0.0,5.626523e-06,3.4236632e-07,0.0,0.0031038485,7.0899805e-05,0.0,0.0001093996,1.0263905e-05,1.8546567e-05,0.00035975006,0.00032381146,0.0008612519,0.00025170817,0.0024255596,0.00062862126,0.001885787,0.0012487313,0.00052353117,0.0014151906
Additive_1,0.008998349,0.0037568351,0.0023251625,7.267429e-05,0.0026214772,0.0,7.089939e-05,0.0401316,0.0,0.0029834625,1.6229927e-05,0.003100689,0.00036700568,0.002313372,0.0039053657,0.004666755,0.00237822,0.0053756866,0.010930271,0.005641729,0.0061499313,0.0017354666
Material_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3462744e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1296144e-07,0.0,1.33967e-06,1.6833949e-06,0.0,0.0
Material_2,0.006621281,0.002609358,0.00015112176,0.00021298,0.0017585488,0.0,0.000109399865,0.0029834623,0.0,0.028752862,1.6920224e-06,0.0026724087,0.0029664924,0.00022776739,0.0052520987,0.0014496061,0.0038194503,0.0044909045,0.0070971535,0.0024726258,0.0006540499,0.002224439
Additive_3,1.8941755e-05,2.5565285e-05,0.0,3.289341e-06,5.6415015e-06,0.0,1.0263909e-05,1.6229678e-05,0.0,1.6921617e-06,0.00012853775,1.3826327e-05,6.798815e-07,8.5647866e-07,2.0643226e-06,8.34022e-07,3.3582266e-05,0.00017712162,0.00018992156,5.023895e-05,4.284796e-05,5.5087392e-05
Period (d),0.0060154246,0.0010189869,0.00015662228,0.00011245635,0.00046234266,0.0,1.8546192e-05,0.0031006925,0.0,0.0026724087,1.3826077e-05,0.03217573,0.0023493867,0.0037916107,0.0033648165,0.0014231489,0.017323775,0.0056691505,0.01392825,0.0030398485,0.0024850434,0.0014833817
