Material_Main,Turning times,M1_is Enclosed, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),Final GI (%)
3,7.0,1,0,35.0,0,35.0,0.0,10.0,5,0.06,0.2,60.0,18.2,1.98,0,36.036,27,0.587,103.3
3,7.0,1,0,35.0,0,35.0,0.0,10.0,5,0.06,0.2,60.0,19.1,1.89,0,36.099,33,0.58374,94.5
8,9.33333,1,0,28.0,0,28.0,0.0,0.0,5,0.06,0.25,52.2,24.8,2.23,0,55.304,5,0.55988,116.83
8,9.33333,1,0,28.0,0,28.0,0.0,3.72823,5,0.06,0.25,52.2,24.8,2.23,0,55.304,19,0.55988,106.765
8,9.33333,1,0,28.0,0,28.0,0.0,3.78398,5,0.06,0.25,52.2,24.8,2.23,0,55.304,19,0.55988,108.157
8,0.0,1,0,60.0,0,0.0,0.0,0.0,3,0.1,0.0,58.0,33.0,1.43721,0,50.0,5,0.5,74.9231
8,0.0,1,0,60.0,0,0.0,0.0,2.5,3,0.1,0.0,58.0,34.3643,1.41191,0,48.5193,18,0.5,75.6934
8,0.0,1,0,60.0,0,0.0,0.0,5.0,3,0.1,0.0,58.0,34.7059,1.40468,0,48.75068,18,0.5,84.7699
8,0.0,1,0,60.0,0,0.0,0.0,7.5,3,0.1,0.0,58.0,33.9089,1.35045,0,45.79227,18,0.5,82.5414
8,0.0,1,0,60.0,0,0.0,0.0,10.0,3,0.1,0.0,58.0,35.0474,1.30709,0,45.81011,18,0.5,84.2347
8,7.8,1,0,39.0,0,39.0,0.0,0.0,5,0.06,0.48,69.55,20.7524,1.976,0,39.24,5,0.48697,89.82
8,7.8,1,0,39.0,0,39.0,0.0,0.0,5,0.06,0.48,69.55,20.7524,1.976,0,39.24,19,0.50441,99.54
8,7.8,1,0,39.0,0,39.0,0.0,0.0,5,0.06,0.48,69.55,20.7524,1.976,0,39.24,12,0.50441,69.87
