Aeration method,Material_2,M1_is Enclosed, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final TN (%)
0,22,1.0,1,1,5,36.0,36.0,0,0.0,0.0,0.0,5.8,0.09,60.0,10,0.52,14,14.17,2.44
0,22,1.0,1,1,5,36.0,36.0,0,0.0,0.0,0.0,10.8,0.07,60.0,10,0.74,14,14.17,2.58
0,22,1.0,1,1,5,36.0,36.0,0,0.0,0.0,0.0,15.94,0.07,60.0,10,0.95,14,14.17,2.63
0,22,1.0,1,1,5,36.0,36.0,0,0.0,0.0,0.0,19.66,0.09,60.0,10,0.73,14,14.17,2.45
0,14,1.0,0,3,7,26.0,26.0,0,0.0,0.0,0.0,0.0,0.02,61.8,30,0.91,12,16.5,2.32
0,14,1.0,0,1,7,26.0,26.0,0,0.0,0.0,0.0,0.56,0.02,61.8,22,0.91,12,16.72,2.72
3,21,1.0,0,3,5,19.0,0.0,2,0.0,0.0,4.8,0.0,0.1,45.0,30,0.0,12,13.42,1.42
3,21,1.0,0,1,5,19.0,0.0,2,0.0,0.0,2.9,4.4,0.09,66.09,21,0.0,4,13.42,3.07
3,21,1.0,0,1,5,19.0,0.0,2,0.0,0.0,2.8,8.8,0.09,65.67,21,0.0,4,13.42,3.09
3,21,1.0,0,1,5,19.0,0.0,2,0.0,0.0,2.7,13.2,0.08,65.67,21,0.0,4,13.42,3.05
3,21,1.0,0,1,5,19.0,0.0,2,0.0,0.0,3.2,17.8,0.07,64.27,21,0.0,4,13.42,3.15
3,21,1.0,0,1,5,19.0,0.0,2,0.0,0.0,3.7,22.0,0.03,64.82,21,0.0,4,13.42,3.24
3,21,1.0,0,1,5,19.0,0.0,2,0.0,0.0,2.9,3.4,0.09,66.09,21,0.0,4,13.42,3.09
3,21,1.0,0,1,5,19.0,0.0,2,0.0,0.0,2.8,6.9,0.09,66.59,21,0.0,4,13.42,3.11
3,21,1.0,0,1,5,19.0,0.0,2,0.0,0.0,2.7,10.3,0.08,65.67,21,0.0,4,13.42,3.26
3,21,1.0,0,1,5,19.0,0.0,2,0.0,0.0,2.7,13.7,0.08,65.67,21,0.0,4,13.42,3.09
3,21,1.0,0,1,5,19.0,0.0,2,0.0,0.0,3.2,17.2,0.07,64.27,21,0.0,4,13.42,3.22
3,21,1.0,0,1,5,19.0,0.0,2,0.0,0.0,2.9,2.5,0.09,66.09,21,0.0,4,13.42,3.24
3,21,1.0,0,1,5,19.0,0.0,2,0.0,0.0,2.9,5.0,0.09,66.09,21,0.0,4,13.42,3.27
3,21,1.0,0,1,5,19.0,0.0,2,0.0,0.0,2.8,7.4,0.09,65.67,21,0.0,4,13.42,3.28
3,21,1.0,0,1,5,19.0,0.0,2,0.0,0.0,2.7,10.0,0.08,65.67,21,0.0,4,13.42,3.28
3,21,1.0,0,1,5,19.0,0.0,2,0.0,0.0,2.7,12.4,0.08,65.67,21,0.0,4,13.42,3.24
1,1,1.0,0,3,7,35.0,35.0,0,0.0,0.0,4.0,0.0,0.06,70.4,30,0.38,12,20.3,2.61
1,1,1.0,0,1,7,35.0,35.0,0,0.0,0.0,4.0,4.56,0.06,66.0,21,0.38,4,20.36,2.65
1,1,1.0,0,1,7,35.0,35.0,0,0.0,0.0,4.0,6.48,0.06,65.69,21,0.38,14,21.43,2.68
1,14,0.0,1,3,7,56.0,21.0,0,0.0,0.0,5.0,0.0,0.4,66.4,30,0.33,12,21.6,1.4
1,14,0.0,1,4,7,56.0,21.0,0,0.0,0.0,5.0,8.53,0.4,64.9,3,0.33,12,20.63,1.5
1,14,0.0,1,4,7,56.0,21.0,0,0.0,0.0,5.0,16.53,0.4,63.7,3,0.33,12,20.92,1.67
1,14,0.0,1,4,7,56.0,21.0,0,0.0,0.0,5.0,23.94,0.4,62.4,3,0.33,12,19.26,1.74
1,14,0.75,0,3,7,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,30,0.44,12,20.54,2.4
1,14,0.75,0,0,7,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,12,20.54,2.86
1,14,1.0,0,4,7,51.0,51.0,1,0.25,10.0,1.0,15.85,0.03,60.63,34,0.41,12,29.6,2.11
1,14,1.0,0,4,7,51.0,51.0,1,0.25,10.0,1.0,10.25,0.03,64.91,13,0.3,12,20.08,2.47
1,14,1.0,0,3,7,51.0,51.0,1,0.25,10.0,1.0,0.0,0.03,61.89,30,0.31,12,27.86,2.18
3,7,0.75,2,3,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,30,0.44,12,20.54,1.37
3,7,0.75,2,1,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,14,0.44,12,20.54,1.33
3,7,0.75,2,1,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,14,0.44,12,20.54,1.38
3,7,0.75,2,1,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,14,0.44,12,20.54,1.23
3,7,0.75,2,4,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,36,0.44,12,20.54,1.42
3,7,0.75,2,4,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,36,0.44,12,20.54,1.2
3,7,0.75,2,4,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,36,0.44,12,20.54,1.22
0,14,1.0,0,3,6,16.0,16.0,0,0.0,0.0,0.0,0.0,0.1,61.7,30,0.23,12,16.64,2.7
0,14,1.0,0,1,6,14.0,14.0,0,0.0,0.0,0.0,10.0,0.1,64.2,10,0.23,12,18.2,2.6
1,14,1.0,0,3,7,18.0,18.0,0,0.0,0.0,2.0,0.0,0.01,63.74,30,0.31,12,12.3,2.93
1,14,1.0,0,0,7,18.0,18.0,0,0.0,0.0,2.0,1.0,0.01,63.74,39,0.31,12,12.92,3.06
0,22,1.0,0,3,0,15.0,15.0,0,0.0,0.0,0.0,0.0,0.17,70.5,30,0.29,12,26.0,1.95
0,22,1.0,0,4,0,15.0,15.0,0,0.0,0.0,0.0,3.63,0.17,71.0,26,0.29,12,21.49,1.95
0,22,1.0,0,4,0,15.0,15.0,0,0.0,0.0,0.0,7.31,0.17,71.5,26,0.29,12,19.28,2.05
0,22,1.0,0,4,0,15.0,15.0,0,0.0,0.0,0.0,9.98,0.17,69.0,26,0.27,12,30.0,1.85
0,22,1.0,0,3,0,15.0,15.0,0,0.0,0.0,0.0,0.0,0.17,70.0,30,0.26,12,21.03,2.62
0,22,1.0,0,4,0,15.0,15.0,0,0.0,0.0,0.0,13.1,0.17,71.8,31,0.28,12,21.56,2.28
0,22,1.0,0,4,0,15.0,15.0,0,0.0,0.0,0.0,24.37,0.17,69.6,31,0.26,12,22.23,2.52
0,22,1.0,0,4,0,15.0,15.0,0,0.0,0.0,0.0,37.59,0.17,70.3,31,0.27,12,20.16,2.1
0,22,1.0,0,3,0,15.0,6.0,0,0.0,0.0,0.0,0.0,0.17,70.6,30,0.29,12,18.04,2.03
0,22,1.0,0,1,0,15.0,6.0,0,0.0,0.0,0.0,3.1,0.17,70.8,29,0.29,11,15.34,2.06
0,22,1.0,0,1,0,15.0,6.0,0,0.0,0.0,0.0,3.44,0.17,70.1,29,0.28,11,16.88,2.16
0,22,1.0,0,1,0,15.0,6.0,0,0.0,0.0,0.0,3.69,0.17,69.8,29,0.28,11,16.88,2.07
0,22,1.0,0,3,0,15.0,15.0,0,0.0,0.0,0.0,0.0,0.17,71.5,30,0.28,12,20.38,2.3
0,22,1.0,0,1,0,15.0,15.0,0,0.0,0.0,0.0,3.67,0.17,72.3,29,0.28,11,19.59,1.98
0,22,1.0,0,1,0,15.0,15.0,0,0.0,0.0,0.0,7.02,0.17,71.3,29,0.27,11,19.28,1.7
0,22,1.0,0,1,0,15.0,15.0,0,0.0,0.0,0.0,10.35,0.17,71.1,29,0.27,11,19.8,1.5
1,10,1.0,0,3,6,42.0,21.0,0,0.0,0.0,3.3,0.0,0.4,71.68,30,0.48,12,32.89,0.93
1,10,1.0,0,4,6,42.0,21.0,0,0.0,0.0,13.5,3.5,0.4,63.33,3,0.52,12,33.86,0.96
1,10,1.0,0,4,6,42.0,21.0,0,0.0,0.0,8.2,10.6,0.4,63.03,3,0.37,12,35.56,1.04
1,10,1.0,0,4,6,42.0,21.0,0,0.0,0.0,7.6,17.7,0.4,63.99,3,0.56,12,37.15,1.08
1,10,1.0,0,4,6,42.0,21.0,0,0.0,0.0,7.2,24.7,0.4,59.91,3,0.61,12,38.62,1.13
1,10,0.75,0,4,6,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,3,0.44,12,20.54,1.19
3,0,0.75,2,3,5,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,30,0.44,12,20.54,2.77
3,0,0.75,2,4,5,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,3,0.44,12,20.54,2.58
1,16,1.0,0,3,6,44.0,44.0,1,20.0,20.0,6.0,0.0,0.27,68.45,30,0.46,12,12.59,2.11
1,16,1.0,0,4,6,44.0,44.0,1,20.0,20.0,6.0,5.89,0.28,66.71,3,0.45,12,13.37,2.0
1,16,1.0,0,4,6,44.0,44.0,1,20.0,20.0,6.0,11.86,0.28,67.58,3,0.44,12,14.22,2.1
1,16,1.0,0,4,6,44.0,44.0,1,20.0,20.0,6.0,21.41,0.28,65.41,3,0.43,12,14.81,1.95
1,14,1.0,0,1,6,22.0,22.0,0,0.0,0.0,11.0,2.93,0.0,57.9,15,0.49,12,14.97,2.23
1,14,1.0,0,1,6,22.0,22.0,0,0.0,0.0,11.0,3.44,0.0,58.2,15,0.49,12,14.97,2.18
1,14,1.0,0,1,6,22.0,22.0,0,0.0,0.0,11.0,2.0,0.0,59.4,15,0.46,12,13.18,2.79
1,14,1.0,0,1,6,22.0,22.0,0,0.0,0.0,11.0,5.18,0.0,57.5,15,1.21,12,18.0,2.67
1,14,1.0,0,3,6,22.0,22.0,0,0.0,0.0,11.0,0.0,0.0,58.2,30,0.39,12,15.36,1.92
1,12,0.75,0,3,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,30,0.44,12,20.54,1.43
1,12,0.75,0,4,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,1,0.44,12,20.54,3.12
1,12,0.75,0,4,5,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,33,0.44,12,20.54,2.38
1,14,1.0,0,3,3,19.0,19.0,0,0.0,0.0,9.0,0.0,0.19,70.0,30,10.0,12,26.39,1.33
1,14,1.0,0,0,3,19.0,19.0,0,0.0,0.0,9.0,3.0,0.2,70.0,25,10.0,12,26.39,1.44
1,14,1.0,0,1,3,19.0,19.0,0,0.0,0.0,9.0,6.9,0.2,70.0,23,10.0,4,26.35,1.84
1,14,1.0,0,2,3,19.0,19.0,0,0.0,0.0,9.0,9.9,0.2,70.0,25,10.0,8,26.35,1.9
3,7,0.0,1,0,8,35.0,0.0,2,0.0,0.0,7.0,3.02,1.0,66.85,25,0.0,12,18.98,1.88
3,7,0.0,1,2,8,35.0,0.0,2,0.0,0.0,7.0,6.06,1.0,67.02,11,0.0,13,17.48,2.0
3,7,0.0,1,2,8,35.0,0.0,2,0.0,0.0,7.0,8.87,1.0,66.18,11,0.0,13,17.48,2.05
3,7,0.0,1,2,8,35.0,0.0,2,0.0,0.0,7.0,11.88,1.0,66.32,11,0.0,13,15.69,2.18
1,14,0.75,0,3,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,30,0.44,12,20.54,2.82
1,14,0.75,0,4,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,43,0.44,12,20.54,3.18
1,14,0.75,0,1,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,38,0.44,12,20.54,3.16
1,14,0.75,0,1,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,21,0.44,4,20.54,3.11
1,14,0.75,1,3,7,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,30,0.44,12,20.54,2.4
1,14,0.75,1,0,7,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,27,0.44,12,20.54,2.2
3,14,0.0,1,3,7,112.0,0.0,2,0.0,0.0,12.0,0.0,1.24,64.9,30,0.0,12,14.25,2.9
3,14,0.0,1,0,7,112.0,0.0,2,0.0,0.0,12.0,2.82,1.63,64.5,27,0.0,12,14.25,3.3
1,6,0.75,0,3,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,30,0.44,12,20.54,2.47
1,6,0.75,0,1,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,9,0.44,12,20.54,3.04
1,22,0.75,0,3,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,30,0.44,12,20.54,2.76
1,22,0.75,0,1,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,38,0.44,12,20.54,3.1
1,22,0.75,0,1,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,35,0.44,12,20.54,3.0
1,22,0.75,0,1,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,42,0.44,12,20.54,3.1
