Aeration method,Material_2,M1_is Enclosed, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final NH3-N (g_kg)
0,22,1.0,1,4,4,36.0,36.0,0,0.0,0.0,0.0,15.17,0.08,60.0,44,0.95,11,14.17,10.66
0,22,1.0,1,1,4,36.0,36.0,0,0.0,0.0,0.0,5.8,0.09,60.0,11,0.52,13,14.17,8.28
0,22,1.0,1,1,4,36.0,36.0,0,0.0,0.0,0.0,10.8,0.07,60.0,11,0.74,13,14.17,9.26
0,22,1.0,1,1,4,36.0,36.0,0,0.0,0.0,0.0,19.66,0.09,60.0,11,0.73,13,14.17,13.36
0,13,1.0,0,3,7,26.0,26.0,0,0.0,0.0,0.0,0.0,0.02,61.8,34,0.91,11,16.5,2.09
0,13,1.0,0,1,7,26.0,26.0,0,0.0,0.0,0.0,0.56,0.02,61.8,25,0.91,11,16.72,3.29
3,21,1.0,0,3,4,19.0,0.0,2,0.0,0.0,4.8,0.0,0.1,45.0,34,0.0,11,13.42,10.97
3,21,1.0,0,1,4,19.0,0.0,2,0.0,0.0,2.9,4.4,0.09,66.09,24,0.0,2,13.42,9.41
3,21,1.0,0,1,4,19.0,0.0,2,0.0,0.0,2.8,8.8,0.09,65.67,24,0.0,2,13.42,9.2
3,21,1.0,0,1,4,19.0,0.0,2,0.0,0.0,2.7,13.2,0.08,65.67,24,0.0,2,13.42,10.4
3,21,1.0,0,1,4,19.0,0.0,2,0.0,0.0,3.2,17.8,0.07,64.27,24,0.0,2,13.42,11.85
3,21,1.0,0,1,4,19.0,0.0,2,0.0,0.0,3.7,22.0,0.03,64.82,24,0.0,2,13.42,11.35
3,21,1.0,0,1,4,19.0,0.0,2,0.0,0.0,2.7,10.3,0.08,65.67,24,0.0,2,13.42,10.56
3,21,1.0,0,1,4,19.0,0.0,2,0.0,0.0,2.7,13.7,0.08,65.67,24,0.0,2,13.42,10.17
3,21,1.0,0,1,4,19.0,0.0,2,0.0,0.0,2.9,2.5,0.09,66.09,24,0.0,2,13.42,11.23
3,21,1.0,0,1,4,19.0,0.0,2,0.0,0.0,2.8,7.4,0.09,65.67,24,0.0,2,13.42,9.0
3,21,1.0,0,1,4,19.0,0.0,2,0.0,0.0,2.7,10.0,0.08,65.67,24,0.0,2,13.42,9.88
