Aeration method,Material_2,M1_is Enclosed, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final pH
3,1,0.0,2,4,6,46.0,0.0,2,0.0,0.0,2.0,25.0,1.0,60.0,56,0.0,15,24.86,8.47
0,14,1.0,0,3,9,26.0,26.0,0,0.0,0.0,0.0,0.0,0.02,61.8,41,0.91,15,16.5,8.56
0,14,1.0,0,1,9,26.0,26.0,0,0.0,0.0,0.0,0.56,0.02,61.8,29,0.91,15,16.72,7.92
1,1,1.0,0,3,9,35.0,35.0,0,0.0,0.0,4.0,0.0,0.06,70.4,41,0.38,15,20.3,7.81
1,1,1.0,0,1,9,35.0,35.0,0,0.0,0.0,4.0,4.56,0.06,66.0,28,0.38,5,20.36,7.71
1,1,1.0,0,1,9,35.0,35.0,0,0.0,0.0,4.0,6.48,0.06,65.69,28,0.38,17,21.43,7.53
3,14,1.0,0,3,9,18.0,18.0,0,0.0,0.0,0.0,0.0,0.01,60.0,41,0.16,15,15.96,8.4
3,14,1.0,0,1,9,18.0,18.0,0,0.0,0.0,0.0,2.44,0.01,60.0,1,0.16,18,15.96,7.6
3,14,1.0,0,1,9,18.0,18.0,0,0.0,0.0,0.0,2.44,0.01,60.0,1,0.16,18,15.96,7.6
3,14,1.0,0,1,9,18.0,18.0,0,0.0,0.0,0.0,2.44,0.01,60.0,1,0.16,18,15.96,7.6
1,14,0.75,0,3,9,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,41,0.44,15,20.54,7.2
1,14,0.75,0,0,9,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,34,0.44,15,20.54,7.1
1,14,1.0,0,4,9,51.0,51.0,1,0.25,10.0,1.0,15.85,0.03,60.63,47,0.41,15,29.6,8.59
1,14,1.0,0,4,9,51.0,51.0,1,0.25,10.0,1.0,10.25,0.03,64.91,17,0.3,15,20.08,8.57
1,14,1.0,0,3,9,51.0,51.0,1,0.25,10.0,1.0,0.0,0.03,61.89,41,0.31,15,27.86,8.46
1,7,0.75,0,4,6,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,45,0.44,15,20.54,7.53
1,7,0.75,0,4,6,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,54,0.44,15,20.54,7.31
1,7,0.75,0,3,6,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,41,0.44,15,20.54,7.14
3,7,0.75,2,3,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,41,0.44,15,20.54,7.8
3,7,0.75,2,1,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,18,0.44,15,20.54,7.4
3,7,0.75,2,1,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,18,0.44,15,20.54,7.4
3,7,0.75,2,1,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,18,0.44,15,20.54,7.3
3,7,0.75,2,4,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,49,0.44,15,20.54,7.9
3,7,0.75,2,4,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,49,0.44,15,20.54,7.7
3,7,0.75,2,4,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,49,0.44,15,20.54,7.8
0,14,1.0,0,3,8,16.0,16.0,0,0.0,0.0,0.0,0.0,0.1,61.7,41,0.23,15,16.64,8.8
0,14,1.0,0,1,8,14.0,14.0,0,0.0,0.0,0.0,10.0,0.1,64.2,14,0.23,15,18.2,8.0
1,14,1.0,0,3,9,18.0,18.0,0,0.0,0.0,2.0,0.0,0.01,63.74,41,0.31,15,12.3,7.64
1,14,1.0,0,0,9,18.0,18.0,0,0.0,0.0,2.0,1.0,0.01,63.74,52,0.31,15,12.92,7.84
0,25,1.0,0,3,0,15.0,15.0,0,0.0,0.0,0.0,0.0,0.17,70.5,41,0.29,15,26.0,8.6
0,25,1.0,0,4,0,15.0,15.0,0,0.0,0.0,0.0,3.63,0.17,71.0,33,0.29,15,21.49,8.7
0,25,1.0,0,4,0,15.0,15.0,0,0.0,0.0,0.0,7.31,0.17,71.5,33,0.29,15,19.28,8.7
0,25,1.0,0,4,0,15.0,15.0,0,0.0,0.0,0.0,9.98,0.17,69.0,33,0.27,15,30.0,8.7
0,25,1.0,0,3,0,15.0,15.0,0,0.0,0.0,0.0,0.0,0.17,70.0,41,0.26,15,21.03,8.8
0,25,1.0,0,4,0,15.0,15.0,0,0.0,0.0,0.0,13.1,0.17,71.8,42,0.28,15,21.56,8.8
0,25,1.0,0,4,0,15.0,15.0,0,0.0,0.0,0.0,24.37,0.17,69.6,42,0.26,15,22.23,8.8
0,25,1.0,0,4,0,15.0,15.0,0,0.0,0.0,0.0,37.59,0.17,70.3,42,0.27,15,20.16,8.7
0,25,1.0,0,3,0,15.0,6.0,0,0.0,0.0,0.0,0.0,0.17,70.6,41,0.29,15,18.04,8.5
0,25,1.0,0,1,0,15.0,6.0,0,0.0,0.0,0.0,3.1,0.17,70.8,37,0.29,14,15.34,8.0
0,25,1.0,0,1,0,15.0,6.0,0,0.0,0.0,0.0,3.44,0.17,70.1,37,0.28,14,16.88,8.5
0,25,1.0,0,1,0,15.0,6.0,0,0.0,0.0,0.0,3.69,0.17,69.8,37,0.28,14,16.88,8.8
0,25,1.0,0,3,0,15.0,15.0,0,0.0,0.0,0.0,0.0,0.17,71.5,41,0.28,15,20.38,8.8
0,25,1.0,0,1,0,15.0,15.0,0,0.0,0.0,0.0,3.67,0.17,72.3,37,0.28,14,19.59,8.4
0,25,1.0,0,1,0,15.0,15.0,0,0.0,0.0,0.0,7.02,0.17,71.3,37,0.27,14,19.28,8.8
0,25,1.0,0,1,0,15.0,15.0,0,0.0,0.0,0.0,10.35,0.17,71.1,37,0.27,14,19.8,8.7
3,0,0.75,2,3,6,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,41,0.44,15,20.54,9.12
3,0,0.75,2,4,6,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,6,0.44,15,20.54,9.09
1,14,0.75,0,3,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,41,0.44,15,20.54,9.06
1,14,1.0,0,1,6,13.0,13.0,1,20.0,40.0,6.0,4.12,0.06,73.25,29,0.72,6,27.36,8.98
1,14,1.0,0,1,6,13.0,13.0,1,20.0,40.0,6.0,6.5,0.06,73.31,29,0.72,6,29.46,8.82
1,14,1.0,0,1,6,13.0,13.0,1,20.0,40.0,6.0,11.04,0.06,71.66,29,0.72,6,24.46,8.54
1,14,1.0,0,1,8,22.0,22.0,0,0.0,0.0,11.0,2.0,0.0,59.4,19,0.46,15,13.18,7.81
1,14,1.0,0,1,8,22.0,22.0,0,0.0,0.0,11.0,5.18,0.0,57.5,19,1.21,15,18.0,8.11
1,14,1.0,0,3,8,22.0,22.0,0,0.0,0.0,11.0,0.0,0.0,58.2,41,0.39,15,15.36,8.62
3,24,1.0,0,4,8,56.0,0.0,2,0.0,0.0,6.0,4.0,0.13,60.48,4,0.0,15,28.77,7.54
3,24,1.0,0,4,8,56.0,0.0,2,0.0,0.0,5.5,6.0,0.13,60.98,4,0.0,15,28.99,8.23
1,14,1.0,0,3,8,16.0,16.0,0,0.0,0.0,3.0,0.0,0.04,70.9,41,0.52,15,20.0,8.33
1,14,1.0,0,4,8,16.0,16.0,0,0.0,0.0,3.0,14.0,0.04,71.7,6,0.53,15,21.0,8.42
1,14,1.0,0,4,8,16.0,16.0,0,0.0,0.0,3.0,14.0,0.04,68.3,6,0.47,15,25.0,8.32
1,12,0.75,0,3,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,41,0.44,15,20.54,7.11
1,12,0.75,0,4,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,3,0.44,15,20.54,7.47
1,12,0.75,0,4,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,46,0.44,15,20.54,7.36
1,1,1.0,0,3,3,30.0,30.0,0,0.0,0.0,4.0,0.0,0.06,60.6,41,0.2,15,20.0,8.59
1,1,1.0,0,1,3,30.0,30.0,0,0.0,0.0,4.0,2.14,0.06,52.89,28,0.2,5,17.3,8.66
1,1,1.0,0,4,3,30.0,30.0,0,0.0,0.0,4.0,3.2,0.06,54.68,51,0.2,15,19.82,7.88
1,1,1.0,0,1,3,30.0,30.0,0,0.0,0.0,4.0,2.22,0.06,52.89,14,0.2,15,17.3,8.38
1,1,1.0,0,1,3,30.0,30.0,0,0.0,0.0,4.0,2.54,0.06,52.74,5,0.2,15,19.82,8.51
1,14,1.0,0,3,3,19.0,19.0,0,0.0,0.0,9.0,0.0,0.19,70.0,41,10.0,15,26.39,8.11
1,14,1.0,0,0,3,19.0,19.0,0,0.0,0.0,9.0,3.0,0.2,70.0,32,10.0,15,26.39,8.1
1,14,1.0,0,1,3,19.0,19.0,0,0.0,0.0,9.0,6.9,0.2,70.0,30,10.0,5,26.35,7.71
1,14,1.0,0,2,3,19.0,19.0,0,0.0,0.0,9.0,9.9,0.2,70.0,32,10.0,11,26.35,7.71
1,12,0.75,0,0,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,32,0.44,15,20.54,7.97
1,12,0.75,0,2,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,56,0.44,13,20.54,7.79
1,12,0.75,0,2,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,56,0.44,13,20.54,7.7
1,12,0.75,0,2,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,56,0.44,13,20.54,7.62
3,7,0.0,1,0,10,35.0,0.0,2,0.0,0.0,7.0,3.02,1.0,66.85,32,0.0,15,18.98,7.47
3,7,0.0,1,2,10,35.0,0.0,2,0.0,0.0,7.0,6.06,1.0,67.02,15,0.0,16,17.48,7.41
3,7,0.0,1,2,10,35.0,0.0,2,0.0,0.0,7.0,8.87,1.0,66.18,15,0.0,16,17.48,7.43
3,7,0.0,1,2,10,35.0,0.0,2,0.0,0.0,7.0,11.88,1.0,66.32,15,0.0,16,15.69,7.46
1,14,0.75,0,3,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,41,0.44,15,20.54,7.36
1,14,0.75,0,4,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,56,0.44,15,20.54,7.06
1,14,0.75,0,1,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,51,0.44,15,20.54,7.42
1,14,0.75,0,1,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,28,0.44,5,20.54,7.38
1,14,0.75,1,0,9,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,34,0.44,15,20.54,6.9
3,14,0.0,1,3,9,112.0,0.0,2,0.0,0.0,12.0,0.0,1.24,64.9,41,0.0,15,14.25,8.0
3,14,0.0,1,0,9,112.0,0.0,2,0.0,0.0,12.0,2.82,1.63,64.5,34,0.0,15,14.25,7.6
1,6,0.75,0,3,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,41,0.44,15,20.54,8.21
1,6,0.75,0,4,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,56,0.44,15,20.54,7.92
1,6,0.75,0,1,8,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,13,0.44,15,20.54,7.86
1,14,1.0,1,3,9,56.0,28.0,0,0.0,0.0,8.0,0.0,0.4,65.0,41,0.0,15,26.68,7.71
1,14,1.0,1,4,9,56.0,28.0,0,0.0,0.0,8.0,8.48,0.4,65.0,6,0.0,15,25.77,7.87
1,14,1.0,1,4,9,56.0,28.0,0,0.0,0.0,8.0,16.95,0.4,65.0,6,0.0,15,24.28,8.26
1,14,1.0,1,4,9,56.0,28.0,0,0.0,0.0,8.0,25.43,0.4,65.0,6,0.0,15,24.07,8.4
1,14,1.0,1,4,9,56.0,28.0,0,0.0,0.0,8.0,9.04,0.4,65.0,6,0.0,0,24.57,7.88
1,14,1.0,1,4,9,56.0,28.0,0,0.0,0.0,8.0,9.61,0.4,65.0,6,0.0,0,24.57,8.51
1,14,1.0,1,4,9,56.0,28.0,0,0.0,0.0,8.0,10.17,0.4,65.0,6,0.0,0,24.57,7.82
1,14,1.0,0,4,3,35.0,35.0,0,0.0,0.0,9.0,2.25,0.02,64.71,25,0.5,15,29.01,8.56
1,14,1.0,0,1,3,35.0,35.0,0,0.0,0.0,9.0,2.57,0.02,64.07,25,0.5,11,30.34,8.77
1,14,1.0,0,1,3,35.0,35.0,0,0.0,0.0,9.0,3.32,0.02,60.53,25,0.5,11,26.95,9.13
1,14,1.0,0,1,3,35.0,35.0,0,0.0,0.0,9.0,4.07,0.02,65.74,25,0.5,11,29.05,9.11
1,25,0.75,0,3,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,41,0.44,15,20.54,8.51
1,25,0.75,0,1,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,51,0.44,15,20.54,8.2
1,25,0.75,0,1,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,48,0.44,15,20.54,8.4
1,25,0.75,0,1,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,55,0.44,15,20.54,8.31
1,5,0.75,0,1,3,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,36,0.44,15,20.54,9.16
1,5,0.75,0,3,3,42.77,22.5,0,2.17,8.47,5.45,5.25,1.46,64.48,41,0.44,15,20.54,8.61
1,25,1.0,0,4,8,56.0,56.0,1,0.0,0.0,11.0,6.0,0.13,55.0,6,1.11,15,23.99,7.56
1,25,1.0,0,4,8,56.0,56.0,1,0.0,0.0,11.0,8.0,0.13,55.0,6,1.11,15,22.32,8.31
1,25,1.0,0,4,8,56.0,56.0,1,0.0,0.0,11.0,12.0,0.13,55.0,6,1.11,15,21.14,8.62
1,25,1.0,0,4,8,56.0,56.0,1,0.0,0.0,11.0,18.0,0.13,55.0,6,1.11,15,20.4,8.95
1,1,1.0,0,3,9,35.0,35.0,0,0.0,0.0,4.0,0.0,0.06,69.2,41,0.3,15,18.4,7.89
