Additive_1,Additive_1_mean_N2O-N loss (%)
Biochar,0.558431385131498
Ca-superphosphate,0.7704238095238096
Calcium magnesium phosphate fertilizer,0.41000000000000003
Carbonatite,0.016
Clay,2.0901130769230774
Forsterite,0.645
Gypsum,0.19223809523809568
Inorganic acid,1.0200000000000002
Labile carbon source,1.2
Lignite,0.001930368664053048
Mg(OH)₂,1.2850000000000001
MgHPO₄,0.5
Microbiological agent,2.9659999999999997
None,1.4360849206680204
Organic acid,3.1522735883424393
Phosphogypsum,1.106
Potassium phosphate,0.7949999999999999
Sand,0.052428571428571435
Sulfur,2.48
Urea,0.9
Zeolite,0.39
