Period (d),Initial GI (%),Initial pH, Composting Method,Compost volume (m3),Application Rate (%DW),Additive_2,V2_Ventilation Interval (min),Material_3,Initial Moisture Content (%),M1_is Enclosed,V5_Ventilation rate (L/min/kg iniDW),Turning times,Material_Main,Initial C/N (%),Additive_4,V1_Ventilation Type,V3_Ventilation Duration (min),V4_Ventilation Day,Additive_3,Material_2,Additive_1,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
61.0,27.32884658064516,11.70360837513575,0.0,4.210797122302158,4.132287978026565,3.0,616.0,0.0,46.888413942810416,1.0,1.6573157374072334,29.0,8,17.137776920976737,1.0,1.0,3.3389665614226116,52.0,4.0,3.0,34.0,2.1457865217391303,36.774010729603816,95.91402499999998,7.980435575296111,0.8653522729873657,0.15668422887994063,29.101756495936613
125.0,27.32884658064516,8.12870496854455,2.0,4.210797122302158,5.255885104210519,15.0,0.0,2.0,65.1058787912541,1.0,8.058017309381054,28.0,8,25.216946024719682,1.0,0.0,46.604130757012406,70.0,4.0,2.0,14.0,2.1457865217391303,54.11018289926664,95.91353500000001,5.24640055949759,0.870778501033783,0.22174583151857036,26.636312657656735
29.0,27.32884658064516,6.557971338887447,1.0,4.210797122302158,1.4420216180889711,6.0,0.0,3.0,59.0467833089997,0.0,0.0,7.0,8,9.692226920189611,1.0,2.0,0.0,0.0,4.0,14.0,7.0,2.1457865217391303,20.79744989098003,96.52092899999998,1.6298791589794246,0.2240939736366272,0.12757418196950507,28.417435160245052
124.0,27.32884658064516,7.545511530367675,2.0,4.210797122302158,7.663006797462868,15.0,0.0,0.0,64.75324497714467,0.0,4.672471048738655,14.0,8,14.342080845386135,1.0,0.0,16.15024798141255,80.0,4.0,2.0,12.0,2.1457865217391303,30.775043771722522,96.077855,4.979322642251236,0.5521015524864197,0.21615139334506353,27.248950774731377
71.0,27.32884658064516,8.204181286780678,2.0,4.210797122302158,8.178255996746334,2.0,0.0,0.0,63.41638764672151,1.0,3.7072398654635155,28.0,8,22.165743068472235,1.0,0.0,1.9313669583971325,55.0,4.0,3.0,10.0,2.1457865217391303,47.56295272066028,97.59420700000001,7.6358314065129615,0.8577157258987427,0.2152632194286368,28.018347775680006
118.0,27.32884658064516,5.892883076561553,1.0,4.210797122302158,6.102602763630324,8.0,0.0,0.0,80.84211046167769,0.0,3.4628746780554645,9.0,8,5.473204328511526,1.0,0.0,30.67304799305549,52.0,4.0,12.0,33.0,2.1457865217391303,11.744328078844301,95.410396,5.367464659641197,0.46667197346687317,0.18083725195369527,25.193852828677578
15.0,27.32884658064516,5.092745411825936,2.0,4.210797122302158,0.7636893924128796,13.0,0.0,2.0,78.22863038199868,1.0,1.8578889397476475,21.0,8,24.974714433948332,1.0,2.0,0.0,0.0,4.0,3.0,24.0,2.1457865217391303,53.590405616650045,96.566739,3.9938611557242325,0.6988661885261536,0.22624088267619535,28.362370606189614
96.0,27.32884658064516,7.054841516705487,0.0,4.210797122302158,0.5262429375178593,11.0,0.0,3.0,72.00243126389226,1.0,5.3559763908805085,12.0,8,30.38694943110816,1.0,0.0,3.2625696680111833,60.0,4.0,8.0,38.0,2.1457865217391303,67.90974061660822,98.75286500000004,5.865662314046502,0.2564087510108948,0.20221174247953572,1000000.0
110.0,27.328846580645163,4.668923429594432,0.0,4.210797122302158,0.9249591015626535,1.0,0.0,2.0,55.43025318206818,1.0,0.0,12.0,8,15.807611542991555,1.0,2.0,0.0,0.0,4.0,6.0,21.0,2.1457865217391303,33.919759789839176,96.030834,2.97339668887557,0.11939485371112823,0.2113248458143097,26.2296396241693
85.0,27.328846580645163,6.159364956841161,1.0,4.210797122302158,5.930824027043055,6.0,0.0,3.0,70.88045508317452,0.0,0.0,20.0,8,15.706631272193986,1.0,2.0,0.13719684494119122,0.0,4.0,5.0,22.0,2.1457865217391303,33.70307768580019,95.151548,2.258337290377072,0.6993834376335144,0.21950455410424724,23.036088443781484
