V4_Ventilation Day,V1_Ventilation Type,M1_is Enclosed,Material_Main,Additive_4, Composting Method,V3_Ventilation Duration (min),Additive_2,Period (d),V2_Ventilation Interval (min),Material_2,V5_Ventilation rate (L/min/kg iniDW),Initial pH,Turning times,Initial Moisture Content (%),Additive_1,Compost volume (m3),Additive_3,Application Rate (%DW),Initial GI (%),Initial C/N (%),Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
24.0,1.0,1.0,9,1.0,0.0,49.56031681978813,7.0,116.0,449.0,0.0,9.379452265551521,10.986438512071661,0.0,50.165673058918706,22.0,0.045,4.0,9.31184790918805,27.32884658064516,30.1779657711309,0.0,1.97,59.45059256912787,104.16233100000001,6.2064670373110475,0.5285902619361877,0.16024848288557397,19.95885264445171
8.0,1.0,1.0,9,1.0,0.0,38.48221860947556,1.0,14.0,916.0,12.0,7.752695576136526,11.7486042146401,8.0,45.89578251195759,33.0,0.045,4.0,2.8218333606053854,27.328846580645163,31.332740017212295,4.0,1.97,62.98777851171037,106.843703,6.3964899085174265,0.5109208822250366,0.1343644321505711,1000000.0
56.0,1.0,1.0,9,1.0,1.0,43.03793254060826,0.0,93.0,233.0,12.0,3.3585835336315095,5.69159062244609,26.0,46.53772439664374,21.0,0.045,4.0,2.8435932348346094,27.32884658064516,45.220216098904245,9.0,1.97,89.08382571484137,104.91866799999998,6.916428012122602,0.37501850724220276,0.17102243221788282,26.773556615122082
4.0,0.0,1.0,9,1.0,0.0,27.29118791255565,11.0,14.0,0.0,6.0,2.4278193298618636,11.382720371087874,22.0,45.36751797021529,37.0,0.045,4.0,0.032299474665786754,27.32884658064516,44.493018419891435,3.0,1.97,87.65124628718613,104.40551199999993,3.820573599728164,0.9450733661651611,0.2221022347886108,30.076727028795858
0.0,2.0,1.0,9,1.0,1.0,0.0,1.0,83.0,0.0,8.0,0.0,4.513200044955869,17.0,44.56739118393391,21.0,0.045,4.0,0.975280449558682,27.32884658064516,32.99794960547809,0.0,1.97,65.00596072279184,104.947015,5.300166773990991,0.19531267881393433,0.23246566690900738,25.51979999082983
38.0,1.0,1.0,9,1.0,0.0,55.66558674675137,8.0,98.0,307.0,6.0,4.1680778620578165,9.583608037756457,22.0,43.599981978903394,22.0,0.045,4.0,9.024794063675015,27.32884658064516,43.937201185565876,2.0,1.97,86.55628633556478,103.967438,6.726405140916223,0.5381940603256226,0.16021804251336622,27.37319582495695
70.0,1.0,1.0,9,1.0,0.0,33.31713521263667,7.0,112.0,92.0,5.0,3.9290292588694453,7.746159461881957,30.0,43.56937810106881,24.0,0.045,4.0,8.860606303113975,27.32884658064516,39.11405415929308,2.0,1.97,77.05468669380737,104.098137,6.857981521244737,0.6829384565353394,0.19890165828743728,25.877338148592145
25.0,1.0,1.0,9,1.0,1.0,10.54346871185424,7.0,76.0,258.0,13.0,6.765249530118083,7.102413295439003,12.0,47.08505860713729,36.0,0.045,4.0,9.229444713347883,27.32884658064516,35.74263708149197,3.0,1.97,70.41299505053918,104.45603699999998,6.2064670373110475,0.6472980380058289,0.1554015993509683,24.351778636154854
81.0,0.0,0.0,9,1.0,1.0,8.98531576554059,8.0,118.0,0.0,8.0,7.0338190991671015,5.173748825104187,12.0,45.014812606280216,20.0,0.045,4.0,0.8813549100108908,27.32884658064516,33.06927259018962,9.0,1.97,65.14646700267355,104.15327399999995,3.2015571470137605,0.8260243535041809,0.20492351675272463,29.098274031989856
1.0,1.0,1.0,9,1.0,2.0,1.8314809855001402,3.0,50.0,100.0,3.0,9.306124802530265,9.927130263364896,20.0,50.62356854780881,31.0,0.045,4.0,0.4757865596096855,28.56107736179304,41.95557718363357,4.0,1.97,82.65248705175813,104.082889,5.227701725289718,0.30262890458106995,0.19694075946518924,27.54814305082855
8.0,1.0,0.0,9,1.0,2.0,15.965611181562366,1.0,47.0,846.0,6.0,1.4377376519421958,11.941122133791616,23.0,43.55839766643548,16.0,0.045,4.0,0.5154089810797269,27.32884658064516,33.516390455116024,9.0,1.97,66.02728919657856,105.728001,7.165942568810901,0.9579460024833679,0.15642985489550512,28.00020713779917
18.0,1.0,1.0,9,1.0,0.0,44.83564017643859,0.0,21.0,1326.0,4.0,3.2856130581184884,5.558806074748269,15.0,45.351246800692024,30.0,0.045,4.0,1.9261302026371896,27.32884658064516,31.47338506699594,5.0,1.97,62.002568581982004,105.57807900000002,6.3964899085174265,1.1607403755187988,0.161907371117331,26.389816262694737
