V2_Ventilation Interval (min),Additive_2,V3_Ventilation Duration (min),Initial GI (%),M1_is Enclosed, Composting Method,V1_Ventilation Type,Initial C/N (%),V5_Ventilation rate (L/min/kg iniDW),Material_Main,V4_Ventilation Day,Application Rate (%DW),Turning times,Material_3,Additive_1,Additive_4,Initial Moisture Content (%),Compost volume (m3),Period (d),Additive_3,Initial pH,Material_2,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,3.0,0.45984530805967455,27.32884658064516,1.0,0.0,2.0,9.231990786879205,0.5816609472511294,7,0.0,7.6258085265717845,15.0,0.0,22.0,1.0,67.20935960492221,0.6292491869918699,116.0,4.0,4.3907643030686,3.0,2.4967368849582217,23.04985191919579,106.88248600000004,5.3175086723328535,0.5429678559303284,0.18525681657924445,23.0480602428404
38.0,0.0,27.52687099898626,27.32884658064516,1.0,1.0,1.0,39.29588701346098,3.518689604062123,7,52.0,1.356544190276169,9.0,0.0,30.0,1.0,51.37836308238609,0.6292491869918699,110.0,4.0,8.350621426035808,4.0,2.4967368849582217,98.1114905336588,108.24930599999999,1.7889260796584057,0.5352651476860046,0.21449997658061568,25.101710826776273
360.0,1.0,29.595174880993273,27.328846580645163,1.0,0.0,1.0,24.017627546322398,8.959896457734992,7,67.0,3.284851338514301,5.0,0.0,13.0,1.0,70.73205523494859,0.6292491869918699,133.0,4.0,5.751975475551474,5.0,2.4967368849582217,59.159239196431756,108.01266600000001,7.59896927878446,0.49908769130706787,0.1481605932248682,1000000.0
411.0,2.0,1.2353622532113584,27.32884658064516,1.0,0.0,1.0,29.93787082089096,0.4515011108404021,7,9.0,3.0277989161235617,9.0,0.0,24.0,1.0,65.41072579612526,0.6292491869918699,84.0,4.0,10.882719329951549,3.0,2.4967368849582217,74.74698633563294,109.11923400000002,5.956834348099675,0.5246543884277344,0.16689272816123318,22.798680767782212
1274.0,9.0,33.395343461893845,27.32884658064516,1.0,0.0,1.0,5.047554084230774,8.411395763718186,7,14.0,1.0480094857470124,7.0,0.0,30.0,1.0,81.75654881499676,0.6292491869918699,124.0,4.0,5.038595493382875,12.0,2.4967368849582217,12.602414460920492,109.33158800000007,2.2674165432265547,0.7446956634521484,0.13272671561085586,23.007762871606392
1187.0,1.0,32.369316721448556,27.32884658064516,1.0,1.0,1.0,32.8677215347801,3.4437048399005468,7,13.0,4.644947584629689,9.0,0.0,8.0,1.0,69.5256623538392,0.6292491869918699,125.0,4.0,9.565139509719762,2.0,2.4967368849582217,82.06205268042113,107.862403,5.834912505625367,0.8207548260688782,0.1782440068252499,22.345136327430744
0.0,3.0,37.321907099609,29.64833690790396,1.0,0.0,0.0,25.753117495514683,1.3615164775071604,7,26.0,2.715537458315532,27.0,0.0,11.0,1.0,54.61415312994074,0.6292491869918699,127.0,4.0,5.114652231371605,3.0,2.4967368849582217,64.2987583537144,107.60598900000006,8.872878976742395,0.39530378580093384,0.21086096620017586,21.29668893657184
0.0,0.0,0.0,27.32884658064516,1.0,2.0,2.0,25.524304222557646,0.0,7,0.0,7.833484348904948,17.0,0.0,10.0,1.0,70.82786298763419,0.6292491869918699,95.0,4.0,8.796180767938173,14.0,2.4967368849582217,62.00563429188781,107.16991100000004,3.283189262619336,0.241485595703125,0.18541714755106342,1000000.0
0.0,6.0,30.117608448160297,27.328846580645163,1.0,2.0,0.0,6.921145300702271,9.038377544818562,7,41.0,3.0256199186820742,15.0,0.0,30.0,1.0,80.8181701170964,0.6292491869918699,66.0,4.0,7.173525061509963,8.0,2.4967368849582217,17.28027875841862,107.14132200000007,0.5564083295813662,0.13717998564243317,0.20090128973537025,24.042973810446725
0.0,6.0,0.0,27.32884658064516,1.0,0.0,2.0,38.8137173452093,0.0,7,0.0,5.83573924840143,31.0,0.0,13.0,1.0,44.96525375297121,0.6292491869918699,133.0,4.0,7.8250394372935315,2.0,2.4967368849582217,96.90763973812676,106.98050800000004,4.4641764829332145,0.24557149410247803,0.2137389315721138,16.608781327616548
456.0,5.0,23.622921410592973,27.32884658064516,1.0,0.0,1.0,19.5698631013463,2.702482860416362,7,36.0,4.3092692938287875,15.0,0.0,20.0,1.0,45.46781669669523,0.6292491869918699,98.0,4.0,9.607641506467154,13.0,2.4967368849582217,48.860799038714205,107.38523500000001,4.52871466231496,0.45185360312461853,0.16101106776626492,27.086114820369446
0.0,5.0,0.0,27.32884658064516,1.0,1.0,2.0,25.82043073011284,0.0,7,0.0,0.19306799955629672,4.0,0.0,8.0,1.0,73.76758893835549,0.6292491869918699,102.0,4.0,12.022712996541475,13.0,2.4967368849582217,64.46682178938147,106.94465900000004,1.6857096006651275,0.4102146625518799,0.23020709130294678,16.213533106089834
0.0,3.0,0.0,27.32884658064516,1.0,1.0,2.0,5.208471045041562,0.0,7,0.0,5.8980388959561765,25.0,4.0,15.0,1.0,57.62867877358799,0.6292491869918699,133.0,4.0,10.938350691627416,5.0,2.4967368849582217,13.004181772392162,107.18949100000003,4.227630458170131,0.4358762502670288,0.142080401911381,22.108716999962777
0.0,0.0,0.0,27.32884658064516,1.0,1.0,2.0,6.20024615563634,0.0,7,0.0,0.060545098077615656,14.0,0.0,31.0,1.0,70.27279732160196,0.6292491869918699,57.0,4.0,10.317237237103619,8.0,2.4967368849582217,15.480383272597665,108.79674200000001,0.9778736870317638,0.36863356828689575,0.18971387650558072,26.98351630395743
0.0,0.0,0.0,27.32884658064516,1.0,0.0,2.0,20.462858193464555,0.0,7,0.0,6.709515422627771,7.0,0.0,6.0,1.0,74.0692760698994,0.6292491869918699,109.0,4.0,9.65310257717973,12.0,2.4967368849582217,51.09037282329252,107.72782800000004,4.665631041100223,0.5075880885124207,0.19993562080826377,19.600643896308135
0.0,1.0,0.0,27.32884658064516,1.0,1.0,2.0,34.05169027397363,0.0,7,0.0,8.48668532273429,22.0,0.0,31.0,1.0,52.93321880216417,0.6292491869918699,120.0,4.0,7.692556787642509,0.0,2.4967368849582217,85.01811110220308,108.77388900000004,3.0285125653587848,0.17594382166862488,0.22627387688851638,19.152947187037217
0.0,3.0,0.0,27.328846580645163,1.0,1.0,2.0,5.286952639425914,0.49175161720069444,7,0.0,9.71888900229331,15.0,5.0,28.0,1.0,76.346543345107,0.6292491869918699,79.0,4.0,5.282789968515738,8.0,2.4967368849582217,13.200129663881905,107.67266000000005,3.91368826363402,0.13159751892089844,0.1926109417941371,22.416203440193247
0.0,0.0,0.0,27.32884658064516,1.0,0.0,2.0,34.952109365447946,0.0,7,0.0,9.771244302531992,4.0,0.0,37.0,1.0,54.21147964778751,0.6292491869918699,84.0,4.0,5.569596473754152,2.0,2.4967368849582217,87.26622065980759,108.58154300000002,1.2968942225364632,0.22131918370723724,0.1823756737307678,13.989268224142117
0.0,6.0,0.0,27.32884658064516,1.0,1.0,2.0,16.409237749399676,0.0,7,0.0,4.817814440701854,22.0,0.0,22.0,1.0,57.24457995293206,0.6292491869918699,113.0,4.0,9.34716462316929,8.0,2.4967368849582217,42.80945142599684,107.07838200000003,4.077182252466806,0.4345456659793854,0.15425799815662314,1000000.0
0.0,3.0,41.273424780551046,27.32884658064516,1.0,0.0,0.0,15.23602868059561,4.70453266566958,7,12.0,9.763398684621972,12.0,0.0,12.0,1.0,81.78228565879593,0.6292491869918699,63.0,4.0,10.970206703024868,2.0,2.4967368849582217,38.04035478712441,106.784166,7.51454730523367,0.7404171824455261,0.20858716296205537,19.517957247302753
0.0,0.0,45.04193600360353,27.32884658064516,1.0,1.0,0.0,11.769625905666363,2.1201555228998403,7,6.0,2.2826550953478524,16.0,0.0,19.0,1.0,58.048146942109156,0.6292491869918699,97.0,4.0,7.748668433713721,12.0,2.4967368849582217,29.385659120837023,108.68822600000003,4.164096621248366,0.3444070518016815,0.1639054601471814,25.894673512411178
0.0,0.0,0.7221060955980015,27.328846580645163,1.0,0.0,2.0,37.54971376824798,0.0,7,0.0,5.26452591840795,13.0,0.0,17.0,1.0,60.06285617859227,0.6292491869918699,132.0,4.0,9.09608078917663,2.0,2.4967368849582217,95.22532432900223,107.72782800000004,4.525850478863013,0.5075880885124207,0.2162210761563835,1000000.0
