Material_2,Initial pH,Additive_1,Initial GI (%),Material_Main,Additive_2,V5_Ventilation rate (L/min/kg iniDW),V4_Ventilation Day,Application Rate (%DW),Turning times,Additive_4, Composting Method,Compost volume (m3),V1_Ventilation Type,Period (d),Additive_3,Initial Moisture Content (%),Initial C/N (%),V2_Ventilation Interval (min),V3_Ventilation Duration (min),M1_is Enclosed,Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
13.0,4.514581597487995,35.0,27.32884658064516,10,0.0,6.044659495300278,0.0,6.796608078816194,2.0,1.0,1.0,0.6277154746460176,1.0,23.0,4.0,44.900587980487956,31.875348480927908,986.0,54.56431384683951,0.0,5.0,2.0952942734506244,66.78823513633131,103.01509000000001,5.35154335526194,0.493276447057724,0.14497059520092223,24.581412192195327
14.0,6.7151296842204085,33.0,27.32884658064516,10,2.0,5.094890149652022,5.0,5.254655379814776,17.0,1.0,1.0,0.6277154746460176,1.0,17.0,4.0,59.38179592551296,6.873113030169619,846.0,40.863828028286726,0.0,3.0,2.0952942734506244,14.40119437289327,102.60537899999997,7.104874378044446,0.5453394055366516,0.15878212300090383,29.77107815053735
3.0,4.9403236403444115,4.0,27.32884658064516,10,13.0,0.8912107235741618,1.0,5.813505757169405,28.0,1.0,2.0,0.6277154746460176,1.0,54.0,4.0,65.72248942413563,19.069805436071594,60.0,42.08696387374249,1.0,0.0,2.0952942734506244,38.92156402428056,100.78250499999999,6.441047031723098,0.5359461903572083,0.20549968599434248,1000000.0
5.0,6.357880798244998,22.0,27.32884658064516,10,2.0,1.5615970680953684,11.0,6.368900310606955,5.0,1.0,0.0,0.6277154746460176,1.0,21.0,4.0,49.73242466129523,36.100459368209854,1391.0,59.99112266674479,1.0,2.0,2.0952942734506244,75.64108578314705,101.22689699999994,9.25006232286787,0.5582137703895569,0.15105113502804327,22.66127182626464
8.0,4.837314694745874,27.0,27.32884658064516,10,11.0,4.835205839722149,1.0,3.5850244136759404,23.0,1.0,1.0,0.6277154746460176,1.0,117.0,4.0,43.78914668771438,37.98174765297182,1148.0,3.3790492988678955,0.0,3.0,2.0952942734506244,79.58293835291855,101.78966600000001,6.473872909353114,0.5619251132011414,0.16994621826599066,23.641546520951238
12.0,5.949906447253113,16.0,27.32884658064516,10,15.0,0.3866267600263396,30.0,6.7468908786606345,24.0,1.0,1.0,0.6277154746460176,1.0,30.0,4.0,60.993264594823515,43.075467567303626,219.0,30.580714567508778,0.0,2.0,2.0952942734506244,85.98159299651356,100.99750899999994,8.028115318122001,0.5273602604866028,0.14821724599927696,1000000.0
13.0,7.092566533425691,12.0,27.32884658064516,10,8.0,0.8701477662083057,3.0,8.313776732380864,18.0,1.0,0.0,0.6277154746460176,1.0,29.0,4.0,79.60502094467039,36.945487545282944,1400.0,32.399923254614656,1.0,0.0,1.3260619020653408,77.41166848347272,101.05809099999996,1000000.0,1000000.0,1000000.0,1000000.0
3.0,5.317809526426361,16.0,27.32884658064516,10,3.0,1.2230355987876518,13.0,1.8479174755665095,28.0,1.0,0.0,0.6277154746460176,1.0,17.0,4.0,81.77683537865822,12.385084931010217,148.0,54.31509779911852,1.0,9.0,2.0952942734506244,25.95039753214533,101.78819099999996,6.3243554573223255,0.5581339597702026,0.20033705615267086,26.711491853861066
4.0,6.930285429379367,14.0,27.328846580645163,10,3.0,8.031113389465242,4.0,1.8243172671620562,8.0,1.0,2.0,0.6277154746460176,1.0,57.0,4.0,61.773018529270495,14.15325192731095,308.0,32.15344280674562,0.0,4.0,2.0952942734506244,27.567552901632517,99.83945199999995,8.051269909550463,0.5236843228340149,0.1660946877946742,1000000.0
0.0,5.668347827594518,11.0,27.32884658064516,10,8.0,9.572040888500842,7.0,3.6914264993600465,18.0,1.0,0.0,0.6277154746460176,1.0,41.0,4.0,69.9971063420445,44.56013753630796,654.0,33.17158426101676,1.0,5.0,2.0952942734506244,93.36660100399828,102.39173899999997,5.753446312520801,0.334644615650177,0.16857847300047824,24.38818125424311
