M1_is Enclosed,Initial GI (%),Turning times,V1_Ventilation Type,V4_Ventilation Day,Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW), Composting Method,V3_Ventilation Duration (min),Initial C/N (%),Material_2,Additive_2,Additive_3,Application Rate (%DW),V2_Ventilation Interval (min),Compost volume (m3),Material_3,Material_Main,Period (d),Additive_4,Initial pH,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,27.328846580645163,13.0,0.0,16.0,72.90163813540461,7.0,4.006094759568359,2.0,9.089787133850624,44.83542516912957,12.0,9.0,4.0,0.9018770696975242,0.0,0.15181,4.0,6,38.0,1.0,5.5051078742292825,1.411,63.26278491364182,93.621775,9.390573892219319,0.32895806431770325,0.19855722433485457,27.15423757377932
1.0,27.32884658064516,25.0,0.0,59.0,50.84463200013817,27.0,0.7038955003144487,2.0,10.097708417379918,27.688301857357278,3.0,11.0,4.0,3.644551647695452,0.0,0.15181,4.0,6,96.0,1.0,6.9470122079371865,1.411,39.06819392073112,93.667775,14.257824727605959,0.1648489087820053,0.2083205111494096,25.23063754885079
0.0,27.32884658064516,24.0,0.0,49.0,49.54934468840332,20.0,5.38159801143418,1.0,12.713277018226163,23.694622990848984,14.0,7.0,4.0,3.294713013986889,0.0,0.15181,3.0,6,101.0,1.0,6.351612253663893,1.411,33.43311304008792,93.65309500000001,14.257824727605959,0.16256923973560333,0.20519726648124637,26.9052507878453
1.0,27.32884658064516,24.0,0.0,3.0,54.50671996142938,35.0,5.109014067825987,0.0,48.752445649662604,8.21060868024692,5.0,13.0,4.0,7.08999016390218,0.0,0.15181,3.0,6,118.0,1.0,5.843157905492089,1.411,11.585168847828406,93.65309500000001,14.480461145043755,0.27776268124580383,0.16722707675513024,23.148979143334248
1.0,27.32884658064516,21.0,0.0,25.0,49.17236943344575,19.0,1.1792638372361908,1.0,48.71278701228991,17.6547132274701,14.0,9.0,4.0,1.2354307612834332,0.0,0.15181,3.0,6,34.0,1.0,9.79847476952223,1.411,24.910800363960313,93.65309500000001,8.5850261060518,0.1662825047969818,0.21916564078942757,33.037385511719464
0.0,27.32884658064516,23.0,0.0,17.0,83.83724133290679,38.0,4.389349388122944,2.0,42.31870605958272,12.966310570132379,0.0,15.0,4.0,0.42005500701171816,0.0,0.15181,3.0,6,94.0,1.0,4.714286850017209,1.411,18.295464214456786,93.65309500000001,14.257824727605959,0.24775227904319763,0.14990117276800538,22.04552650286115
1.0,27.32884658064516,27.0,0.0,42.0,51.07715429626977,15.0,0.5509230655044128,1.0,55.18647207374376,21.376009080677946,3.0,6.0,4.0,3.6951283241728223,0.0,0.15181,4.0,6,84.0,1.0,9.677728798288197,1.411,30.161548812836582,93.667775,14.257824727605959,0.1648489087820053,0.20939971759890721,25.46695101091145
0.0,27.32884658064516,27.0,0.0,13.0,51.74371698394228,8.0,0.5665996849279487,2.0,41.45273655249194,19.1836441145907,12.0,12.0,4.0,9.433057682092421,0.0,0.15181,4.0,6,129.0,1.0,5.799174949710776,1.411,27.068121845687475,93.667775,14.257824727605959,0.16413913667201996,0.15395816639042584,22.778429591641718
1.0,27.32884658064516,14.0,0.0,10.0,73.17234961929697,18.0,5.494404067666006,0.0,42.630587069050655,24.92169778776984,8.0,13.0,4.0,4.276710230611555,0.0,0.15181,4.0,6,24.0,1.0,4.724595534557145,1.411,35.164515578543245,93.621775,9.40340055590351,0.5354041457176208,0.24485016663221293,29.630575142302284
0.0,27.32884658064516,24.0,0.0,37.0,74.01956142857773,14.0,4.954800564750265,1.0,16.62549223833508,39.95299920092055,3.0,11.0,4.0,9.801539628074945,0.0,0.15181,2.0,6,104.0,1.0,5.4417651809210295,1.411,56.3736818724989,93.63591100000002,14.257824727605959,0.18852122128009796,0.16547645064034555,22.222792854588118
0.0,27.45807483927246,11.0,0.0,37.0,60.96767585457886,33.0,0.046480111470165175,2.0,5.4812557149047,39.99087263991899,6.0,13.0,4.0,1.4659053780502689,0.0,0.15181,4.0,6,88.0,1.0,4.322550089652542,1.411,55.620760635818755,93.621775,15.063372513773484,0.32904306054115295,0.1911755836746323,1000000.0
1.0,27.32884658064516,6.0,0.0,1.0,83.29471797544093,28.0,0.9586401647827747,1.0,47.766254703247384,6.3558198464891955,4.0,7.0,4.0,2.473568196703748,0.0,0.15181,3.0,6,57.0,1.0,9.31776796410831,1.411,8.968061803396255,93.60709500000002,12.121355599173798,0.3734878599643707,0.19108040361852865,21.813345456261896
0.0,27.32884658064516,21.0,0.0,20.0,65.66244941519807,30.0,2.6773558592652624,1.0,4.621444370558301,33.2714369299144,12.0,11.0,4.0,5.974551108559059,0.0,0.15181,4.0,6,30.0,1.0,8.359686265578844,1.411,46.94599750810922,93.667775,8.5850261060518,0.16413913667201996,0.18228099279249882,28.591275186487238
1.0,27.32884658064516,25.0,0.0,12.0,57.488943896460526,22.0,5.376200332887339,2.0,14.585361803970617,30.031035450769565,3.0,10.0,4.0,6.242507588980233,0.0,0.15181,4.0,6,19.0,1.0,9.702168518501507,1.411,41.124381309619146,93.667775,8.5850261060518,0.1632789969444275,0.22600148389421182,1000000.0
1.0,27.328846580645163,22.0,0.0,13.0,83.52955464521125,36.0,2.999936689012812,0.0,22.061131887408557,10.140826988916222,2.0,8.0,4.0,9.879148151044028,0.0,0.15181,3.0,6,16.0,1.0,10.580114615882529,1.411,14.30870688136079,93.65309500000001,8.47224286931022,0.24717269837856293,0.19374583516968752,26.045302546794883
0.0,27.32884658064516,5.0,0.0,52.0,47.538937611582774,38.0,2.593052705635986,2.0,19.035463652538677,34.170510534199146,13.0,9.0,4.0,0.44913432312322255,0.0,0.15181,4.0,6,73.0,1.0,9.078685688998437,1.411,48.21459036375499,93.621775,12.381675405405362,0.32868868112564087,0.15424721191546706,25.37096990010089
0.0,27.32884658064516,21.0,0.0,39.0,79.56134735816981,30.0,0.16085860126154206,1.0,45.39192046228677,42.94588095649087,6.0,11.0,4.0,0.23043823459126145,0.0,0.15181,4.0,6,111.0,1.0,4.457703571540409,1.411,60.59663802960861,93.667775,14.257824727605959,0.16413913667201996,0.18519519119962874,24.424908959942204
1.0,27.32884658064516,27.0,0.0,12.0,52.952242722437006,13.0,5.0811526534214195,2.0,22.63061090645684,40.67552909242608,8.0,9.0,4.0,6.312562315567306,0.0,0.15181,3.0,6,124.0,1.0,11.28337923781299,1.411,57.3931715494132,93.65309500000001,14.257824727605959,0.164712592959404,0.1994348742558692,23.374517709764728
0.0,27.32884658064516,26.0,0.0,40.0,62.8258642832557,24.0,0.713172374142661,1.0,46.98660390149888,9.755045682711756,8.0,6.0,4.0,4.561044347647984,0.0,0.15181,3.0,6,128.0,1.0,5.565695248041962,1.411,13.76436945830629,93.65309500000001,14.480461145043755,0.27672603726387024,0.17516723140905255,26.663654434346043
0.0,27.32884658064516,25.0,0.0,55.0,71.68200979740789,7.0,1.3160147668612585,2.0,29.417089432479244,37.98465567292154,14.0,12.0,4.0,0.9181040424294085,0.0,0.15181,4.0,6,84.0,1.0,9.673123967755146,1.411,53.596349154492295,93.667775,14.257824727605959,0.16413913667201996,0.16704341127752156,27.31559262356943
0.0,27.32884658064516,27.0,0.0,28.0,64.1985924585865,7.0,4.31433241788484,1.0,49.683672900835674,31.925937459068756,3.0,15.0,4.0,5.127853554697045,0.0,0.15181,3.0,6,39.0,1.0,10.854897321867464,1.411,45.04749775474602,93.65309500000001,8.5850261060518,0.1633785516023636,0.19797182662401924,24.84702651853828
0.0,27.32884658064516,24.0,0.0,22.0,57.88755635762037,6.0,1.114352952369173,2.0,46.439718883628984,10.48410389637458,4.0,6.0,4.0,7.091310643479255,0.0,0.15181,4.0,6,69.0,1.0,9.61379870188389,1.411,14.793070597784531,93.667775,13.473173516221777,0.27596548199653625,0.1545898185059126,23.29704868530632
1.0,27.94069033570552,8.0,0.0,28.0,80.90153196014703,25.0,5.456661394691365,0.0,23.19621646490691,28.271896382077113,2.0,15.0,4.0,2.7199740652009226,0.0,0.15181,3.0,6,126.0,1.0,10.615478621629729,1.411,39.891645795110804,93.60709500000002,15.234896748140525,0.30112895369529724,0.2203669183366867,21.528805126030985
1.0,29.23172290357456,23.0,0.0,36.0,55.84901330091774,10.0,4.098054722517588,0.0,47.10013384193244,24.06328273357935,2.0,12.0,4.0,3.9595198751803187,0.0,0.15181,4.0,6,51.0,1.0,9.8814788687325,1.411,33.953291937080465,93.667775,8.5850261060518,0.13334046304225922,0.2183707302938408,26.04818620680633
0.0,27.32884658064516,15.0,0.0,31.0,77.02020939552582,22.0,4.862521179790526,2.0,43.97372949852803,40.96577372671034,13.0,12.0,4.0,5.8803019757432615,0.0,0.15181,4.0,6,74.0,1.0,8.929546511910896,1.411,57.80270672838829,93.621775,14.257824727605959,0.5332608222961426,0.17556189859586377,24.71510769370015
