Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),Initial TN (%),Initial pH,Initial Moisture Content (%),Initial C/N (%)
0.08165265,0.11512623,0.016257918,0.0025428503,-0.0053948285,0.0,-0.04060163,0.013014462,0.00012021588,-0.0021919583,-0.12777041,-0.0061693634,-0.008724033,-0.08009174,-0.030828826,0.004929919,0.041369356,-0.043389935,-0.17059521,-0.08162075,-0.10396468,0.009638127
0.1102736,0.033750355,0.014394861,0.0031424002,-0.005743907,0.0,0.01556533,0.0145002045,0.0001515567,0.002299799,0.003395877,0.009820089,-0.006088258,0.0581191,-0.039513767,0.0019701074,0.048615992,0.04374462,-0.26610404,-0.09900958,-0.05691561,-0.052589484
0.06961119,-0.0009820324,-0.058515526,0.0003879817,-0.0051392703,0.0,0.005532309,-0.23620221,0.0001453735,0.0029375646,0.0023506698,-0.013561369,-0.0032666505,0.056518488,-0.029283056,-0.037623584,0.018667325,-0.020603433,-0.23088714,-0.028645229,0.05532359,-0.023260692
-0.4263871,-0.08677128,0.0034033842,-0.003177008,0.0030972618,0.0,0.0021326493,-0.0149710225,0.00016482938,-0.007930013,0.0013239051,-0.018461505,0.01093849,-0.04925228,-0.0061797444,-0.0020581216,-0.0706204,0.020837193,0.03426727,-0.032058824,-0.040752634,-0.032080367
-0.4949989,-0.07049498,0.0066218874,-3.7429912e-05,-0.0006061924,0.0,0.0030107342,0.0327587,0.00016094021,0.0073632314,0.002007898,-0.015564346,0.011392219,-0.022940118,0.019162916,-0.013278734,-0.026710398,0.020244004,-0.044345196,-0.027446806,-0.011395524,0.0038930986
0.23664242,0.12605734,0.012548372,-0.005578119,0.0049723103,0.0,0.0023849888,0.06387027,0.0002509583,0.030597609,0.0052805087,0.010646288,-0.008986735,0.14693683,0.0012492224,0.0055428087,0.18501969,0.122594565,0.33908674,0.025612088,0.1768706,0.08119404
0.27871558,0.06355334,0.008269202,0.0066856225,0.001815581,0.0,0.0012072637,0.2989244,0.00013792398,0.3371393,0.0034608857,-0.01748083,-0.01257095,-0.024001632,0.07634981,-0.0076061278,0.058087826,0.0022702601,-0.053390358,-0.015618615,0.1467587,0.013678562
0.114844255,-0.03920629,0.0108151045,0.002282469,-0.005962469,0.0,0.010988423,0.04516722,0.00013112805,0.005363892,0.0034199664,0.011037648,-0.0059002354,0.081620105,-0.04636098,0.0034242186,0.06410484,0.04565935,-0.23054403,0.007358459,0.0858915,-0.0025256872
0.13120344,-0.017556658,0.00444116,-0.01156358,0.018872492,0.0,0.0024212613,0.0042689084,0.00013648628,-0.091620736,0.0018076957,0.0021161037,0.009012432,-0.07711983,0.016497195,0.0068255225,-0.07683179,0.0622569,0.18657212,0.19289379,0.08632492,-0.06815524
0.25826296,0.039060652,0.0053745634,0.003473114,-0.0033006344,0.0,0.0013537377,0.06703009,0.00014446204,-0.0020838666,0.0017472939,0.01037457,-0.011391905,-0.043377604,-0.011873633,0.0016178533,0.08070095,-0.056251545,0.24481979,0.08446166,-0.00032812913,0.03288369
