ID,Title,Author,Location,Journal,Material_Main,Material_2,Material_3,Additive Species,Additive_1,Additive_2,Additive_3,Additive_4,Application Rate (%DW),Initial Moisture Content (%),Initial pH,Initial TN (%),Initial TC (%),Initial C/N (%),Initial EC (ms/cm),Initial GI (%),Initial FW (kg),Initial DW (kg),Initial NH3-N (g/kg),Initial NO2-N (g/kg),Final Moisture Content (%),Final pH,Final TN (%),Final TC (%),Final C/N (%),Final EC (ms/cm),Final GI (%),Final FW (kg),Final DW (kg),Final NH3-N (g/kg),Final NO2-N (g/kg),TN loss (%),NH3-N (g),N2O-N (g),NH3-N loss (%),N2O-N loss (%),TC loss (%),CH4-C (g),CO2-C (g),CH4-C loss (%),CO2-C loss (%),Method,M1_isEnclosed,M2_isTurning,M3_isForce aeration,M4_isVessel,M5_isReactor,Period (d),Compost volume (m3),Initial density (kg/L),V1_Ventilation Type,V2_Ventilation Interval (min),V3_Ventilation Duration (min),V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),V6_Extra,Turning times
3,"The effects of apple pomace, bentonite and calcium superphosphate on swine manure aerobic composting","Jishao Jiang et al.,2014",China,Waste Management,Swine manure,Wheat straw,-,Physical,Bentonite,-,-,-,15.47116737,65,7.2,2.75,30.13,10.95636364,3.5,22.9592,25.75714544,9.015000904,1.26293,0.019802,,9.54806,2.66233,18.71274549,7.02871,2.42385,81.7347,,4.62799596,0.460451,0.029703,50.3,11.4,,4.6,,,,,,,Reactor,1,1,1,1,1,45,0.09,0.269,Intermittent ,720,30,45,6.655573376,-,7
3,"The effects of apple pomace, bentonite and calcium superphosphate on swine manure aerobic composting","Jishao Jiang et al.,2014",China,Waste Management,Swine manure,Wheat straw,-,Chemical,Superphosphate,-,-,-,15.47116737,65,6.2,3.05,30,9.836065574,4.8,32.449,23.35052573,8.172684006,0.917599,0.0215347,,8.39728,3.4799,24.29269471,6.98086,6.30513,84.7959,,4.720447776,2.60582,0.0403465,34.1,0.6,,0.3,,,,,,,Reactor,1,1,1,1,1,45,0.09,0.269,Intermittent ,720,30,45,7.341529412,-,7
4,Inoculation with nitrogen turnover bacterial agent appropriately increasing nitrogen and promoting maturity in pig manure composting,"Jishao Jiang et al.,2015",China,Waste Management,Swine manure,Wheat straw,-,None,-,-,-,-,0,65,6.28722,2.46,31.883322,12.9607,2.11742,14.9055,61.14285714,21.4,1.55482,0.0280893,,8.92395,2.947,25.89567211,8.78713,2.17424,84.3683,,9.8,0.141478,0.0205741,45,4.858823529,,10.7,,,,1586.59,,,Reactor,1,1,1,1,1,45,0.09,0.25,Intermittent ,720,30,35,2.6,-,6
4,Inoculation with nitrogen turnover bacterial agent appropriately increasing nitrogen and promoting maturity in pig manure composting,"Jishao Jiang et al.,2015",China,Waste Management,Swine manure,Wheat straw,-,Biological,LB Culture,-,-,-,0.65,65,7.1357,2.97,34.832457,11.7281,4.20076,17.1611,56.57142857,19.8,1.68941,0.0411082,,9.57541,3.564,24.14349828,6.77427,3.57576,82.1126,,9.7,0.696659,0.0270869,41,9.388235294,,22.7,,,,1743.81,,,Reactor,1,1,1,1,1,45,0.09,0.25,Intermittent ,720,30,35,2.6,-,6
4,Inoculation with nitrogen turnover bacterial agent appropriately increasing nitrogen and promoting maturity in pig manure composting,"Jishao Jiang et al.,2015",China,Waste Management,Swine manure,Wheat straw,-,Biological,"NTB(ammonifiers,nitrobacteria,azotobacter)agent",-,-,-,0.65,65,7.42357,2.52,35.401716,14.0483,2.57197,15.8077,59.14285714,20.7,0.747269,0.0204877,,9.07542,3.429,24.42356685,7.12265,2.47727,85.7217,,9.9,0.316451,0.0303433,35,5.105882353,,14.5,,,,1874.82,,,Reactor,1,1,1,1,1,45,0.09,0.25,Intermittent ,720,30,35,2.6,-,6
4,Inoculation with nitrogen turnover bacterial agent appropriately increasing nitrogen and promoting maturity in pig manure composting,"Jishao Jiang et al.,2015",China,Waste Management,Swine manure,Wheat straw,-,Biological,"NTB(ammonifiers,nitrobacteria,azotobacter)agent",-,-,-,0.65,65,6.98414,2.79,33.530499,12.0181,4.06818,11.2964,56.28571429,19.7,1.78026,0.0248295,,9.13602,3.198,25.99679784,8.12908,3.76515,63.165,,7.6,0.272709,0.0368528,56,8.811764706,,16.1,,,,1464.37,,,Reactor,1,1,1,1,1,45,0.09,0.25,Intermittent ,720,30,35,2.6,-,6
4,Inoculation with nitrogen turnover bacterial agent appropriately increasing nitrogen and promoting maturity in pig manure composting,"Jishao Jiang et al.,2015",China,Waste Management,Swine manure,Wheat straw,-,Biological,"NTB(ammonifiers,nitrobacteria,azotobacter)agent",-,-,-,1.95,65,6.92358,2.73,34.293987,12.5619,3.5947,9.04075,56.85714286,19.9,1.12748,0.00746204,,9.24208,3.304,24.9400788,7.54845,3.44318,60.9107,,8.5,0.400569,0.0444577,48,7.905882353,,16.4,,,,1542.98,,,Reactor,1,1,1,1,1,45,0.09,0.25,Intermittent ,720,30,35,2.6,-,6
5,Reducing Nitrogen Loss during Poultry Litter Composting Using Biochar,"Chriatoph Steiner et al.,2010",US,Journal of Environmental Quality,Poultry manure,-,-,None,-,-,-,-,0,60,8.70526,3.56,37,10.39325843,,,,,,,62.0328,9.15,3.04,29.64,9.75,,,,,,,39.5,,,,,43.6,,,,,Reactor,1,1,1,1,1,42,0.06,0.416,Intermittent ,20,0.5,42,0.0275,-,6
5,Reducing Nitrogen Loss during Poultry Litter Composting Using Biochar,"Chriatoph Steiner et al.,2010",US,Journal of Environmental Quality,Poultry manure,-,-,Physical,Biochar,-,-,-,5,60,8.66,3.49,37.46,10.73352436,,,,,,,61.1754,9.13,2.99,34.97,11.69565217,,,,,,,37.3,,,,,36.4,,,,,Reactor,1,1,1,1,1,42,0.06,0.416,Intermittent ,20,0.5,42,0.0275,-,6
5,Reducing Nitrogen Loss during Poultry Litter Composting Using Biochar,"Chriatoph Steiner et al.,2010",US,Journal of Environmental Quality,Poultry manure,-,-,Physical,Biochar,-,-,-,25,60,8.55,2.96,45.88,15.5,,,,,,,58.01634,9.27,2.75,42.66,15.51272727,,,,,,,26.7,,,,,39.7,,,,,Reactor,1,1,1,1,1,42,0.06,0.416,Intermittent ,20,0.5,42,0.0275,-,6
6,Biochar increases nitrogen retention and lowers greenhouse gas emissions when added to composting poultry litter,"Eunice Agyarko-Mintah et al.,2017",Australia,Waste Management,Poultry manure,Sugarcane straw,-,None,-,-,-,-,0,64.9862,7.46265,2.65926,40,15.04177854,1.67053,,85.74447789,30.0224,0.0126333,0.0111524,40.4123,7.38876,2.94247,33.2033,11.28415923,6.56649,,30.07969766,17.9238,0.00214715,0.023197,55.3,,8.514,,1.4,,0.594,,0.008,,Turning,0,1,0,1,0,60,0.22,0.389747627,None,-,-,-,-,-,5
6,Biochar increases nitrogen retention and lowers greenhouse gas emissions when added to composting poultry litter,"Eunice Agyarko-Mintah et al.,2017",Australia,Waste Management,Poultry manure,Sugarcane straw,-,Physical,Biochar,-,-,-,10,62.7622,7.33735,2.86,37.3,13.04195804,3.57061,,89.05950405,33.1638,0.0122977,0.0172491,40.6474,7.39518,2.75068,37.7408,13.72053456,7.29982,,42.03202556,24.9471,0.0019458,0.0377695,48.9,,2.134,,0.4,,0.099,,0.0012,,Turning,0,1,0,1,0,60,0.22,0.404815928,None,-,-,-,-,-,5
6,Biochar increases nitrogen retention and lowers greenhouse gas emissions when added to composting poultry litter,"Eunice Agyarko-Mintah et al.,2017",Australia,Waste Management,Poultry manure,Sugarcane straw,-,Physical,Biochar,-,-,-,10,60.6549,7.61365,2.61,37.8,14.48275862,4.80377,,84.27173905,33.1568,0.00719685,0.0188848,38.5295,7.45301,2.97808,34.5069,11.58696207,8.79982,,38.93802718,23.9354,0.00201291,0.0303346,43,,2.706,,0.5,,0.132,,0.0018,,Turning,0,1,0,1,0,60,0.22,0.383053359,None,-,-,-,-,-,5
7,"Biochar amendment before or after composting affects compost quality and N losses, but not P plant uptake","Bart Vandecasteele et al.,2016",Itali,Journal of Environmental Management,OFMSW,Green Waste,-,None,-,-,-,-,0,73,7.3,1.8,35.64,19.8,,,,,,,,,,,,,,,,,,22,,,,,,,,,,Static,0,1,1,0,0,25,,,Continuous,0,-,25,,-,12
7,"Biochar amendment before or after composting affects compost quality and N losses, but not P plant uptake","Bart Vandecasteele et al.,2016",Itali,Journal of Environmental Management,OFMSW,Green Waste,-,Physical,Biochar,-,-,-,10,69.7,7.6,1.4,38.5,27.5,,,,,,,,,,,,,,,,,,3,,,,,,,,,,Static,0,1,1,0,0,25,,,Continuous,0,-,25,,-,12
8,Biochar lowers ammonia emission and improves nitrogen retention in poultry litter composting,"Eunice Agyarko-Mintah et al.,2017",Australia,Waste Management,Poultry manure,Sugarcane straw,-,None,-,-,-,-,0,60,7.28993,3.056743095,37.7951,12.3645,,,31.5,12.6,0.281479,0.000400112,42.582,7.86275,3.324192548,34.8392,10.4805,,,19.55362063,11.2272979,0.497275,0.000558364,32.3,41.17647059,,5.6,,,,,,,Turning,0,1,0,1,0,60,0.165,1.909090909,None,-,-,-,-,-,7
8,Biochar lowers ammonia emission and improves nitrogen retention in poultry litter composting,"Eunice Agyarko-Mintah et al.,2017",Australia,Waste Management,Poultry manure,Sugarcane straw,-,Physical,Biochar,-,-,-,10,59,7.31734,2.960783429,39.3648,13.2954,,,34.5,14.145,0.24349,0.000558364,41.8398,7.95416,3.357352321,38.2389,11.3896,,,25.31756928,14.72474893,0.553141,0.000374349,15.8,16.47058824,,2.3,,,,,,,Turning,0,1,0,1,0,60,0.165,2.090909091,None,-,-,-,-,-,7
8,Biochar lowers ammonia emission and improves nitrogen retention in poultry litter composting,"Eunice Agyarko-Mintah et al.,2017",Australia,Waste Management,Poultry manure,Sugarcane straw,-,Physical,Biochar,-,-,-,10,58,7.38317,3.339649853,38.2086,11.4409,,,34.5,14.49,0.225607,0.000466357,39.0307,8.13514,3.595827629,36.2481,10.0806,,,24.75090832,15.09045555,0.451465,0.000297063,21.9,24.70588235,,2.3,,,,,,,Turning,0,1,0,1,0,60,0.165,2.090909091,None,-,-,-,-,-,7
9,Effect of adding biomass fly ash to co-composting of tree pruning waste and cow dung,"Somjai Karnchanawong et al.,2014",Thailand,Advanced Materials Research,Cow manure,Tree pruning waste,-,None,-,-,-,-,0,65,7.0135,,,31.6,0.613333,,45.7,,,,,8.19,,,12.96,0.95,,,,,,2.01,,,,,59.78,,,,,Turning,0,1,0,1,0,150,0.12,0.380833333,None,-,-,-,-,-,21
9,Effect of adding biomass fly ash to co-composting of tree pruning waste and cow dung,"Somjai Karnchanawong et al.,2014",Thailand,Advanced Materials Research,Cow manure,Tree pruning waste,-,Physical,Biomass fly ash,-,-,-,4,65,6.8869,,,31.67613636,0.693333,,47.5,,,,,8.36,,,13.74,1.03,,,,,,6.5,,,,,59.44,,,,,Turning,0,1,0,1,0,150,0.12,0.395833333,None,-,-,-,-,-,21
9,Effect of adding biomass fly ash to co-composting of tree pruning waste and cow dung,"Somjai Karnchanawong et al.,2014",Thailand,Advanced Materials Research,Cow manure,Tree pruning waste,-,Physical,Biomass fly ash,-,-,-,8,65,7.2489,,,31.77966102,0.746667,,49.4,,,,,8.39,,,14.04,1.11,,,,,,1.46,,,,,56.55,,,,,Turning,0,1,0,1,0,150,0.12,0.411666667,None,-,-,-,-,-,21
9,Effect of adding biomass fly ash to co-composting of tree pruning waste and cow dung,"Somjai Karnchanawong et al.,2014",Thailand,Advanced Materials Research,Cow manure,Tree pruning waste,-,Physical,Biomass fly ash,-,-,-,12,65,7.3212,,,31.5,0.791111,,51.2,,,,,8.53,,,13.67,1.21,,,,,,4.33,,,,,58.57,,,,,Turning,0,1,0,1,0,150,0.12,0.426666667,None,-,-,-,-,-,21
10,Reducing nitrogen loss and salinity during 'struvite'food waste composting by zeolite amendment,"Man Ting Chan et al.,2016",China,Bioresource Technology,Food waste,Sawdust,-,None,-,-,-,-,0,55,6.39047,1.38461,44.33548912,32.0202,1.91765,6.17647,,,0.309409,,,4.76806,1.67418,44.89280186,26.8148,3.64706,39.7,,,1.28256,,,0.948769,,,,,,338.032,,,Reactor,1,0,1,1,1,56,0.02,0.5,Intermittent ,-,-,-,-,ventilation when temperature over 65℃,0
10,Reducing nitrogen loss and salinity during 'struvite'food waste composting by zeolite amendment,"Man Ting Chan et al.,2016",China,Bioresource Technology,Food waste,Sawdust,-,Chemical,MgO,K?HPO?,-,-,1.943259,55,6.50999,1.51479,46.05582664,30.4041,2.90588,4.70588,,,0.961339,,,8.49719,2.08247,36.06817215,17.3199,6.47059,85.6,,,0.619557,,,11.7648,,,,,,544.588,,,Reactor,1,0,1,1,1,56,0.02,0.5,Intermittent ,-,-,-,-,ventilation when temperature over 65℃,0
10,Reducing nitrogen loss and salinity during 'struvite'food waste composting by zeolite amendment,"Man Ting Chan et al.,2016",China,Bioresource Technology,Food waste,Sawdust,-,Mixture,MgO,K?HPO?,Zeolite,-,6.943259,55,6.29485,1.44971,49.34870828,34.0404,2.69412,2.05882,,,0.497235,,,8.44938,1.99963,38.47108153,19.2391,3.24118,119.5,,,0.166485,,,12.1413,,,,,,620.821,,,Reactor,1,0,1,1,1,56,0.02,0.5,Intermittent ,-,-,-,-,ventilation when temperature over 65℃,0
10,Reducing nitrogen loss and salinity during 'struvite'food waste composting by zeolite amendment,"Man Ting Chan et al.,2016",China,Bioresource Technology,Food waste,Sawdust,-,Mixture,MgO,K?HPO?,Zeolite,-,16.943259,55,6.19923,1.60948,46.73994299,29.0404,2.72941,3.52941,,,0.430937,,,8.42548,2.14756,38.49716056,17.926,2.83529,136.4,,,0.111237,,,9.04727,,,,,,592.54,,,Reactor,1,0,1,1,1,56,0.02,0.5,Intermittent ,-,-,-,-,ventilation when temperature over 65℃,0
11,Effects of phosphogypsum and superphosphate on compost maturity and gaseous emissions during kitchen waste composting,"Fan Yang et al.,2015",China,Waste Management,Food waste,Corn stalk,-,None,-,-,-,-,0,60,5.01,1.79,39.559,22.1,1.78,38.3,,,0.42,0.01,,8.04,2.32,29.928,12.9,1.76,122.9,,,0.12,0.56,47.4,,,13.3,1.97,54.1,,,0.33,51.5,Reactor,1,1,1,1,1,35,0.06,,Continuous,0,-,35,0.2,-,5
11,Effects of phosphogypsum and superphosphate on compost maturity and gaseous emissions during kitchen waste composting,"Fan Yang et al.,2015",China,Waste Management,Food waste,Corn stalk,-,Chemical,Phosphogypsum,-,-,-,10,60,4.43,1.98,36.036,18.2,2.84,43.9,,,0.42,0.01,,7.63,2.23,29.213,13.1,2.09,103.3,,,0.37,0.63,30.7,,,8.4,2.06,63.9,,,0.06,59,Reactor,1,1,1,1,1,35,0.06,,Continuous,0,-,35,0.2,-,5
11,Effects of phosphogypsum and superphosphate on compost maturity and gaseous emissions during kitchen waste composting,"Fan Yang et al.,2015",China,Waste Management,Food waste,Corn stalk,-,Chemical,Superphosphate,-,-,-,10,60,4.28,1.89,36.099,19.1,2.28,45.1,,,0.42,0.01,,7.79,2.37,28.203,11.9,2.4,94.5,,,0.25,0.6,37.5,,,10.5,2.16,64.2,,,0.09,60.2,Reactor,1,1,1,1,1,35,0.06,,Continuous,0,-,35,0.2,-,5
12,Use of potassium dihydrogen phosphate and sawdust as adsorbents of ammoniacal nitrogen in aerobic composting process,"TianJue Hu et al.,2007",China,Journal of Hazardous Materials,OFMSW,-,-,None,-,-,-,-,0,63,7.5,1.23,39.44,32.06504065,,,,,,,,7.18536,,,4.66265,,,,,,,38,,,,,,,,,,Reactor,1,1,1,1,1,28,0.077715,,Intermittent ,720,30,28,,-,9
12,Use of potassium dihydrogen phosphate and sawdust as adsorbents of ammoniacal nitrogen in aerobic composting process,"TianJue Hu et al.,2007",China,Journal of Hazardous Materials,OFMSW,Sawdust,-,None,-,-,-,-,0,60,6.8,1.11,36.67,33.03603604,,,,,,,,7.40001,,,5.28916,,,,,,,38,,,,,,,,,,Reactor,1,1,1,1,1,28,0.077715,,Intermittent ,720,30,28,,-,9
12,Use of potassium dihydrogen phosphate and sawdust as adsorbents of ammoniacal nitrogen in aerobic composting process,"TianJue Hu et al.,2007",China,Journal of Hazardous Materials,OFMSW,-,-,Chemical,KH?PO?,-,-,-,0.18,61,5.9,1.21,38.59,31.89256198,,,,,,,,6.87317,,,6.06024,,,,,,,38,,,,,,,,,,Reactor,1,1,1,1,1,28,0.077715,,Intermittent ,720,30,28,,-,9
12,Use of potassium dihydrogen phosphate and sawdust as adsorbents of ammoniacal nitrogen in aerobic composting process,"TianJue Hu et al.,2007",China,Journal of Hazardous Materials,OFMSW,Sawdust,-,Chemical,KH?PO?,-,-,-,0.06,62,6.5,1.22,37.78,30.96721311,,,,,,,,7.29268,,,4.3253,,,,,,,13,,,,,,,,,,Reactor,1,1,1,1,1,28,0.077715,,Intermittent ,720,30,28,,-,9
13,A new method for conservation of nitrogen in aerobic composting processes,"Yeon Koo Jeong et al.,2001",South Korea,Bioresource Technology,Food waste,Sawdust,Seed compost,None,-,-,-,-,0,,,,,18.5,,,,3,,,,,,,,,,,,,,,,,22,,,,,,,Reactor,1,1,1,1,1,20,0.02,,Continuous,0,-,20,1.066666667,-,7
13,A new method for conservation of nitrogen in aerobic composting processes,"Yeon Koo Jeong et al.,2001",South Korea,Bioresource Technology,Food waste,Sawdust,Seed compost,Chemical,Mg(OH)?,H?PO?,-,-,20,,,,,18.5,,,,3,,,,,,,,,,,,,,,,,4.8,,,,,,,Reactor,1,1,1,1,1,20,0.02,,Continuous,0,-,20,1.066666667,-,7
14,Combined use of nitrification inhibitor and struvite crystallization to reduce the NH3 and N2O emissions during composting,"Tao Jiang et al.,2016",China,Bioresource Technology,Swine manure,Corn stalk,-,None,-,-,-,-,0,52.2,8.56091,2.23,55.304,24.8,,20.6726,,,3.66383,0.0498696,,8.03008,2.99082,,,,116.83,,,0.537815,0.460384,43.9,,,38.7,1.5,,,,,,Reactor,1,1,1,1,1,28,0.06,,Continuous,0,-,28,0.25,-,3
14,Combined use of nitrification inhibitor and struvite crystallization to reduce the NH3 and N2O emissions during composting,"Tao Jiang et al.,2016",China,Bioresource Technology,Swine manure,Corn stalk,-,Chemical,Mg(OH)?,H?PO?,-,-,3.728232,52.2,8.08092,2.23,55.304,24.8,,18.7371,,,1.71425,0.063166,,8.19243,3.5393,,,,106.765,,,1.09244,0.503597,22.3,,,17.9,1.4,,,,,,Reactor,1,1,1,1,1,28,0.06,,Continuous,0,-,28,0.25,-,3
14,Combined use of nitrification inhibitor and struvite crystallization to reduce the NH3 and N2O emissions during composting,"Tao Jiang et al.,2016",China,Bioresource Technology,Swine manure,Corn stalk,-,Chemical,Mg(OH)?,H?PO?,DCD,-,3.783982,52.2,8.04706,2.23,55.304,24.8,,21.6779,,,1.84099,0.05231,,8.28211,3.55242,,,,108.157,,,1.17162,0.341486,20.2,,,16.1,1,,,,,,Reactor,1,1,1,1,1,28,0.06,,Continuous,0,-,28,0.25,-,3
15,Evaluation of medical stone amendment for the reduction of nitrogen loss and bioavailability of heavy metals during pig manure composting,"Quan Wang et al.,2016",China,Bioresource Technology,Swine manure,Sawdust,-,None,-,-,-,-,0,58,9.0061,1.43721,50,33,1.59366,,,,0.593671,0.163224,,8.51,2.35383,40.6894823,17.2865,1.8,74.9231,,,0.035443,0.689169,,,70.11205,,,,,,,,Reactor,1,0,0,1,1,60,0.1,0.5,None,-,-,-,-,-,
15,Evaluation of medical stone amendment for the reduction of nitrogen loss and bioavailability of heavy metals during pig manure composting,"Quan Wang et al.,2016",China,Bioresource Technology,Swine manure,Sawdust,-,Physical,Medicine stone,-,-,-,2.5,58,9.00741,1.41191,48.51929881,34.3643,1.7147,,,,0.567089,0.18136,,8.33,2.28154,39.18020196,17.1727,1.84,75.6934,,,0.0265823,1.00655,,,38.9741392,,,,,,,,Reactor,1,0,0,1,1,60,0.1,0.5,None,-,-,-,-,-,
15,Evaluation of medical stone amendment for the reduction of nitrogen loss and bioavailability of heavy metals during pig manure composting,"Quan Wang et al.,2016",China,Bioresource Technology,Swine manure,Sawdust,-,Physical,Medicine stone,-,-,-,5,58,8.9963,1.40468,48.75068361,34.7059,1.62536,,,,0.646835,0.175315,,8.32,2.13697,37.30572638,17.4573,2,84.7699,,,0.0443038,1.02166,,,28.4224239,,,,,,,,Reactor,1,0,0,1,1,60,0.1,0.5,None,-,-,-,-,-,
15,Evaluation of medical stone amendment for the reduction of nitrogen loss and bioavailability of heavy metals during pig manure composting,"Quan Wang et al.,2016",China,Bioresource Technology,Swine manure,Sawdust,-,Physical,Medicine stone,-,-,-,7.5,58,8.9,1.35045,45.79227401,33.9089,1.7147,,,,0.611392,0.16927,,8.22,2.10805,35.8408553,17.0019,2.07,82.5414,,,0.0620253,0.897733,,,21.9051887,,,,,,,,Reactor,1,0,0,1,1,60,0.1,0.5,None,-,-,-,-,-,
15,Evaluation of medical stone amendment for the reduction of nitrogen loss and bioavailability of heavy metals during pig manure composting,"Quan Wang et al.,2016",China,Bioresource Technology,Swine manure,Sawdust,-,Physical,Medicine stone,-,-,-,10,58,8.84815,1.30709,45.81010607,35.0474,1.84726,,,,0.540506,0.154156,,8.02,1.96349,34.83604323,17.7419,2.34,84.2347,,,0.0177215,0.912846,,,11.17242,,,,,,,,Reactor,1,0,0,1,1,60,0.1,0.5,None,-,-,-,-,-,
16,Composting domestic sewage sludge with natural zeolites in a rotary drum reactor,"J. Villase?or et al.,2011",Spain,Bioresource Technology,Sewage sludge,Barley straw,-,None,-,-,-,-,0,68.1481,8.9,,,35.4459,,,,,,,66.1728,,,,,,,,,,,,,,47.15834118,,33.7114,,,,,Reactor,1,1,1,1,1,,,,,,,,,,
