Feature,Mean_MinDepth,Tree1_MinDepth,Tree2_MinDepth,Tree3_MinDepth,Tree4_MinDepth,Tree5_MinDepth,Tree6_MinDepth,Tree7_MinDepth,Tree8_MinDepth,Tree9_MinDepth,Tree10_MinDepth,Tree11_MinDepth,Tree12_MinDepth,Tree13_MinDepth,Tree14_MinDepth,Tree15_MinDepth,Tree16_MinDepth,Tree17_MinDepth,Tree18_MinDepth,Tree19_MinDepth,Tree20_MinDepth,Tree21_MinDepth,Tree22_MinDepth,Tree23_MinDepth,Tree24_MinDepth,Tree25_MinDepth,Tree26_MinDepth,Tree27_MinDepth,Tree28_MinDepth,Tree29_MinDepth,Tree30_MinDepth,Tree31_MinDepth,Tree32_MinDepth,Tree33_MinDepth,Tree34_MinDepth,Tree35_MinDepth,Tree36_MinDepth,Tree37_MinDepth,Tree38_MinDepth,Tree39_MinDepth,Tree40_MinDepth,Tree41_MinDepth,Tree42_MinDepth,Tree43_MinDepth,Tree44_MinDepth,Tree45_MinDepth,Tree46_MinDepth,Tree47_MinDepth,Tree48_MinDepth,Tree49_MinDepth,Tree50_MinDepth,Tree51_MinDepth,Tree52_MinDepth,Tree53_MinDepth,Tree54_MinDepth,Tree55_MinDepth,Tree56_MinDepth,Tree57_MinDepth,Tree58_MinDepth,Tree59_MinDepth,Tree60_MinDepth,Tree61_MinDepth,Tree62_MinDepth,Tree63_MinDepth,Tree64_MinDepth,Tree65_MinDepth,Tree66_MinDepth,Tree67_MinDepth,Tree68_MinDepth,Tree69_MinDepth,Tree70_MinDepth,Tree71_MinDepth,Tree72_MinDepth,Tree73_MinDepth,Tree74_MinDepth,Tree75_MinDepth,Tree76_MinDepth,Tree77_MinDepth,Tree78_MinDepth,Tree79_MinDepth,Tree80_MinDepth,Tree81_MinDepth,Tree82_MinDepth,Tree83_MinDepth,Tree84_MinDepth,Tree85_MinDepth,Tree86_MinDepth,Tree87_MinDepth,Tree88_MinDepth,Tree89_MinDepth,Tree90_MinDepth,Tree91_MinDepth,Tree92_MinDepth,Tree93_MinDepth,Tree94_MinDepth,Tree95_MinDepth,Tree96_MinDepth,Tree97_MinDepth,Tree98_MinDepth,Tree99_MinDepth,Tree100_MinDepth
Material_Main,14.55,13,13,12,15,14,15,15,15,16,13,16,15,16,16,13,14,13,14,17,15,13,17,14,13,16,12,15,13,16,13,15,17,17,15,15,13,13,14,13,15,13,15,14,15,13,15,14,21,17,15,20,14,12,13,14,13,14,14,16,15,12,14,13,12,14,18,13,16,13,16,13,13,15,20,13,12,13,13,19,13,14,14,13,17,14,14,15,12,16,14,22,14,14,15,13,19,13,12,14,15
Turning times,8.93,12,4,4,12,12,4,12,12,12,13,4,15,16,15,13,4,12,12,17,4,13,17,4,4,4,4,15,4,12,4,12,4,12,4,15,12,12,0,13,4,4,4,4,17,4,4,4,15,4,15,4,17,12,13,4,12,14,14,4,0,4,4,4,12,12,18,4,4,4,4,13,13,4,12,4,17,4,13,12,4,4,4,4,4,4,4,12,4,12,12,22,14,4,15,13,12,13,4,4,15
V2_Ventilation Interval (min),12.48,13,13,12,8,9,15,15,15,9,17,9,0,6,9,13,14,17,14,17,9,13,0,14,13,17,12,15,13,16,13,15,17,17,15,8,15,13,14,9,15,13,15,14,0,18,15,14,9,17,15,20,15,12,13,14,13,14,14,9,6,12,8,17,6,14,9,13,17,13,16,13,13,15,20,13,12,6,13,15,18,15,14,9,0,14,14,9,12,15,14,9,0,9,9,13,15,15,12,14,15
M1_is Enclosed,10.11,17,13,7,15,7,7,7,7,16,15,7,7,7,7,13,14,7,7,7,15,13,7,14,13,7,8,15,15,15,8,7,7,7,15,7,7,13,7,8,7,17,7,15,15,7,7,15,7,7,7,7,8,7,15,17,7,17,14,7,7,12,17,13,12,14,7,7,16,13,17,13,7,7,0,7,12,7,7,17,13,14,15,7,7,14,7,7,15,7,7,7,7,14,7,13,7,0,12,7,7
 Composting Method,13.12,13,13,12,15,14,15,15,15,16,13,16,15,9,16,9,14,13,14,17,15,9,17,0,13,16,12,0,17,16,9,15,17,17,9,15,13,13,14,13,9,13,15,14,15,13,9,14,21,17,15,20,14,12,9,14,13,14,14,16,15,12,14,13,0,14,9,13,16,13,16,13,9,15,1,13,17,13,9,17,9,14,9,17,9,1,14,15,17,16,14,22,14,14,17,13,19,0,12,14,15
Additive_4,10.43,13,13,15,15,17,15,7,0,0,2,17,2,2,16,7,14,13,14,17,17,13,2,17,17,15,2,15,13,15,0,17,17,17,17,15,17,17,17,2,17,2,0,17,15,17,2,6,17,15,2,2,14,12,2,17,13,2,14,2,15,12,14,2,7,6,2,2,16,17,2,7,7,17,20,13,2,17,17,0,2,17,15,17,0,0,17,2,17,2,2,15,14,2,15,13,2,15,17,15,0
Additive_2,9.37,0,13,12,17,0,7,15,1,16,1,1,15,1,16,13,9,1,14,0,15,13,6,14,1,16,9,15,7,16,13,15,17,17,9,17,1,13,14,0,15,9,0,9,15,13,15,14,21,7,1,7,9,12,13,14,7,14,7,7,0,9,14,13,12,14,0,7,1,13,16,13,13,7,1,0,17,7,17,0,7,14,6,0,17,14,7,0,12,0,7,0,14,9,17,17,0,13,12,1,7
Additive_1,11.73,6,6,9,9,9,6,15,15,16,13,16,17,17,1,9,14,13,6,6,6,6,17,17,6,16,12,15,9,16,6,15,1,9,9,15,6,19,6,17,15,19,6,19,6,13,17,9,9,17,6,17,9,6,17,9,6,9,6,6,6,12,9,6,19,14,18,9,9,6,9,13,17,6,9,9,17,19,19,19,6,14,9,9,17,14,14,17,19,6,17,22,9,17,15,13,6,6,17,17,17
Material_3,13.73,13,13,12,15,14,15,15,15,16,13,17,15,6,16,13,14,13,14,17,17,13,17,14,13,16,12,15,13,16,17,15,17,6,15,17,13,13,14,13,15,13,17,14,15,13,15,14,21,17,15,20,14,12,13,6,13,14,14,16,15,6,6,13,12,6,18,13,16,13,16,13,13,15,20,13,12,6,6,19,13,14,14,13,6,14,14,15,12,16,6,22,14,14,15,13,19,13,12,14,6
Material_2,3.96,0,0,0,0,14,0,0,9,9,0,9,1,0,17,9,14,0,0,0,0,0,9,9,0,0,0,0,1,16,17,0,0,17,0,17,17,0,14,0,0,0,0,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,14,16,0,0,6,0,0,0,0,0,0,6,0,17,13,0,0,0,17,13,0,0,17,0,9,0,0,0,0,1,0,17,9,0,0,19,0,0,0,0,12,0,0
