material_0,initial CN(%),initial moisture content(%),initial pH,material_1,Excipients,initial TN(%),initial TC(%),Additive Species,NH3-N loss (%)
Manure,,,6.1,Swine manure,,,,Physical,20.2
Food waste,20.5,63.5,6.03,,,,,,12.86
Food waste,,,6.0,,,,,Chemical,10.23
Food waste,28.8,43.61,4.92,,,2.33,49.43,,50.9
Food waste,,,,,,2.33,,Physical,9.87
Sewage sludge,25.0,55.0,7.4,,,2.32,45.81,,1.02
Sewage sludge,,,7.8,,,,,Physical,0.2
Sewage sludge,,,7.8,,,,,Physical,0.11
Sewage sludge,,,8.0,,,,,Physical,0.11
Sewage sludge,,,8.0,,,,,Physical,0.06
Sewage sludge,,,8.1,,,,,Physical,0.04
Sewage sludge,,,8.2,,,,,Physical,0.02
Food waste,17.0,66.0,6.35433,,,3.16470588235294,53.8,,21.2
Food waste,,,7.07177,,,,,Chemical,32.8
Food waste,,,5.79375,,,,,Chemical,12.6
Food waste,,,5.2108,,,,,Chemical,3.5
,,80.7,,,,0.82,,,11.4
,,,,,,0.9,,Physical,8.13793103448276
,,,,,,0.95,,Chemical,4.22508196721311
,,,,,,0.83,,Mixture,7.9278
Manure,,50.0,8.3,Cow manure,,1.52,,,23.3720930232558
Manure,,,7.2,Cow manure,,,,Physical,14.4883720930233
Manure,,,,Cow manure,,,,Physical,16.2558139534884
Manure,,,8.2,Cow manure,,1.0,,,9.98214285714286
Manure,,,7.0,Cow manure,,,,Physical,13.0172413793103
Manure,,,,Cow manure,,,,Physical,11.7857142857143
Manure,,,7.7,Cow manure,,0.85,,,6.04166666666667
Manure,,,6.7,Cow manure,,,,Physical,14.4897959183673
Manure,,,,Cow manure,,,,Physical,10.1875
Manure,18.4,69.2,8.25,Swine manure,,2.0,37.48,,32.5
Manure,,,8.03437,Swine manure,,,,Chemical,14.5
Manure,,,7.9795,Swine manure,,,,Chemical,16.0
Manure,,,8.11649,Swine manure,,,,Chemical,13.3
Manure,,,6.85618,Swine manure,,,,Chemical,5.9
Manure,12.8440366972477,65.03,7.88,Poultry manure,,2.18,28.0,,23.3759
Manure,,63.17,7.88,Poultry manure,,1.9,,Physical,17.5215
Manure,,62.39,7.7,Poultry manure,,1.8,,Physical,21.2503
Manure,,62.6,7.88,Poultry manure,,1.8,,Physical,18.7578
Manure,,61.97,7.88,Poultry manure,,2.05,,Physical,19.4581
Manure,,63.43,7.88,Poultry manure,,1.8,,Physical,20.6637
