Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,TC loss (%)
21.2,5,75.7,0,0.0,11,37.0,1.93,40.9,55,4,45.6
18.3,5,65.2,0,0.0,11,37.0,2.08,38.0,55,4,51.0
21.1,5,70.6,0,0.0,11,37.0,1.9,40.1,55,4,54.0
14.9,5,76.8,0,0.0,11,37.0,2.37,35.3,55,4,33.8
20.7,5,63.7,0,0.0,11,37.0,1.9,39.4,55,4,50.7
15.0,5,70.8,0,0.0,11,37.0,2.35,35.2,55,4,50.3
18.0,5,74.0,0,0.0,11,37.0,2.09,37.6,55,4,48.9
16.0,6,0.0,3,8.42,18,26.0,1.20625,19.3,35,3,30.0
17.1,6,0.0,3,8.8,18,26.0,1.27485380116959,21.8,35,3,52.0
17.6,6,0.0,3,8.35,18,26.0,1.29545454545455,22.8,51,3,12.0
19.0,6,0.0,3,7.81,18,26.0,1.31052631578947,24.9,51,3,18.0
12.0,6,0.0,3,8.41,18,26.0,1.68333333333333,20.2,20,3,32.0
19.9,6,67.7,0,6.4,62,33.0,2.52422203826557,50.2320185614849,55,4,54.8
20.3,6,65.9,0,6.6,62,33.0,2.52877373046987,51.3341067285383,28,3,59.9
19.0,6,66.6,0,6.4,62,33.0,2.68958358773965,51.1020881670534,28,3,64.7
18.6,6,67.0,0,6.4,62,33.0,2.75054262405509,51.1600928074246,28,3,46.7
19.8,6,65.6,0,6.3,62,33.0,2.53990016170991,50.2900232018562,28,3,46.4
28.0,4,60.0,1,7.65,35,62.0,1.2346702021876,34.5707656612529,55,4,14.0
28.1,4,60.0,1,7.68,35,62.0,1.23234058012897,34.6287703016241,55,4,15.4
28.3,4,60.0,1,7.67,35,62.0,1.21748255761521,34.4547563805104,55,4,12.8
10.13,6,60.0,0,7.0,36,43.0,3.87,39.2031,55,4,19.29
41.7,6,60.0,0,6.7,36,43.0,1.26,52.542,55,4,7.56
14.67,6,60.0,0,6.9,36,43.0,2.98,43.7166,55,4,9.06
11.92,6,60.0,0,7.0,36,43.0,3.42,40.7664,55,4,12.49
0.0,4,0.0,1,0.0,59,90.0,0.0,0.0,55,4,90.5
0.0,4,0.0,1,0.0,60,90.0,0.0,0.0,55,4,78.6
0.0,4,0.0,1,0.0,60,90.0,0.0,0.0,55,4,76.5
20.0,4,0.0,1,0.0,35,87.0,0.0,0.0,55,4,79.98
20.0,4,0.0,1,0.0,35,87.0,0.0,0.0,55,4,72.2
20.0,4,0.0,1,0.0,35,87.0,0.0,0.0,55,4,63.12
25.0,4,0.0,1,0.0,35,87.0,0.0,0.0,55,4,80.45
25.0,4,0.0,1,0.0,35,87.0,0.0,0.0,55,4,72.4
25.0,4,0.0,1,0.0,35,87.0,0.0,0.0,55,4,69.28
30.0,4,0.0,1,0.0,35,87.0,0.0,0.0,55,4,83.52
30.0,4,0.0,1,0.0,35,87.0,0.0,0.0,55,4,81.94
30.0,4,0.0,1,0.0,35,87.0,0.0,0.0,55,4,80.91
20.0,4,0.0,1,0.0,35,87.0,0.0,0.0,55,4,79.98
25.0,4,0.0,1,0.0,35,87.0,0.0,0.0,55,4,80.45
30.0,4,0.0,1,0.0,35,87.0,0.0,0.0,55,4,83.52
20.0,4,0.0,1,0.0,35,87.0,0.0,0.0,55,4,72.2
25.0,4,0.0,1,0.0,35,87.0,0.0,0.0,55,4,72.4
30.0,4,0.0,1,0.0,35,87.0,0.0,0.0,55,4,81.94
20.0,4,0.0,1,0.0,35,87.0,0.0,0.0,55,4,63.12
25.0,4,0.0,1,0.0,35,87.0,0.0,0.0,55,4,69.28
30.0,4,0.0,1,0.0,35,87.0,0.0,0.0,55,4,80.91
20.0,4,0.0,1,0.0,35,87.0,0.0,0.0,55,4,72.2
25.0,4,0.0,1,0.0,35,87.0,0.0,0.0,55,4,72.4
30.0,4,0.0,1,0.0,35,87.0,0.0,0.0,55,4,81.94
0.0,0,0.0,3,0.0,51,97.0,0.0,0.0,55,4,38.6
0.0,0,0.0,3,0.0,45,97.0,0.0,0.0,55,4,49.3
13.1,6,0.0,1,7.5,27,140.0,3.64410832255893,47.737819025522,55,4,40.0
20.2,6,0.0,1,7.1,2,140.0,2.54129241230388,51.3341067285383,55,4,38.0
20.0,5,60.0,0,0.0,31,63.0,0.0,0.0,55,4,79.33
25.0,5,60.0,0,0.0,31,63.0,0.0,0.0,55,4,92.58
30.0,6,61.7,0,0.0,62,96.0,1.46,39.6,55,4,9.4
30.0,6,61.1,0,0.0,20,96.0,1.44,38.9,55,4,10.0
30.0,6,60.6,0,0.0,20,96.0,1.41,36.8,55,4,12.8
30.0,6,61.0,0,0.0,20,96.0,1.37,35.8,55,4,12.9
30.0,6,61.1,0,0.0,20,96.0,1.34,30.9,55,4,23.0
30.0,6,60.9,0,0.0,20,96.0,1.3,28.0,55,4,28.4
17.9,0,62.63,3,8.3,62,134.0,1.4,25.04,55,4,50.0
17.8,0,65.46,3,7.6,62,134.0,1.33,23.63,46,1,50.3846153846154
18.9,0,64.61,3,7.6,62,134.0,1.32,24.89,46,1,53.4246575342466
18.5,0,65.46,3,7.4,62,134.0,1.29,23.82,46,1,56.2913907284768
20.1,0,64.12,3,8.4,62,134.0,1.29,25.93,33,3,50.8771929824561
17.1,0,61.07,3,8.6,62,134.0,1.12,19.14,48,3,39.3939393939394
18.9,0,63.73,3,8.7,62,134.0,1.23,23.12,48,3,50.3311258278146
14.4,4,71.9,1,7.9,7,83.0,2.9,40.4,55,4,75.0
23.5,4,72.4,1,8.3,7,83.0,1.6,36.9,55,4,80.0
22.48202926404854,6,0.0,3,0.0,62,150.0,0.0,0.0,55,4,27.08
30.0,6,0.0,3,0.0,62,150.0,0.0,0.0,55,4,44.8
30.0,6,0.0,3,0.0,62,150.0,0.0,0.0,55,4,40.8
30.0,6,0.0,3,0.0,62,150.0,0.0,0.0,55,4,43.8
30.0,4,0.0,3,0.0,62,150.0,0.0,0.0,55,4,42.5
0.0,5,0.0,0,0.0,50,54.0,0.0,0.0,55,4,58.0
0.0,5,0.0,0,0.0,50,54.0,0.0,0.0,45,1,54.2
0.0,5,0.0,0,0.0,50,54.0,0.0,0.0,45,1,53.8
0.0,5,0.0,0,0.0,50,54.0,0.0,0.0,55,4,55.4
0.0,5,0.0,0,0.0,50,54.0,0.0,0.0,47,0,52.1
0.0,5,0.0,0,0.0,50,54.0,0.0,0.0,47,0,51.8
0.0,5,0.0,0,7.1,62,49.0,0.0,0.0,55,4,57.8
0.0,5,0.0,0,8.4,62,49.0,0.0,0.0,43,1,45.4
0.0,5,0.0,0,6.6,62,49.0,0.0,0.0,49,1,56.0
0.0,5,0.0,0,6.7,62,49.0,0.0,0.0,42,1,48.5
