Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,TC loss (%)
25.0,4,60.0,0,7.69,26,91.0,1.78,44.5,5,3,30.6
25.0,4,60.0,0,7.16,26,91.0,1.82,45.5,17,3,39.6
25.0,4,60.0,0,7.27,26,91.0,1.76,44.0,5,3,12.6
30.0,4,60.0,0,7.53,26,91.0,1.67,50.1,55,4,55.8
30.0,4,60.0,0,7.48,26,91.0,1.63,48.9,5,3,40.5
30.0,4,60.0,0,7.13,26,91.0,1.7,51.0,17,3,37.8
30.0,4,60.0,0,7.1,26,91.0,1.52,45.6,5,3,22.5
20.0,4,60.0,0,7.96,26,91.0,1.99,39.8,55,4,50.4
25.0,4,60.0,0,7.6,26,91.0,7.87,196.75,55,4,51.3
30.0,4,60.0,0,7.53,26,91.0,1.67,50.1,55,4,55.8
20.0,4,60.0,0,7.9,26,91.0,2.02,40.4,5,3,37.8
25.0,4,60.0,0,7.69,26,91.0,1.78,44.5,5,3,30.6
30.0,4,60.0,0,7.48,26,91.0,1.63,48.9,5,3,40.5
20.0,4,60.0,0,7.54,26,91.0,1.93,38.6,17,3,41.4
25.0,4,60.0,0,7.16,26,91.0,1.82,45.5,17,3,39.6
30.0,4,60.0,0,7.13,26,91.0,1.7,51.0,17,3,37.8
20.0,4,60.0,0,7.45,26,91.0,1.96,39.2,5,3,10.8
25.0,4,60.0,0,7.27,26,91.0,1.76,44.0,5,3,12.6
30.0,4,60.0,0,7.1,26,91.0,1.52,45.6,5,3,22.5
14.0,0,0.0,0,7.21,62,21.0,2.52,35.3,55,4,32.42
11.5,0,0.0,0,7.26,62,21.0,2.34,26.8,23,3,23.55
14.7,0,0.0,0,7.36,62,21.0,2.52,36.1,24,3,19.67
23.2,6,0.0,0,6.6,19,90.0,2.0,48.5,55,4,10.5
49.6,6,0.0,0,6.3,19,90.0,1.0,50.6,55,4,8.9
36.1,6,0.0,0,6.6,19,90.0,1.3,49.9,55,4,10.3
28.2,6,0.0,0,6.7,19,90.0,1.7,49.2,55,4,10.4
14.2,0,65.4,0,9.1,50,31.0,2.1,29.7,55,4,48.8
14.2,0,65.4,0,9.1,50,31.0,2.1,29.7,55,4,50.7
14.2,0,65.4,0,9.1,50,31.0,2.1,29.7,55,4,53.1
