Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,N2O-N loss (%)
0.0,7,0.0,0,8.35,3,0.0,0.0,0.0,12,1,0.39
11.37,9,65.0,0,7.78,3,0.0,0.0,0.0,34,4,0.88
0.0,9,65.0,4,0.0,3,0.0,0.0,0.0,31,3,0.6
18.3725490196078,7,69.2,4,8.2,24,0.0,2.04,37.48,34,4,1.5
0.0,7,0.0,4,8.0,24,0.0,0.0,0.0,10,1,1.4
0.0,7,0.0,4,7.25,24,0.0,0.0,0.0,31,3,1.4
0.0,7,0.0,4,6.75,24,0.0,0.0,0.0,8,1,2.0
30.0,5,60.0,0,6.53,19,50.0,0.0,0.0,34,4,2.05
30.0,5,60.0,0,6.85,19,50.0,0.0,0.0,6,3,2.01
30.0,5,60.0,0,6.46,19,50.0,0.0,0.0,6,3,1.53
30.0,5,60.0,0,6.52,19,50.0,0.0,0.0,6,3,1.42
30.0,5,60.0,0,6.5,19,50.0,0.0,0.0,6,3,1.24
30.0,5,60.0,0,6.55,19,50.0,0.0,0.0,6,3,0.75
25.0,7,55.0,4,7.75,24,0.0,2.084,52.1,34,4,0.87
0.0,7,0.0,4,8.2,24,0.0,0.0,0.0,20,3,0.32
0.0,7,0.0,4,0.0,24,0.0,0.0,0.0,21,3,0.19
20.0,9,60.0,0,8.0,3,42.0,1.79,30.63,34,4,0.77
20.0,9,60.0,0,8.0,3,42.0,1.79,30.63,3,3,0.56
20.0,9,60.0,0,8.0,3,42.0,1.79,30.63,14,1,0.6
20.0,9,60.0,0,8.0,3,42.0,1.79,30.63,3,2,0.45
26.7620561738209,5,60.0,0,7.8,2,30.0,1.2,32.1144674085851,34,4,0.024
2.90159278923324,5,60.0,0,7.8,2,30.0,10.4,30.1765650080257,5,3,0.016
2.53674592815391,5,60.0,0,7.8,2,30.0,13.4,33.9923954372624,3,3,0.006
0.0,0,0.0,0,7.6,3,50.0,0.0,0.0,34,4,2.83
0.0,0,0.0,0,7.6,3,50.0,0.0,0.0,16,3,8.34
0.0,0,0.0,0,7.6,3,50.0,0.0,0.0,0,3,13.05
0.0,7,0.0,0,0.0,19,56.0,0.0,0.0,34,4,0.72
0.0,7,0.0,0,0.0,19,56.0,0.0,0.0,1,0,0.73
0.0,7,0.0,0,0.0,19,56.0,0.0,0.0,3,3,0.45
0.0,7,0.0,0,0.0,19,56.0,0.0,0.0,2,2,0.55
14.2,0,65.4,0,9.1,19,31.0,2.1,29.7,34,4,0.74
14.2,0,65.4,0,9.1,19,31.0,2.1,29.7,34,4,0.83
14.2,0,65.4,0,9.1,19,31.0,2.1,29.7,34,4,0.93
11.3619402985075,9,72.1,0,7.72,3,35.0,2.68,30.45,34,4,0.88
