material_0,initial CN(%),initial moisture content(%),initial pH,material_1,Excipients,initial TN(%),initial TC(%),Additive Species,N2O-N loss (%)
,21.04,60.55,,,,7.5,157.8,,0.264090909090909
,21.04,60.55,,,,7.5,157.8,,0.303545454545455
,21.04,60.55,,,,7.5,157.8,,0.166727272727273
,21.04,60.55,,,,7.5,157.8,,0.245
,,,,,,,,,0.109454545454545
,,,,,,,,,0.284454545454545
,18.8968335035751,61.9,8.0,,,9.79,185.0,,0.178181818181818
,19.1011235955056,58.3,8.2,,,8.01,153.0,,0.165454545454545
,16.3,66.1,8.6,,,10.0,163.0,,0.445454545454545
,14.5054945054945,70.0,8.6,,,9.1,132.0,,0.305454545454545
,26.3028816676885,50.4,8.94,,,3.103822807137219,61.57221741851782,,0.184545454545455
,23.3021077283372,55.1,8.79,,,3.103822807137219,61.57221741851782,,0.362727272727273
,23.5772357723577,76.6,,,,3.69,87.0,,0.763636363636364
,23.1182795698925,76.9,,,,3.72,86.0,,1.20909090909091
,12.9049338146811,65.27696066324229,,,,8.31,107.24,,0.294
,11.9931662870159,65.27696066324229,,,,8.78,105.3,,0.373545454545455
,10.6007194244604,65.27696066324229,,,,11.12,117.88,,0.318181818181818
,30.7,50.8,8.54,,,14.2,61.57221741851782,,0.585454545454545
,30.7,50.8,8.54,,,14.2,61.57221741851782,,1.24727272727273
,19.3002257336343,70.5,7.6,,,3.103822807137219,61.57221741851782,,0.395181818181818
,19.3002257336343,70.5,7.6,,,3.103822807137219,61.57221741851782,,0.682818181818182
,12.1563275434243,88.5,6.8,,,4.03,48.99,,0.000572727272727273
,12.1563275434243,88.5,6.8,,,4.03,48.99,,0.000381818181818182
,12.2475,88.5,6.9,,,4.0,48.99,,0.000509090909090909
,12.2475,88.5,6.9,,,4.0,48.99,,0.00101818181818182
,12.2475,88.5,6.9,,,4.0,48.99,,0.000827272727272727
,12.2475,88.5,6.9,,,4.0,48.99,,0.00159090909090909
,22.0062680470267,79.0,,,,3.2,197.0,,0.229090909090909
,46.551724137931,86.0,,,,2.9,135.0,,0.986363636363636
,33.3333333333333,84.0,,,,3.9,130.0,,1.26
,46.6666666666667,81.0,,,,3.6,168.0,,0.216363636363636
,38.4615384615385,83.0,,,,3.9,150.0,,1.50181818181818
,34.0,85.0,,,,4.0,136.0,,1.96
,13.0246913580247,40.0,7.9,,,9.72,126.6,,0.661818181818182
,15.3754385964912,80.02,,,,5.7,87.64,,0.0782727272727273
,15.5082568807339,80.77,,,,5.45,84.52,,0.0356363636363636
,22.0062680470267,85.33,7.77039293634498,,,0.69,68.38,,0.0133636363636364
,,85.33,7.77039293634498,,,,68.38,,0.0120909090909091
,31.0630630630631,84.66,7.77039293634498,,,2.22,68.96,,-0.00318181818181818
,,84.66,7.77039293634498,,,,68.96,,-0.00318181818181818
,22.0062680470267,84.3,7.77039293634498,,,1.21,67.74,,0.120909090909091
,,84.3,7.77039293634498,,,,67.74,,-0.00318181818181818
,22.0062680470267,83.91,7.77039293634498,,,0.37,72.33,,0.301
,,83.91,7.77039293634498,,,,72.33,,0.0712727272727273
,42.873417721519,84.3,7.77039293634498,,,1.58,67.74,,0.118363636363636
,51.7099236641221,84.3,7.77039293634498,,,1.31,67.74,,0.203
,22.0062680470267,83.91,7.77039293634498,,,1.07,72.33,,0.00445454545454545
,50.2291666666667,83.91,7.77039293634498,,,1.44,72.33,,0.00254545454545455
,,81.08,,,,,72.33,,0.00445454545454545
,,81.08,,,,,72.33,,0.00572727272727273
,,81.08,,,,,72.33,,0.0311818181818182
,,81.08,,,,,72.33,,0.0833636363636364
,15.2329268292683,82.67,,,,3.103822807137219,61.57221741851782,,0.108181818181818
,17.1038961038961,83.59,,,,3.103822807137219,61.57221741851782,,0.105
,19.6958400864398,78.36,,,,3.103822807137219,61.57221741851782,,0.102454545454545
,,77.2,7.8,,,,,,0.0636363636363636
,,,,,,,,,0.0642727272727273
,,,,,,,,,0.0375454545454545
,,,,,,,,,0.0369090909090909
,,76.28,,,,,78.27,,0.582272727272727
,,76.28,,,,,78.27,,0.699363636363636
,,76.28,,,,,78.27,,0.651
,,76.28,,,,,78.27,,0.620454545454545
,,76.28,,,,,78.27,,0.276818181818182
,,76.28,,,,,78.27,,0.312454545454545
,,76.28,,,,,78.27,,0.208727272727273
,27.15,82.52,,,,3.2,86.88,,0.141909090909091
,42.3938356164384,77.67,,,,2.92,123.79,,0.274909090909091
,22.0062680470267,72.04,,,,2.6,178.23,,0.106909090909091
,12.0130494505495,45.32,7.35,,,14.56,174.91,,0.0661818181818182
,31.3729308666018,57.9,8.14,,,10.27,61.57221741851782,,0.0241818181818182
,,59.66,9.0,,,,,,0.106909090909091
,18.1518282988871,81.0,7.47,,,3.103822807137219,61.57221741851782,,0.572727272727273
,16.1618374558304,81.0,7.42,,,3.103822807137219,61.57221741851782,,0.7
,17.7917737789203,76.0,8.2,,,3.89,69.21,,0.7
Manure,19.3,76.0,,Manure,,,,,0.00308636363636364
Food waste,19.3,,,,,,,,0.00171818181818182
Food waste,16.5,,,,,,,,0.00738181818181818
Sewage sludge,9.7,,,,,,,,0.0169272727272727
Sewage sludge,1.1,,,,,,,,0.0105
Lignin,27.6,,,,,,,,0.00159090909090909
Lignin,15.9,,,,,,,,0.0113272727272727
Manure,14.0,71.7,7.55,Manure,,,,,0.00216363636363636
Manure,16.0,77.9,8.7,Manure,,,,,0.00299090909090909
Manure,14.0,79.6,7.43,Manure,,,,,0.00330909090909091
Manure,15.0,78.8,8.2,Manure,,,,,0.00509090909090909
Manure,14.0,71.7,7.55,Manure,,,,,0.00189414272727273
Food waste,16.0,77.9,8.7,,,,,,0.00262019545454545
Lignin,45.73283859,61.1196911,,,,,,,0.00381818181818182
Lignin,45.73283859,61.1196911,,,,,,,0.00166090909090909
Lignin,45.73283859,61.1196911,,,,,,,0.000948181818181818
Food waste,,57.0,5.9,,,,,,0.00636363636363636
Digestate,,,,,,,,,0.000220818181818182
Food waste,,,,,,,,,0.00536454545454545
Manure,18.59030837,65.0,,Manure,,,,,0.0486818181818182
Manure,16.5,83.0,8.4,Manure,,,,,0.000852727272727273
Manure,16.5,83.0,8.4,Manure,,,,,0.000884545454545454
Manure,6.1,71.0,6.8,Manure,,,,,0.001624
Manure,6.1,71.0,6.8,Manure,,,,,0.00180090909090909
Manure,12.2,65.0,6.9,Manure,,,,,0.00175
Manure,12.2,65.0,6.9,Manure,,,,,0.00182
Food waste,,,,,,,,,0.00477272727272727
Food waste,,,,,,,,,0.00483636363636364
Food waste,,,,,,,,,0.0159727272727273
Digestate,,,,,,,,,0.00222727272727273
Digestate,,75.0,6.5,,,,,,0.0111363636363636
Food waste,,,,,,,,,0.00113272727272727
Food waste,,,,,,,,,0.000629363636363636
Manure,,68.0,8.1,Manure,,,,,0.0229530763636364
Manure,,68.0,8.1,Manure,,,,,0.0286913454545455
Manure,16.6,60.1,8.35,Manure,,,,,0.0154199818181818
Manure,36.1,59.6,6.99,Manure,,,,,0.0168400272727273
Lignin,27.21518987,70.0,,,,,,,0.000811363636363637
Food waste,26.1,71.6689404,6.5,,,,,,0.000396454545454545
Manure,15.0,64.1,8.6,Manure,,,,,0.0271117
Manure,18.0,65.2,8.5,Manure,,,,,0.0608025727272727
Manure,21.0,63.7,8.3,Manure,,,,,0.0731081909090909
Manure,18.0,71.3,8.5,Manure,,,,,0.0177366
Manure,21.0,70.6,8.3,Manure,,,,,0.05586
Manure,15.0,70.8,8.7,Manure,,,,,0.100185209090909
Manure,21.0,75.7,8.4,Manure,,,,,0.0196975545454545
Manure,15.0,76.8,8.6,Manure,,,,,0.0417878363636364
Manure,18.0,74.0,8.6,Manure,,,,,0.0565136090909091
Digestate,21.0,65.0,7.1,,,,,,0.00909700909090909
Digestate,21.7,65.0,7.3,,,,,,0.00779437272727273
Digestate,22.8,65.0,7.4,,,,,,0.00403454545454545
Manure,20.5,65.0,7.2,Manure,,,,,0.0213117545454545
Manure,16.6,69.831,,Manure,,,,,0.00702227272727273
Manure,16.6,69.831,,Manure,,,,,0.00386272727272727
Manure,16.6,69.831,,Manure,,,,,0.00167363636363636
Manure,16.6,69.831,,Manure,,,,,0.00379909090909091
Manure,23.06666667,80.0,,Manure,,,,,0.168451690909091
Manure,24.43333333,72.0,,Manure,,,,,0.0753252818181818
Food waste,27.12254902,65.27696066324229,7.88,,,,,,0.00585454545454545
Sewage sludge,30.83333333,55.0,7.02,,,,,,0.000407272727272727
Sewage sludge,30.83333333,55.0,7.02,,,,,,0.000171818181818182
Digestate,12.72727273,58.0,5.95,,,,,,0.0356363636363636
Digestate,12.72727273,58.0,5.95,,,,,,0.0311818181818182
Manure,29.0,69.4,8.8,Manure,,,,,0.009492
Manure,24.7,71.1,9.1,Manure,,,,,0.0101760272727273
Manure,17.6,71.2,8.8,Manure,,,,,0.0140759818181818
Manure,19.0,67.6,9.0,Manure,,,,,0.0100819727272727
Manure,19.5,69.2,8.6,Manure,,,,,0.0116639727272727
Manure,21.2,71.0,9.2,Manure,,,,,0.010318
Manure,19.6,70.3,7.5,Manure,,,,,0.0158399818181818
Manure,19.5,71.8,8.4,Manure,,,,,0.0133899818181818
Digestate,,,,,,,,,0.000890909090909091
Food waste,,66.5,,,,,,,0.000254545454545455
Food waste,,66.5,,,,,,,0.000967272727272727
Food waste,,66.5,,,,,,,0.000598181818181818
Manure,18.0,65.0,,Manure,,,,,0.0107052272727273
Manure,18.0,65.0,,Manure,,,,,0.00491909090909091
Manure,18.0,65.0,,Manure,,,,,0.00766729090909091
Digestate,7.78,54.99,,,,,,,0.00900263636363636
Digestate,11.28,69.31,,,,,,,0.000399636363636364
Food waste,35.0877193,69.9,5.75,,,,,,0.00758469090909091
Food waste,39.0797125,57.585,6.0,,,,,,0.00570818181818182
Food waste,53.00827305,57.78,6.0,,,,,,0.00288272727272727
Food waste,24.56252839,58.605,5.9,,,,,,0.00742534545454545
Sewage sludge,10.9045,73.8865,7.0955,,,,,,0.00376407222418182
Sewage sludge,10.9045,73.8865,7.0955,,,,,,0.00268782638790909
Sewage sludge,10.9045,73.8865,7.0955,,,,,,0.002777048841
Digestate,39.83122363,46.9,7.2,,,,,,0.0356000272727273
Digestate,39.83122363,46.9,7.2,,,,,,0.0403999909090909
Digestate,19.93785603,47.6,7.9,,,,,,0.0784
Digestate,19.93785603,47.6,7.9,,,,,,0.1232
Digestate,35.63009973,60.3,7.8,,,,,,0.210600027272727
Digestate,35.63009973,60.3,7.8,,,,,,0.210200009090909
Digestate,37.83542039,65.27696066324229,7.3,,,,,,0.144800027272727
Digestate,37.83542039,65.27696066324229,7.3,,,,,,0.151600018181818
Manure,14.86,47.8,7.27,Manure,,,,,0.000209363636363636
Lignin,32.0,50.0,,,,,,,0.00144454545454545
Lignin,30.0,50.0,,,,,,,0.000329
Lignin,28.0,50.0,,,,,,,0.000916363636363636
