material_0,initial CN(%),initial moisture content(%),initial pH,material_1,Excipients,initial TN(%),initial TC(%),Additive Species,N2O-N loss (%)
Manure,,,6.46,Poultry manure,,,,Physical,1.53
Manure,,,6.52,Poultry manure,,,,Physical,1.42
Manure,,,6.5,Poultry manure,,,,Physical,1.24
Manure,,,6.55,Poultry manure,,,,Physical,0.75
Manure,25.0,55.0,7.75,Swine manure,,2.084,52.1,,0.87
Manure,,,8.2,Swine manure,,,,Physical,0.32
Manure,,,,Swine manure,,,,Physical,0.19
Sewage sludge,20.0,60.0,8.0,,Corn straw,1.79,30.63,,0.77
Sewage sludge,20.0,60.0,8.0,,Corn straw,1.79,30.63,Physical,0.56
Sewage sludge,20.0,60.0,8.0,,Corn straw,1.79,30.63,Chemical,0.6
Sewage sludge,20.0,60.0,8.0,,Corn straw,1.79,30.63,Mixture,0.45
Manure,26.7620561738209,60.0,7.8,Poultry manure,Cereal chaff,1.2,32.1144674085851,,0.024
Manure,2.90159278923324,60.0,7.8,Poultry manure,Cereal chaff,10.4,30.1765650080257,Physical,0.016
Manure,2.53674592815391,60.0,7.8,Poultry manure,Cereal chaff,13.4,33.9923954372624,Physical,0.006
Manure,,,7.6,Cow manure,Corn straw,,,,2.83
Manure,,,7.6,Cow manure,Corn straw,,,Physical,8.34
Manure,,,7.6,Cow manure,Corn straw,,,Physical,13.05
Manure,,,,Swine manure,Wheat straw,,,,0.72
Manure,,,,Swine manure,Wheat straw,,,Biological,0.73
Manure,,,,Swine manure,Wheat straw,,,Physical,0.45
Manure,,,,Swine manure,Wheat straw,,,Mixture,0.55
Manure,14.2,65.4,9.1,Cow manure,Wheat straw,2.1,29.7,,0.74
Manure,14.2,65.4,9.1,Cow manure,Wheat straw,2.1,29.7,,0.83
Manure,14.2,65.4,9.1,Cow manure,Wheat straw,2.1,29.7,,0.93
Sewage sludge,11.3619402985075,72.1,7.72,,Corn straw,2.68,30.45,,0.88
Sewage sludge,11.3619402985075,72.1,7.72,,Corn straw,2.68,30.45,Chemical,1.11
Sewage sludge,11.3619402985075,72.1,7.72,,Corn straw,2.68,30.45,Chemical,0.6
Sewage sludge,11.3619402985075,72.1,7.72,,Corn straw,2.68,30.45,Mixture,0.24
Sewage sludge,11.3619402985075,72.1,7.72,,Corn straw,2.68,30.45,Mixture,0.23
Manure,19.9,59.81,7.3,Swine manure,Corn straw,1.91,38.1,,2.3
Manure,19.9,60.21,7.89,Swine manure,Spent mushroom substrate,1.79,35.6,,1.24
Sewage sludge,,,,,Sawdust ,,,,1.14
Sewage sludge,,,,,Sawdust ,,,Biological,0.74
Sewage sludge,,,,,Sawdust ,,,Biological,0.94
Sewage sludge,,,,,Sawdust ,,,Biological,0.43
Manure,30.0,60.0,6.53,Poultry manure,Wheat straw,,,,2.05
Manure,30.0,60.0,6.85,Poultry manure,Wheat straw,,,Physical,2.01
Manure,30.0,60.0,6.46,Poultry manure,Wheat straw,,,Physical,1.53
Manure,30.0,60.0,6.52,Poultry manure,Wheat straw,,,Physical,1.42
Manure,30.0,60.0,6.5,Poultry manure,Wheat straw,,,Physical,1.24
Manure,30.0,60.0,6.55,Poultry manure,Wheat straw,,,Physical,0.75
Lignin,23.8,,8.2,,Straw,1.79,42.59,,0.41
Lignin,30.6,,8.4,,Straw,4.45,44.38,,0.09
Food waste,22.1,60.0,5.01,,Corn stalks ,1.79,39.6,,1.97
Food waste,18.2,60.0,4.43,,Corn stalks ,1.98,36.0,Chemical,2.06
Food waste,19.1,60.0,4.28,,Corn stalks ,1.89,36.0,Chemical,2.16
Manure,12.2,81.0,7.0,Manure,,3.86,46.9,,0.55
Manure,15.3,75.8,7.1,Manure ,Rice Straw,3.18,48.8,,0.57
Digestate,22.3,77.3,8.7,,Rice Straw,2.16,48.2,,0.06
Digestate,20.1,77.0,8.8,,Rice Straw,2.25,45.3,,0.03
Digestate,29.9,80.0,6.7,,Sugarcane,1.82,54.5,,0.01
Digestate,16.9,84.1,10.7,,,2.26,38.3,Physical,0.12
Digestate,20.5,80.7,9.8,,Rice Straw,2.21,45.3,Physical,0.02
Digestate,21.3,81.5,10.0,,Rice Straw,2.03,42.5,Physical,0.07
Manure,17.3,,,Swine manure,Corn stalk,2.12,36.7,,1.4
Manure,17.3,,,Swine manure,Corn stalk,2.12,36.7,,1.2
Manure,17.3,,,Swine manure,Corn stalk,2.12,36.7,,1.7
Manure,17.3,,,Swine manure,Corn stalk,2.12,36.7,,2.7
Manure,17.3,,,Swine manure,Corn stalk,2.12,36.7,,2.7
Manure,17.3,,,Swine manure,Corn stalk,2.12,36.7,,2.5
Manure,21.0526315789474,61.0,,Cow manure,Sawdust ,1.9,40.0,,0.169230769230769
Manure,21.0526315789474,61.0,,Cow manure,Sawdust ,1.9,40.0,,0.415384615384615
Manure,21.0526315789474,61.0,,Cow manure,Sawdust ,1.9,40.0,,0.476923076923077
Manure,21.0526315789474,61.0,,Cow manure,Sawdust ,1.9,40.0,,0.261538461538462
Manure,21.0526315789474,61.0,,Cow manure,Sawdust ,1.9,40.0,,0.384615384615385
Food waste,,,,,,,,,7.0
Food waste,,,,,Corn stalk,,,,2.0
Food waste,,,,,Sawdust ,,,,1.0
Food waste,,,,,Spend mush room residue,,,,2.0
Manure,,,,Swine manure,Cornstalks,2.17,38.76,,3.1
Manure,,,,Swine manure,Cornstalks,1.96,36.72,Chemical,3.2
Manure,,,,Swine manure,Cornstalks,2.06,36.53,Mixture,2.0
Manure,,,,Swine manure,Cornstalks,2.1,37.4,Mixture,2.0
Manure,14.7,64.1,,Swine manure,Cornstalk,2.36,34.8,,1.6
Manure,18.4,71.3,,Swine manure,Cornstalk,2.06,38.0,,1.5
Manure,21.2,75.7,,Swine manure,Cornstalk,1.93,40.9,,2.1
Manure,18.3,65.2,,Swine manure,Cornstalk,2.08,38.0,,4.2
Manure,21.1,70.6,,Swine manure,Cornstalk,1.9,40.1,,5.0
Manure,14.9,76.8,,Swine manure,Cornstalk,2.37,35.3,,3.8
Manure,20.7,63.7,,Swine manure,Cornstalk,1.9,39.4,,5.3
Manure,15.0,70.8,,Swine manure,Cornstalk,2.35,35.2,,7.3
Manure,18.0,74.0,,Swine manure,Cornstalk,2.09,37.6,,5.2
Manure,14.7,64.1,,Swine manure,Cornstalk,2.36,34.8,,1.6
Manure,18.4,71.3,,Swine manure,Cornstalk,2.06,38.0,,1.5
Manure,21.2,75.7,,Swine manure,Cornstalk,1.93,40.9,,2.1
Manure,18.3,65.2,,Swine manure,Cornstalk,2.08,38.0,,4.2
Manure,21.1,70.6,,Swine manure,Cornstalk,1.9,40.1,,5.0
Manure,14.9,76.8,,Swine manure,Cornstalk,2.37,35.3,,3.8
Manure,20.7,63.7,,Swine manure,Cornstalk,1.9,39.4,,5.3
Manure,15.0,70.8,,Swine manure,Cornstalk,2.35,35.2,,7.3
Manure,18.0,74.0,,Swine manure,Cornstalk,2.09,37.6,,5.2
Manure,18.4,69.2,,Swine manure,Cornstalk,2.04,37.48,,1.5
Manure,18.4,69.2,,Swine manure,Cornstalk,2.04,37.48,Chemical,1.4
Manure,18.4,69.2,,Swine manure,Cornstalk,2.04,37.48,Chemical,1.2
Manure,18.4,69.2,,Swine manure,Cornstalk,2.04,37.48,Chemical,1.3
Manure,18.4,69.2,,Swine manure,Cornstalk,2.04,37.48,Chemical,1.0
Manure,20.0,65.7,8.6,Swine manure,玉米秸秆,,,,7.79
Manure,20.0,65.7,8.6,Swine manure,玉米秸秆,,,,8.84
Manure,20.0,65.7,8.6,Swine manure,玉米秸秆,,,,8.59
Manure,22.46,65.0,7.56,Swine manure,水稻秸秆,,,,1.37
Manure,13.16,69.47,7.13,Swine manure,玉米秸秆,,,,0.54
Manure,21.9,66.0,,Cow manure,锯末,,,,3.29
Manure,21.9,66.0,,Cow manure,锯末,,,,3.86
Manure,21.9,66.0,,Cow manure,锯末,,,,4.62
Manure,17.4,64.0,7.4,Swine manure,玉米秸秆,,,,0.81
Manure,17.4,64.0,7.4,Swine manure,玉米秸秆,,,,1.05
Manure,17.4,64.0,7.4,Swine manure,玉米秸秆,,,,3.93
Sewage sludge,11.37,65.0,7.8,,玉米秸秆,,,,0.88
Sewage sludge,25.38,68.07,7.57,,玉米秸秆,,,,1.11
Sewage sludge,24.32,68.53,6.95,,木屑,,,,1.37
Manure,15.39,60.0,6.54,Swine manure,蘑菇渣,,,,0.0397
Manure,15.39,60.0,6.54,Swine manure,蘑菇渣,,,,0.0169
Sewage sludge,7.73,64.83,8.25,,蘑菇渣,,,,0.018
Sewage sludge,8.54,57.48,8.22,,蘑菇渣,,,,0.0066
Sewage sludge,11.37,72.1,7.78,,玉米秸秆,,,,0.5
Manure,29.3,60.0,7.82,Swine manure,锯末,,,,11.219
Manure,18.99,67.7,,Swine manure,玉米秸秆,,,,1.0
Manure,25.0,60.0,6.5,Poultry manure,小麦秸秆,,,,2.05
Sewage sludge,47.48,65.0,7.2,,小麦秸秆,,,,1.92
Manure,25.0,60.0,7.7,Swine manure,小麦秸秆,,,,0.79
Manure,,74.0,7.9,Cow manure,水稻秸秆,,,,0.1
Manure,,74.0,7.9,Cow manure,水稻秸秆,,,,0.06
Manure,,74.0,7.9,Cow manure,水稻秸秆,,,,0.06
Manure,,66.7,,Cow manure,水稻秸秆,,,,0.09
Manure,,66.7,,Cow manure,水稻秸秆,,,,0.07
Sewage sludge,12.58,68.45,7.85,,稻草,,,,0.183
Sewage sludge,21.24,67.71,7.82,,玉米秸秆,,,,0.56
Manure,20.0,65.0,7.1,Poultry manure,秸秆+草皮,,,,1.105
Manure,20.0,65.0,7.1,Poultry manure,秸秆+草皮,,,,0.423
Manure,20.0,65.0,7.1,Poultry manure,秸秆+草皮,,,,0.268
Manure,6.53,77.53,6.2,Swine manure,,,,,0.02
Manure,6.81,66.71,7.01,Swine manure,蘑菇渣,,,,1.1
Manure,9.22,66.36,7.41,Swine manure,蘑菇渣,,,,1.2
Manure,7.35,67.68,7.59,Swine manure,蘑菇渣+沼渣,,,,0.004
Manure,7.24,66.26,8.04,Swine manure,蘑菇渣+沼渣+芦苇屑+烟梗,,,,0.033
Sewage sludge,19.11,72.13,5.67,,木屑,,,,0.059
Sewage sludge,13.27,69.74,7.56,,小麦秸秆,,,,0.0427
Sewage sludge,13.56,71.05,8.08,,稻壳,,,,0.0335
Sewage sludge,13.56,71.05,8.08,,稻壳,,,,0.0389
Manure,14.0,61.43,6.62,Swine manure,水稻秸秆,,,,0.02
Manure,14.0,65.75,7.06,Swine manure,水稻秸秆,,,,1.4
Manure,14.93,65.59,8.48,Cow manure,水稻秸秆,,,,0.1
Manure,14.43,76.09,7.74,Cow manure,水稻秸秆,,,,0.06
Manure,15.0,40.0,6.72,Swine manure,玉米秸秆,,,,0.14
Manure,15.0,60.0,6.76,Swine manure,玉米秸秆,,,,0.19
Manure,15.0,80.0,6.63,Swine manure,玉米秸秆,,,,0.21
Manure,15.0,60.0,6.82,Swine manure,玉米秸秆,,,,0.08
Manure,15.0,60.0,,Swine manure,玉米秸秆,,,,0.136
Manure,20.0,60.0,,Swine manure,玉米秸秆,,,,0.214
Manure,25.0,60.0,,Swine manure,玉米秸秆,,,,0.279
Manure,30.0,60.0,,Swine manure,玉米秸秆,,,,0.315
Food waste,25.0,66.9,5.75,,,,,,1.68
Food waste,20.9,58.6,5.36,,菌糠,,,,0.69
Food waste,18.7,53.1,5.13,,菌糠,,,,1.34
Food waste,16.8,47.5,5.04,,菌糠,,,,2.36
Manure,30.0,60.0,7.2,Swine manure,木屑,,,,0.033
Manure,18.15,80.89,7.47,Cow manure,,,,,0.9
Manure,16.49,80.82,7.42,Cow manure,,,,,1.1
Sewage sludge,19.0,50.0,,,蘑菇渣,,,,0.0438
Manure,23.15,61.0,,Cow manure,稻草,,,,0.264
Manure,23.15,61.0,,Cow manure,稻草,,,,0.166
Manure,11.0,69.0,,Swine manure,,,,,0.016
Manure,14.7,65.0,,Swine manure,木屑,,,,0.028
Manure,12.9,67.0,,Swine manure,木屑,,,,0.044
Manure,14.0,65.0,,Swine manure,大麦秸秆,,,,0.007
Manure,14.86,47.8,7.27,Swine manure,蘑菇渣,,,,0.0303
Manure,16.5,83.0,8.4,Cow manure,大麦秸秆,,,,0.096
Manure,16.5,83.0,8.4,Cow manure,大麦秸秆,,,,0.098
Manure,6.1,71.0,6.7,Poultry manure,大麦秸秆,,,,0.048
Manure,6.1,71.0,6.7,Poultry manure,大麦秸秆,,,,0.052
Sewage sludge,11.37,72.1,7.78,,玉米秸秆,,,,0.8
Sewage sludge,11.37,72.1,7.78,,玉米秸秆,,,,0.6
Sewage sludge,11.37,72.1,7.78,,玉米秸秆,,,,0.6
Sewage sludge,25.0,55.0,7.3,,小麦秸秆,,,,0.297
Manure,24.8,52.2,8.6,Swine manure,玉米秸秆,,,,1.5
Food waste,31.8,66.9,5.6,,,,,,7.0
Food waste,31.5,57.58,6.6,,玉米秸秆,,,,2.0
