Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,TN loss (%)
0.0,5,0.0,4,6.33333,36,0.0,0.0,0.0,24,1,28.1
20.0,5,70.9,4,7.04,36,0.0,2.1,42.0,77,4,24.4
21.0,5,71.7,4,7.28,36,0.0,2.0,42.0,52,3,9.2
25.0,5,68.3,4,7.25,36,0.0,1.7,42.5,52,3,8.5
26.4,5,70.0,4,6.3,36,0.0,1.73,45.6,77,4,49.1
0.0,5,0.0,4,0.0,36,0.0,1.73,0.0,62,0,40.5
0.0,5,0.0,4,6.2,36,0.0,1.61,0.0,40,1,18.9
27.7,5,66.5,4,7.85,36,0.0,1.45,40.1,77,4,15.2
0.0,5,0.0,4,0.0,36,0.0,1.45,0.0,60,3,10.5
0.0,5,0.0,4,0.0,36,0.0,1.45,0.0,60,3,9.0
0.0,5,0.0,4,0.0,36,0.0,1.45,0.0,60,3,4.2
0.0,4,65.4,1,7.1,19,0.0,1.4,0.0,77,4,42.8
0.0,4,0.0,1,0.0,19,0.0,0.0,0.0,33,0,41.4
0.0,4,64.9,1,6.9,19,0.0,3.4,0.0,77,4,46.5483787203244
0.0,4,0.0,1,0.0,19,0.0,0.0,0.0,33,0,34.8142452731276
0.0,4,65.0,4,7.9,36,0.0,2.8,0.0,77,4,36.6851
0.0,4,0.0,4,0.0,36,0.0,0.0,0.0,52,3,26.2983
0.0,4,0.0,4,0.0,36,0.0,0.0,0.0,52,3,16.5746
0.0,4,0.0,4,0.0,36,0.0,0.0,0.0,52,3,12.5967
15.4166666666667,4,65.0,0,6.82846,31,0.0,2.4,37.0,77,4,53.1
0.0,4,0.0,0,6.00631,31,0.0,0.0,0.0,72,3,36.2
0.0,4,0.0,0,6.2,31,0.0,0.0,0.0,69,3,46.5
0.0,4,0.0,0,6.1,31,0.0,0.0,0.0,74,3,41.5
26.7142857142857,5,65.0,4,0.0,36,0.0,1.4,37.4,77,4,19.53
0.0,5,0.0,4,0.0,36,0.0,1.4,0.0,52,3,22.53
0.0,5,0.0,4,0.0,36,0.0,1.4,0.0,52,3,20.85
0.0,5,0.0,4,0.0,36,0.0,1.4,0.0,52,3,19.4
0.0,5,0.0,4,0.0,36,0.0,1.4,0.0,52,3,16.26
0.0,5,0.0,4,0.0,36,0.0,1.4,0.0,52,3,14.85
0.0,4,0.0,4,0.0,36,0.0,0.0,0.0,77,4,19.5
0.0,4,0.0,4,0.0,36,0.0,0.0,0.0,46,0,18.5
0.0,4,0.0,4,0.0,36,0.0,0.0,0.0,46,0,17.6
0.0,4,0.0,4,0.0,36,0.0,0.0,0.0,46,0,16.3
0.0,4,0.0,4,0.0,36,0.0,0.0,0.0,46,0,18.3
0.0,4,0.0,4,0.0,36,0.0,0.0,0.0,46,0,14.9
0.0,4,0.0,4,0.0,36,0.0,0.0,0.0,46,0,15.5
0.0,4,0.0,4,0.0,36,0.0,0.0,0.0,46,0,15.3
25.0,5,55.0,4,7.4,36,0.0,2.32,45.81,77,4,6.03
0.0,5,0.0,4,7.8,36,0.0,0.0,0.0,52,3,4.15
0.0,5,0.0,4,7.8,36,0.0,0.0,0.0,52,3,2.7
0.0,5,0.0,4,8.0,36,0.0,0.0,0.0,52,3,3.16
0.0,5,0.0,4,8.0,36,0.0,0.0,0.0,52,3,2.44
0.0,5,0.0,4,8.1,36,0.0,0.0,0.0,52,3,2.21
0.0,5,0.0,4,8.2,36,0.0,0.0,0.0,52,3,2.08
0.0,5,80.7,4,0.0,36,0.0,0.82,0.0,77,4,24.0506329113924
0.0,5,0.0,4,0.0,36,0.0,0.9,0.0,48,3,17.2413793103448
0.0,5,0.0,4,0.0,36,0.0,0.95,0.0,73,1,11.6393442622951
0.0,5,0.0,4,0.0,36,0.0,0.83,0.0,73,2,18.1
18.4,4,69.2,0,0.0,6,35.0,2.04,37.48,77,4,37.5
18.4,4,69.2,0,0.0,6,35.0,2.04,37.48,19,1,18.8
18.4,4,69.2,0,0.0,6,35.0,2.04,37.48,23,1,20.8
18.4,4,69.2,0,0.0,6,35.0,2.04,37.48,6,1,17.6
18.4,4,69.2,0,0.0,6,35.0,2.04,37.48,17,1,9.8
0.0,4,63.7,4,6.5,36,0.0,2.6,40.0,77,4,30.73
0.0,4,0.0,4,6.5,36,0.0,0.0,0.0,52,3,20.73
14.4202898550725,4,65.0,4,0.0,36,0.0,2.76,39.8,77,4,34.15
15.1481481481481,4,0.0,4,0.0,36,0.0,2.7,40.9,52,3,29.07
22.5,0,89.8,4,7.84,36,0.0,1.3,29.25,77,4,15.0
0.0,0,0.0,4,7.68,36,0.0,0.0,0.0,61,3,10.8
19.91,4,62.06,0,7.5,35,28.0,1.96,38.8245,77,4,20.29
18.23,4,58.69,0,7.75,35,28.0,1.29,35.68,72,3,13.03
18.9754901960784,4,67.6,0,7.8,4,0.0,2.04,38.71,77,4,32.01
0.0,4,0.0,0,6.7,4,0.0,0.0,0.0,61,3,20.32
0.0,4,0.0,0,8.0,4,0.0,0.0,0.0,56,3,33.29
0.0,4,0.0,4,7.2,4,0.0,0.0,0.0,40,1,19.58
19.25,4,60.0,0,7.1,4,0.0,2.0,38.5,77,4,31.5
