Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,NH3-N loss (%)
7.0,9,62.0,0,8.4,15,0.0,0.0,0.0,69,4,2.4
24.8,0,72.5,1,0.0,30,0.0,0.0,0.0,69,4,11.0
24.8,0,72.5,1,0.0,30,0.0,0.0,0.0,69,4,18.0
22.3,0,74.8,1,0.0,30,0.0,0.0,0.0,69,4,1.0
22.3,0,74.8,1,0.0,30,0.0,0.0,0.0,69,4,2.0
22.3,0,74.8,1,0.0,30,0.0,0.0,0.0,69,4,2.0
0.0,9,68.0,1,8.1,16,0.0,0.0,0.0,69,4,11.28
0.0,9,68.0,1,8.1,16,0.0,0.0,0.0,69,4,12.74
18.28,9,65.8,0,7.17,16,0.0,0.0,0.0,69,4,9.19
24.03,9,67.3,0,7.94,16,0.0,2.7,0.0,35,1,12.58
20.29,11,58.2,0,4.45,16,0.0,0.0,0.0,69,4,2.44
19.14,11,59.4,0,5.51,16,0.0,0.0,0.0,69,4,16.29
18.86,11,57.5,0,6.48,16,0.0,0.0,0.0,69,4,18.74
19.01,11,58.2,0,7.56,16,0.0,0.0,0.0,69,4,33.88
0.0,9,65.0,4,6.79,16,0.0,0.0,0.0,69,4,14.2
18.0,9,65.0,0,8.5,4,0.0,0.0,0.0,69,4,17.034
18.0,9,65.0,0,6.6,7,0.0,0.0,0.0,69,4,9.5257
18.0,9,65.0,0,8.6,16,0.0,0.0,0.0,69,4,32.87
33.85,9,45.0,0,7.75,4,0.0,0.0,0.0,69,4,2.36
33.85,9,55.0,0,7.75,4,0.0,0.0,0.0,69,4,2.75
33.85,9,65.0,0,7.75,4,0.0,0.0,0.0,69,4,2.08
33.85,9,75.0,0,7.6,4,0.0,0.0,0.0,69,4,2.02
33.85,9,85.0,0,6.9,4,0.0,0.0,0.0,69,4,1.47
30.0,0,60.0,1,6.9,4,0.0,0.0,0.0,69,4,8.5
30.0,0,60.0,1,6.9,4,0.0,0.0,0.0,69,4,28.1
30.0,0,60.0,1,6.9,4,0.0,0.0,0.0,69,4,22.5
30.0,0,60.0,1,5.0,4,0.0,0.0,0.0,69,4,17.0
7.9,11,79.0,1,0.0,40,0.0,0.0,0.0,69,4,65.0
8.47,9,68.5,0,6.5,40,0.0,0.0,0.0,69,4,16.82
8.47,9,68.5,0,6.5,40,0.0,0.0,0.0,69,4,0.99
8.47,9,68.5,0,6.1,40,0.0,0.0,0.0,69,4,9.63
8.47,9,68.5,0,6.1,40,0.0,0.0,0.0,69,4,0.71
10.0,9,65.0,0,6.5,16,0.0,0.0,0.0,69,4,13.35
10.0,9,65.0,0,6.5,16,0.0,0.0,0.0,69,4,0.82
10.0,9,65.0,0,6.5,36,0.0,0.0,0.0,69,4,14.54
10.0,9,65.0,0,6.5,36,0.0,0.0,0.0,69,4,0.76
10.0,9,65.0,0,6.5,15,0.0,0.0,0.0,69,4,11.19
10.0,9,65.0,0,6.5,15,0.0,0.0,0.0,69,4,0.75
10.0,9,65.0,0,6.4,25,0.0,0.0,0.0,69,4,12.48
10.0,9,65.0,0,6.4,25,0.0,0.0,0.0,69,4,0.69
6.975,6,63.1,1,0.0,4,0.0,0.0,0.0,69,4,11.8
6.975,6,63.1,1,0.0,4,0.0,0.0,0.0,69,4,10.15
6.975,6,63.1,1,0.0,4,0.0,0.0,0.0,69,4,6.04
0.0,9,82.0,0,0.0,30,0.0,0.0,0.0,69,4,7.93
0.0,9,85.0,0,0.0,30,0.0,0.0,0.0,69,4,14.86
0.0,9,83.2,0,0.0,30,0.0,0.0,0.0,69,4,4.95
0.0,9,83.2,0,0.0,30,0.0,0.0,0.0,69,4,5.81
0.0,9,83.2,0,0.0,30,0.0,0.0,0.0,69,4,6.15
0.0,9,83.0,0,0.0,30,0.0,0.0,0.0,69,4,13.47
40.0,11,60.0,0,8.1,30,0.0,0.0,0.0,69,4,6.154
25.0,11,55.0,0,7.4,30,0.0,0.0,0.0,69,4,6.0
16.19,11,72.0,0,0.0,4,0.0,0.0,0.0,69,4,7.172
16.19,11,72.0,0,0.0,4,0.0,0.0,0.0,69,4,10.02
16.19,11,72.0,0,0.0,4,0.0,0.0,0.0,69,4,13.14
16.9,11,62.3,0,7.5,4,0.0,0.0,0.0,69,4,16.27
13.67,9,61.0,0,7.8,4,0.0,0.0,0.0,69,4,29.37
17.23,9,62.14,0,8.1,4,0.0,0.0,0.0,69,4,14.64
21.35,11,77.84,0,0.0,40,0.0,0.0,0.0,69,4,19.5
22.59,11,65.18,0,0.0,4,0.0,0.0,0.0,69,4,8.25
18.4,11,55.3,0,6.44,12,0.0,0.0,0.0,69,4,1.09
30.3,6,59.79,4,8.89,16,0.0,0.0,0.0,69,4,10.555915
25.0,11,65.0,4,0.0,7,0.0,0.0,0.0,69,4,19.134047671113
25.0,11,65.0,4,0.0,7,0.0,0.0,0.0,69,4,14.0626212708342
25.0,11,65.0,4,0.0,7,0.0,0.0,0.0,69,4,16.014758927968
25.0,0,60.0,4,7.6,30,0.0,0.0,0.0,69,4,0.899411942729728
25.0,0,60.0,4,6.23,30,0.0,0.0,0.0,43,4,0.650756828903138
25.0,0,60.0,4,7.51,31,0.0,0.0,0.0,69,4,1.43996865489951
7.8,11,57.08125,4,0.0,10,0.0,0.0,0.0,69,4,7.04131120924477
8.0,11,54.975,4,0.0,10,0.0,0.0,0.0,69,4,11.2441642920876
7.42,11,55.59375,4,0.0,10,0.0,0.0,0.0,69,4,5.18209672809111
7.98,11,58.86875,4,0.0,10,0.0,0.0,0.0,69,4,3.96501106984759
0.0,6,60.0,4,6.56,12,0.0,0.0,0.0,69,4,1.03119879901217
0.0,6,60.0,4,7.0,12,0.0,0.0,0.0,65,4,1.38465090678166
0.0,6,60.0,4,6.53,12,0.0,0.0,0.0,43,4,1.10856562437909
0.0,6,60.0,4,5.75,12,0.0,0.0,0.0,47,4,0.761653776949243
0.0,6,60.0,4,6.62,12,0.0,0.0,0.0,66,4,1.26415498264429
0.0,6,60.0,4,6.23,12,0.0,0.0,0.0,68,4,0.815063244281926
0.0,6,60.0,4,5.93,12,0.0,0.0,0.0,44,4,0.787397054811542
0.0,6,60.0,4,6.0,12,0.0,0.0,0.0,67,4,0.865091789398434
25.0,9,60.0,4,7.8,16,0.0,0.0,0.0,69,4,1.71494602460296
25.0,9,60.0,4,7.8,16,0.0,0.0,0.0,67,4,1.38462660561611
25.0,9,60.0,4,7.8,16,0.0,0.0,0.0,67,4,1.4453260004742
25.0,9,60.0,4,7.8,16,0.0,0.0,0.0,67,4,1.50746391510127
25.0,9,60.0,4,7.8,16,0.0,0.0,0.0,67,4,1.80385337592754
25.0,9,60.0,4,7.8,16,0.0,0.0,0.0,67,4,1.69795423695066
25.0,6,60.0,4,7.62,16,0.0,0.0,0.0,69,4,0.892905289190118
25.0,6,60.0,4,7.62,16,0.0,0.0,0.0,67,4,0.93000120863898
25.0,6,60.0,4,7.62,16,0.0,0.0,0.0,67,4,1.02449539606923
25.0,6,60.0,4,7.62,16,0.0,0.0,0.0,67,4,1.01682215495505
20.25,6,0.0,4,8.66,35,0.0,0.0,0.0,69,4,74.5876814980182
30.29,6,0.0,4,8.64,35,0.0,0.0,0.0,40,4,52.9289864550642
26.85,6,0.0,4,8.61,35,0.0,0.0,0.0,69,4,84.5149768218341
28.99,6,0.0,4,8.49,35,0.0,0.0,0.0,69,4,72.7944031981724
27.18,6,0.0,4,8.49,35,0.0,0.0,0.0,69,4,74.7114931580818
19.21,0,62.81,4,8.96,30,0.0,0.0,0.0,69,4,0.2983815727155
20.39,0,59.82,4,8.73,31,0.0,0.0,0.0,69,4,0.255738969718382
21.35,0,55.79,4,8.52,31,0.0,0.0,0.0,69,4,0.220915955495485
22.75,0,54.04,4,8.34,31,0.0,0.0,0.0,69,4,0.192840337165948
0.0,9,65.0,4,0.0,16,0.0,0.0,0.0,69,4,4.67
0.0,9,65.0,4,0.0,16,0.0,0.0,0.0,61,4,3.53
0.0,9,65.0,4,0.0,16,0.0,0.0,0.0,61,4,3.17
12.64,9,52.1,4,7.27,7,0.0,0.0,0.0,69,4,2.10111969928738
0.0,9,0.0,4,0.0,7,0.0,0.0,0.0,56,4,2.3706730712523
15.0,0,65.0,4,7.69,4,0.0,0.0,0.0,69,4,9.74061899442845
20.0,0,65.0,4,7.74,4,0.0,0.0,0.0,69,4,6.6113992813501
25.0,0,65.0,4,7.6,4,0.0,0.0,0.0,69,4,4.64294011250772
30.0,0,65.0,4,7.38,4,0.0,0.0,0.0,69,4,4.10979926250909
35.0,0,65.0,4,7.27,4,0.0,0.0,0.0,69,4,3.09757675019513
20.42,11,70.0,4,7.8,7,0.0,0.0,0.0,69,4,11.5329512893983
20.42,11,70.0,4,7.8,7,0.0,0.0,0.0,69,4,14.1833810888252
20.42,11,70.0,4,7.8,7,0.0,0.0,0.0,69,4,18.230659025788
0.0,11,63.46,4,5.43,17,0.0,0.0,0.0,69,4,18.382
0.0,11,62.66,4,5.22,22,0.0,0.0,0.0,69,4,18.095
0.0,11,63.42,4,7.52,21,0.0,0.0,0.0,69,4,28.3484
0.0,11,61.77,4,5.31,19,0.0,0.0,0.0,69,4,20.6739
0.0,11,62.45,4,6.14,24,0.0,0.0,0.0,69,4,13.8777
0.0,11,62.07,4,7.63,16,0.0,0.0,0.0,69,4,29.4174
0.0,11,60.36,4,7.02,28,0.0,0.0,0.0,69,4,22.7325
0.0,11,61.11,4,6.67,38,0.0,0.0,0.0,69,4,20.3273
0.0,11,61.92,4,6.25,38,0.0,0.0,0.0,69,4,17.2198
0.0,11,62.51,4,6.14,38,0.0,0.0,0.0,69,4,11.7777
0.0,11,61.6,4,5.63,38,0.0,0.0,0.0,69,4,14.7074
0.0,11,63.13,4,7.07,37,0.0,0.0,0.0,69,4,29.8424
0.0,11,57.52,4,6.55,38,0.0,0.0,0.0,69,4,9.1448
0.0,11,61.07,4,7.29,38,0.0,0.0,0.0,69,4,7.9158
0.0,11,60.61,4,7.39,38,0.0,0.0,0.0,69,4,5.0544
0.0,11,59.85,4,7.29,38,0.0,0.0,0.0,69,4,14.8176
0.0,11,60.99,4,7.3,38,0.0,0.0,0.0,69,4,23.2875
0.0,11,0.0,4,7.44,16,0.0,0.0,0.0,69,4,2.69112080183176
0.0,11,0.0,4,7.2,16,0.0,0.0,0.0,26,4,1.59305382179082
0.0,11,0.0,4,7.09,16,0.0,0.0,0.0,21,4,1.86924650040117
0.0,11,0.0,4,7.44,16,0.0,0.0,0.0,20,4,3.85847130731696
19.3,4,0.0,4,0.0,40,67.0,0.0,0.0,69,4,0.52
16.5,4,0.0,4,0.0,40,76.0,0.0,0.0,69,4,0.576
9.7,8,0.0,4,0.0,40,31.0,0.0,0.0,69,4,0.25
1.1,8,0.0,4,0.0,40,49.0,0.0,0.0,69,4,0.19
27.6,10,0.0,4,0.0,40,29.0,0.0,0.0,69,4,0.25
15.9,10,0.0,4,0.0,40,133.0,0.0,0.0,69,4,0.354
14.0,3,71.7,4,7.55,40,10.0,0.0,0.0,69,4,0.643
16.0,3,77.9,4,8.7,40,10.0,0.0,0.0,69,4,0.33
14.0,3,79.6,4,7.43,40,10.0,0.0,0.0,69,4,0.163
15.0,3,78.8,4,8.2,40,10.0,0.0,0.0,69,4,0.46
14.0,3,71.7,4,7.55,40,80.0,0.0,0.0,69,4,0.675
16.0,4,77.9,4,8.7,40,80.0,0.0,0.0,69,4,0.326
0.0,1,0.0,4,0.0,40,0.0,0.0,0.0,69,4,0.31276
0.0,4,0.0,4,0.0,40,63.0,0.0,0.0,69,4,0.39
26.71,8,62.29,4,0.0,40,22.0,0.0,0.0,69,4,0.22488
26.71,8,62.29,4,0.0,40,22.0,0.0,0.0,69,4,0.177713328
0.0,4,0.0,4,0.0,40,0.0,0.0,0.0,69,4,0.11
0.0,4,0.0,4,0.0,40,0.0,0.0,0.0,69,4,0.2
0.0,4,0.0,4,0.0,40,0.0,0.0,0.0,69,4,0.863
0.0,1,0.0,4,0.0,40,0.0,0.0,0.0,69,4,0.23
0.0,3,68.0,4,8.1,40,92.0,0.0,0.0,69,4,0.193788
0.0,3,68.0,4,8.1,40,92.0,0.0,0.0,69,4,0.1235274
27.21518987,10,70.0,4,0.0,40,60.0,0.0,0.0,69,4,0.467664
15.0,3,64.1,4,8.6,40,37.0,0.0,0.0,69,4,0.1432
18.0,3,65.2,4,8.5,40,37.0,0.0,0.0,69,4,0.1643634
21.0,3,63.7,4,8.3,40,37.0,0.0,0.0,69,4,0.1725235
18.0,3,71.3,4,8.5,40,37.0,0.0,0.0,69,4,0.911746
21.0,3,70.6,4,8.3,40,37.0,0.0,0.0,69,4,0.1824627
15.0,3,70.8,4,8.7,40,37.0,0.0,0.0,69,4,0.269977
21.0,3,75.7,4,8.4,40,37.0,0.0,0.0,69,4,0.54678
15.0,3,76.8,4,8.6,40,37.0,0.0,0.0,69,4,0.1849426
18.0,3,74.0,4,8.6,40,37.0,0.0,0.0,69,4,0.16439
21.0,1,65.0,4,7.1,40,28.0,0.0,0.0,69,4,0.2473555
21.7,1,65.0,4,7.3,40,28.0,0.0,0.0,69,4,0.225879
22.8,1,65.0,4,7.4,40,28.0,0.0,0.0,69,4,0.2164544
20.5,3,65.0,4,7.2,40,28.0,0.0,0.0,69,4,0.1761181
16.6,9,69.831,4,0.0,4,30.0,0.0,0.0,69,4,0.98493
16.6,9,69.831,4,0.0,4,30.0,0.0,0.0,69,4,0.98493
16.6,9,69.831,4,0.0,4,30.0,0.0,0.0,69,4,0.1538619
16.6,9,69.831,4,0.0,4,30.0,0.0,0.0,69,4,0.98493
27.12254902,4,64.90980517639383,4,7.88,40,70.0,0.0,0.0,69,4,0.11
30.83333333,8,55.0,4,7.02,40,12.0,0.0,0.0,69,4,0.871
30.83333333,8,55.0,4,7.02,40,12.0,0.0,0.0,69,4,0.28
12.72727273,1,58.0,4,5.95,40,12.0,0.0,0.0,69,4,0.48
12.72727273,1,58.0,4,5.95,40,12.0,0.0,0.0,69,4,0.35
17.0,4,46.7,4,6.1,40,0.0,0.0,0.0,69,4,0.17
8.8,5,55.0,4,8.0,40,0.0,0.0,0.0,69,4,0.239
5.4,5,55.4,4,8.2,40,0.0,0.0,0.0,69,4,1.3
13.0,8,61.8,4,7.1,40,0.0,0.0,0.0,69,4,0.4
11.0,1,62.4,4,7.6,40,0.0,0.0,0.0,69,4,0.23
29.0,3,69.4,4,8.8,30,56.0,0.0,0.0,69,4,16.5
24.7,3,71.1,4,9.1,30,56.0,0.0,0.0,62,4,27.5
17.6,3,71.2,4,8.8,30,56.0,0.0,0.0,62,4,38.7
19.0,3,67.6,4,9.0,30,56.0,0.0,0.0,62,4,48.9
19.5,3,69.2,4,8.6,30,56.0,0.0,0.0,62,4,36.2
21.2,3,71.0,4,9.2,32,56.0,0.0,0.0,62,4,47.9
19.6,3,70.3,4,7.5,33,56.0,0.0,0.0,62,4,24.8
19.5,3,71.8,4,8.4,34,56.0,0.0,0.0,62,4,24.9
0.0,1,0.0,4,0.0,40,0.0,0.0,0.0,69,4,0.1159278
0.0,4,66.5,4,0.0,40,20.0,0.0,0.0,69,4,0.7
0.0,4,66.5,4,0.0,40,20.0,0.0,0.0,69,4,0.1
0.0,4,66.5,4,0.0,40,20.0,0.0,0.0,69,4,0.7
9.78,3,68.53,4,0.0,40,31.0,0.0,0.0,69,4,0.658921141575
8.0,3,68.75,4,0.0,40,31.0,0.0,0.0,69,4,0.197539375
9.0,1,62.5,4,0.0,40,31.0,0.0,0.0,69,4,0.51972393
15.85,2,72.66,4,0.0,40,31.0,0.0,0.0,69,4,0.11376942254
15.63,2,80.43,4,0.0,40,31.0,0.0,0.0,69,4,0.7537348317
22.83,2,69.44,4,0.0,40,31.0,0.0,0.0,69,4,0.735682464
10.15,1,76.53,4,0.0,40,31.0,0.0,0.0,69,4,0.62188989422
21.21,1,59.71,4,0.0,40,31.0,0.0,0.0,69,4,0.136121814
19.34,10,80.82,4,0.0,40,31.0,0.0,0.0,69,4,0.2233823634
21.87,10,53.66,4,0.0,40,31.0,0.0,0.0,69,4,0.1769786256
4.89,8,84.89,4,0.0,40,31.0,0.0,0.0,69,4,0.3267526548272
5.22,1,83.87,4,0.0,40,31.0,0.0,0.0,69,4,0.724215643879999
21.79,4,56.24,4,0.0,40,31.0,0.0,0.0,69,4,0.768822696
24.7,4,55.19,4,0.0,40,31.0,0.0,0.0,69,4,0.6458476
15.42,1,70.13,4,0.0,40,31.0,0.0,0.0,69,4,0.59891766483
0.0,1,57.9,4,0.0,40,30.0,0.0,0.0,69,4,0.12525327868852
0.0,4,71.04,4,0.0,40,20.0,0.0,0.0,69,4,0.3929872
0.0,4,67.51,4,0.0,40,20.0,0.0,0.0,69,4,0.387828
0.0,4,65.33,4,0.0,40,20.0,0.0,0.0,69,4,0.2822138
0.0,4,61.0,4,0.0,40,60.432307692307695,0.0,0.0,69,4,0.152
0.0,1,45.0,4,0.0,40,14.0,0.0,0.0,69,4,0.41
18.0,3,65.0,4,0.0,40,0.0,0.0,0.0,69,4,0.12155
18.0,3,65.0,4,0.0,40,0.0,0.0,0.0,69,4,0.786637
18.0,3,65.0,4,0.0,40,0.0,0.0,0.0,69,4,0.2293786
23.2,1,63.8,4,8.7,40,65.0,0.0,0.0,69,4,0.155172
25.0,3,55.0,4,0.0,40,33.0,0.0,0.0,69,4,0.2272
25.0,3,55.0,4,0.0,40,33.0,0.0,0.0,69,4,0.1976
25.0,8,55.0,4,0.0,40,33.0,0.0,0.0,69,4,0.172
25.0,8,55.0,4,0.0,40,33.0,0.0,0.0,69,4,0.212
39.83122363,1,46.9,4,7.2,40,50.0,0.0,0.0,69,4,0.34
39.83122363,1,46.9,4,7.2,40,50.0,0.0,0.0,69,4,0.34
19.93785603,1,47.6,4,7.9,40,50.0,0.0,0.0,69,4,0.237143
19.93785603,1,47.6,4,7.9,40,50.0,0.0,0.0,69,4,0.1942857
35.63009973,1,60.3,4,7.8,40,50.0,0.0,0.0,69,4,0.367
35.63009973,1,60.3,4,7.8,40,50.0,0.0,0.0,69,4,0.373
37.83542039,1,64.90980517639383,4,7.3,40,50.0,0.0,0.0,69,4,0.652
37.83542039,1,64.90980517639383,4,7.3,40,50.0,0.0,0.0,69,4,0.6
0.0,2,70.6,4,0.0,40,21.0,0.0,0.0,69,4,0.35868
0.0,4,60.745,4,0.0,40,21.0,0.0,0.0,69,4,0.13542975
14.0,11,71.7,2,7.55,40,80.0,6.6,92.4,69,4,8.367
14.0,11,79.6,1,7.43,40,80.0,6.39,89.46,69,4,3.219
16.0,11,77.9,2,8.7,40,80.0,6.69,107.04,69,4,3.725
15.0,11,78.8,1,8.2,40,80.0,6.31,94.65,69,4,3.19
13.5008665511265,11,82.16,3,9.4,40,140.0,5.77,77.9,69,4,0.14
22.9007633587786,11,71.5,1,10.32,40,20.0,3.0886300333884225,60.37320351299986,69,4,2.349
22.9007633587786,11,71.5,1,10.32,40,20.0,3.0886300333884225,60.37320351299986,69,4,0.793
18.2159090909091,0,62.3,1,0.0,15,124.0,8.8,160.3,69,4,12.271
21.6666666666667,0,64.2,1,0.0,15,124.0,6.9,149.5,69,4,5.929
19.6794871794872,0,64.17,1,0.0,15,124.0,7.8,153.5,69,4,13.753
17.6781609195402,0,63.96,1,0.0,15,124.0,8.7,153.8,69,4,12.271
21.1785714285714,0,57.8,1,0.0,40,87.0,8.4,177.9,69,4,1.19
21.3733333333333,0,62.1,1,0.0,40,87.0,7.5,160.3,69,4,3.67
20.7710843373494,0,59.1,2,0.0,40,87.0,8.3,172.4,69,4,2.651
17.990366088632,11,72.7,0,0.0,40,66.0,5.19,93.37,69,4,23.747
18.0110497237569,11,71.7,0,0.0,40,66.0,5.43,97.8,69,4,2.789
18.0110497237569,11,71.7,0,0.0,40,66.0,5.43,97.8,69,4,17.632
22.0054644808743,11,68.8,0,0.0,40,66.0,5.49,120.81,69,4,11.458
25.9873150105708,11,69.5,0,0.0,40,66.0,4.73,122.92,69,4,9.366
28.9931034482759,11,67.3,0,0.0,40,66.0,4.35,126.12,69,4,12.973
23.06666667,3,80.0,2,0.0,40,168.0,0.0,0.0,69,4,1.363
24.43333333,3,72.0,2,0.0,40,168.0,0.0,0.0,69,4,3.88
30.7,11,50.8,2,8.54,40,50.0,14.2,60.37320351299986,69,4,12.3
30.7,11,50.8,2,8.54,40,50.0,14.2,60.37320351299986,69,4,24.9
12.1563275434243,11,88.5,0,6.8,40,0.0,4.03,48.99,69,4,4.661
12.2475,11,88.5,0,6.9,40,0.0,4.0,48.99,69,4,1.491
12.2475,11,88.5,0,6.9,40,0.0,4.0,48.99,69,4,3.48
22.48202926404854,0,79.0,0,0.0,15,106.0,3.2,197.0,69,4,14.71
46.551724137931,0,86.0,0,0.0,15,119.0,2.9,135.0,69,4,4.19
33.3333333333333,0,84.0,0,0.0,15,172.0,3.9,130.0,69,4,8.75
46.6666666666667,0,81.0,0,0.0,15,124.0,3.6,168.0,69,4,24.16
38.4615384615385,0,83.0,0,0.0,15,123.0,3.9,150.0,69,4,11.11
34.0,0,85.0,0,0.0,15,124.0,4.0,136.0,69,4,8.69
15.3754385964912,11,80.02,1,0.0,40,90.0,5.7,87.64,69,4,2.66
15.5082568807339,11,80.77,1,0.0,40,90.0,5.45,84.52,69,4,2.755
0.0,11,77.2,1,7.8,40,64.0,0.0,0.0,69,4,7.89
0.0,11,0.0,1,0.0,40,64.0,0.0,0.0,69,4,7.99
0.0,11,0.0,2,0.0,40,64.0,0.0,0.0,69,4,15.619
0.0,11,0.0,2,0.0,40,64.0,0.0,0.0,69,4,21.298
0.0,11,76.28,1,0.0,40,49.0,0.0,78.27,69,4,0.539
0.0,11,76.28,1,0.0,40,49.0,0.0,78.27,69,4,0.456
0.0,11,76.28,1,0.0,40,49.0,0.0,78.27,69,4,0.36
0.0,11,76.28,1,0.0,40,49.0,0.0,78.27,69,4,0.226
0.0,11,76.28,1,0.0,40,49.0,0.0,78.27,69,4,0.225
0.0,11,76.28,1,0.0,40,49.0,0.0,78.27,69,4,0.126
0.0,11,76.28,1,0.0,40,49.0,0.0,78.27,69,4,0.15
27.15,11,82.52,1,0.0,40,90.0,3.2,86.88,69,4,0.412
42.3938356164384,11,77.67,1,0.0,40,90.0,2.92,123.79,69,4,0.128
22.48202926404854,11,72.04,1,0.0,40,90.0,2.6,178.23,69,4,0.223
25.0067294751009,11,62.9,3,8.2,40,60.0,14.86,60.37320351299986,69,4,0.74
25.0067294751009,11,62.9,3,8.2,40,60.0,14.86,60.37320351299986,69,4,0.351
17.7917737789203,11,76.0,0,8.2,40,42.0,3.89,69.21,69,4,1.5
