Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,NH3-N loss (%)
31.0,6,55.0,0,7.7,40,0.0,1.07741935483871,33.4,69,4,18.0
29.0,6,55.0,0,7.7,40,0.0,1.12068965517241,32.5,55,3,5.6
20.0,11,0.0,4,6.23506,40,0.0,1.9,38.0,69,4,24.9
0.0,11,0.0,4,4.81275,40,0.0,0.0,0.0,35,1,12.6
0.0,11,0.0,4,4.42231,40,0.0,0.0,0.0,59,3,15.3
0.0,11,0.0,4,5.6,40,0.0,0.0,0.0,10,1,8.9
26.4,11,70.0,4,6.3,40,0.0,1.73,45.6,69,4,16.5467
0.0,11,0.0,4,0.0,40,0.0,1.73,0.0,49,0,12.879
0.0,11,0.0,4,6.2,40,0.0,1.61,0.0,35,1,2.9862
26.0,9,58.1,4,8.38,40,0.0,1.8680998,48.5705948,69,4,33.01
0.0,9,0.0,4,8.35,40,0.0,1.7369735,0.0,64,3,28.94
0.0,9,0.0,4,8.22,40,0.0,1.5455498,0.0,64,3,21.28
0.0,9,0.0,4,8.2,40,0.0,1.4885897,0.0,64,3,17.39
0.0,9,65.4,1,7.1,16,0.0,1.4,0.0,69,4,21.4
0.0,9,0.0,1,0.0,16,0.0,0.0,0.0,29,0,20.7
0.0,9,64.9,1,6.9,16,0.0,3.4,0.0,69,4,18.4
0.0,9,0.0,1,0.0,16,0.0,0.0,0.0,29,0,19.7
15.4166666666667,9,65.0,0,6.82846,30,0.0,2.4,37.0,69,4,26.0
0.0,9,0.0,0,6.00631,30,0.0,0.0,0.0,59,3,11.8
0.0,9,0.0,0,6.2,30,0.0,0.0,0.0,57,3,21.5
0.0,9,0.0,0,6.1,30,0.0,0.0,0.0,63,3,20.2
20.5,11,63.5,0,6.03,40,0.0,0.0,0.0,69,4,12.86
0.0,11,0.0,0,6.0,40,0.0,0.0,0.0,31,1,10.23
28.8,11,43.61,0,4.92,40,0.0,2.33,49.43,69,4,50.9
0.0,11,0.0,0,0.0,40,0.0,2.33,0.0,64,3,9.87
25.0,11,55.0,4,7.4,40,0.0,2.32,45.81,69,4,1.02
0.0,11,0.0,4,7.8,40,0.0,0.0,0.0,40,3,0.2
0.0,11,0.0,4,7.8,40,0.0,0.0,0.0,40,3,0.11
0.0,11,0.0,4,8.0,40,0.0,0.0,0.0,40,3,0.11
0.0,11,0.0,4,8.0,40,0.0,0.0,0.0,40,3,0.06
0.0,11,0.0,4,8.1,40,0.0,0.0,0.0,40,3,0.04
0.0,11,0.0,4,8.2,40,0.0,0.0,0.0,40,3,0.02
17.0,11,66.0,0,6.35433,40,0.0,3.16470588235294,53.8,69,4,21.2
0.0,11,0.0,0,7.07177,40,0.0,0.0,0.0,35,1,32.8
0.0,11,0.0,0,5.79375,40,0.0,0.0,0.0,35,1,12.6
