Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,CH4-C loss (%)
11.3619402985075,9,72.1,0,7.72,3,35.0,2.68,30.45,25,1,0.62
11.3619402985075,9,72.1,0,7.72,3,35.0,2.68,30.45,23,2,0.69
11.3619402985075,9,72.1,0,7.72,3,35.0,2.68,30.45,25,2,0.62
19.9,7,59.81,0,7.3,3,21.0,1.91,38.1,27,4,0.38
19.9,7,60.21,0,7.89,16,21.0,1.79,35.6,27,4,0.43
0.0,9,0.0,0,0.0,14,22.0,0.0,0.0,27,4,4.0
0.0,9,0.0,0,0.0,14,22.0,0.0,0.0,21,0,2.5
0.0,9,0.0,0,0.0,14,22.0,0.0,0.0,21,0,4.2
0.0,9,0.0,0,0.0,14,22.0,0.0,0.0,21,0,2.6
12.88,3,65.03,0,7.88,14,15.0,2.18,28.0,27,4,0.385204
24.41,3,63.17,0,7.88,14,15.0,1.9,0.0,9,3,0.283163
27.43,3,62.39,0,7.7,14,15.0,1.8,0.0,1,3,0.326531
28.06,3,62.6,0,7.88,14,15.0,1.8,0.0,18,3,0.30102
16.31,3,61.97,0,7.88,14,15.0,2.05,0.0,15,3,0.344388
39.93,3,63.43,0,7.88,14,15.0,1.8,0.0,8,3,0.30102
23.8,9,0.0,0,8.2,17,45.0,1.79,42.59,27,4,0.22
30.6,9,0.0,0,8.4,17,45.0,4.45,44.38,27,4,0.19
12.2,3,81.0,0,7.0,26,84.0,3.86,46.9,27,4,0.28
15.3,3,75.8,0,7.1,11,84.0,3.18,48.8,27,4,0.28
22.3,9,77.3,0,8.7,11,84.0,2.16,48.2,27,4,0.12
20.1,9,77.0,0,8.8,11,84.0,2.25,45.3,27,4,0.13
29.9,9,80.0,0,6.7,20,84.0,1.82,54.5,27,4,0.06
16.9,9,84.1,0,10.7,26,84.0,2.26,38.3,4,3,0.07
20.5,9,80.7,0,9.8,11,84.0,2.21,45.3,4,3,0.12
21.3,9,81.5,0,10.0,11,84.0,2.03,42.5,4,3,0.07
17.3,7,0.0,0,0.0,3,51.0,2.12,36.7,27,4,0.24
17.3,7,0.0,0,0.0,3,51.0,2.12,36.7,27,4,0.32
17.3,7,0.0,0,0.0,3,51.0,2.12,36.7,27,4,0.09
17.3,7,0.0,0,0.0,3,51.0,2.12,36.7,27,4,0.01
17.3,7,0.0,0,0.0,3,51.0,2.12,36.7,27,4,0.01
17.3,7,0.0,0,0.0,3,51.0,2.12,36.7,27,4,0.03
21.0526315789474,0,61.0,1,0.0,14,45.0,1.9,40.0,27,4,0.364285714285714
21.0526315789474,0,61.0,1,0.0,14,45.0,1.9,40.0,27,4,0.392857142857143
21.0526315789474,0,61.0,1,0.0,14,45.0,1.9,40.0,27,4,0.371428571428571
21.0526315789474,0,61.0,1,0.0,14,45.0,1.9,40.0,27,4,0.371428571428571
21.0526315789474,0,61.0,1,0.0,14,45.0,1.9,40.0,27,4,0.385714285714286
16.5,0,83.0,0,8.45,1,30.0,1.65,43.0,27,4,0.0834
16.5,0,83.0,0,8.45,1,30.0,1.65,43.0,27,4,0.16955
