material_0,initial CN(%),initial moisture content(%),initial pH,material_1,Excipients,initial TN(%),initial TC(%),Additive Species,TN loss (%)
Manure,15.0,65.0,7.60664,Swine manure,,2.66,39.9,,35.0
Manure,,,7.41084,Swine manure,,,,Chemical,12.0
Manure,,,6.61538,Swine manure,,,,Chemical,5.0
Manure,,,6.40734,Swine manure,,,,Chemical,1.0
Manure,36.0,,7.52,Cow manure,,1.31,47.16,,16.0
Manure,,,7.58,Cow manure,,,,Physical,6.1
Sewage sludge,19.0,,7.7,,,2.85,54.15,,25.1
Sewage sludge,,,7.4,,,,,Physical,11.4
Manure,13.2113821138211,65.0,6.49842,Swine manure,,2.46,32.5,,58.0
Manure,10.9563636363636,,7.2,Swine manure,,2.75,30.13,Physical,50.3
Manure,11.1533546325879,,6.1,Swine manure,,3.13,34.91,Physical,44.1
Manure,9.83606557377049,,6.2,Swine manure,,3.05,30.0,Physical,34.1
Manure,,65.0,7.13744,Swine manure,,2.46,32.7,,41.0
Manure,,,,Swine manure,,,,Biological,35.0
Manure,,,,Swine manure,,,,Biological,56.0
Manure,,,,Swine manure,,,,Biological,48.0
Manure,10.3932584269663,,8.70526,Poultry manure,,3.56,37.0,,39.5
Manure,10.7335243553009,,8.66,Poultry manure,,3.49,37.46,Physical,37.3
Manure,15.5,,8.55,Poultry manure,,2.96,45.88,Physical,26.7
Manure,15.0417785398946,65.0,7.46561,Poultry manure,,2.65926,40.0,,55.3
Manure,13.041958041958,62.5,7.34,Poultry manure,,2.86,37.3,Physical,48.9
Manure,14.4827586206897,60.5,7.6,Poultry manure,,2.61,37.8,Physical,43.0
,19.8,73.0,7.3,,,1.8,35.64,,22.0
,27.5,69.7,7.6,,,1.4,38.5,Physical,3.0
Manure,12.6461242788792,60.0,7.29412,Poultry manure,,2.98667,37.7698,,32.3
Manure,13.551724137931,58.3,7.3,Poultry manure,,2.9,39.3,Physical,15.8
Manure,11.9375,59.0,7.36,Poultry manure,,3.2,38.2,Physical,21.9
Manure,31.0666666666667,65.0,7.1,Cow manure,,1.5,46.6,,2.01
Manure,,,,Cow manure,,,,Physical,6.5
Manure,,,,Cow manure,,,,Physical,1.46
Manure,,,,Cow manure,,,,Physical,4.33
Food waste,22.122905027933,60.0,5.01,,,1.79,39.6,,47.4
Food waste,,,4.43,,,,,Physical,30.7
Food waste,,,4.28,,,,,Physical,37.5
Lignin,32.0650406504065,63.0,7.5,,,1.23,39.44,,38.0
Lignin,,,5.9,,,,,Chemical,13.0
Lignin,52.8865979381443,70.0,6.7,,,0.97,51.3,,49.18
Lignin,,,8.1,,,,,Physical,48.71
Lignin,,,8.6,,,,,Physical,44.74
Lignin,,,8.6,,,,,Physical,44.62
Manure,,67.3,7.94,Swine manure,,2.7,,,30.2
Manure,,,7.62,Swine manure,,,,Chemical,14.8
Manure,24.8,52.2,8.56364,Swine manure,,2.23,41.3,,43.9
Manure,,,8.08636,Swine manure,,,,Chemical,22.3
Manure,17.8341013824885,,7.84967,Swine manure,,2.17,38.7,,40.4
Manure,,,7.85621,Swine manure,,,,Physical,32.7
Sewage sludge,11.0,69.0,,,,3.7,40.7,,17.7
Sewage sludge,16.7,65.0,,,,2.93413173652695,49.0,Physical,12.8
Sewage sludge,14.0,67.0,,,,3.24285714285714,45.4,Physical,14.0
Sewage sludge,,68.0,,,,,,,37.1228070175439
Sewage sludge,,69.0,,,,,,Physical,28.5375494071146
Sewage sludge,,58.0,,,,,,Physical,16.3057324840764
Sewage sludge,,60.5,,,,,,Physical,85.5402298850575
Sewage sludge,,60.0,,,,,,Physical,32.0801526717557
Sewage sludge,,49.0,,,,,,Physical,35.030303030303
Manure,20.8,,8.22764,Swine manure,,,,,31.51
Manure,,,8.11382,Swine manure,,,,Chemical,13.15
Manure,,,6.7,Swine manure,,,,Chemical,11.5
Manure,,,7.73984,Swine manure,,,,Chemical,10.69
Manure,,,6.82927,Swine manure,,,,Chemical,7.59
Manure,20.3000023678166,70.4,7.25,Swine manure,,2.11165,42.8665,,33.01
Manure,,,7.82843,Swine manure,,,,Chemical,31.48
Manure,,,7.86275,Swine manure,,,,Chemical,28.63
Manure,,66.4,,Swine manure,,0.994521,,,36.8
Manure,,64.9,,Swine manure,,,,Physical,26.4
Manure,,63.7,,Swine manure,,,,Physical,16.5
Manure,,62.4,,Swine manure,,,,Physical,12.7
Manure,,64.6,7.4,Swine manure,,2.34,,,27.8
Manure,,,,Swine manure,,,,Biological,13.3
Manure,,,7.94846,Swine manure,,2.44843,,Physical,28.73
Manure,,,7.51769,Swine manure,,2.50053,,Physical,14.39
Manure,,65.5,7.8,Poultry manure,,,,,72.0
Manure,,,,Poultry manure,,,,Physical,53.0
Manure,,,,Poultry manure,,,,Physical,42.0
Manure,,,,Poultry manure,,,,Physical,26.0
Manure,,,,Poultry manure,,,,Physical,16.0
Manure,17.9,63.0,8.3,Cow manure,,1.4,25.06,,22.3992857142857
Manure,17.8,65.4,7.6,Cow manure,,1.33,23.674,Physical,20.7
Manure,18.9,64.6,7.6,Cow manure,,1.32,24.948,Physical,17.0954545454545
Manure,18.5,65.4,7.4,Cow manure,,1.29,23.865,Physical,24.3883720930233
Manure,20.1,64.0,8.4,Cow manure,,1.29,25.929,Physical,12.7085271317829
Manure,17.1,61.0,8.6,Cow manure,,1.12,19.152,Physical,15.0357142857143
Manure,18.9,63.7,8.7,Cow manure,,1.23,23.247,Physical,21.3447154471545
Sewage sludge,16.6428571428571,61.7,5.7,,,2.8,46.6,,24.0
Sewage sludge,,,4.8,,,,,Chemical,7.9
Manure,,63.74,6.83,Swine manure,,2.52,,,22.8
Manure,,,,Swine manure,,,,Biological,17.6
Manure,26.0,70.0,8.8,Cow manure,,1.59,41.34,,24.6
Manure,,,8.8,Cow manure,,1.44,,Physical,15.1
Manure,,,8.6,Cow manure,,1.55,,Physical,15.5
Manure,30.0,,8.7,Cow manure,,1.36,40.8,Physical,12.1
Manure,25.0,,8.6,Cow manure,,1.59,39.75,,21.0
Manure,25.0,,8.6,Cow manure,,1.57,39.25,Chemical,15.5
Manure,25.0,,8.6,Cow manure,,1.55,38.75,Chemical,16.7
Manure,25.0,,8.9,Cow manure,,1.55,38.75,Chemical,15.5
Manure,25.0,,9.1,Cow manure,,1.62,40.5,,20.2
Manure,25.0,,9.0,Cow manure,,1.35,33.75,Chemical,17.1
Manure,25.0,,8.7,Cow manure,,1.31,32.75,Chemical,14.7
Manure,25.0,,8.7,Cow manure,,1.25,31.25,Chemical,16.0
