Additive_3,Additive_4,Initial Moisture Content (%),Initial GI (%),Application Rate (%DW),Material_2,V3_Ventilation Duration (min),V1_Ventilation Type,Compost volume (m3),Initial C/N (%),Period (d),V4_Ventilation Day,Material_Main,Additive_2,Additive_1,M1_is Enclosed,Turning times,V2_Ventilation Interval (min),Material_3,Initial pH, Composting Method,V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,None,69.0,27.32884658064516,3.875738649276056,Byproduct,0.0,None,0.08,20.733052487397305,34.0,0.0,Goat manure,Zeolite,Forsterite,1.0,24.0,0,None,7.0,Trough,0.0,0.875,18.14142092647264,105.79764900000004,5.958756233285527,0.8447649478912354,0.2140243840698611,23.389032869985694
None,None,57.67898251426378,27.32884658064516,7.735270730455213,Soil,0.0,None,0.08,26.0,123.0,0.0,Goat manure,Biochar,Inorganic acid,1.0,26.0,0,Mature compost,6.108240701029727,Windrow,0.0,0.875,22.75,106.910445,5.387830902274388,0.9032484889030457,0.1590959370400157,1000000.0
None,None,53.09712021990555,27.32884658064516,3.9566651851821466,Woody peat,0.0,None,0.08,25.0,58.0,0.0,Goat manure,Biochar,Sodium phosphates,1.0,25.0,0,Green waste,7.0,Reactor,0.0,0.875,21.875,106.351273,5.482445358644215,0.9177147150039672,0.1826439435618921,1000000.0
None,None,55.693439569079246,27.32884658064516,8.819616277376717,Byproduct,0.0,None,0.08,12.0,76.0,0.0,Goat manure,Biochar,Clay,1.0,26.0,0,None,5.0,Reactor,0.0,0.875,10.5,109.04513100000004,6.312445582743538,0.8099444508552551,0.1365991215724649,1000000.0
None,None,69.0,27.32884658064516,5.511222896404661,None,0.0,None,0.08,23.38762325674174,115.0,0.0,Goat manure,Biochar,Calcium magnesium phosphate fertilizer,0.0,23.0,0,Mature compost,7.195057611769904,Windrow,0.0,0.875,20.464170349649024,108.09316300000002,5.387830902274388,0.8118364214897156,0.1550400983936937,17.46160463968996
None,None,61.0,27.32884658064516,8.608634555136717,Byproduct,0.0,Continuous,0.08,22.9722548897953,46.0,45.0,Goat manure,Gypsum,Labile carbon source,1.0,11.0,0,Mature compost,5.11608296636505,Trough,0.8563062937341295,0.875,20.100723028570886,107.31046200000004,5.702267276166953,0.954129159450531,0.2109749246540417,28.09407901811254
None,None,65.0,27.32884658064516,9.49577128299778,Green waste,0.0,None,0.08,38.0,105.0,0.0,Goat manure,Biochar,MgHPO₄,1.0,10.0,0,Straw,6.809084717924667,Reactor,0.0,0.875,33.25,105.087706,5.023599781533577,0.8000584244728088,0.1995529635570987,1000000.0
None,None,67.0,27.32884658064516,7.416741610018467,Green Waste,0.0,Continuous,0.08,36.45943631342098,85.0,36.0,Goat manure,Biochar,Forsterite,1.0,24.0,0,Mature compost,6.0,Windrow,0.0373531958553621,0.875,31.90200677424336,107.589311,5.387830902274388,0.9335511922836304,0.1861905317052106,20.53818424681724
None,None,63.80008477142319,27.32884658064516,6.02835637699513,Sawdust,0.0,Continuous,0.08,28.77902707082439,19.0,7.0,Goat manure,Biochar,Calcium magnesium phosphate fertilizer,1.0,20.0,0,Poultry manure,7.0,Trough,0.0299735535299698,0.875,25.181648686971343,107.20982100000003,6.132799767644177,0.8539609313011169,0.1982671783835228,26.49700792967305
None,None,67.15162920406345,27.32884658064516,4.165650266420768,Byproduct,0.0,None,0.08,20.633864904334537,117.0,0.0,Goat manure,Zeolite,Clay,1.0,27.0,0,Green waste,8.0,Reactor,0.0,0.875,18.05463179129272,107.16349800000005,5.958756233285527,0.9719250798225404,0.2109476425630026,20.466189475604
