V2_Ventilation Interval (min),Initial GI (%),Material_2,Additive_3,Initial Moisture Content (%),Turning times,V1_Ventilation Type,Additive_1,Compost volume (m3),Period (d),Initial pH,Material_Main,Application Rate (%DW),Additive_4,Material_3,Initial C/N (%),V5_Ventilation rate (L/min/kg iniDW),V3_Ventilation Duration (min),M1_is Enclosed,V4_Ventilation Day,Additive_2, Composting Method,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,27.32884658064516,Byproduct,None,51.0,11.0,None,Ca-superphosphate,0.06,132.0,5.731738975623702,Food Waste,8.662987182331987,None,Green waste,10.33042965483115,0.0,0.0,1.0,0.0,Mg(OH)₂,Reactor,1.775,18.33651263732529,91.72243599999996,4.224415793472192,0.572819173336029,0.1354900676936961,20.122234858437405
0.0,27.32884658064516,Green waste,None,55.36914417378289,28.0,None,Biochar,0.06,58.0,8.0,Food Waste,4.934260017669712,None,Mature compost,10.670145658370998,0.0,0.0,1.0,0.0,Inorganic acid,Reactor,1.775,18.93950854360852,91.08596599999998,8.440434031401681,0.3422474265098572,0.1604005990434425,22.426557107171572
0.0,27.32884658064516,Plastic tube pieces,None,58.47963556056607,9.0,None,Ca-superphosphate,0.06,81.0,6.0,Food Waste,6.02976288958808,None,Mature compost,25.216710749606584,0.0,0.0,1.0,0.0,Gypsum,Reactor,1.775,44.759661580551686,91.440483,6.137531249989556,0.3953758180141449,0.1897602957210339,18.844284627523745
0.0,27.32884658064516,Green waste,None,61.36638061507286,5.0,None,Ca-superphosphate,0.06,89.0,7.0,Food Waste,7.051993613861715,None,None,18.86188194588683,0.0,0.0,0.0,0.0,Inorganic acid,Trough,1.775,33.47984045394912,91.46777299999998,4.533554712676641,0.4768303334712982,0.1808647245395488,14.838343524716183
0.0,27.32884658064516,None,None,59.30887445687244,3.0,None,Ca-superphosphate,0.06,45.0,7.0,Food Waste,9.904699498785472,None,Poultry manure,12.331276035927832,0.0,0.0,1.0,0.0,Zeolite,Reactor,1.775,21.8880149637719,92.60643999999998,6.06775755536989,0.7496689558029175,0.1562667193316475,18.369835965778
0.0,27.32884658064516,Soil,None,66.06840315734249,21.0,Continuous,Ca-superphosphate,0.06,26.0,7.300347942233813,Food Waste,8.92115429609434,None,Byproduct,10.3185945537502,1.0742187669973011,0.0,0.0,23.0,Potassium phosphate,Trough,1.775,18.3155053329066,90.96807199999996,2.5016597482079623,0.5969100594520569,0.1711728091520683,30.632373411532967
0.0,27.32884658064516,Plastic tube pieces,None,61.12681556226377,3.0,Continuous,Clay,0.06,65.0,6.410074955053822,Food Waste,9.046963432873042,None,Poultry manure,23.865880204424897,1.1336287024844756,0.0,1.0,51.0,Zeolite,Reactor,1.775,42.36193736285419,91.03179999999996,6.2135077711607885,0.7563541531562805,0.2402399403510343,22.460325076994412
0.0,27.32884658064516,Green waste,None,57.9469069960693,20.0,None,Biochar,0.06,90.0,7.548203879940407,Food Waste,8.710972126577465,None,Straw,18.98066960652618,0.0,0.0,0.0,0.0,Organic acid,Windrow,1.775,33.69068855158397,91.200159,4.533554712676641,0.5874048471450806,0.1789862606968239,17.6307501239332
0.0,27.32884658064516,Straw,None,54.58723090951398,8.0,Continuous,Ca-superphosphate,0.06,34.0,6.0,Food Waste,9.79281296461422,None,Green waste,27.16176569412964,1.843115993190373,0.0,1.0,24.0,Calcium magnesium phosphate fertilizer,Reactor,1.775,48.2121341070801,91.47515699999998,6.973943011875531,0.5354570746421814,0.2309922685486844,29.886506256077467
0.0,27.32884658064516,Green Waste,None,67.41551690505884,24.0,None,Biochar,0.06,107.0,6.0,Food Waste,9.00052076527456,None,Green waste,27.424066169217944,0.0,0.0,1.0,0.0,Gypsum,Reactor,1.775,48.67771745036185,91.440483,7.235144302937425,0.405664712190628,0.212575712128214,16.354273139630457
0.0,27.32884658064516,Straw,None,59.46140736287349,0.0,Continuous,Ca-superphosphate,0.06,110.0,7.0,Food Waste,4.280068432124404,None,Green waste,20.1954414030135,0.9548193476097246,0.0,1.0,76.0,DCD,Windrow,1.775,35.84690849034896,91.51589499999996,12.437498682437994,0.5889698266983032,0.1914527633662203,26.80143254753719
427.0,27.32884658064516,Husk,None,64.0,20.0,Intermittent ,Calcium magnesium phosphate fertilizer,0.06,74.0,6.0,Food Waste,6.499930538793862,None,Poultry manure,21.39763326108524,0.7221503665281892,0.5532485563083478,1.0,38.0,Zeolite,Reactor,1.775,37.9807990384263,90.75481399999998,6.795770064164048,0.9732508659362792,0.181209072699245,26.68792691332365
0.0,27.32884658064516,Green waste,None,55.0,18.0,None,Ca-superphosphate,0.06,80.0,6.752812351732938,Food Waste,4.246753307432932,None,Straw,27.35455980890409,0.0,0.0,1.0,0.0,Zeolite,Trough,1.775,48.55434366080476,91.808641,7.235144302937425,0.7501447200775146,0.2027752406857162,18.743561515983878
0.0,27.32884658064516,Sawdust,None,50.72537130653574,10.0,None,Biochar,0.06,46.0,6.0,Food Waste,8.245335117674117,None,None,36.7115070690079,0.0,0.0,1.0,0.0,MgSO₄,Reactor,1.775,65.16292504748903,91.440483,6.137531249989556,0.7394185662269592,0.189677888673575,21.99080836866652
767.0,27.32884658064516,Green Waste,None,68.0,17.0,Intermittent ,Biochar,0.06,91.0,5.7708556936972055,Food Waste,6.017968318096735,None,Byproduct,17.854497454078757,1.1289449039643502,2.9620907890243786,0.0,36.0,MgSO₄,Windrow,1.775,31.69173298098979,92.128082,8.612032587310745,0.9659112691879272,0.173657251927857,23.64624714786834
0.0,27.32884658064516,Soil,None,62.0,2.0,Continuous,Ca-superphosphate,0.06,69.0,5.0,Food Waste,7.286964845911324,None,Straw,35.439107032194364,1.1636444111778357,0.0,1.0,36.0,Zeolite,Reactor,1.775,62.90441498214499,92.40433999999996,6.097073126923583,0.7584215402603149,0.2493201523643773,23.45216651259133
0.0,27.32884658064516,Green waste,None,67.0,24.0,Continuous,Biochar,0.06,18.0,7.0,Food Waste,8.747755192424114,None,Poultry manure,29.0,1.173256882271594,0.0,0.0,10.0,Ca-superphosphate,Trough,1.775,51.475,91.93906199999998,4.508250405485806,0.6737750172615051,0.2339974615116822,1000000.0
0.0,27.32884658064516,Green waste,None,64.0,5.0,None,Biochar,0.06,75.0,8.0,Food Waste,5.673033722342975,None,Poultry manure,11.59514094939966,0.0,0.0,1.0,0.0,Calcium magnesium phosphate fertilizer,Trough,1.775,20.581375185184395,91.72243599999996,7.46044393990431,0.405664712190628,0.200611051008748,17.757523325365902
0.0,27.32884658064516,Sawdust,None,51.0,22.0,Continuous,Biochar,0.06,37.0,5.0,Food Waste,6.941462256033765,None,None,38.572636659493625,0.0145035081421653,0.0,1.0,22.0,Calcium magnesium phosphate fertilizer,Windrow,1.775,68.46643007060118,91.12354699999996,5.8267014945882805,0.6066176891326904,0.2247959839806045,24.55863704735026
465.0,27.32884658064516,Green Waste,None,54.878410823262726,0.0,Intermittent ,Lignite,0.06,77.0,7.024402131812823,Food Waste,6.003733628733343,None,Straw,27.608597058048883,0.8934467295232158,3.009927878308569,1.0,45.0,None,Trough,1.775,49.005259778036766,92.10371899999998,11.190274253548166,0.9699344635009766,0.1915112892496624,20.0609306889604
