V3_Ventilation Duration (min),M1_is Enclosed,Period (d),Additive_2,Material_2,Material_Main,V2_Ventilation Interval (min),Initial Moisture Content (%),V4_Ventilation Day,Additive_4,V5_Ventilation rate (L/min/kg iniDW),Additive_1,V1_Ventilation Type,Application Rate (%DW),Material_3,Initial C/N (%), Composting Method,Turning times,Compost volume (m3),Additive_3,Initial GI (%),Initial pH,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
49.58646932632371,1.0,22.0,Microbiological agent,None,Swine manure,533.0,67.0,12.0,None,1.285548846802428,Ca-superphosphate,Intermittent ,3.7573592840421153,Byproduct,15.928132648375268,Trough,2.0,0.6277154746460176,None,27.32884658064516,6.5713498902677525,2.0952942734506244,33.374125124902626,100.71392299999997,9.256971309052778,1.1939958333969116,0.1706181962313363,22.72155636027093
0.0,1.0,35.0,None,Soil,Swine manure,0.0,56.0,0.0,None,0.0,None,None,2.7425617422351243,Straw,15.088979577679556,Windrow,5.0,0.6277154746460176,None,27.32884658064516,6.0,2.0952942734506244,31.615852501325392,100.85162300000002,9.358701910524848,0.0869201645255088,0.2043684697028658,20.433835605283942
0.0,1.0,43.0,Calcium magnesium phosphate fertilizer,Straw,Swine manure,0.0,58.0,0.0,None,0.0,MgCl₂,None,6.117812032808198,Green waste,17.0,Windrow,13.0,0.6277154746460176,None,27.32884658064516,7.0,2.0952942734506244,35.620002648660616,99.20062,8.50134608559632,0.0766074582934379,0.1823954694563428,1000000.0
0.0,1.0,28.0,Mg(OH)₂,Soil,Swine manure,0.0,68.0,14.0,None,1.2539236882811455,LB Culture,Continuous,8.97583875207254,Byproduct,20.03424059983629,Windrow,4.0,0.6277154746460176,None,27.32884658064516,6.0,2.0952942734506244,41.97762960176899,100.311079,7.73404179609507,0.1151208207011222,0.1745034044090126,23.71509175632446
0.0,1.0,35.0,Ca-superphosphate,Straw,Swine manure,0.0,52.0,0.0,None,0.0,Sand,None,6.847149193848282,Straw,29.0,Windrow,19.0,0.6277154746460176,None,27.32884658064516,6.332376540157051,2.0952942734506244,60.76353393006811,99.491722,9.076697769039637,0.1590240448713302,0.1873602281130309,1000000.0
0.0,1.0,48.0,MgO,Plastic tube pieces,Swine manure,0.0,56.0,22.0,None,1.7029851970286698,Calcium magnesium phosphate fertilizer,Continuous,2.4413164237577343,Poultry manure,14.750057399291329,Windrow,3.0,0.6277154746460176,None,27.32884658064516,8.0,2.0952942734506244,30.90571080180313,99.032236,8.016045937580284,0.1892628818750381,0.1840079952233407,19.213463727527326
0.0,1.0,36.0,None,Soil,Swine manure,0.0,50.786456244939295,0.0,None,0.0,MgO,None,4.008502670777489,None,15.3109379191982,Windrow,30.0,0.6277154746460176,None,27.32884658064516,8.0,2.0952942734506244,32.080920543254,99.8308,9.358701910524848,0.1117123514413833,0.1781220362957823,29.334124746582035
0.0,0.0,32.0,MgSO₄,Plastic tube pieces,Swine manure,0.0,68.0,0.0,None,0.0,Sulfur,None,6.366495059489672,Poultry manure,19.2068732708336,Windrow,21.0,0.6277154746460176,None,27.32884658064516,6.0,2.0952942734506244,40.2440515752695,99.085391,6.899572074326105,0.1142665594816207,0.1927083415502347,25.912044285987804
0.0,1.0,33.0,Gypsum,Green waste,Swine manure,0.0,62.92175109740532,31.0,None,0.2744302263270193,LB Culture,Continuous,9.969023052989566,Mature compost,34.0,Trough,2.0,0.6277154746460176,None,27.32884658064516,7.0,2.0952942734506244,71.24000529732123,99.969405,8.269731390968433,0.2082068175077438,0.1998354381503468,1000000.0
40.54672800827929,0.0,24.0,Inorganic acid,Plastic tube pieces,Swine manure,109.0,58.8836716036699,8.0,None,0.6459411895564924,Clay,Intermittent ,6.209943146291865,Straw,10.788874376006468,Windrow,4.0,0.6277154746460176,None,27.32884658064516,5.530667099307898,2.0952942734506244,22.60586669702453,101.12456699999998,5.034838924248318,1.0753427743911743,0.1708609938279068,23.874532185192464
0.0,1.0,27.0,MgO,Plastic tube pieces,Swine manure,0.0,65.0,0.0,None,0.0,Zeolite,None,2.749050209948505,Straw,14.462009035137552,Reactor,16.0,0.6277154746460176,None,27.32884658064516,7.27165226280319,2.0952942734506244,30.3021647139149,98.895585,7.689015304668887,0.0695063173770904,0.2111403445295521,26.82978066608021
0.0,1.0,20.0,Ca-superphosphate,Plastic tube pieces,Swine manure,0.0,66.8368621142076,10.0,None,0.8464239924796071,Mature compost,Continuous,4.489319231383643,Poultry manure,35.352257913752474,Windrow,4.0,0.6277154746460176,None,27.32884658064516,7.050172091525122,2.0952942734506244,74.07338356023507,101.77147000000002,7.753591064863087,0.1388793885707855,0.2295242574585567,24.690164232668277
0.0,1.0,32.0,Potassium phosphate,None,Swine manure,0.0,66.69345232789507,0.0,None,0.0,Labile carbon source,None,4.669658244510273,Poultry manure,30.91243355314615,Reactor,3.0,0.6277154746460176,None,27.32884658064516,6.112307589112274,2.0952942734506244,64.77064500233007,100.75226800000002,6.088430350413265,0.2441376000642776,0.2434660036584283,19.449302036222605
17.759362487278917,0.0,15.0,Calcium magnesium phosphate fertilizer,Straw,Swine manure,894.0,64.0,9.0,None,1.7696277587582487,Gypsum,Intermittent ,7.206269731636255,Mature compost,36.61727536579614,Trough,3.0,0.6277154746460176,None,27.32884658064516,6.0,2.0952942734506244,76.72396738331727,100.58075499999995,6.357374798691878,1.21539044380188,0.1375630599589914,23.873241963495246
0.0,1.0,31.0,Mg(OH)₂,Soil,Swine manure,0.0,58.41844856987577,0.0,None,0.0,Potassium phosphate,None,5.2003283739195725,Byproduct,32.34862331643892,Reactor,3.0,0.6277154746460176,None,27.32884658064516,6.0,2.0952942734506244,67.77988518894581,100.75226800000002,7.491254063615607,0.2882582545280456,0.1993811710742728,24.664015986411727
0.0,0.0,49.0,MgO,Plastic tube pieces,Swine manure,0.0,67.0,0.0,None,0.0,MgHPO₄,None,2.3676852759547837,Byproduct,34.43820185254081,Windrow,2.0,0.6277154746460176,None,27.32884658064516,7.547234171936243,2.0952942734506244,72.15816712956544,99.715947,6.899572074326105,0.1985093802213668,0.1881859899132332,20.059850691032924
