Material_Main,V4_Ventilation Day,V2_Ventilation Interval (min),Material_3,Initial C/N (%),Material_2,Compost volume (m3),V3_Ventilation Duration (min),M1_is Enclosed,Additive_1,Application Rate (%DW),Initial pH, Composting Method,Additive_3,Period (d),Turning times,Additive_4,V1_Ventilation Type,Initial GI (%),Additive_2,Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Sewage sludge,0.0,0.0,Byproduct,18.13615242875149,Straw,4.210797122302158,0.0,1.0,Phosphogypsum,5.027221991751884,5.448039258783265,Reactor,None,13.0,24.0,None,None,27.32884658064516,Calcium magnesium phosphate fertilizer,69.20857228113502,0.0,2.1457865217391303,38.91631143782134,109.72576500000004,7.32128587836836,0.5835895538330078,0.1960203707208229,33.23546816217242
Sewage sludge,0.0,0.0,Straw,23.0,Husk,4.210797122302158,0.0,1.0,Organic acid,8.168343489076252,6.490160629909468,Reactor,None,22.0,30.0,None,None,27.32884658064516,Inorganic acid,65.0,0.0,2.1457865217391303,15.917488691538138,109.87288400000006,7.752330277937793,0.7426178455352783,0.2380383826970865,1000000.0
Sewage sludge,0.0,0.0,Green waste,22.0,Green Waste,4.210797122302158,0.0,0.0,Labile carbon source,3.1304698164664466,6.445463080745018,Trough,None,27.0,21.0,None,None,27.32884658064516,DCD,66.73009682718073,0.0,2.1457865217391303,17.14875736341677,109.05868800000005,6.176491696438765,0.783342719078064,0.2378957292045128,1000000.0
Sewage sludge,0.0,0.0,None,10.657563554099392,Husk,4.210797122302158,0.0,1.0,Calcium magnesium phosphate fertilizer,9.062876179996408,8.0,Reactor,None,30.0,9.0,None,None,27.32884658064516,Gypsum,65.0,0.0,2.1457865217391303,22.868856228964656,110.13943300000004,8.499984719188376,0.8092264533042908,0.2434451544661564,28.221203994837403
Sewage sludge,0.0,0.0,Straw,11.998809929054962,Soil,4.210797122302158,0.0,1.0,Urea,6.548693189861342,7.0,Reactor,None,41.0,1.0,None,None,27.32884658064516,Ca-superphosphate,51.0,0.0,2.1457865217391303,25.74688462267579,111.03529100000004,9.042064506171307,0.55926513671875,0.2112008942432088,26.9004067800932
Sewage sludge,0.0,0.0,Mature compost,38.66370387773935,Husk,4.210797122302158,0.0,1.0,Sand,3.911122218916288,6.347826798513136,Reactor,None,41.0,30.0,None,None,27.32884658064516,Biochar,57.0,0.0,2.1457865217391303,82.96405466136605,109.58753500000005,7.752330277937793,0.5714208483695984,0.2357637101322142,28.0427716554454
Sewage sludge,0.0,0.0,Green waste,23.749189522428576,Plastic tube pieces,4.210797122302158,0.0,1.0,Lime,5.009488456194635,6.0,Trough,None,18.0,7.0,None,None,27.32884658064516,Calcium magnesium phosphate fertilizer,68.09773658850315,0.0,2.1457865217391303,47.52414645265305,108.30350500000004,6.256496738993309,0.5637484192848206,0.2049513560662937,1000000.0
Sewage sludge,0.0,0.0,None,27.510939686923734,Straw,4.210797122302158,0.0,1.0,Mature compost,8.544118011684985,8.0,Reactor,None,47.0,0.0,None,None,27.32884658064516,Inorganic acid,61.11452036681591,0.0,2.1457865217391303,59.032603580579085,109.678074,9.568356586007658,0.7784281373023987,0.2134700351973127,27.05017990556632
Sewage sludge,0.0,0.0,Straw,32.312194975119226,Straw,4.210797122302158,0.0,0.0,Sodium phosphates,7.763259515026892,6.0,Windrow,None,39.0,5.0,None,None,27.32884658064516,Inorganic acid,70.0,0.0,2.1457865217391303,69.33507246541768,108.92121600000004,6.745069390277085,0.784946084022522,0.2014954639547594,25.160932078312527
Sewage sludge,0.0,0.0,Mature compost,12.236353198417106,None,4.210797122302158,0.0,0.0,MgSO₄,6.966385765635131,5.0,Trough,None,31.0,11.0,None,None,27.32884658064516,Ca-superphosphate,59.02283057317592,0.0,2.1457865217391303,26.256601768402923,108.48412600000002,5.836581620852239,0.5612281560897827,0.1576471055103292,27.68175827956113
Sewage sludge,0.0,0.0,None,34.46890970809707,Green Waste,4.210797122302158,0.0,1.0,Inorganic acid,6.216047345599383,7.0,Reactor,None,18.0,3.0,None,None,27.32884658064516,DCD,63.6349594058596,0.0,2.1457865217391303,73.96292187067776,110.17324800000004,9.30020142506798,0.8032128810882568,0.2207271834150564,26.02745678087967
Sewage sludge,0.0,0.0,Straw,18.41975646897317,Sawdust,4.210797122302158,0.0,1.0,Calcium magnesium phosphate fertilizer,8.923518022272601,6.967765729560369,Trough,None,37.0,1.0,None,None,27.32884658064516,DCD,64.0,0.0,2.1457865217391303,39.524865164839774,110.09835600000004,7.7650643674136015,0.8473086953163147,0.2260375987831746,25.28437795635604
Sewage sludge,0.0,0.0,Poultry manure,19.781706744753663,Green Waste,4.210797122302158,0.0,1.0,Lignite,9.203905753836407,5.0,Reactor,None,28.0,4.0,None,None,27.32884658064516,Calcium magnesium phosphate fertilizer,53.0,0.0,2.1457865217391303,42.44731970988845,109.90243100000002,8.967237893985907,0.5711606740951538,0.2361265962363177,25.676984313661315
