Application Rate (%DW),Initial GI (%),V3_Ventilation Duration (min),Material_3, Composting Method,Initial C/N (%),V2_Ventilation Interval (min),M1_is Enclosed,V1_Ventilation Type,Turning times,Additive_2,Period (d),Additive_4,V5_Ventilation rate (L/min/kg iniDW),Material_2,Additive_1,V4_Ventilation Day,Initial Moisture Content (%),Compost volume (m3),Initial pH,Material_Main,Additive_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
8.96604165583147,27.32884658064516,0.0,Poultry manure,Windrow,27.856420013753464,0.0,0.0,Continuous,0.0,Gypsum,98.0,None,0.3707168118537964,Byproduct,Labile carbon source,62.0,69.03409819391048,0.314,7.0,Green waste,None,1.4280600332415827,39.78064009083226,94.75199200000004,6.100835185975193,0.9682454466819764,0.1682581124456159,22.40729332089221
2.4011563610011564,27.32884658064516,56.95785557765326,Mature compost,Windrow,10.951653202683453,1208.0,1.0,Intermittent ,12.0,MgO,123.0,None,0.1537474370582274,Green waste,Lime,53.0,67.0,0.314,7.0,Green waste,None,1.4280600332415827,15.639618236674416,96.41312300000006,6.995432103156179,0.874374508857727,0.136701848213465,24.686933003243738
7.001777239839139,27.32884658064516,21.283771537095845,Poultry manure,Windrow,20.12304838134372,816.0,0.0,Intermittent ,11.0,MgSO₄,69.0,None,1.6480676104288017,Straw,Sulfur,57.0,59.782862949219,0.314,6.0,Green waste,None,1.4280600332415827,28.736921140383693,94.047957,7.195513146451917,0.8831828832626343,0.1774561302562182,25.87096052736858
3.450573592315536,27.32884658064516,49.771524483217405,Byproduct,Windrow,23.91974107503709,990.0,0.0,Intermittent ,12.0,Potassium phosphate,120.0,None,0.1509190588950226,Husk,MgCl₂,72.0,51.0,0.314,6.492213885275903,Green waste,None,1.4280600332415827,34.15882623474752,95.10275400000005,7.328998269987418,0.8439203500747681,0.1429226525363167,23.225626179639995
6.5051987254005095,27.32884658064516,57.8096038858436,Straw,Reactor,26.9207191167718,164.0,1.0,Intermittent ,27.0,None,90.0,None,0.3389038036862466,Soil,None,78.0,65.90772876012585,0.314,6.134499363697538,Green waste,None,1.4280600332415827,38.44440303678444,95.30872600000004,7.319568445434947,0.8585096597671509,0.1882350131841935,26.102534007146005
8.828755261910644,27.91335073104685,9.491151895817335,None,Trough,39.23456521042796,1136.0,1.0,Intermittent ,30.0,Microbiological agent,88.0,None,0.2675716529418526,Plastic tube pieces,Zeolite,46.0,61.852128050843646,0.314,7.00924596603642,Green waste,None,1.4280600332415827,56.0293144986228,95.64545800000003,7.151657451135499,0.9239132404327391,0.1309373991585624,22.483283061601444
7.638014449711972,27.32884658064516,16.641384519966905,Straw,Windrow,31.63500568595041,818.0,1.0,Intermittent ,30.0,Inorganic acid,30.0,None,0.4891575612830956,Green Waste,Phosphogypsum,12.0,58.19167315455881,0.314,7.0,Green waste,None,1.4280600332415827,45.176687271476,95.44268200000002,7.0626189522144935,0.8802828788757324,0.1550261568871885,23.50374122027665
7.0935178054891415,27.32884658064516,0.0,Green waste,Trough,30.0,0.0,0.0,Continuous,20.0,MgO,69.0,None,0.1775726679211557,Straw,Sand,68.0,60.14345210361857,0.314,7.0,Green waste,None,1.4280600332415827,42.84180099724748,95.28255500000004,5.545081586281686,0.8228989839553833,0.1705537776979052,1000000.0
5.174122486879002,27.32884658064516,52.86703256438253,Green waste,Windrow,27.601336255252907,834.0,0.0,Intermittent ,4.0,None,66.0,None,0.4788654602820374,None,Potassium phosphate,37.0,55.0,0.314,6.748041942006963,Green waste,None,1.4280600332415827,39.41636517018857,95.58432700000004,7.249270973233482,0.8502951860427856,0.1462263923560246,19.138431222328904
2.094836192704328,27.32884658064516,0.0,Mature compost,Trough,20.0,0.0,1.0,Continuous,28.0,None,49.0,None,0.2698831132846802,Plastic tube pieces,Organic acid,42.0,65.0,0.314,7.0,Green waste,None,1.4280600332415827,28.56120066483165,95.33280000000002,5.063338715588134,0.8202772736549377,0.2668641659954651,1000000.0
9.601903624496892,27.32884658064516,0.0,Byproduct,Trough,26.423237639041385,0.0,0.0,Continuous,8.0,Ca-superphosphate,83.0,None,0.295532060721152,Green Waste,Organic acid,43.0,60.48764514765607,0.314,7.0,Green waste,None,1.4280600332415827,37.73396962115968,94.89087400000004,4.758398488900649,0.5487898588180542,0.1983700773507322,24.016680893514167
5.947789798847968,27.32884658064516,38.00103078858902,Byproduct,Trough,18.76269969824996,516.0,0.0,Intermittent ,27.0,Gypsum,101.0,None,0.0496520844935965,None,Microbiological agent,71.0,53.0,0.314,7.0,Green waste,None,1.4280600332415827,26.794261554784672,95.41622800000005,8.338574604456566,0.8795193433761597,0.1400035380045017,23.3409162280872
8.612630379250785,27.32884658064516,24.619215053783808,Straw,Trough,19.2455771121447,1128.0,1.0,Intermittent ,25.0,Zeolite,38.0,None,0.0076769192020555,Soil,Sodium salt,23.0,62.04125377949068,0.314,5.776987154632531,Green waste,None,1.4280600332415827,27.483839490522804,94.92774100000004,7.116034464908658,0.7465704679489136,0.1231926160822848,23.80859749182488
2.607042177792529,27.32884658064516,58.70639476259388,Straw,Trough,14.0,1301.0,0.0,Intermittent ,21.0,Gypsum,95.0,None,0.0480770758338087,Green Waste,LB Culture,83.0,60.0,0.314,7.0,Green waste,None,1.4280600332415827,19.99284046538216,96.96376500000004,7.84220020767975,0.8587951064109802,0.1438178231890539,1000000.0
9.065418300945044,27.32884658064516,9.06523886276467,Byproduct,Trough,35.55037094530431,872.0,0.0,Intermittent ,6.0,Calcium magnesium phosphate fertilizer,126.0,None,0.2319882735111131,Sawdust,Lignite,68.0,61.0,0.314,5.103113113039849,Green waste,None,1.4280600332415827,50.76806391390187,94.83187800000005,6.792050508500048,0.9654343128204346,0.1309932254641473,25.10522129744849
8.85064496589036,27.32884658064516,28.341362669146772,Mature compost,Trough,33.0,848.0,1.0,Intermittent ,24.0,Calcium magnesium phosphate fertilizer,75.0,None,0.1055742075105694,Byproduct,Sodium phosphates,32.0,57.0,0.314,5.0,Green waste,None,1.4280600332415827,47.12598109697223,95.24334100000002,6.14689593335869,0.871105432510376,0.1341813850386269,1000000.0
7.090473268845191,27.32884658064516,53.46173525996,None,Reactor,33.0,874.0,1.0,Intermittent ,22.0,Inorganic acid,112.0,None,0.1437518648221358,Husk,MgO,41.0,67.0,0.314,7.0,Green waste,None,1.4280600332415827,47.12598109697223,96.00946600000006,7.22852574424433,0.8700968623161316,0.1417731870860719,1000000.0
4.3997600442651725,27.32884658064516,22.03092133068547,Poultry manure,Trough,33.0,644.0,0.0,Intermittent ,20.0,Ca-superphosphate,89.0,None,0.1393474307012805,Woody peat,Microbiological agent,33.0,52.724896019777326,0.314,7.0,Green waste,None,1.4280600332415827,47.12598109697223,95.89340500000004,6.482206347881776,0.8183619379997253,0.137412338885003,1000000.0
3.489922656089786,27.32884658064516,27.219954162663534,Byproduct,Trough,32.9453929977357,697.0,1.0,Intermittent ,12.0,MgO,124.0,None,0.0046357856780598,Plastic tube pieces,K₂SO₄,72.0,60.27302778618275,0.314,6.0,Green waste,None,1.4280600332415827,47.04799901950345,95.27060300000002,7.4475105902399745,0.8544591665267944,0.1362812492374191,25.12698997678317
6.188127363879665,27.32884658064516,19.706010587338262,Straw,Reactor,13.639999918980998,1034.0,1.0,Intermittent ,18.0,MgO,83.0,None,0.047200941955954,Green waste,Organic acid,33.0,59.32621314874218,0.314,7.131593101512364,Green waste,None,1.4280600332415827,19.47873873771519,95.28334800000005,6.984148791255569,0.8700968623161316,0.1387657649183452,23.2232493471124
4.687153326734383,27.32884658064516,17.28436992985888,Byproduct,Trough,24.0,129.0,1.0,Intermittent ,20.0,Gypsum,21.0,None,0.1284448175401609,None,Sodium salt,15.0,51.102193399276445,0.314,7.0,Green waste,None,1.4280600332415827,34.27344079779799,95.73278600000002,1000000.0,1000000.0,1000000.0,1000000.0
6.032937467252482,27.32884658064516,0.0,Byproduct,Trough,34.0,0.0,1.0,Continuous,12.0,DCD,113.0,None,0.1557753335552523,Woody peat,Urea,67.0,68.27361520153727,0.314,7.0,Green waste,None,1.4280600332415827,48.55404113021381,95.28255500000004,4.990835488076258,1.0004249811172483,0.1955829176632415,1000000.0
3.958714222021867,27.32884658064516,13.808062709523298,Green waste,Trough,17.616379303094387,406.0,1.0,Intermittent ,19.0,Potassium phosphate,99.0,None,0.5539825194313042,Soil,Phosphogypsum,82.0,64.0,0.314,6.845085248970399,Green waste,None,1.4280600332415827,25.1572472131733,94.73032300000004,7.249270973233482,0.951629400253296,0.1752723375796393,26.30974099359895
4.0658016794085965,27.328846580645163,58.278250447562925,Mature compost,Windrow,20.694582848740644,1014.0,1.0,Intermittent ,18.0,Microbiological agent,51.0,None,0.4217267336643182,Green Waste,Organic acid,40.0,58.0,0.314,6.913152767777969,Green waste,None,1.4280600332415827,29.553106670893253,96.90609900000004,7.195513146451917,0.8657286763191223,0.1522561865061518,24.67890772787753
2.359520077762226,27.32884658064516,55.68197410527748,Mature compost,Windrow,21.0,1406.0,0.0,Intermittent ,11.0,Calcium magnesium phosphate fertilizer,109.0,None,0.0209248748652359,Sawdust,Mg(OH)₂,47.0,69.0,0.314,5.828011410039201,Green waste,None,1.4280600332415827,29.98926069807324,95.51455500000004,6.482206347881776,0.9305607080459596,0.1457227161581675,1000000.0
3.677052299531045,27.32884658064516,27.275608941720836,Straw,Trough,32.707370482469,33.0,0.0,Intermittent ,14.0,Zeolite,106.0,None,0.2516472052767671,Woody peat,Mg(OH)₂,57.0,58.0,0.314,6.531514155285333,Green waste,None,1.4280600332415827,46.70808857843944,95.92225000000003,7.286555847642532,0.7608000636100769,0.1896502872320237,25.085296076550303
8.895323023993345,27.32884658064516,54.13104012304306,None,Reactor,24.016196033684743,502.0,1.0,Intermittent ,31.0,Calcium magnesium phosphate fertilizer,67.0,None,0.3511638618660706,Green Waste,Sulfur,52.0,54.56016759472863,0.314,6.783743981012739,Green waste,None,1.4280600332415827,34.2965697062002,95.77361400000004,6.1671110706447445,0.8604288697242737,0.1475858365732849,22.85602417781109
6.237920307512,27.32884658064516,7.808101641399975,Green waste,Windrow,15.941561818322878,1126.0,0.0,Intermittent ,24.0,Zeolite,73.0,None,0.2250127101826404,None,Sulfur,29.0,54.08962581559896,0.314,6.320684813541096,Green waste,None,1.4280600332415827,22.76550730019692,95.29200000000004,7.375936660650938,0.770847499370575,0.1147593493861829,22.925114473718686
9.536777524953948,27.32884658064516,56.67866061551953,Mature compost,Trough,26.56178934673104,599.0,0.0,Intermittent ,25.0,MgSO₄,22.0,None,0.0613923116797621,Green Waste,Mature compost,22.0,65.0,0.314,5.017585259030063,Green waste,None,1.4280600332415827,37.93182977744864,95.44745900000004,7.024991763718044,0.8274735808372498,0.1474039115619905,25.257846966251304
6.15679437190019,27.32884658064516,19.502292027398347,Straw,Trough,20.007912246268585,1398.0,0.0,Intermittent ,5.0,Potassium phosphate,125.0,None,0.4867202090037525,Soil,Sand,78.0,52.14608146050515,0.314,7.429274579666949,Green waste,None,1.4280600332415827,28.572499827500984,95.324586,7.286555847642532,0.8635962009429932,0.1584258390953677,23.540222313472704
8.270851210761595,27.32884658064516,43.4632532805202,Mature compost,Reactor,11.511813319451845,545.0,1.0,Intermittent ,27.0,Inorganic acid,18.0,None,0.151110150457796,Green Waste,Potassium phosphate,13.0,58.0,0.314,6.0,Green waste,None,1.4280600332415827,16.439560511647297,94.48404900000004,7.340008502995667,0.8709264993667603,0.1213481821388093,26.5820539133447
5.12827768867033,27.32884658064516,0.0,Green waste,Windrow,19.91125756303772,0.0,1.0,Continuous,19.0,Calcium magnesium phosphate fertilizer,58.0,None,0.0117209658018235,Green waste,Sodium salt,40.0,58.0,0.314,8.0,Green waste,None,1.4280600332415827,28.434471137353366,94.66905800000002,4.7388380442882,0.988477110862732,0.1895302819115123,26.617449402427624
8.735711580447806,27.32884658064516,21.77552440639506,None,Windrow,14.934297928533711,615.0,1.0,Intermittent ,2.0,Calcium magnesium phosphate fertilizer,68.0,None,0.4047935780785394,Sawdust,Organic acid,68.0,69.21529809801807,0.314,7.0,Green waste,None,1.4280600332415827,21.327073996261557,94.63766400000004,6.14689593335869,0.871105432510376,0.1302584612767958,24.574827930943385
6.659760143076893,27.32884658064516,29.2131409006524,Green waste,Trough,36.75605098491508,535.0,0.0,Intermittent ,31.0,Inorganic acid,84.0,None,0.2262212454110912,Husk,Biochar,38.0,52.92464854882919,0.314,7.0,Green waste,None,1.4280600332415827,52.48984739134713,95.21689900000004,6.066225753388441,0.8751834034919739,0.1506552965846509,20.215752296222465
6.061152519844833,27.32884658064516,11.72453713486141,Byproduct,Trough,33.63090617309379,305.0,0.0,Intermittent ,21.0,None,38.0,None,0.4657758329952237,Sawdust,Labile carbon source,33.0,57.0,0.314,7.0,Green waste,None,1.4280600332415827,48.02695298749287,95.87082600000004,7.316171606303227,0.9517070651054382,0.1581569083672505,25.80555597725746
4.681665060499389,27.32884658064516,8.263732292053405,Poultry manure,Reactor,16.561412456546304,986.0,1.0,Intermittent ,5.0,None,40.0,None,0.3735644365715838,Plastic tube pieces,MgCl₂,28.0,63.272486273354986,0.314,7.0,Green waste,None,1.4280600332415827,23.65069122322308,95.12372300000004,7.408949258443353,0.9413114190101624,0.155809929954007,21.37040959106289
7.117000018453515,27.32884658064516,24.07341863126616,None,Trough,17.0,424.0,1.0,Intermittent ,18.0,DCD,39.0,None,1.3876308048639965,None,Sulfur,24.0,53.0,0.314,7.0,Green waste,None,1.4280600332415827,24.277020565106906,94.49874400000004,6.482206347881776,0.9250409007072448,0.1872763927771336,1000000.0
9.778378621652443,27.32884658064516,0.0,Straw,Trough,10.211855149546976,0.0,1.0,Continuous,29.0,None,33.0,None,0.1338776902142084,Plastic tube pieces,None,33.0,68.0,0.314,7.0,Green waste,None,1.4280600332415827,14.583142204320284,95.08485300000002,5.1301832505590514,0.7536777853965759,0.1915665922754684,29.36388726421384
6.71721339355412,27.32884658064516,23.80307928176461,Green waste,Windrow,32.0,844.0,1.0,Intermittent ,16.0,Microbiological agent,108.0,None,0.2449525655136422,Straw,Organic acid,78.0,66.39914713112123,0.314,7.548046340529581,Green waste,None,1.4280600332415827,45.69792106373065,95.09591600000005,7.195513146451917,0.8854045271873474,0.1321359307747722,1000000.0
3.0781597595550965,27.32884658064516,0.0,Straw,Trough,14.866731610592964,0.0,0.0,Continuous,14.0,None,29.0,None,0.3243947281562802,Green Waste,Lime,26.0,68.54552644008982,0.314,7.0,Green waste,None,1.4280600332415827,21.23058523801708,95.36046600000005,5.300704633292925,0.8003619313240051,0.202658288214581,26.92413225280419
8.9107435869845,27.32884658064516,55.94193866766437,Straw,Reactor,35.0,334.0,1.0,Intermittent ,5.0,MgO,17.0,None,0.4797695758102138,Byproduct,K₂SO₄,14.0,62.08515691839227,0.314,6.0,Green waste,None,1.4280600332415827,49.9821011634554,94.66946500000005,7.095631550006907,0.8042427897453308,0.2009342135287567,1000000.0
3.593339053538737,27.32884658064516,48.090736964139296,Straw,Trough,35.48251505208685,849.0,0.0,Intermittent ,25.0,Inorganic acid,51.0,None,0.3100240310002267,Soil,Organic acid,25.0,63.464774692749344,0.314,7.626095348519742,Green waste,None,1.4280600332415827,50.67116162477811,96.04202900000004,6.951136193463156,0.8555075526237488,0.1384355003670591,22.9344732113064
8.935393845391644,27.32884658064516,32.42536790434788,Straw,Trough,24.067793621372925,1321.0,1.0,Intermittent ,15.0,Calcium magnesium phosphate fertilizer,82.0,None,0.0976429326207917,Soil,LB Culture,37.0,67.0,0.314,6.0,Green waste,None,1.4280600332415827,34.37025415898937,95.78263700000004,5.902518980369929,0.871105432510376,0.1455403106813253,22.19982978703033
9.11639427076268,27.32884658064516,1.1759651610666988,None,Trough,27.93610870832254,967.0,0.0,Intermittent ,28.0,Zeolite,89.0,None,0.0699729112821452,Straw,MgSO₄,55.0,67.9707313849794,0.314,7.0,Green waste,None,1.4280600332415827,39.89444033064756,95.64545800000003,7.15516256772551,0.7482277154922485,0.1380430502071768,25.543343982910503
6.167982253436423,27.32884658064516,6.946640949125163,Green waste,Windrow,26.3190820894508,804.0,1.0,Intermittent ,6.0,Gypsum,113.0,None,0.4938216622818059,Soil,MgSO₄,51.0,67.0,0.314,6.0,Green waste,None,1.4280600332415827,37.58522924354906,95.00191400000004,8.376860876674328,1.0503209829330444,0.1550091159205728,24.505137596280026
3.08579020735354,27.32884658064516,21.14047412354654,Byproduct,Windrow,38.04325106175992,1212.0,1.0,Intermittent ,7.0,Gypsum,84.0,None,0.1089088629632382,Byproduct,Lignite,80.0,55.29907517228241,0.314,8.0,Green waste,None,1.4280600332415827,54.32804637587474,94.831474,8.338574604456566,0.8587951064109802,0.1346483969634374,24.93077889238489
7.356291532228848,27.32884658064516,58.08631213860583,Straw,Trough,14.969204532337812,336.0,0.0,Intermittent ,18.0,MgSO₄,53.0,None,1.0714072385784437,None,Phosphogypsum,26.0,59.15308473238589,0.314,5.0,Green waste,None,1.4280600332415827,21.376922722050388,95.11636500000004,6.951136193463156,0.8831828832626343,0.1638228207940687,23.980170787654878
