 Composting Method,Compost volume (m3),V3_Ventilation Duration (min),Turning times,Additive_2,Material_3,Additive_4,V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),V1_Ventilation Type,Material_Main,Initial GI (%),Initial Moisture Content (%),Initial pH,Additive_1,Additive_3,Initial C/N (%),M1_is Enclosed,Material_2,Period (d),V4_Ventilation Day,V2_Ventilation Interval (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Reactor,0.045,54.21092693366119,15.0,None,None,None,1.340182727289801,3.7709952604950834,Intermittent ,Sheep manure,27.32884658064516,59.2373629884052,8.0,None,None,17.0,1.0,Byproduct,78.0,33.0,41.0,1.97,33.49,108.14275599999998,6.83314296403823,0.4331297874450683,0.1700987828778408,1000000.0
Trough,0.045,0.0,21.0,Potassium phosphate,Byproduct,None,1.1430533173478543,8.70172765057804,Continuous,Sheep manure,27.32884658064516,55.36320352689543,6.0,Sand,None,34.0,1.0,Woody peat,88.0,59.0,0.0,1.97,66.98,106.74857,10.756592452945808,0.2070513069629669,0.1974290211331202,1000000.0
Reactor,0.045,0.0,8.0,MgSO₄,Mature compost,None,1.9306066843897365,4.967119551501898,Continuous,Sheep manure,27.32884658064516,52.049877107579135,5.0,MgCl₂,None,37.15781148760039,1.0,Green Waste,63.0,31.0,0.0,1.97,73.20088863057276,107.23599899999996,9.492176993326996,0.4436565339565277,0.2682629841150163,25.23195231933045
Trough,0.045,40.77498184874994,0.0,DCD,Straw,None,1.2669453995470117,3.33008654021119,Intermittent ,Sheep manure,27.32884658064516,58.0,6.226676730337354,Zeolite,None,13.0,1.0,Straw,122.0,63.0,11.0,1.97,25.61,107.435706,10.216357849795584,0.1166397705674171,0.1709840653002478,1000000.0
Trough,0.045,0.0,17.0,Gypsum,Mature compost,None,1.6365561351609224,6.40576037332003,Continuous,Sheep manure,27.32884658064516,68.76382082783243,6.0,Zeolite,None,36.78755472918212,1.0,Green Waste,97.0,68.0,0.0,1.97,72.47148281648877,109.138164,10.767950114737706,0.2996608316898346,0.1904085956095452,25.85003020937969
Reactor,0.045,0.0,6.0,Zeolite,Green waste,None,1.6468142282769822,3.152319755915836,Continuous,Sheep manure,27.32884658064516,54.66496562512009,7.0,Sodium phosphates,None,28.56151603630347,1.0,None,92.0,54.0,0.0,1.97,56.26618659151784,107.869984,11.07274765803059,0.3610135018825531,0.2230298648499838,22.45221240101628
Reactor,0.045,0.0,29.0,Ca-superphosphate,None,None,1.521771223883375,2.86594638304073,Continuous,Sheep manure,27.32884658064516,52.0,5.0,Sodium salt,None,29.0,1.0,Soil,128.0,83.0,0.0,1.97,57.13,107.357055,12.026304012572853,0.3776343166828155,0.2243988462017787,1000000.0
Trough,0.045,50.75426163340477,0.0,Inorganic acid,None,None,0.5196004417760045,2.383224826752903,Intermittent ,Sheep manure,27.328846580645163,64.98170767932963,6.0,Sulfur,None,28.0,1.0,Byproduct,62.0,50.0,487.0,1.97,19.7,107.218098,5.252176875546598,0.2277258336544037,0.1607693175194776,1000000.0
Reactor,0.045,0.0,24.0,Calcium magnesium phosphate fertilizer,Mature compost,None,0.1182136512723563,4.659965120566239,Continuous,Sheep manure,27.32884658064516,54.0,7.0,LB Culture,None,26.78480826159781,1.0,Green Waste,63.0,43.0,0.0,1.97,52.76607227534768,107.08494999999996,9.492176993326996,0.5131891965866089,0.2490603167757095,23.114316589972297
Trough,0.045,32.197757347630144,16.0,DCD,Byproduct,None,0.3886934281115124,8.866389058431036,Intermittent ,Sheep manure,27.32884658064516,52.0,6.0,Sulfur,None,28.51865928964552,1.0,Byproduct,52.0,32.0,1357.0,1.97,56.18175880060166,106.87361100000004,4.845099749303073,0.2086384743452072,0.1490033405614627,24.110321150291146
Reactor,0.045,0.0,18.0,DCD,Byproduct,None,1.001103961171489,3.216913836514979,Continuous,Sheep manure,27.32884658064516,57.7338856346755,7.0,Sodium phosphates,None,11.0,1.0,Sawdust,52.0,32.0,0.0,1.97,21.67,107.54359100000002,7.72077363741755,0.2906564772129059,0.2126288145699859,1000000.0
Windrow,0.045,3.540942358694481,20.0,MgSO₄,Poultry manure,None,0.2503443852358762,5.819796997154495,Intermittent ,Sheep manure,27.32884658064516,53.0,5.88967486663179,Sodium salt,None,35.0,1.0,Byproduct,45.0,38.0,31.0,1.97,19.7,108.455441,4.063934611499851,0.3774359226226806,0.1649924156515977,1000000.0
Windrow,0.045,0.0,21.0,Zeolite,Poultry manure,None,1.1924520297830283,2.5865750164183288,Continuous,Sheep manure,27.32884658064516,68.3939690290123,6.9749179693459,Labile carbon source,None,30.26191806232605,1.0,Green waste,84.0,55.0,0.0,1.97,59.61597858278231,107.29002399999996,10.745083773476264,0.4367519915103912,0.2138929970538511,25.72816048758859
Reactor,0.045,0.0,9.0,DCD,Mature compost,None,0.8255200102654892,2.8376720699092357,Continuous,Sheep manure,27.32884658064516,62.95678711199406,5.862738569811553,Urea,None,18.966653666481683,1.0,None,132.0,60.0,0.0,1.97,37.36430772296892,107.472903,10.767950114737706,0.2619454264640808,0.1923103142129457,28.07529876502519
Trough,0.045,0.0,30.0,Potassium phosphate,Byproduct,None,0.370636850035104,6.839549555744228,Continuous,Sheep manure,27.32884658064516,58.0,7.0,Zeolite,None,33.0,1.0,Byproduct,123.0,74.0,0.0,1.97,65.01,109.441342,7.641927046560915,0.2801470458507538,0.2077626823652535,1000000.0
Windrow,0.045,0.0,1.0,MgO,Straw,None,0.1863199180620658,4.077344458638352,Continuous,Sheep manure,27.32884658064516,51.0,6.306054189505262,Carbonatite,None,19.79091691388915,1.0,Husk,101.0,51.0,0.0,1.97,38.98810632036162,106.36324999999997,10.745083773476264,0.0737670212984085,0.1676522472446134,18.51871991298045
Trough,0.045,1.4879908689899346,6.0,Organic acid,Byproduct,None,1.1387864704408448,2.384120475010496,Intermittent ,Sheep manure,27.32884658064516,53.50754431520112,7.328940591825889,Mg(OH)₂,None,31.83616383576904,0.0,Green Waste,88.0,36.0,47.0,1.97,62.717242756465005,107.225768,6.4898159383504765,0.2809150516986847,0.1902381372020169,22.61342947208624
Trough,0.045,0.0,0.0,Inorganic acid,Poultry manure,None,1.2372395404322718,4.158794452272777,Continuous,Sheep manure,27.32884658064516,54.46764512475282,7.2093311855128785,Organic acid,None,30.585168122411005,1.0,Husk,74.0,69.0,0.0,1.97,60.25278120114968,107.02946899999996,10.312750592870016,0.1516512036323547,0.1829277014267629,22.367804691188745
