 Composting Method,Compost volume (m3),V3_Ventilation Duration (min),Turning times,Additive_2,Material_3,Additive_4,V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),V1_Ventilation Type,Material_Main,Initial GI (%),Initial Moisture Content (%),Initial pH,Additive_1,Additive_3,Initial C/N (%),M1_is Enclosed,Material_2,Period (d),V4_Ventilation Day,V2_Ventilation Interval (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Trough,0.045,0.0,15.0,MgSO₄,Poultry manure,None,1.084928447362217,2.27468856793106,Continuous,Sheep manure,27.32884658064516,54.310016954858334,5.769351784177201,Ca-superphosphate,None,26.0,1.0,Byproduct,112.0,37.0,0.0,1.97,51.22,108.21752599999996,7.467937424618315,0.291086733341217,0.2301450922831964,1000000.0
Reactor,0.045,0.0,19.0,None,Mature compost,None,1.6837043447394209,3.1131531303097377,Continuous,Sheep manure,27.32884658064516,58.30943132392659,6.085233115987316,MgCl₂,None,32.0,1.0,Byproduct,41.0,38.0,0.0,1.97,63.04,107.26416899999997,4.366037383017942,0.3873504102230072,0.2240262746990231,1000000.0
Windrow,0.045,0.0,7.0,Inorganic acid,Byproduct,None,0.7327760757303825,3.853664646753893,Continuous,Sheep manure,27.32884658064516,51.0,5.0,Labile carbon source,None,39.04306382436492,1.0,Sawdust,96.0,45.0,0.0,1.97,76.9148357339989,107.15677999999996,10.745083773476264,0.205489307641983,0.2412230943351524,25.090111162187423
Windrow,0.045,0.0,29.0,Microbiological agent,Byproduct,None,0.9549484612439928,4.8277863200736055,Continuous,Sheep manure,27.32884658064516,54.0,6.0,Sulfur,None,13.834349190994024,1.0,Sawdust,86.0,57.0,0.0,1.97,27.25366790625823,108.150971,11.143470639827363,0.0826005339622497,0.1866338753616268,27.694065955874404
Reactor,0.045,0.0,24.0,None,None,None,1.2260070124350502,6.648602082602672,Continuous,Sheep manure,27.32884658064516,55.37292616738324,7.0,Sodium salt,None,32.0,1.0,Woody peat,100.0,44.0,0.0,1.97,63.04,107.622686,10.872975177811696,0.3704315423965454,0.215770238279667,1000000.0
Reactor,0.045,0.0,11.0,DCD,None,None,1.2583475759366345,4.055454081387297,Continuous,Sheep manure,27.32884658064516,68.05410169250163,8.0,Sodium phosphates,None,39.0,1.0,Green Waste,81.0,44.0,0.0,1.97,76.83,108.84445399999998,11.07274765803059,0.4645349681377411,0.2060924304107155,1000000.0
Trough,0.045,0.0,17.0,Microbiological agent,Green waste,None,0.0053496043986267,3.086107330765209,Continuous,Sheep manure,27.32884658064516,57.0,6.314638931174816,Zeolite,None,34.0,1.0,Green Waste,97.0,45.0,0.0,1.97,66.98,109.138164,10.767950114737706,0.3001314997673034,0.1937795773309201,1000000.0
Trough,0.045,0.0,17.0,Mg(OH)₂,None,None,1.0317715640118224,6.862722523271412,Continuous,Sheep manure,27.32884658064516,50.940238882543625,5.570844002099166,Urea,None,30.05037556165011,1.0,Husk,72.0,68.0,0.0,1.97,59.19923985645072,108.180834,10.987149242779216,0.1947184354066848,0.1910481095546185,26.202635992760204
Trough,0.045,0.0,21.0,MgSO₄,Poultry manure,None,0.3151419016853873,2.282723111807811,Continuous,Sheep manure,27.32884658064516,66.68516095356823,5.874704979170318,Zeolite,None,24.784317341496827,1.0,Byproduct,113.0,79.0,0.0,1.97,48.82510516274875,108.58768299999998,7.641927046560915,0.3486717343330383,0.211056786102902,24.7963085663604
Windrow,0.045,0.0,5.0,Ca-superphosphate,Straw,None,1.5791566459010549,4.691236575434701,Continuous,Sheep manure,27.32884658064516,62.0,5.991576294106301,Sodium salt,None,32.63168537408569,1.0,Soil,77.0,51.0,0.0,1.97,64.28442018694881,107.779186,12.01479533310331,0.2058692127466201,0.1809824111240031,22.35340597823357
Reactor,0.045,0.0,20.0,Ca-superphosphate,None,None,0.0389911565842471,3.5445275591892145,Continuous,Sheep manure,27.32884658064516,67.7190786075356,6.0,Potassium phosphate,None,29.0,1.0,Sawdust,82.0,47.0,0.0,1.97,57.13,107.87879599999998,11.909921287706965,0.3937960863113403,0.1880458498234094,1000000.0
Reactor,0.045,0.0,2.0,None,Straw,None,1.9900975174690163,3.2044341448095635,Continuous,Sheep manure,27.32884658064516,67.07674810292599,6.0,None,None,27.843245016789076,1.0,Plastic tube pieces,125.0,41.0,0.0,1.97,54.85119268307447,107.02946899999996,10.756592452945808,0.340442955493927,0.2155464608241323,22.12095652597051
Reactor,0.045,24.8881833565989,9.0,Ca-superphosphate,None,None,1.252889030961308,4.659147944199085,Intermittent ,Sheep manure,27.32884658064516,53.2901166289652,6.090877609839212,MgHPO₄,None,19.0,1.0,Husk,87.0,83.0,11.0,1.97,37.43,107.57607899999998,11.40031153602752,0.2609872221946716,0.1834295827033611,1000000.0
Trough,0.045,0.0,27.0,Microbiological agent,Byproduct,None,1.7256822804102656,2.042880217817024,Continuous,Sheep manure,27.32884658064516,57.51893102827381,7.0,Clay,None,28.0,1.0,Sawdust,36.0,33.0,0.0,1.97,55.16,108.41047599999996,8.049183938141534,0.2057736963033676,0.2551014948886573,1000000.0
Reactor,0.045,0.0,20.0,None,Mature compost,None,1.2755246765387207,2.571309518991159,Continuous,Sheep manure,27.32884658064516,52.04157277102706,7.974540158627836,None,None,36.9150052077874,1.0,Woody peat,50.0,35.0,0.0,1.97,72.72256025934118,107.39843499999998,7.981831077950318,0.3668717741966247,0.2604358714645706,32.33318672470623
Reactor,0.045,0.0,19.0,None,Byproduct,None,0.5966316646584171,4.381590841149656,Continuous,Sheep manure,27.32884658064516,62.19127103902787,7.0,Potassium phosphate,None,11.410914501336409,1.0,Byproduct,95.0,63.0,0.0,1.97,22.47950156763272,108.08329899999995,7.439992897206375,0.4258947968482971,0.2148495703149043,27.80657577212368
Reactor,0.045,0.0,5.0,Organic acid,Green waste,None,1.5330423428388598,6.911762954658195,Continuous,Sheep manure,27.32884658064516,65.49006982759924,8.0,Sodium phosphates,None,37.400980806835264,1.0,Husk,52.0,48.0,0.0,1.97,73.67993218946548,107.869984,8.324269878923486,0.358526736497879,0.2107368501682397,20.541518945231907
Reactor,0.045,0.0,18.0,Ca-superphosphate,Green waste,None,1.0848545019646243,2.281025421641289,Continuous,Sheep manure,27.32884658064516,61.0,6.0,Sodium phosphates,None,30.97138620715331,1.0,Green waste,100.0,44.0,0.0,1.97,61.01363082809202,107.442853,12.226076492791746,0.4467793107032776,0.2107949791539858,23.622056521313336
Reactor,0.045,0.0,6.0,MgO,Poultry manure,None,0.0456067213931294,3.522894263214104,Continuous,Sheep manure,27.32884658064516,54.0,5.0,Urea,None,31.0,1.0,Green waste,98.0,41.0,0.0,1.97,61.07,108.183064,10.767950114737706,0.4419988393783569,0.2020911611730607,1000000.0
Reactor,0.045,0.0,21.0,Microbiological agent,Poultry manure,None,0.6618300023562504,3.544469016755489,Continuous,Sheep manure,27.328846580645163,64.8729653347108,6.735555524823523,Urea,None,16.371200097080653,1.0,Husk,90.0,62.0,0.0,1.97,32.251264191248886,107.903644,1000000.0,1000000.0,1000000.0,1000000.0
Windrow,0.045,0.0,6.0,MgO,Green waste,None,1.9915676197176044,3.261814619705575,Continuous,Sheep manure,27.32884658064516,65.0,7.0,Urea,None,29.0,1.0,Sawdust,105.0,58.0,0.0,1.97,57.13,108.285376,10.756441435268163,0.2435220628976822,0.1840457143619064,1000000.0
Reactor,0.045,50.07328320870595,21.0,Gypsum,Byproduct,None,1.4096527506395642,4.15545931512125,Intermittent ,Sheep manure,27.32884658064516,58.294877205139215,6.0177615593974805,K₂SO₄,None,34.074592935618384,1.0,Husk,79.0,58.0,60.0,1.97,67.12694808316822,108.736283,9.74088381753998,0.3567880094051361,0.1760500366783988,24.215101766768957
Reactor,0.045,0.0,12.0,Potassium phosphate,Poultry manure,None,1.1229360366857744,3.0273418746890384,Continuous,Sheep manure,27.32884658064516,63.3493320426128,6.0,Urea,None,30.896795367039207,1.0,Soil,64.0,46.0,0.0,1.97,60.86668687306724,107.779186,9.335678656546715,0.3726439476013183,0.2224573782742665,25.58058545549469
Reactor,0.045,0.0,23.0,DCD,None,None,1.3819943877111391,6.510127627035695,Continuous,Sheep manure,27.32884658064516,53.00000000000001,6.062735275784436,Sodium phosphates,None,24.64477173451324,1.0,Sawdust,123.0,53.0,0.0,1.97,48.55020031699109,107.96006599999998,10.93296709579338,0.4582148790359497,0.1895271047943084,1000000.0
Reactor,0.045,0.0,31.0,Gypsum,Straw,None,0.8498955717286298,3.240424488053112,Continuous,Sheep manure,27.32884658064516,50.91090916426551,6.748106706017685,Sodium phosphates,None,22.429234760130026,1.0,Soil,103.0,35.0,0.0,1.97,44.18559247745614,107.473856,11.07274765803059,0.2739896774291992,0.2199363431176351,27.60425199708527
Reactor,0.045,0.0,30.0,None,Straw,None,0.8142067711704271,6.697711116275158,Continuous,Sheep manure,27.32884658064516,55.0,7.0152942676242365,Urea,None,27.0,1.0,Green Waste,47.0,34.0,0.0,1.97,53.19,109.450904,7.892685601361255,0.5336160063743591,0.2194117247855728,1000000.0
Reactor,0.045,0.0,12.0,Ca-superphosphate,Byproduct,None,0.930803540603944,2.5831425718669427,Continuous,Sheep manure,27.32884658064516,59.36126310657227,8.0,MgCl₂,None,37.17193970341829,1.0,Soil,104.0,36.0,0.0,1.97,73.22872121573403,108.14424499999996,11.654172618653718,0.3731144666671753,0.2328435697919387,27.35973052086653
Reactor,0.045,0.0,16.0,Potassium phosphate,None,None,0.6156661961164311,2.2457548560516694,Continuous,Sheep manure,27.32884658064516,52.0,6.0,Clay,None,25.37377335845874,1.0,Plastic tube pieces,88.0,73.0,0.0,1.97,49.98633351616372,107.57880599999996,10.756592452945808,0.4090102314949035,0.2069658871724446,27.904182927675905
Windrow,0.045,38.45934878343071,18.0,Ca-superphosphate,Byproduct,None,1.812563929882787,6.453003778719396,Intermittent ,Sheep manure,27.32884658064516,64.23367237232875,6.3263077242983,Sodium salt,None,19.0,1.0,Green Waste,100.0,54.0,774.0,1.97,37.43,108.243697,10.3962577352533,0.405504435300827,0.1428218136486181,1000000.0
Reactor,0.045,0.0,15.0,Calcium magnesium phosphate fertilizer,Byproduct,None,1.1118600101517226,2.6585035349173234,Continuous,Sheep manure,27.32884658064516,55.94585742836696,5.0,Ca-superphosphate,None,13.24009961061573,1.0,Sawdust,45.0,36.0,0.0,1.97,26.082996232912983,108.013613,8.331188079626745,0.2702297270298004,0.2184643755534485,30.558688659690063
