Turning times,Initial C/N (%),V2_Ventilation Interval (min),Additive_3,V4_Ventilation Day,V1_Ventilation Type,Application Rate (%DW),Additive_2,Material_3,V5_Ventilation rate (L/min/kg iniDW),Additive_4,Compost volume (m3),Material_Main,Initial Moisture Content (%),Material_2, Composting Method,Initial GI (%),V3_Ventilation Duration (min),Period (d),Initial pH,Additive_1,M1_is Enclosed,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
2.0,23.0,0.0,4.0,59.0,0.0,6.188947033536587,3.0,2.0,0.943398478556513,1.0,0.08,4,68.0,2.0,2.0,27.32884658064516,0.0,64.0,7.0,18.0,1.0,0.875,29.231080533578947,105.523066,6.146842403341082,0.6607433557510376,0.20099189240887427,1000000.0
3.0,18.0,0.0,4.0,69.0,0.0,9.328360780443138,8.0,5.0,1.3196571103278532,1.0,0.08,4,53.0,13.0,1.0,27.32884658064516,0.0,120.0,5.0,31.0,0.0,0.875,28.474823097036342,106.23852600000002,4.008384464884119,0.6796333193778992,0.15786036268058737,1000000.0
19.0,30.0,0.0,4.0,3.0,0.0,9.558914665047247,3.0,0.0,0.03094827298059677,1.0,0.08,4,53.99999999999999,4.0,0.0,27.328846580645163,0.0,133.0,7.0,34.0,1.0,0.875,30.64510349034532,110.98738000000002,7.216505343698484,0.6426041722297668,0.18505286667254214,1000000.0
1.0,45.3222627024864,0.0,4.0,76.0,0.0,8.78773837025238,2.0,3.0,1.5648994606010413,1.0,0.08,4,62.98713726429521,13.0,2.0,27.32884658064516,0.34974089434303274,119.0,10.057010653118407,34.0,0.0,0.9649214811537081,39.656979864675606,111.57681799999999,1000000.0,1000000.0,1000000.0,1000000.0
19.0,17.0,0.0,4.0,7.0,0.0,4.872995340249466,15.0,0.0,0.35726681381350933,1.0,0.08,4,72.61330810040914,4.0,2.0,27.32884658064516,0.0,34.0,7.0,37.0,0.0,0.875,32.91276768177731,107.31852600000002,6.1318069314565085,0.5208320021629333,0.16775889386955511,1000000.0
13.0,30.0,0.0,4.0,4.0,0.0,5.105761086722311,2.0,2.0,1.1870936521990347,1.0,0.08,4,81.77102004548833,8.0,0.0,27.32884658064516,0.0,27.0,7.0,34.0,1.0,0.875,34.83747060541513,110.35370400000002,6.981919471753437,0.5497182011604309,0.23070976346082187,1000000.0
15.0,23.0,0.0,4.0,53.0,0.0,5.034866737839761,7.0,2.0,0.5696833946792605,1.0,0.08,4,52.0,4.0,0.0,27.32884658064516,0.0,82.0,7.0,35.0,1.0,0.875,8.674150321256116,108.999525,4.286751149249235,0.5727634429931641,0.2002939270207597,1000000.0
0.0,36.0,0.0,4.0,0.0,2.0,8.078433536710527,0.0,3.0,0.0,1.0,0.08,4,63.0,12.0,0.0,27.32884658064516,0.0,98.0,5.0,33.0,1.0,0.875,18.326057151280423,107.75231700000006,6.909376151583489,0.182043194770813,0.1628067646942382,1000000.0
8.0,41.99940767348022,0.0,4.0,0.0,2.0,9.87217883724035,3.0,2.0,0.0,1.0,0.08,4,52.0,0.0,0.0,27.32884658064516,0.0,56.0,11.092050772420034,31.0,1.0,0.875,36.74948171429519,104.59606749999999,4.676150414439596,0.6644315123558044,0.16655882138699762,20.89110668873565
24.0,35.0,0.0,4.0,14.0,0.0,6.32907260197821,5.0,3.0,1.0658822079125674,1.0,0.08,4,71.40781333100654,2.0,1.0,27.32884658064516,0.0,58.0,7.0,36.0,1.0,0.875,33.474579637447476,110.91854500000001,6.039919879856204,0.545119047164917,0.2031261235048668,1000000.0
14.0,12.0,0.0,4.0,9.0,0.0,2.5091682137905407,6.0,5.0,0.3940741308096878,1.0,0.08,4,77.30199420242985,2.0,2.0,27.32884658064516,0.0,62.0,6.0,35.0,0.0,0.875,28.477060215296454,106.07587500000001,6.039578433944572,0.5497182011604309,0.1661045470060192,1000000.0
9.0,37.0,0.0,4.0,60.0,0.0,6.8890656773397065,15.0,3.0,1.7011105229058485,1.0,0.08,4,64.0,2.0,2.0,27.32884658064516,0.08278240034603969,109.0,5.0,38.0,0.0,0.875,27.360245891288002,106.70022900000004,2.1245439975452256,0.5653309226036072,0.16506804121273283,1000000.0
2.0,26.0,42.0,4.0,49.0,1.0,7.163026571914064,0.0,0.0,1.782367585954399,1.0,0.08,4,78.02478691945208,4.0,0.0,27.32884658064516,33.731234986466546,122.0,10.79156039201677,36.0,1.0,0.875,21.07305142013164,106.081669,7.520279490396933,1.0507774353027344,0.17129249600160865,1000000.0
7.0,39.0,0.0,4.0,81.0,0.0,4.657677165018222,3.0,5.0,1.3003957299909077,1.0,0.08,4,70.0,0.0,0.0,27.328846580645163,0.0,125.0,6.0,35.0,1.0,0.875,24.8931419731584,109.71075600000002,6.984266355194449,0.5718567371368408,0.2263184373614917,1000000.0
9.0,20.0,0.0,4.0,42.0,0.0,5.4008424862749695,0.0,3.0,1.1387310527623487,1.0,0.08,4,56.0,13.0,1.0,27.32884658064516,0.0,132.0,7.0,31.0,1.0,0.875,4.965944958620137,109.60651700000003,6.75167981025776,0.5823831558227539,0.22754660042455935,1000000.0
2.0,30.0,0.0,4.0,28.0,0.0,7.8035091607708535,13.0,5.0,1.492139188708191,1.0,0.08,4,69.0,2.0,2.0,27.32884658064516,0.0,63.0,7.0,35.0,1.0,0.875,29.912762774341793,106.895713,6.1341538148975205,0.7361441254615784,0.19212112393601455,1000000.0
17.0,31.0,294.0,4.0,5.0,1.0,7.8094728001731415,5.0,2.0,1.019749451242773,1.0,0.08,4,67.0,2.0,2.0,27.32884658064516,1.871468516028667,73.0,6.0,30.0,1.0,0.875,6.549548208559924,110.82217500000003,7.120908181989957,0.7746384143829346,0.17774878217681425,1000000.0
17.0,44.15369829239253,0.0,4.0,0.0,2.0,6.089753879576334,2.0,2.0,0.0,1.0,0.08,4,81.22971708331053,14.0,1.0,27.399937773467826,0.0,15.0,5.619570171532248,34.0,1.0,0.875,38.63448600584346,107.13046200000008,6.750921025157904,0.5494934916496277,0.18852641503271989,26.81498742142105
30.0,40.0,0.0,4.0,37.0,0.0,3.7210036603352643,3.0,0.0,1.88513161737371,1.0,0.08,4,79.06839230593874,5.0,2.0,27.32884658064516,0.0,106.0,8.0,36.0,1.0,0.875,29.440002572256375,108.69928999999998,6.14449551990007,0.5497182011604309,0.18883695799711112,1000000.0
