V5_Ventilation rate (L/min/kg iniDW),Additive_3,Application Rate (%DW),Additive_1,V2_Ventilation Interval (min),V3_Ventilation Duration (min),V4_Ventilation Day,M1_is Enclosed,Turning times,Material_2,Material_Main, Composting Method,Additive_2,Compost volume (m3),Period (d),Initial GI (%),Additive_4,Initial C/N (%),Initial pH,Material_3,Initial Moisture Content (%),V1_Ventilation Type,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.40599555918005015,4.0,9.533437813511227,14.0,129.0,6.3328608707623175,50.0,1.0,2.0,12.0,10,1.0,3.0,0.6277154746460176,50.0,27.32884658064516,1.0,40.27277660527568,9.297380665348467,2.0,61.0,1.0,2.0952942734506244,84.38331819699042,105.79017100000002,8.393159843725842,0.600075900554657,0.13435436900605977,25.381326572818956
0.7629415395839183,4.0,7.11877508661483,24.0,1313.0,53.65831066918859,11.0,1.0,2.0,5.0,10,0.0,6.0,0.6277154746460176,27.0,27.32884658064516,1.0,37.0,8.794586955896936,3.0,77.5043186702878,1.0,2.0952942734506244,29.90938998403785,107.84427200000002,10.45641576352977,0.4835668206214905,0.13624815555300748,1000000.0
1.6770723840259076,4.0,5.595239330991694,20.0,462.0,2.8811243757550775,26.0,1.0,0.0,3.0,10,0.0,7.0,0.6277154746460176,34.0,27.328846580645163,1.0,15.0,9.140170969803549,5.0,65.0,1.0,2.0952942734506244,13.522357451234093,108.047272,7.159864620652119,1.0410197973251343,0.17595740108662844,1000000.0
0.5377655487302933,4.0,9.76861720723644,25.0,463.0,3.2508454682535826,15.0,1.0,27.0,0.0,10,0.0,13.0,0.6277154746460176,39.0,27.32884658064516,1.0,44.110146851491045,10.948904653339136,0.0,63.0,1.0,2.0952942734506244,92.42373809899527,104.89400200000001,7.031535442289691,0.35448017716407776,0.1799748051391038,27.826175503884343
1.9533871617998046,4.0,2.2892039197375635,15.0,1338.0,37.0093574810973,1.0,1.0,3.0,2.0,10,2.0,5.0,0.6277154746460176,33.0,27.32884658064516,1.0,34.0,9.03979664290057,0.0,73.35041770024989,1.0,2.0952942734506244,76.06377049370091,107.58312600000004,7.164801712506877,1.1132099628448486,0.15025208788125638,1000000.0
1.8220213059659212,4.0,4.029400720358981,11.0,1147.0,18.81469174744489,4.0,1.0,31.0,6.0,10,0.0,15.0,0.6277154746460176,38.0,27.32884658064516,1.0,18.0,11.204406746058096,4.0,60.0,1.0,2.0952942734506244,56.43338654988624,104.78739500000003,9.145653805908614,0.6561511158943176,0.18072398127319828,1000000.0
0.9165588087580556,4.0,4.550528243798101,31.0,85.0,21.46395393688296,5.0,1.0,4.0,12.0,10,1.0,5.0,0.6277154746460176,24.0,27.32884658064516,1.0,16.0,8.255398614330135,4.0,50.0,1.0,2.0952942734506244,13.131795097454294,106.45962600000004,8.51907531009814,0.4375758469104767,0.16801457279644466,1000000.0
0.6897370006472492,4.0,3.8704571441424536,4.0,833.0,31.615382542653975,18.0,1.0,3.0,14.0,10,0.0,3.0,0.6277154746460176,25.0,27.32884658064516,1.0,38.0,5.0,4.0,62.0,1.0,2.0952942734506244,82.32141165947974,107.06219300000002,8.355874969316792,0.3950248062610626,0.11202056488592176,1000000.0
0.4798643175495414,4.0,3.3427307918639313,36.0,730.0,54.41778295648688,16.0,1.0,2.0,14.0,10,1.0,15.0,0.6277154746460176,39.0,27.32884658064516,1.0,18.0,5.0,0.0,76.481497819219,1.0,2.0952942734506244,59.430382298929636,107.09101300000002,8.355874969316792,0.5551092028617859,0.11394105106725427,1000000.0
0.9484161222034655,4.0,3.642943124146023,28.0,0.0,0.0,24.0,1.0,9.0,3.0,10,1.0,7.0,0.6277154746460176,39.0,27.32884658064516,1.0,13.0,8.0,2.0,60.0,0.0,2.0952942734506244,60.78586158435073,104.40320600000007,7.7970148797456575,0.5774158835411072,0.244116321052247,1000000.0
