Additive_3,M1_is Enclosed,Initial GI (%),V1_Ventilation Type,Material_2,Turning times, Composting Method,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Additive_4,Application Rate (%DW),Initial Moisture Content (%),Additive_2,Compost volume (m3),Material_3,Material_Main,Additive_1,Initial pH,V2_Ventilation Interval (min),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
4.0,1.0,27.32884658064516,0.0,6.0,27.0,0.0,132.0,37.0,0.0,1.0,3.4879144803850117,74.74069945399353,0.0,0.0996875,2.0,1,4.0,6.0,0.0,0.8082878913991154,18.0,2.754411318174137,48.73910546541926,95.07868200000003,12.56399136140236,1.1424671411514282,0.1805740070302243,1000000.0
4.0,1.0,27.32884658064516,2.0,5.0,11.0,1.0,58.0,0.0,0.0,1.0,5.079619417515321,67.0,0.0,0.0996875,2.0,1,37.0,7.0,0.0,0.0,34.0,2.754411318174137,98.03935331060944,93.18989600000005,9.616617850470881,1.1323575973510742,0.14741909741734152,1000000.0
4.0,0.0,27.32884658064516,2.0,6.0,0.0,1.0,27.0,0.0,0.0,1.0,8.414721871704081,82.91872500321924,0.0,0.0996875,4.0,1,2.0,8.0,0.0,0.0,30.0,2.754411318174137,26.688111097378503,95.49701200000005,10.853548832705483,1.1355006694793701,0.13690716452958393,1000000.0
4.0,1.0,27.328846580645163,2.0,2.0,0.0,1.0,39.0,0.0,0.0,1.0,2.377852792003509,58.0,11.0,0.0996875,3.0,1,4.0,6.0,0.0,0.0,18.0,2.754411318174137,74.37980801077254,95.35355800000005,10.38882325835463,1.1377934217453003,0.1307757828397432,1000000.0
4.0,1.0,27.32884658064516,2.0,3.0,1.0,2.0,82.0,0.0,0.0,1.0,6.434023526730756,82.38709588203926,0.0,0.0996875,0.0,1,17.0,5.0,0.0,0.0,20.0,2.754411318174137,109.75839153357225,95.30365700000002,11.232178036278727,1.1690773963928223,0.1550541697325882,1000000.0
4.0,1.0,27.32884658064516,2.0,14.0,30.0,0.0,43.0,0.0,0.0,1.0,4.742325917139598,72.39455573354891,0.0,0.0996875,3.0,1,2.0,6.0,0.0,0.0,27.0,2.754411318174137,92.90850872902028,94.87325800000006,10.463796610478926,1.1295812129974365,0.12509617797942232,1000000.0
4.0,1.0,27.32884658064516,0.0,6.0,13.0,0.0,132.0,52.0,0.0,1.0,7.3843240012762505,55.23997039380913,0.0,0.0996875,3.0,1,28.0,9.646548597360495,0.0,0.026695627192420135,30.0,2.754411318174137,107.98351465133722,92.91431300000002,12.244130279072605,1.1551158428192139,0.1323509240691119,1000000.0
4.0,0.0,27.32884658064516,2.0,4.0,0.0,2.0,13.0,0.0,0.0,1.0,8.482146056735582,83.43209065060552,2.0,0.0996875,3.0,1,2.0,9.807383001565523,0.0,0.0,13.0,2.754411318174137,41.08462045511454,94.39637700000004,4.885891649157594,1.1544057130813599,0.10460187795874032,1000000.0
4.0,1.0,27.32884658064516,2.0,12.0,0.0,2.0,62.0,0.0,0.0,1.0,4.097806114646552,50.0,7.0,0.0996875,5.0,1,33.0,5.999999999999999,0.0,0.0,20.0,2.754411318174137,45.007522054062065,92.11223900000003,9.897230152720967,1.1502975225448608,0.1556308167440888,1000000.0
4.0,1.0,27.32884658064516,2.0,6.0,1.0,1.0,53.0,0.0,0.0,1.0,7.66483815105711,62.0,11.0,0.0996875,3.0,1,33.0,9.262865081839056,0.0,0.0,40.0,2.754411318174137,56.781631577686696,93.15877100000003,10.365408031988679,1.15709388256073,0.15629954546443184,1000000.0
4.0,1.0,27.32884658064516,2.0,3.0,1.0,0.0,108.0,0.0,0.0,1.0,4.311299476452218,83.09191339142828,0.0,0.0996875,4.0,1,7.0,7.0,0.0,0.0,40.0,2.754411318174137,54.64233136518344,95.28108800000001,10.629323322345872,1.1312940120697021,0.15892182871181407,1000000.0
4.0,0.0,27.32884658064516,2.0,4.0,1.0,1.0,85.0,0.0,0.0,1.0,9.020104565739903,71.0451012618425,1.0,0.0996875,2.0,1,7.0,11.788891451103375,0.0,0.0,24.0,2.754411318174137,26.59968860027749,94.45794900000003,7.734775954889755,1.1550785303115845,0.11772496976250352,1000000.0
4.0,1.0,27.32884658064516,2.0,6.0,8.0,2.0,38.0,0.0,0.0,1.0,5.786954254582308,56.0,0.0,0.0996875,0.0,1,18.0,11.825527845998078,0.0,0.0,38.0,2.754411318174137,102.37796633919767,93.62317500000003,9.616617850470881,1.1744415760040283,0.15058230278633478,1000000.0
4.0,0.0,27.32884658064516,2.0,2.0,13.0,1.0,28.0,0.0,0.0,1.0,9.651088445334974,64.7695384017008,0.0,0.0996875,3.0,1,2.0,5.251637961565649,0.0,0.0,26.0,2.754411318174137,69.99966309345537,95.16007700000006,9.666333335862733,1.1218291521072388,0.12844107797528068,1000000.0
4.0,0.0,27.32884658064516,2.0,12.0,0.0,1.0,83.0,0.0,0.0,1.0,6.762639532489776,81.6605272730725,3.0,0.0996875,2.0,1,4.0,5.0,0.0,0.0,38.0,2.754411318174137,76.65148068504337,94.79888300000005,7.7408550179946145,1.1476330757141113,0.10292254170404325,1000000.0
4.0,1.0,27.32884658064516,2.0,3.0,18.0,1.0,21.0,0.0,0.0,1.0,4.711502948660218,66.0,0.0,0.0996875,0.0,1,22.0,6.0,0.0,0.0,41.76292287772699,2.754411318174137,115.03226745444483,93.22805600000005,9.616617850470881,1.1754428148269653,0.15803533135783268,22.84251289514458
4.0,1.0,27.32884658064516,2.0,12.0,16.0,0.0,101.0,0.0,0.0,1.0,2.4892571368610232,58.0,0.0,0.0996875,4.0,1,2.0,6.0,0.0,0.0,11.0,2.754411318174137,73.266499082824,94.34123900000006,8.54228070032037,1.1123266220092773,0.08295662220674102,1000000.0
4.0,1.0,27.32884658064516,2.0,2.0,0.0,2.0,14.0,0.0,0.0,1.0,7.149904000635238,60.0,13.0,0.0996875,9.0,1,28.0,8.87585444706836,0.0,0.0,42.98118729577025,2.754411318174137,118.38786875603199,92.57299800000003,10.365408031988679,1.1584278345108032,0.14150296518244526,22.8188727210336
4.0,0.0,27.32884658064516,2.0,2.0,11.0,2.0,48.0,0.0,0.0,1.0,6.575707574136262,69.0,0.0,0.0996875,2.0,1,8.0,10.258491453471283,0.0,0.0,38.0,2.754411318174137,64.70865094560459,92.89418500000004,9.309237343620756,1.128820776939392,0.1484865543730951,1000000.0
4.0,1.0,27.32884658064516,2.0,12.0,6.0,1.0,49.0,0.0,0.0,1.0,4.081990596057431,65.0,0.0,0.0996875,2.0,1,37.0,7.0,0.0,0.0,10.0,2.754411318174137,80.63703138358889,93.18989600000005,8.54228070032037,1.1299484968185425,0.10803057307028104,1000000.0
4.0,1.0,27.32884658064516,2.0,4.0,1.0,2.0,84.0,0.0,0.0,1.0,9.794721195077711,75.95221663652723,12.0,0.0996875,0.0,1,2.0,8.0,0.0,0.0,16.0,2.754411318174137,61.97385795681784,95.35310500000006,8.976089660105831,1.1820698976516724,0.1644238035180477,1000000.0
4.0,1.0,27.32884658064516,2.0,3.0,22.0,0.0,56.0,0.0,0.0,1.0,8.07335438010857,69.0,1.0,0.0996875,0.0,1,2.0,7.0,0.0,0.0,17.0,2.754411318174137,57.87478607981582,94.09270000000006,9.376117786479641,1.1813147068023682,0.16195553139402222,1000000.0
4.0,0.0,27.328846580645163,2.0,3.0,19.0,1.0,33.0,0.0,0.0,1.0,9.557558351276064,80.94811496707754,0.0,0.0996875,9.0,1,7.0,6.0,0.0,0.0,34.0,2.754411318174137,66.25283427058054,92.80859000000004,9.309237343620756,1.1280221939086914,0.14043752237726248,1000000.0
4.0,0.0,27.32884658064516,2.0,5.0,2.0,2.0,88.0,0.0,0.0,1.0,3.6093465597641403,58.0,15.0,0.0996875,0.0,1,4.0,9.626171318676453,0.0,0.0,44.28521995328425,2.754411318174137,121.97971106715725,92.75334200000006,7.1124917796945315,1.1760927438735962,0.11165626560666687,12.075464150688417
4.0,1.0,27.32884658064516,2.0,8.0,31.0,1.0,60.0,0.0,0.0,1.0,2.230735808911882,63.0,0.0,0.0996875,0.0,1,7.0,8.370711648799976,0.0,0.0,23.0,2.754411318174137,71.43208233959722,92.68028500000004,10.390848397899271,1.1713464260101318,0.14013241015717237,1000000.0
4.0,0.0,27.32884658064516,2.0,14.0,26.0,1.0,100.0,0.0,0.0,1.0,7.23692487881218,70.0,5.0,0.0996875,0.0,1,4.0,10.036429526551734,0.0,0.0,37.0,2.754411318174137,82.9903094799846,92.75334200000006,7.1124917796945315,1.1765328645706177,0.12920802209068108,1000000.0
4.0,1.0,27.32884658064516,2.0,13.0,0.0,1.0,118.0,0.0,0.0,1.0,3.7085466023782487,62.0,0.0,0.0996875,9.0,1,28.0,7.0,0.0,0.0,32.0,2.754411318174137,57.759713453409546,94.75335900000002,10.629323322345872,1.1315325498580933,0.18844964486795754,1000000.0
4.0,0.0,27.32884658064516,2.0,4.0,0.0,2.0,42.0,0.0,0.0,1.0,8.749705594900565,70.0,0.0,0.0996875,0.0,1,18.0,8.543816106903353,0.0,0.0,41.04849214040446,2.754411318174137,113.06443134551216,94.00638900000004,10.01740882462086,1.181403398513794,0.12250130008344301,16.015681629185757
4.0,0.0,27.32884658064516,2.0,14.0,1.0,2.0,73.0,0.0,0.0,1.0,8.33347657348393,51.0,0.0,0.0996875,4.0,1,23.0,8.0,0.0,0.0,13.0,2.754411318174137,68.7264393419426,93.18305100000003,8.213538138492638,1.130325436592102,0.08679824962395596,1000000.0
4.0,1.0,27.32884658064516,2.0,2.0,1.0,1.0,63.0,0.0,0.0,1.0,3.4931004106344496,77.89484607104978,3.0,0.0996875,2.0,1,23.0,10.008050186983201,0.0,0.0,37.0,2.754411318174137,84.14044665596711,93.29566400000003,10.365408031988679,1.153368592262268,0.15622238222534476,1000000.0
4.0,1.0,27.328846580645163,2.0,2.0,7.0,0.0,25.0,0.0,0.0,1.0,2.9116731639818343,56.00000000000001,0.0,0.0996875,5.0,1,15.0,10.34504443928229,0.0,0.0,13.0,2.754411318174137,50.34586980330441,92.76817800000002,8.200046284699804,1.1246118545532227,0.13720288259123506,1000000.0
4.0,1.0,27.32884658064516,2.0,8.0,7.0,1.0,74.0,0.0,0.0,1.0,8.273973204762587,69.0,0.0,0.0996875,4.0,1,38.0,10.170286565991127,0.0,0.0,23.0,2.754411318174137,98.57641364315218,92.83621800000003,10.390848397899271,1.128820776939392,0.1792110453033273,1000000.0
4.0,0.0,27.32884658064516,2.0,5.0,21.0,1.0,96.0,0.0,0.0,1.0,7.964598445000797,82.0393141233254,0.0,0.0996875,2.0,1,16.0,6.0,0.0,0.0,35.0,2.754411318174137,75.72584295722106,92.70583000000005,9.309237343620756,1.1280221939086914,0.126548989237277,1000000.0
4.0,1.0,27.32884658064516,2.0,6.0,21.0,0.0,20.0,0.0,0.0,1.0,8.367178603158127,55.0,0.0,0.0996875,2.0,1,20.0,9.531388992630157,0.0,0.0,12.0,2.754411318174137,25.281043779263364,93.39573200000004,8.54228070032037,1.1292109489440918,0.08587289791948957,1000000.0
4.0,1.0,27.32884658064516,2.0,3.0,0.0,1.0,74.0,0.0,0.0,1.0,3.619281118262206,72.64806692888688,1.0,0.0996875,3.0,1,20.0,8.928207140530949,0.0,0.0,19.0,2.754411318174137,86.98360654885882,94.18502800000002,11.406148842333861,1.1568031311035156,0.15314245860875872,1000000.0
4.0,1.0,27.32884658064516,2.0,5.0,21.0,0.0,60.0,0.0,0.0,1.0,9.948442510040698,78.44844575593427,0.0,0.0996875,2.0,1,36.0,8.508022370699402,0.0,0.0,40.0,2.754411318174137,42.42970788922259,93.10685600000005,9.616617850470881,1.1323575973510742,0.16385014366195882,1000000.0
4.0,0.0,27.32884658064516,2.0,5.0,20.0,2.0,78.0,0.0,0.0,1.0,8.627590631263114,59.0,1.0,0.0996875,9.0,1,2.0,5.0,0.0,0.0,25.0,2.754411318174137,64.99974053218133,94.09578400000005,6.749516394470225,1.1457229852676392,0.14179767376690863,1000000.0
4.0,1.0,27.32884658064516,2.0,3.0,4.0,0.0,19.0,0.0,0.0,1.0,8.454931734936434,51.0,0.0,0.0996875,3.0,1,18.0,10.826181386518076,0.0,0.0,25.0,2.754411318174137,105.7636037886771,93.30019700000004,10.033952075779823,1.1263824701309204,0.16444356307020597,1000000.0
