Material_2,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),V2_Ventilation Interval (min),Additive_3,Period (d),V1_Ventilation Type,Material_3,Application Rate (%DW),Additive_1,Initial GI (%),M1_is Enclosed,Material_Main,Compost volume (m3), Composting Method,V4_Ventilation Day,Additive_4,Turning times,V3_Ventilation Duration (min),Initial Moisture Content (%),Initial pH,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
8.0,1.5511339302656446,7.0,17.0,544.0,4.0,40.0,1.0,4.0,5.7790554982578035,38.0,27.32884658064516,1.0,7,0.6292491869918699,2.0,19.0,1.0,11.0,3.1482046821654763,66.0,9.880939552052205,2.4967368849582217,30.533613215856494,113.76610800000006,9.028180400521668,0.6531306505203247,0.14256432678296674,1000000.0
0.0,0.49081683288967887,15.0,25.958538754173176,332.0,4.0,125.0,1.0,5.0,1.573529348282137,12.0,27.328846580645163,0.0,7,0.6292491869918699,1.0,27.0,1.0,2.0,20.755239961823293,70.06626613785349,7.0,2.4967368849582217,49.330230392573675,112.47973300000004,8.22676115437859,0.5499588847160339,0.16380964447196428,1000000.0
3.0,0.13357779863662267,13.0,43.49671023284932,552.0,4.0,81.0,1.0,5.0,4.5132962658949864,21.0,27.32884658064516,1.0,7,0.6292491869918699,0.0,66.0,1.0,26.0,3.9643364047920513,54.0,10.666055921686286,2.4967368849582217,108.59984081269461,112.55237900000006,9.905720568687636,0.4253375232219696,0.13291702293929594,22.068042616084462
6.0,1.9852045167540782,13.0,22.0,1022.0,4.0,73.0,1.0,5.0,9.642660988455141,19.0,27.328846580645163,1.0,7,0.6292491869918699,2.0,45.0,1.0,6.0,0.6385523856912245,55.0,10.206867235963491,2.4967368849582217,72.3240674880763,113.79366800000007,8.972975606418778,0.9358646869659424,0.16643492314122688,1000000.0
8.0,0.9770475605788562,7.0,29.0,28.0,4.0,60.0,1.0,9.0,8.963060089660967,23.0,27.32884658064516,1.0,7,0.6292491869918699,2.0,14.0,1.0,2.0,7.444499545057566,56.0,9.38624648837142,2.4967368849582217,86.15142297764004,110.69630300000004,9.31018454200688,0.8575258851051331,0.1836090862246019,1000000.0
12.0,1.0798918662040893,15.0,11.0,719.0,4.0,61.0,1.0,4.0,7.745638855214219,8.0,27.328846580645163,1.0,7,0.6292491869918699,0.0,29.0,1.0,2.0,5.817751010023109,52.0,9.927134951046556,2.807631425564164,71.49092449574277,113.20443600000004,1000000.0,1000000.0,1000000.0,1000000.0
14.0,1.2009015223559956,2.0,44.740100356206405,594.0,4.0,76.0,1.0,5.0,9.036252708073071,8.0,27.32884658064516,1.0,7,0.6292491869918699,1.0,51.0,1.0,11.0,6.64865599480599,80.0831335553664,6.0,2.4967368849582217,111.704258796073,112.56338600000005,9.028180400521668,0.555216908454895,0.16925915943444714,22.237790217488538
4.0,0.3365479039108421,3.0,35.0,1387.0,4.0,119.0,1.0,3.0,9.49707708084637,24.0,27.32884658064516,0.0,7,0.6292491869918699,1.0,56.0,1.0,1.0,58.25938223214331,68.0,7.0,2.4967368849582217,52.35711411042333,111.95446899999999,10.318620449422761,0.8187264800071716,0.12989666459999685,1000000.0
12.0,1.200577111619658,2.0,15.0,1187.0,4.0,82.0,1.0,2.0,2.676459134680343,31.0,27.328846580645163,1.0,7,0.6292491869918699,0.0,72.0,1.0,7.0,3.0210816758296866,70.14993135294918,11.645070513642708,2.4967368849582217,98.02468878307174,113.72936200000004,8.019779918217933,0.2626475393772125,0.1369515130825891,1000000.0
4.0,1.7671969699773764,11.0,20.0,1120.0,4.0,80.0,1.0,3.0,6.207150134416635,14.0,27.32884658064516,1.0,7,0.6292491869918699,2.0,38.0,1.0,28.0,6.298527272185199,54.0,9.97418726008161,2.4967368849582217,52.21142451252235,113.19571500000004,8.954324830266781,0.7026418447494507,0.168716364289691,1000000.0
8.0,1.0143940795026751,9.0,29.0,399.0,4.0,20.0,1.0,0.0,5.516625034398213,20.0,27.32884658064516,1.0,7,0.6292491869918699,0.0,12.0,1.0,9.0,2.8326993348262963,57.0,8.453418620163841,2.4967368849582217,65.67318530688308,114.51739300000004,9.06580758901812,0.23270201683044434,0.18166476890088015,1000000.0
3.0,0.4132182365204655,13.0,11.0,109.0,4.0,59.0,1.0,5.0,9.825524592426895,38.0,27.32884658064516,0.0,7,0.6292491869918699,2.0,57.0,1.0,26.0,6.945715909056198,58.0,10.39465630796009,2.4967368849582217,36.74107988206313,112.22380900000003,8.954324830266781,0.6992438435554504,0.15564678913986357,1000000.0
2.0,0.5559820136125515,10.0,16.397430805817955,682.0,4.0,49.0,1.0,0.0,9.767701951036809,24.0,27.32884658064516,1.0,7,0.6292491869918699,2.0,40.0,1.0,10.0,2.2721751279477065,51.0,8.647411100614491,2.4967368849582217,22.654882403299855,114.65700400000006,8.558612629523415,0.5864056348800659,0.13630679845938543,1000000.0
2.0,0.7442858603103457,15.0,19.0,322.0,4.0,127.0,1.0,9.0,7.725744152986302,22.0,27.32884658064516,0.0,7,0.6292491869918699,1.0,30.0,1.0,5.0,5.837040086381878,55.0,10.359672536126126,2.4967368849582217,72.96417092753734,113.74572800000007,8.558612629523415,0.5634844303131104,0.15238368255702125,1000000.0
2.0,0.2934386389368102,7.0,27.0,1206.0,4.0,86.0,1.0,3.0,2.8648933891736466,10.0,27.32884658064516,1.0,7,0.6292491869918699,2.0,58.0,1.0,5.0,1.8678642114592559,83.97869476979808,6.0,2.4967368849582217,87.49810193480165,114.44451300000004,8.355090332741018,0.8648712635040283,0.10992328542658639,1000000.0
14.0,0.317529850268778,15.0,43.2755666191506,23.0,4.0,94.0,1.0,9.0,8.896861675372616,30.0,27.32884658064516,1.0,7,0.6292491869918699,1.0,33.0,1.0,23.0,6.827972872837678,51.0,6.0,2.4967368849582217,108.04770339550008,110.39926500000003,8.783803447532907,0.6078858375549316,0.1849878551667449,23.038070394560684
