M1_is Enclosed,Additive_4,Compost volume (m3),V1_Ventilation Type,V2_Ventilation Interval (min),Initial Moisture Content (%),Application Rate (%DW),V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),Material_Main,Material_3,Additive_3,Initial pH, Composting Method,Additive_2,Initial C/N (%),Material_2,Additive_1,Initial GI (%),Period (d),Turning times,V3_Ventilation Duration (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1.0,1.0,2.147162565177521,1.0,548.0,63.0,5.821315464247496,2.0,0.40996303060589745,0,4.0,4.0,10.84923886663427,0.0,15.0,15.0,6.0,2.0,27.32884658064516,23.0,31.0,3.6444150322489133,1.596639959668374,43.04332040408256,109.92648700000007,7.913357537448591,0.3869498372077942,0.1549838667753936,1000000.0
1.0,1.0,2.147162565177521,2.0,0.0,83.29536115180063,4.177142246417937,0.0,0.0,0,2.0,4.0,8.687422511474855,0.0,7.0,43.10325234355225,5.0,19.0,27.32884658064516,113.0,31.0,0.0,1.596639959668374,68.82037508338502,103.31988400000006,10.35733894120812,0.37408044934272766,0.22816990684918592,20.876379119597633
1.0,1.0,2.147162565177521,1.0,235.0,50.0,8.146716030935607,12.0,1.3366738169848211,0,5.0,4.0,6.0,1.0,0.0,19.0,12.0,16.0,27.32884658064516,73.0,30.0,51.73292116243126,1.596639959668374,13.779735170749904,106.414955,7.9814577484429785,0.238850399851799,0.193190993250883,1000000.0
0.0,1.0,2.147162565177521,1.0,678.0,50.0,2.3856010610163105,15.0,1.1285198953492719,0,3.0,4.0,10.36001866935485,2.0,2.0,25.0,12.0,38.0,27.32884658064516,97.0,31.0,18.783998788948402,1.596639959668374,18.611430241650318,105.949999,10.786808901010254,0.563301682472229,0.15959308938159483,1000000.0
1.0,1.0,2.147162565177521,0.0,0.0,54.0,9.122950092437613,78.0,1.7251310993291296,0,3.0,4.0,9.452779608246765,0.0,11.0,21.0,12.0,2.0,27.32884658064516,130.0,29.0,0.0,1.596639959668374,29.860131653092647,105.65839700000004,11.750885254459076,0.42620378732681274,0.1757909982364342,1000000.0
1.0,1.0,2.147162565177521,2.0,0.0,62.88700893647238,8.501145606139907,0.0,0.0,0,0.0,4.0,10.91520747869622,0.0,9.0,42.35539361850171,14.0,2.0,27.32884658064516,108.0,27.0,0.0,1.596639959668374,67.62631395878267,106.43375800000004,10.896269422971002,0.43176448345184326,0.16523190028173734,20.725879688733297
1.0,1.0,2.147162565177521,2.0,0.0,63.0,3.5320276637374306,0.0,0.0,0,4.0,4.0,5.0,0.0,3.0,39.0,12.0,8.0,27.32884658064516,97.0,27.0,0.0,1.596639959668374,18.240268651381655,104.43600500000002,10.35733894120812,0.3620646595954895,0.22184066381222467,1000000.0
0.0,1.0,2.147162565177521,1.0,1120.0,64.0,4.84724158247635,14.0,0.571076001020943,0,3.0,4.0,9.498322651021098,2.0,9.0,32.0,14.0,36.0,27.32884658064516,55.0,31.0,11.828099820394108,1.596639959668374,8.296873768588858,106.66073200000001,7.74660546253441,0.49430644512176514,0.13729645609166866,1000000.0
1.0,1.0,2.147162565177521,2.0,0.0,70.0,7.545757788522227,0.0,0.0,0,0.0,4.0,9.422207759052279,0.0,12.0,25.0,12.0,4.0,27.32884658064516,61.0,26.0,0.0,1.596639959668374,40.229256726789956,106.08875600000003,10.143480431083155,0.3993787169456482,0.22561240110847225,1000000.0
1.0,1.0,2.147162565177521,2.0,0.0,67.0,7.327564695675355,0.0,0.0,0,4.0,4.0,6.0,0.0,7.0,15.0,3.0,4.0,27.32884658064516,91.0,30.0,0.0,1.596639959668374,32.64268263515529,103.34919000000008,10.639343082693332,0.2511817514896393,0.18860986816586806,1000000.0
1.0,1.0,2.147162565177521,2.0,0.0,78.2062670849001,7.31201057409014,0.0,0.0,0,3.0,4.0,5.0,0.0,15.0,22.0,14.0,4.0,27.32884658064516,56.0,30.0,0.0,1.596639959668374,25.48359111313376,108.33590300000003,10.209467130471893,0.2511817514896393,0.25596057606364003,1000000.0
1.0,1.0,2.147162565177521,2.0,0.0,57.0,7.7426311708269555,0.0,0.0,0,4.0,4.0,6.0,0.0,0.0,26.62518835052818,13.0,2.0,27.32884658064516,35.0,25.0,0.0,1.596639959668374,8.967554803098395,105.34868700000004,7.792050638939739,0.5548983812332153,0.16858620778978026,1000000.0
1.0,1.0,2.147162565177521,1.0,803.0,54.0,5.733622361394625,5.0,0.5874616206114915,0,2.0,4.0,7.0,0.0,5.0,37.0,12.0,4.0,27.328846580645163,109.0,23.0,4.335834320450669,1.596639959668374,53.645722007657255,107.32348200000004,9.465934008615482,0.2452862411737442,0.14896561195316582,1000000.0
1.0,1.0,2.147162565177521,1.0,821.0,83.20119917298855,6.55621273413027,60.0,0.5424214009675521,0,3.0,4.0,8.109703006585784,0.0,2.0,21.0,0.0,33.0,27.32884658064516,130.0,31.0,19.802422108644087,1.596639959668374,42.89634226959234,105.653215,9.204474041676978,0.050111766904592514,0.17394308123821628,1000000.0
1.0,1.0,2.147162565177521,0.0,0.0,56.0,8.842469098616476,5.0,0.8171236296098516,0,0.0,4.0,7.0,1.0,3.0,44.49977387700115,14.0,37.0,27.32884658064516,114.0,29.0,0.0,1.596639959668374,71.05011716822688,104.69594300000003,10.45242756289521,0.37800008058547974,0.2235521039386621,23.13633204041812
0.0,1.0,2.147162565177521,1.0,78.0,52.0,6.562348738225596,48.0,1.3819488745605943,0,5.0,4.0,9.792864666903604,1.0,9.0,36.0,5.0,15.0,27.32884658064516,81.0,31.0,57.344181201548054,1.596639959668374,21.040735802567152,105.33496299999999,9.84929268606471,0.41433072090148926,0.18655718214633074,1000000.0
0.0,1.0,2.147162565177521,1.0,747.0,70.79083963148045,4.546878089949534,21.0,1.1120960918166978,0,0.0,4.0,8.0,2.0,7.0,39.0,3.0,23.0,27.32884658064516,22.0,31.0,30.308925010732498,1.596639959668374,18.360637303495636,103.596361,8.249206957770069,0.6139624118804932,0.17619989497412503,1000000.0
1.0,1.0,2.147162565177521,2.0,0.0,61.0,9.323022125658415,0.0,0.0,0,2.0,4.0,8.113769730419387,0.0,15.0,24.0,13.0,16.0,27.32884658064516,87.0,27.0,0.0,1.596639959668374,17.41455851096298,104.34612200000001,11.318319620378874,0.4304073452949524,0.21735682420104985,1000000.0
1.0,1.0,2.147162565177521,1.0,1289.0,55.0,7.2121820397820295,39.0,1.6224960911379103,0,3.0,4.0,11.742324923712085,1.0,6.0,16.0,4.0,14.0,27.32884658064516,98.0,31.0,53.305146306607256,1.596639959668374,25.135805571083413,105.616883,10.131296827549921,0.16018563508987427,0.16880367534801674,1000000.0
