M1_is Enclosed,Period (d), Composting Method,Turning times,V2_Ventilation Interval (min),Compost volume (m3),Initial GI (%),Material_2,Additive_2,Initial Moisture Content (%),Material_3,Additive_1,V5_Ventilation rate (L/min/kg iniDW),Initial pH,Material_Main,Additive_3,Additive_4,V4_Ventilation Day,Application Rate (%DW),Initial C/N (%),V1_Ventilation Type,V3_Ventilation Duration (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1.0,17.0,0.0,18.0,0.0,0.314,27.32884658064516,2.0,3.0,54.0,9.0,30.0,1.7818278774171048,10.91891779046944,5,4.0,1.0,4.0,8.405992242924206,15.0,0.0,0.0,1.4280600332415827,17.690769175197136,91.47082399999998,8.095283393685236,0.7054442763328552,0.20473315447589333,1000000.0
0.0,24.0,2.0,20.0,1374.0,0.314,27.32884658064516,5.0,11.0,77.83675256821363,2.0,27.0,2.5204989600955754,9.560426013318821,5,4.0,1.0,2.0,9.705861482774122,33.0,1.0,43.082491826537755,1.4280600332415827,52.98755541916233,92.50709599999996,6.18860605521249,0.3288295865058899,0.16889715949545733,1000000.0
0.0,20.0,1.0,25.0,0.0,0.314,27.32884658064516,4.0,2.0,81.36832279681136,0.0,19.0,1.3687324605187157,7.000000000000001,5,4.0,1.0,3.0,2.4945167458589976,39.0,0.0,0.0,1.4280600332415827,13.718389507498271,92.03205799999998,6.71705487455194,0.6777790188789368,0.21568429797239416,1000000.0
0.0,110.0,1.0,26.0,0.0,0.314,27.32884658064516,4.0,3.0,62.0,2.0,16.0,0.0,5.0,5,4.0,1.0,0.0,9.633718125503169,10.0,2.0,0.0,1.4280600332415827,37.943074684012124,90.49521699999994,3.1828114943831767,0.4224470853805542,0.15715885689282863,1000000.0
1.0,115.0,1.0,30.0,0.0,0.314,27.32884658064516,0.0,3.0,74.09811756493681,0.0,4.0,0.0,6.0,5,4.0,1.0,0.0,4.805751436274947,41.787853100989786,2.0,0.0,1.4280600332415827,59.67556288849385,90.33963799999994,3.1828114943831767,0.34925252199172974,0.19483716476569343,17.808922120669404
1.0,38.0,2.0,16.0,197.0,0.314,27.32884658064516,5.0,2.0,65.0,2.0,37.0,1.3030301574646246,11.267846533243253,5,4.0,1.0,2.0,5.210383483454373,22.0,1.0,52.8085993702752,1.4280600332415827,36.87341884382819,92.44404099999998,6.18860605521249,0.3931199014186859,0.17037794973909703,1000000.0
1.0,75.0,0.0,8.0,969.0,0.314,27.328846580645163,3.0,7.0,54.0,3.0,35.0,1.0720581141140662,6.101456817466108,5,4.0,1.0,3.0,2.7625339912865368,37.0,1.0,18.12472872491869,1.4280600332415827,18.15513524485454,92.89249800000002,8.57075413016531,0.38436612486839294,0.17172818720113406,1000000.0
0.0,59.0,2.0,8.0,1264.0,0.314,27.32884658064516,0.0,13.0,71.14130809007153,2.0,14.0,0.11480674046513606,8.640635121946824,5,4.0,1.0,2.0,3.2012502502554767,23.0,1.0,34.09375868591,1.4280600332415827,21.777413553217553,91.09795600000001,5.934117028190946,0.38462984561920166,0.11529266011805994,1000000.0
1.0,62.0,0.0,19.0,0.0,0.314,27.32884658064516,2.0,6.0,70.0,4.0,23.0,0.0,9.126775297642766,5,4.0,1.0,0.0,3.73689674704689,35.0,2.0,0.0,1.4280600332415827,11.397083225007252,90.61159599999995,4.0238649017268076,0.503227174282074,0.2048478180607829,1000000.0
0.0,29.0,2.0,25.0,0.0,0.314,27.32884658064516,0.0,2.0,71.65799685890003,3.0,31.0,0.0,9.426181925068471,5,4.0,1.0,0.0,7.701000018299107,19.0,2.0,0.0,1.4280600332415827,49.74307800377238,90.49521699999994,3.1828114943831767,0.42879340052604675,0.18036920557247924,1000000.0
0.0,28.0,1.0,27.0,0.0,0.314,27.328846580645163,4.0,6.0,67.0,2.0,30.0,0.0,7.000000000000001,5,4.0,1.0,0.0,2.4795127571391706,19.0,2.0,0.0,1.4280600332415827,26.109506060877447,90.59659599999995,3.1828114943831767,0.5283910632133484,0.19574678310253013,1000000.0
1.0,36.0,0.0,22.0,0.0,0.314,27.32884658064516,3.0,6.0,70.66053397293511,9.0,31.0,0.0,11.055174451535542,5,4.0,1.0,0.0,2.7924298434947294,39.0,2.0,0.0,1.4280600332415827,50.979533818155794,90.59659599999995,4.758268085394209,0.5172825455665588,0.19529642583279538,1000000.0
1.0,110.0,1.0,23.0,0.0,0.314,27.32884658064516,0.0,3.0,62.0,9.0,12.0,0.9695778168176941,8.518576811315603,5,4.0,1.0,3.0,2.370590983933411,30.0,0.0,0.0,1.4280600332415827,40.467702325024526,91.908368,8.095283393685236,0.39631059765815735,0.22802308008389194,1000000.0
1.0,57.0,0.0,7.0,1017.0,0.314,27.328846580645166,5.0,1.0,57.35104906818398,0.0,25.0,0.4658382791059857,7.0,5,4.0,1.0,3.0,4.392342239119763,10.0,1.0,5.320421718376793,1.4280600332415827,31.076818969638655,92.03238500000002,6.1887299436505305,0.19949832558631897,0.13561440456658402,1000000.0
1.0,73.0,2.0,22.0,0.0,0.314,27.328846580645163,0.0,0.0,76.34094997505443,0.0,13.0,0.0,12.022549273914283,5,4.0,1.0,0.0,4.499252859435288,31.0,2.0,0.0,1.4280600332415827,42.67878508694764,90.79324899999995,3.1828114943831767,0.3506599962711334,0.17788980928301804,1000000.0
1.0,75.0,0.0,7.0,885.0,0.314,27.32884658064516,3.0,13.0,51.0,3.0,25.0,1.590940568412351,8.0,5,4.0,1.0,3.0,5.4363191791300025,12.0,1.0,35.614508167347566,1.4280600332415827,24.320789788176118,91.95098300000001,5.934117028190946,0.28329089283943176,0.1677360501041666,1000000.0
1.0,109.0,2.0,14.0,0.0,0.314,29.029075809552772,0.0,5.0,80.54761391711247,3.0,14.0,0.0,11.977929954667218,5,4.0,1.0,0.0,2.250461320770299,11.0,2.0,0.0,1.4280600332415827,48.56352475644509,90.94441599999995,3.1828114943831767,0.5310296416282654,0.20411986741195215,1000000.0
1.0,43.0,1.0,8.0,0.0,0.314,27.32884658064516,2.0,3.0,72.4066707890593,9.0,30.0,0.4773090546214065,8.145619771883977,5,4.0,1.0,0.0,4.534678067155473,25.09208695723402,0.0,0.0,1.4280600332415827,34.33647705053055,90.85999999999996,6.184569608429239,0.43155014514923096,0.23046959621849,1000000.0
