,feas,Correlation with Target
0,Material_Main,0.20882174231714717
1,Turning times,1.3299110249963404
2,Period (d),1.6411234334864302
3,V2_Ventilation Interval (min),1.7354005542385993
4,M1_is Enclosed,1.016443421599259
5, Composting Method,0.3076556781334441
6,Additive_3,0.030203489069566842
7,Additive_2,0.6096163657252425
8,Additive_1,0.4166910281112572
9,Material_2,0.3571357835016574
10,Additive_4,0.0
11,Material_3,0.06462701926167105
12,Compost volume (m3),0.6909530401944197
13,V1_Ventilation Type,0.8273411523199382
14,V4_Ventilation Day,0.8111258756506028
15,V3_Ventilation Duration (min),0.6948045774062607
16,Application Rate (%DW),2.562596996767913
17,V5_Ventilation rate (L/min/kg iniDW),1.5089423244550348
18,Initial GI (%),1.3903480288689298
19,Initial pH,1.019648737870741
20,Initial C/N (%),2.27908908711604
21,Initial Moisture Content (%),0.7100193103533141
