Additive_1,Additive_1_mean_Final GI (%)
Apple pomace,115.16576
Artifactitious attapulgite,120.626
Bean dreg,139.25300000000001
Bentonite,83.40745
Beta-Cyclodextrin,80.3545
Biochar,106.76918684210527
Ca(H₂PO₄)₂,103.9175
Calcium magnesium phosphate fertilizer,144.767
Citric acid,111.9805
Clay,152.1606
FeCl₃,90.9897
Gypsum,96.60719999999999
H₃PO₄,89.81389090909092
KH₂PO₄,86.5252
LB Culture,82.1126
Lignite,101.83005
Lime,77.24000000000001
Medcine stone,98.2
Medicine stone,81.80985000000001
Mg(OH)₂,101.45884999999998
MgHPO₄,112.0
MgO,113.83333333333333
MgSO₄,75.60714999999999
Microbiological agent,80.4043642857143
"NTB(ammonifiers,nitrobacteria,azotobacter)agent",69.93246666666666
None,89.9937308724832
Palygorskite,95.0
Phosphate fertilizer,83.7758
Phosphogypsum,117.49437499999999
Raw attapulgite,114.157
Rhamnolipid,103.327
Rotten apple,102.028
Rotten apples,85.18905000000001
Sulfur,52.0
Superphosphate,86.49252903225806
Vinegar,94.1038
Zeolite,80.3735625
