Additive_2,Additive_2_encoded
Bamboo Vinegar,0
Bean dreg,1
Biochar,2
Calcium magnesium phosphate fertilizer,3
Calcium superphosphate,4
DCD,5
Ferrous sulfate,6
Gypsum,7
H₃PO₄,8
KH₂PO₄,9
KH₂PO₄-K₂HPO₄,10
K₂HPO₄,11
K₃PO₄,12
Mg(OH)₂,13
MgO,14
MgSO₄,15
Microbiological agent,16
Na₂HPO₄·2H₂O,17
None,18
Sodium humate,19
Superphosphate,20
Zeolite,21
