V4_Ventilation Day,Material_3,V3_Ventilation Duration (min),Additive_4,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial GI (%),Additive_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),V1_Ventilation Type,Application Rate (%DW),Additive_1,Initial Moisture Content (%),Material_Main,Material_2,M1_is Enclosed,Period (d), Composting Method,Turning times,Additive_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
39.0,0.0,45.81570398761248,1.0,222.0,8.100991189453163,41.134839456096714,27.32884658064516,5.0,24.585854447490973,9.929852787815888,1.0,23.861402473966347,20.0,77.15531522710567,0,14.0,0.0,67.0,1.0,27.0,1.0,1.2115321536023136,36.241737957452756,104.45961199999999,5.598928840184068,0.31641829013824463,0.15808171680961375,22.151649005621252
72.0,4.0,14.89164554506762,1.0,430.0,6.7863867283681705,43.682198083760134,27.32884658064516,6.0,25.52793311828249,2.785083671271079,1.0,13.280240114669692,23.0,45.91937688812242,0,12.0,1.0,120.0,2.0,30.0,6.0,8.063500309845805,32.74418155101371,106.89403699999998,7.205155774868023,1.0001025199890137,0.1593972786902163,25.3985160441264
19.0,0.0,22.85741210009499,1.0,901.0,10.720619826198071,35.00111688526664,27.32884658064516,15.0,0.166564379709834,0.1838353745673598,1.0,24.267460831704938,10.0,84.07385538650595,0,13.0,1.0,86.0,2.0,18.0,1.0,6.1848354154321505,32.87580672721513,102.96326400000002,7.322833194066153,0.6498712301254272,0.12521880844021208,22.17255979440639
42.0,5.0,29.66575919465207,1.0,899.0,11.520110426910573,18.187441854574573,27.32884658064516,12.0,21.153771129467042,1.8521319337782596,1.0,18.74862592386659,11.0,57.93155857632788,0,3.0,0.0,54.0,1.0,31.0,4.0,8.451654931836284,38.2855884525075,109.93806399999998,9.40091574013671,0.4410261809825897,0.15210859639855576,24.155811153094607
76.0,3.0,24.738764626165256,1.0,773.0,7.006118171987275,5.19126631778657,27.32884658064516,6.0,20.35588900372849,5.888032819264501,1.0,19.832373102681416,18.0,66.53749931114052,0,6.0,1.0,124.0,2.0,30.0,1.0,8.403403355066505,54.466723236692104,104.76249700000002,10.352393618646033,0.8541417121887207,0.16391033662699228,23.899443618507256
21.0,2.0,32.83559447013562,1.0,656.0,4.773538350283805,25.384359649379828,27.32884658064516,7.0,9.707143602352412,5.589847431019031,1.0,28.24647208502138,15.0,73.7612814342569,0,14.0,0.0,118.0,2.0,27.0,3.0,1.341304270875864,29.078045549281903,105.099385,8.12872423163583,0.35617882013320923,0.1580945578341303,22.487527058613306
43.0,0.0,15.832467274024928,1.0,192.0,4.492638834328329,6.2956250038749895,27.32884658064516,5.0,11.347182501101454,2.5243181447999365,1.0,15.587068480223063,23.0,69.83965816903789,0,12.0,0.0,92.0,2.0,9.0,3.0,5.091597845739923,51.51791794827121,104.025148,4.820293907416152,0.3310457468032837,0.13172347544096,23.60913223301319
64.0,2.0,35.3894746680396,1.0,1166.0,11.611557152695688,10.52679039162918,27.32884658064516,2.0,2.7842709983373832,4.164174632371442,1.0,33.66876307435282,37.0,61.12968873625728,0,12.0,1.0,91.0,2.0,26.0,4.0,7.398787162775136,43.581107255903305,103.29142599999997,11.75568910972242,0.8056631684303284,0.13556266259527308,25.376976893738124
76.0,5.0,3.3543366485594794,1.0,130.0,7.588165353903176,20.516672203368685,27.32884658064516,5.0,14.64391270744137,5.255507946051448,1.0,27.857002873978477,35.0,47.77582926682186,0,3.0,1.0,126.0,2.0,30.0,3.0,7.4429456021089475,28.399172057301584,106.507071,8.758390956403105,0.9092154502868652,0.16711836246273568,24.200983606590807
11.0,4.0,43.8315215052789,1.0,290.0,5.554556128312189,17.013157480776627,27.32884658064516,7.0,25.471906325976228,8.221242416217274,1.0,24.590208517660276,21.0,72.30860232798635,0,8.0,0.0,114.0,1.0,28.0,3.0,7.602506248397338,36.10202836178033,104.55753399999999,10.486365468715167,0.4639376401901245,0.1551534819548074,20.984221342692337
