Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
8,7.0,0.16667,1,0,70.0,0.0,16.5,8,1.2,0.0,65.34171,42.2
8,8.75,0.0,0,1,35.0,35.0,0.0,8,0.06,0.3,69.2,64.9
8,8.75,0.0,0,1,35.0,35.0,1.06418,8,0.06,0.3,69.2,63.1
8,8.75,0.0,0,1,35.0,35.0,1.06418,8,0.06,0.3,69.2,60.6
8,8.75,0.0,0,1,35.0,35.0,1.06418,8,0.06,0.3,69.2,58.5
8,8.75,0.0,0,1,35.0,35.0,1.06418,8,0.06,0.3,69.2,42.9
8,7.0,0.0,0,1,28.0,28.0,0.0,9,0.06,0.36,62.06,35.76
8,7.0,0.0,0,1,28.0,28.0,10.0,9,0.06,0.36,58.69,31.91
6,5.66667,0.0,0,1,34.0,34.0,0.0,8,0.06,0.27211,65.0,55.95
6,5.66667,0.0,0,1,34.0,34.0,10.0,8,0.06,0.26291,65.0,50.26
6,5.66667,0.0,0,1,34.0,34.0,10.28571,8,0.06,0.26265,65.0,49.66
6,5.66667,0.0,0,1,34.0,34.0,14.57143,8,0.06,0.2589,65.0,49.64
8,5.83333,0.0,0,1,35.0,35.0,0.0,8,0.06,0.25,69.2,64.9
8,5.83333,0.0,0,1,35.0,35.0,7.38571,8,0.06,0.25,68.97,63.1
8,5.83333,0.0,0,1,35.0,35.0,4.0,8,0.06,0.25,68.8,54.0
8,5.83333,0.0,0,1,35.0,35.0,7.38571,8,0.06,0.25,68.97,42.2
5,5.55556,0.0,0,1,50.0,50.0,0.0,8,0.1,4.50866,60.0,54.2
5,5.55556,0.0,0,1,50.0,50.0,2.0,8,0.1,4.50866,60.0,52.1
5,5.55556,0.0,0,1,50.0,50.0,4.0,8,0.1,4.537,60.0,48.8
5,5.55556,0.0,0,1,50.0,50.0,6.0,8,0.1,5.06,60.0,42.3
5,5.55556,0.0,0,1,50.0,50.0,8.0,8,0.1,5.06,60.0,39.5
