Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),N2O-N loss (%)
8,17.5,1.0,0,1,35.0,35.0,0.408,5,0.06,0.38,63.96,0.41
8,17.5,1.0,0,1,35.0,35.0,0.408,5,0.06,0.38,63.96,0.68
8,5.6,0.0,0,1,28.0,28.0,0.0,5,0.06,0.48,57.54093,0.34
8,5.6,0.0,0,1,28.0,28.0,2.44988,5,0.06,0.48,57.62952,0.38
8,5.6,0.0,0,1,28.0,28.0,2.45195,5,0.06,0.48,57.62952,0.47
8,5.6,0.0,0,1,28.0,28.0,4.35435,5,0.06,0.48,58.27852,0.39
7,5.66667,0.0,0,1,34.0,34.0,0.0,5,0.06,0.27211,65.0,0.88
7,5.66667,0.0,0,1,34.0,34.0,10.0,5,0.06,0.26291,65.0,0.6
7,5.66667,0.0,0,1,34.0,34.0,10.28571,5,0.06,0.26265,65.0,0.25
7,5.66667,0.0,0,1,34.0,34.0,14.57143,5,0.06,0.2589,65.0,0.13
8,5.83333,0.0,0,1,35.0,35.0,0.0,5,0.06,0.25,69.2,1.5
8,5.83333,0.0,0,1,35.0,35.0,7.38571,5,0.06,0.25,68.97,1.4
8,5.83333,0.0,0,1,35.0,35.0,4.0,5,0.06,0.25,68.8,1.4
8,5.83333,0.0,0,1,35.0,35.0,7.38571,5,0.06,0.25,68.97,2.0
6,5.55556,0.0,0,1,50.0,50.0,0.0,5,0.1,4.50866,60.0,2.05
6,5.55556,0.0,0,1,50.0,50.0,2.0,5,0.1,4.50866,60.0,2.01
6,5.55556,0.0,0,1,50.0,50.0,4.0,5,0.1,4.537,60.0,1.53
6,5.55556,0.0,0,1,50.0,50.0,6.0,5,0.1,5.06,60.0,1.42
6,5.55556,0.0,0,1,50.0,50.0,8.0,5,0.1,5.06,60.0,1.24
6,5.55556,0.0,0,1,50.0,50.0,10.0,5,0.1,3.87,60.0,0.75
8,5.55556,0.0,0,1,50.0,50.0,0.0,5,0.1,0.3,55.0,0.78311
