Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),CH4-C loss (%)
1,0.0,0.0,0,1,28.0,28.0,0.0,5,0.01,0.28,69.0,0.01001
1,0.0,0.0,0,1,28.0,28.0,0.0,3,0.01,0.28,63.0,0.00543
1,0.0,0.0,0,1,28.0,28.0,0.0,3,0.01,0.28,66.0,0.00927
1,0.0,0.0,0,1,28.0,28.0,0.0,4,0.01,0.28,65.0,0.00785
1,0.0,0.0,0,1,28.0,28.0,0.0,4,0.01,0.28,67.0,0.00972
1,0.0,0.0,0,1,28.0,28.0,25.0,5,0.01,0.28,65.0,0.0009
1,0.0,0.0,0,1,28.0,28.0,14.28571,5,0.01,0.28,67.0,0.0024
1,0.0,0.0,0,1,28.0,28.0,0.0,5,0.01,0.28,65.0,0.00567
1,0.0,0.0,0,1,28.0,28.0,0.0,1,0.01,0.28,65.0,0.04746
7,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.17
0,3.88889,0.0,0,1,35.0,35.0,0.0,4,0.1559,0.35558,66.03,0.31
0,3.88889,0.0,0,1,35.0,35.0,0.0,4,0.2984,0.35558,65.69,0.34
0,3.88889,0.0,0,1,35.0,35.0,0.0,4,0.5697,0.35558,66.14,0.41
7,7.0,0.0,1,0,70.0,0.0,0.0,5,1.2,0.0,64.0,0.14
7,7.0,0.0,1,1,70.0,0.0,0.0,5,1.2,0.0,64.0,0.22
7,14.0,0.0,1,0,70.0,0.0,0.0,5,1.2,0.0,64.0,0.25
7,14.0,0.0,1,1,70.0,0.0,0.0,5,1.2,0.0,64.0,0.36
6,5.57143,1.0,0,1,39.0,39.0,0.0,5,0.288,0.455,68.07,0.147
6,5.57143,1.0,0,1,39.0,39.0,0.0,4,0.288,0.455,68.53,0.135
6,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,0,0.98322,0.76086,64.42877,0.32
6,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,0,0.98322,0.76086,64.42877,0.064
7,8.0,0.0,0,1,56.0,0.0,0.0,5,1.2,0.0,67.6,0.27
7,8.0,0.0,0,1,56.0,0.0,3.3,5,1.2,0.0,67.6,0.1
7,8.0,0.0,0,1,56.0,0.0,6.6,5,1.2,0.0,67.6,0.21
7,8.0,0.0,0,1,56.0,0.0,9.9,5,1.2,0.0,67.6,0.31
7,8.0,0.0,0,1,56.0,0.0,13.2,5,1.2,0.0,67.6,0.28
5,3.11111,0.0,0,1,28.0,0.0,0.0,5,0.13,0.0,61.4561,0.34
5,3.11111,0.0,0,1,28.0,0.0,2.0,5,0.13,0.0,60.661,0.31
5,3.11111,0.0,0,1,28.0,0.0,4.0,5,0.13,0.0,59.7109,0.24
5,3.11111,0.0,0,1,28.0,0.0,6.0,5,0.13,0.0,60.4548,0.25
