Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final C_N (%)
0,26,1.0,1,7,36.0,36.0,0,0.0,0.0,0.0,17.63,0.07,60.0,11,0.72,11,14.17,6.42
0,26,1.0,1,7,36.0,36.0,0,0.0,0.0,0.0,5.2,0.09,60.0,29,0.52,11,14.17,6.26
0,26,1.0,1,7,36.0,36.0,0,0.0,0.0,0.0,9.99,0.07,60.0,29,0.74,11,14.17,6.26
0,26,1.0,1,7,36.0,36.0,0,0.0,0.0,0.0,5.8,0.09,60.0,11,0.52,12,14.17,7.38
0,26,1.0,1,7,36.0,36.0,0,0.0,0.0,0.0,10.8,0.07,60.0,11,0.74,12,14.17,9.45
0,26,1.0,1,7,36.0,36.0,0,0.0,0.0,0.0,15.94,0.07,60.0,11,0.95,12,14.17,6.88
0,26,1.0,1,7,36.0,36.0,0,0.0,0.0,0.0,19.66,0.09,60.0,11,0.73,12,14.17,5.93
1,18,0.75,1,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,18.79
1,18,0.75,1,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,29,0.44,11,20.54,17.63
3,15,0.0,2,10,82.0,0.0,2,0.0,0.0,13.1,0.0,13.11,65.0,24,0.0,11,15.4,13.8
3,15,0.0,2,10,82.0,0.0,2,0.0,0.0,14.7,8.32,5.66,65.0,4,0.0,11,17.5,16.3
3,8,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,11.3
3,8,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,13,0.44,11,20.54,11.1
3,8,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,13,0.44,11,20.54,10.9
3,8,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,13,0.44,11,20.54,11.0
3,8,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,28,0.44,11,20.54,11.2
3,8,0.75,2,0,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,28,0.44,11,20.54,10.8
0,15,1.0,0,9,16.0,16.0,0,0.0,0.0,0.0,0.0,0.1,61.7,24,0.23,11,16.64,17.11
0,15,1.0,0,9,14.0,14.0,0,0.0,0.0,0.0,10.0,0.1,64.2,11,0.23,11,18.2,17.27
3,1,0.0,1,10,70.0,0.0,2,0.0,0.0,10.0,0.0,1.2,67.94,24,0.0,11,18.89,9.78
3,1,0.0,1,10,70.0,0.0,2,0.0,0.0,10.0,3.3,1.2,66.61,29,0.0,11,18.89,10.46
3,1,0.0,1,10,70.0,0.0,2,0.0,0.0,10.0,6.6,1.2,68.11,29,0.0,11,18.89,9.44
3,1,0.0,1,10,70.0,0.0,2,0.0,0.0,10.0,9.9,1.2,68.33,29,0.0,11,18.89,10.18
3,1,0.0,1,10,70.0,0.0,2,0.0,0.0,10.0,13.2,1.2,70.34,29,0.0,11,18.89,10.64
3,1,0.0,1,10,70.0,0.0,2,0.0,0.0,10.0,16.5,1.2,68.07,29,0.0,11,18.89,12.1
3,0,0.75,2,7,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,6.87
3,0,0.75,2,7,42.77,22.5,2,2.17,8.47,5.45,5.25,1.46,64.48,4,0.44,11,20.54,8.26
1,18,1.0,0,9,44.0,44.0,1,20.0,20.0,6.0,0.0,0.27,68.45,24,0.46,11,12.59,12.92
1,18,1.0,0,9,44.0,44.0,1,20.0,20.0,6.0,5.89,0.28,66.71,4,0.45,11,13.37,14.76
1,18,1.0,0,9,44.0,44.0,1,20.0,20.0,6.0,11.86,0.28,67.58,4,0.44,11,14.22,14.62
1,18,1.0,0,9,44.0,44.0,1,20.0,20.0,6.0,21.41,0.28,65.41,4,0.43,11,14.81,15.79
3,25,1.0,0,9,56.0,0.0,2,0.0,0.0,6.8,2.0,0.13,62.13,3,0.0,11,29.83,18.64
3,25,1.0,0,9,56.0,0.0,2,0.0,0.0,6.0,4.0,0.13,60.48,3,0.0,11,28.77,15.4
3,25,1.0,0,9,56.0,0.0,2,0.0,0.0,5.5,6.0,0.13,60.98,3,0.0,11,28.99,12.6
3,25,1.0,0,9,56.0,0.0,2,0.0,0.0,6.4,10.0,0.13,61.75,3,0.0,11,27.55,10.41
1,15,1.0,0,9,16.0,16.0,0,0.0,0.0,3.0,14.0,0.04,68.3,4,0.47,11,25.0,25.0
1,13,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,2,0.44,11,20.54,9.76
1,13,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,26,0.44,11,20.54,13.27
1,15,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,16.78
1,15,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,32,0.44,11,20.54,15.12
1,15,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,29,0.44,11,20.54,13.83
1,15,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,20,0.44,5,20.54,14.91
1,7,0.75,0,9,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,9.75
